,steps,hr_test_5,hr_test_10,hr_test_20,ndcg_test_5,ndcg_test_10,ndcg_test_20,cov_test_1,cov_test_5,cov_test_10,cov_test_20,nov_test_1,nov_test_5,nov_test_10,nov_test_20,rep_test_5,rep_test_10,rep_test_20,hr_val_5,hr_val_10,hr_val_20,ndcg_val_5,ndcg_val_10,ndcg_val_20,cov_val_1,cov_val_5,cov_val_10,cov_val_20,nov_val_1,nov_val_5,nov_val_10,nov_val_20,rep_val_5,rep_val_10,rep_val_20
0,5000,0.329511,0.432433,0.518292,0.228102,0.261502,0.283298,0.182084,0.287469,0.325069,0.360572,0.10966,0.210255,0.250925,0.289974,15.138014527845037,30.956416464891042,62.417675544794186,0.331861,0.43539,0.52197,0.2294,0.262983,0.284944,0.178264,0.284323,0.324882,0.361808,0.106209,0.206887,0.250676,0.291388,14.948075748320099,30.653634697617594,61.951740989615146
1,10000,0.337709,0.443626,0.531168,0.234797,0.26918,0.291386,0.268369,0.428133,0.489664,0.541008,0.197821,0.365285,0.43336,0.490331,15.037530266343826,30.769975786924938,61.833535108958834,0.340986,0.445142,0.533751,0.236093,0.269839,0.292315,0.260542,0.42847,0.489327,0.540259,0.189254,0.365617,0.432944,0.4895,14.837507635919364,30.41111789859499,61.2871105681124
2,15000,0.339239,0.445112,0.531955,0.234786,0.269122,0.291158,0.30537,0.491312,0.560557,0.624148,0.236745,0.435273,0.512039,0.582651,14.927966101694915,30.5181598062954,61.312953995157386,0.340537,0.445243,0.533561,0.235483,0.269485,0.291914,0.299004,0.491798,0.559321,0.62441,0.23084,0.435772,0.510667,0.582942,14.748930971288944,30.213194868662185,60.90714722052535
3,20000,0.337414,0.441954,0.529879,0.233369,0.267273,0.289591,0.31125,0.508202,0.588495,0.654932,0.242276,0.453944,0.543062,0.616834,15.276029055690072,31.260290556900728,62.756658595641646,0.338519,0.442586,0.531733,0.235208,0.268975,0.291602,0.30185,0.508351,0.583889,0.652985,0.232295,0.454111,0.537947,0.614671,15.074526572999389,30.822846670739157,62.21930360415394
4,25000,0.330987,0.433635,0.522719,0.22911,0.262408,0.284978,0.324695,0.521497,0.599618,0.667291,0.257121,0.468666,0.555412,0.630557,15.580508474576272,31.88135593220339,64.0,0.331951,0.435547,0.523349,0.230822,0.264439,0.286727,0.317467,0.524717,0.60194,0.671635,0.249636,0.472242,0.557991,0.635381,15.37324373854612,31.47159437996335,63.43738546120953
5,30000,0.331391,0.431788,0.518948,0.229662,0.262242,0.284348,0.322448,0.522283,0.596847,0.664182,0.254294,0.46958,0.552335,0.627105,15.539346246973366,31.69309927360775,63.544794188861985,0.330191,0.43307,0.521802,0.229864,0.263252,0.285745,0.315744,0.518688,0.591679,0.660063,0.24789,0.465588,0.546596,0.622531,15.335369578497252,31.34208918753818,63.174098961514964
6,35000,0.330419,0.434204,0.520948,0.229377,0.263066,0.285043,0.340686,0.53599,0.608756,0.676092,0.273298,0.484801,0.565559,0.640329,15.236077481840194,31.3589588377724,62.837167070217916,0.332455,0.435031,0.522419,0.230444,0.26372,0.28589,0.333233,0.531046,0.606434,0.677028,0.265314,0.47927,0.562981,0.641369,15.073915699450215,30.923640806353085,62.263897373243736
7,40000,0.330375,0.432663,0.519199,0.229561,0.262841,0.28478,0.324058,0.524081,0.599693,0.672796,0.254418,0.471535,0.555495,0.63667,15.119249394673124,30.9818401937046,62.30690072639225,0.332097,0.435603,0.52243,0.231176,0.264772,0.286809,0.319414,0.519699,0.598345,0.672047,0.249802,0.466669,0.553998,0.635838,14.911423335369578,30.635308491142332,61.855833842394624
8,45000,0.327773,0.428378,0.514991,0.227317,0.259932,0.281881,0.334956,0.531159,0.606471,0.681709,0.267185,0.479436,0.563022,0.646567,15.158595641646489,31.09503631961259,62.51452784503632,0.330998,0.43205,0.518966,0.22944,0.262217,0.284263,0.324058,0.525803,0.6034,0.67714,0.256082,0.473531,0.559612,0.641494,14.981062919975566,30.68662186927306,61.934025656689066
9,50000,0.328429,0.4297,0.514663,0.227529,0.260354,0.281894,0.34121,0.536776,0.611939,0.684181,0.273173,0.485715,0.569094,0.649312,15.004842615012107,30.930387409200968,62.02421307506053,0.328913,0.431377,0.518114,0.22827,0.261526,0.283538,0.335443,0.532282,0.610778,0.685155,0.267601,0.480684,0.567805,0.650393,14.852168601099573,30.465485644471595,61.461820403176546
10,55000,0.328495,0.430061,0.514576,0.228167,0.261087,0.282516,0.333945,0.52483,0.600929,0.678039,0.264274,0.472408,0.556868,0.642492,14.902542372881356,30.76150121065375,61.66888619854721,0.329272,0.431993,0.517318,0.228675,0.262016,0.283663,0.327279,0.517639,0.593514,0.668152,0.258161,0.464424,0.548634,0.631513,14.722663408674405,30.15394013439218,61.06780696395846
11,60000,0.32903,0.429176,0.514674,0.228775,0.261237,0.282934,0.336754,0.531159,0.612126,0.692757,0.267726,0.479436,0.569302,0.658835,14.612590799031477,30.151937046004843,60.74515738498789,0.32898,0.431825,0.518361,0.228912,0.262343,0.284325,0.331398,0.528724,0.607146,0.685679,0.262361,0.476691,0.563771,0.650975,14.46609651802077,29.73243738546121,60.18081857055589
12,65000,0.328779,0.430586,0.515592,0.229049,0.262137,0.283653,0.336979,0.529698,0.608119,0.682046,0.267934,0.477773,0.564852,0.646941,14.812348668280872,30.496973365617432,61.30205811138015,0.330718,0.432655,0.518125,0.22989,0.262956,0.284654,0.332372,0.526852,0.605273,0.686391,0.26365,0.474612,0.561692,0.651765,14.639584605986562,30.05070250458155,60.72755039706781
13,70000,0.322691,0.424191,0.510794,0.222037,0.254958,0.276914,0.372631,0.571942,0.645532,0.715078,0.308479,0.524681,0.606396,0.68362,14.631961259079903,30.07324455205811,60.50423728813559,0.32351,0.427185,0.512263,0.223021,0.25664,0.278235,0.366752,0.568647,0.645045,0.719909,0.302699,0.521021,0.605855,0.688984,14.425778863775198,29.750152718387294,60.15394013439218
14,75000,0.327577,0.426399,0.511297,0.227406,0.259453,0.280972,0.345667,0.540297,0.620553,0.702607,0.277166,0.489583,0.578658,0.669772,14.815375302663439,30.386198547215496,60.946125907990314,0.328016,0.430054,0.514157,0.227792,0.260933,0.282273,0.338252,0.535128,0.617557,0.702794,0.270678,0.483803,0.575332,0.66998,14.56383628588882,29.91814294441051,60.63103237629811
15,80000,0.326954,0.427788,0.513548,0.226435,0.259141,0.280877,0.358475,0.556925,0.638679,0.720133,0.291845,0.508005,0.598786,0.689234,14.096246973365618,29.13861985472155,58.74213075060533,0.330303,0.432319,0.517576,0.22831,0.261447,0.283072,0.352371,0.554116,0.635683,0.718823,0.285233,0.504886,0.595459,0.687778,13.859499083689677,28.680513133781307,58.14660965180208
16,85000,0.326473,0.42652,0.51122,0.226572,0.259024,0.28049,0.344881,0.538012,0.619617,0.69594,0.276542,0.487005,0.577619,0.66237,14.62953995157385,30.050847457627118,60.43825665859564,0.330202,0.431343,0.515424,0.228865,0.261672,0.283002,0.342933,0.540147,0.621152,0.705078,0.275294,0.489375,0.579324,0.672516,14.335369578497252,29.59926695174099,59.83506414172266
17,90000,0.324625,0.424312,0.50899,0.225899,0.258239,0.279702,0.347202,0.543517,0.624373,0.705453,0.27912,0.493118,0.5829,0.672932,14.826876513317192,30.35230024213075,61.053874092009686,0.326694,0.427633,0.512364,0.2264,0.259146,0.280658,0.345255,0.545615,0.626994,0.714815,0.277207,0.495446,0.585811,0.683328,14.572999389126451,29.957238851557726,60.51435552840562
18,95000,0.3248,0.422825,0.508772,0.225451,0.257273,0.27905,0.338739,0.530747,0.615235,0.702794,0.269888,0.478979,0.572753,0.66998,14.703389830508474,30.22639225181598,60.71670702179177,0.326974,0.428317,0.511994,0.227354,0.260225,0.281437,0.336866,0.532657,0.618118,0.706089,0.26731,0.481058,0.575955,0.673639,14.470983506414171,29.76786805131338,60.34025656689065
19,100000,0.325664,0.425055,0.511504,0.226236,0.258489,0.280396,0.344319,0.536439,0.619242,0.704254,0.274962,0.485258,0.577203,0.671601,14.374697336561743,29.574455205811137,59.6361985472155,0.32898,0.428743,0.513462,0.228399,0.260787,0.282287,0.338402,0.536926,0.62074,0.710209,0.268973,0.485799,0.578866,0.678213,14.18142944410507,29.219914477703117,59.229077580940746
