,steps,loss,plain,smorl
0,200,9.139245986938477,9.109,0.031
1,400,8.353165626525879,8.319,0.034
2,600,8.017927169799805,7.971,0.047
3,800,7.87896203994751,7.819,0.06
4,1000,7.795868396759033,7.726,0.07
5,1200,7.1777238845825195,7.093,0.085
6,1400,7.32639741897583,7.269,0.058
7,1600,7.37308406829834,7.294,0.079
8,1800,6.450352191925049,6.378,0.073
9,2000,6.987821102142334,6.919,0.069
10,2200,6.992734432220459,6.928,0.065
11,2400,6.4891486167907715,6.407,0.082
12,2600,6.816229820251465,6.735,0.081
13,2800,6.49367094039917,6.411,0.082
14,3000,6.771993637084961,6.663,0.109
15,3200,6.621029853820801,6.509,0.112
16,3400,6.29818868637085,6.167,0.131
17,3600,6.254301071166992,6.123,0.132
18,3800,6.150074481964111,6.041,0.109
19,4000,6.103336811065674,5.986,0.117
20,4200,6.256368637084961,6.122,0.134
21,4400,6.190692901611328,6.057,0.134
22,4600,6.741308689117432,6.597,0.144
23,4800,5.861904621124268,5.736,0.126
24,5000,6.221203804016113,6.09,0.131
25,5200,5.911251544952393,5.773,0.139
26,5400,6.405985355377197,6.308,0.098
27,5600,5.847855567932129,5.75,0.098
28,5800,5.992555618286133,5.831,0.162
29,6000,6.0440826416015625,5.889,0.155
30,6200,5.69871187210083,5.497,0.201
31,6400,6.095428943634033,5.924,0.172
32,6600,5.926149845123291,5.731,0.195
33,6800,5.681611061096191,5.51,0.172
34,7000,5.788113594055176,5.618,0.17
35,7200,5.64172887802124,5.485,0.157
36,7400,5.560523986816406,5.391,0.17
37,7600,5.348381519317627,5.235,0.113
38,7800,6.014751434326172,5.857,0.157
39,8000,5.818920135498047,5.648,0.17
40,8200,5.667277812957764,5.477,0.191
41,8400,5.430208206176758,5.279,0.151
42,8600,4.934484004974365,4.745,0.19
43,8800,5.568341255187988,5.374,0.194
44,9000,5.760282516479492,5.592,0.168
45,9200,5.659801959991455,5.405,0.255
46,9400,5.283332347869873,5.116,0.167
47,9600,5.235934734344482,5.072,0.164
48,9800,5.382025241851807,5.188,0.194
49,10000,5.305062294006348,5.112,0.194
50,10200,5.303534984588623,5.104,0.2
51,10400,5.20458984375,5.055,0.149
52,10600,5.233295440673828,5.084,0.149
53,10800,5.274501323699951,5.131,0.144
54,11000,5.226343631744385,5.074,0.152
55,11200,5.501404762268066,5.328,0.174
56,11400,5.651823997497559,5.471,0.181
57,11600,4.648465156555176,4.447,0.202
58,11800,5.200695037841797,5.014,0.187
59,12000,5.378639221191406,5.199,0.179
60,12200,5.055727481842041,4.913,0.142
61,12400,5.33810567855835,5.164,0.174
62,12600,4.90647029876709,4.725,0.182
63,12800,5.414854526519775,5.232,0.183
64,13000,5.190640926361084,4.984,0.206
65,13200,5.326596736907959,5.17,0.157
66,13400,5.394200801849365,5.23,0.164
67,13600,5.288630485534668,5.115,0.174
68,13800,4.8391828536987305,4.665,0.174
69,14000,5.673979759216309,5.512,0.162
70,14200,5.269356727600098,5.09,0.18
71,14400,5.100083827972412,4.934,0.166
72,14600,4.960129737854004,4.812,0.148
73,14800,4.889025688171387,4.687,0.202
74,15000,4.754880428314209,4.569,0.185
75,15200,4.711524963378906,4.571,0.14
76,15400,5.006529808044434,4.863,0.143
77,15600,5.062152862548828,4.913,0.149
