,steps,hr_test_5,hr_test_10,hr_test_20,ndcg_test_5,ndcg_test_10,ndcg_test_20,cov_test_1,cov_test_5,cov_test_10,cov_test_20,nov_test_1,nov_test_5,nov_test_10,nov_test_20,rep_test_5,rep_test_10,rep_test_20,hr_val_5,hr_val_10,hr_val_20,ndcg_val_5,ndcg_val_10,ndcg_val_20,cov_val_1,cov_val_5,cov_val_10,cov_val_20,nov_val_1,nov_val_5,nov_val_10,nov_val_20,rep_val_5,rep_val_10,rep_val_20
0,5000,0.307891,0.403839,0.485413,0.212089,0.243292,0.263962,0.09651,0.152198,0.178489,0.202831,0.027321,0.065372,0.090115,0.115399,14.833535108958838,30.555084745762713,61.76271186440678,0.307604,0.40712,0.488578,0.213646,0.245961,0.266637,0.09621,0.150925,0.177739,0.202419,0.027862,0.064748,0.089491,0.115066,14.7128894318876,30.294441050702506,61.34208918753818
1,10000,0.333293,0.43733,0.524807,0.231354,0.2651,0.287291,0.167478,0.274137,0.316268,0.355554,0.092361,0.195243,0.241111,0.284443,15.208837772397095,31.226997578692494,62.98607748184019,0.334069,0.438495,0.526566,0.231733,0.265566,0.287905,0.166092,0.273837,0.317467,0.354955,0.092236,0.195076,0.242359,0.283736,15.125839951130116,30.94502138057422,62.4825901038485
2,15000,0.34054,0.446752,0.537322,0.23606,0.270524,0.293505,0.213542,0.359449,0.416411,0.465471,0.139394,0.289433,0.352061,0.406454,15.472154963680387,31.524818401937047,63.32566585956417,0.343608,0.449312,0.539871,0.238052,0.272362,0.295327,0.20976,0.35488,0.413452,0.462138,0.135402,0.28436,0.348692,0.402753,15.282834453268174,31.16188149053146,63.0397067806964
3,20000,0.339414,0.444161,0.535606,0.234792,0.268812,0.292044,0.243615,0.417984,0.489364,0.546401,0.170707,0.354015,0.432985,0.49632,15.751210653753027,32.0230024213075,64.27663438256658,0.340055,0.4454,0.53819,0.236436,0.270624,0.294145,0.240057,0.415437,0.484533,0.542544,0.166632,0.351146,0.427621,0.492036,15.572999389126451,31.75076359193647,63.81734880879658
4,25000,0.344891,0.451387,0.542361,0.238716,0.273291,0.296382,0.262602,0.453,0.525691,0.5852,0.192415,0.392772,0.473323,0.539402,15.624697336561743,31.797820823244553,64.10108958837772,0.344539,0.452607,0.542954,0.238967,0.273995,0.296942,0.26028,0.448843,0.522657,0.585911,0.190169,0.388323,0.469955,0.540192,15.480757483200977,31.534514355528405,63.54123396456934
5,30000,0.339841,0.447703,0.537902,0.235298,0.270286,0.293155,0.282788,0.472174,0.548536,0.614261,0.212293,0.413981,0.49869,0.571672,15.240314769975788,31.19733656174334,62.81234866828087,0.342151,0.448774,0.540589,0.236272,0.270822,0.294134,0.276084,0.467531,0.544603,0.610703,0.205514,0.408991,0.494324,0.567722,15.107513744654856,30.89431887599267,62.22663408674404
6,35000,0.335993,0.44109,0.53213,0.232963,0.267098,0.290199,0.285671,0.485619,0.56419,0.632275,0.215869,0.428827,0.516073,0.591675,15.703389830508474,32.0363196125908,64.4273607748184,0.337017,0.443023,0.533886,0.233336,0.267735,0.290794,0.280578,0.479252,0.559921,0.628867,0.210297,0.421965,0.511332,0.58789,15.613927916921197,31.781307269395235,63.9034819792303
7,40000,0.336354,0.44226,0.532644,0.233431,0.267836,0.290769,0.287132,0.49075,0.570781,0.637256,0.217532,0.434607,0.523392,0.597205,15.756053268765132,32.10472154963681,64.38498789346247,0.337073,0.441902,0.533437,0.233606,0.26759,0.290823,0.283237,0.484683,0.563591,0.632387,0.213083,0.427912,0.515407,0.591799,15.58216249236408,31.725106902871104,63.87477092241906
8,45000,0.337348,0.442391,0.532644,0.234006,0.268109,0.29102,0.288555,0.486593,0.564976,0.63572,0.218156,0.429991,0.516946,0.5955,16.047820823244553,32.5181598062954,65.30569007263922,0.339932,0.446095,0.537002,0.235415,0.26986,0.292898,0.280878,0.479552,0.561568,0.634147,0.209964,0.422215,0.513162,0.593754,15.828344532681735,32.18204031765425,64.88271227855834
9,50000,0.339546,0.443735,0.533354,0.235228,0.269076,0.291787,0.297955,0.49824,0.574863,0.644109,0.226598,0.442841,0.527924,0.604816,15.533292978208232,31.798426150121067,63.932203389830505,0.339237,0.442945,0.533908,0.235404,0.269051,0.292149,0.292862,0.49281,0.571156,0.642124,0.221899,0.436853,0.523808,0.602612,15.41783750763592,31.452657299938913,63.42700061087355
10,55000,0.340628,0.446839,0.536743,0.235828,0.27034,0.293131,0.313123,0.517976,0.595836,0.66231,0.243814,0.464881,0.551212,0.625026,15.351089588377723,31.371670702179177,63.07445520581114,0.341703,0.44985,0.538571,0.236735,0.271828,0.294338,0.30582,0.510898,0.589731,0.657966,0.236454,0.457063,0.544434,0.620202,15.13194868662187,31.000610873549174,62.430054978619424
11,60000,0.341775,0.446227,0.538,0.236452,0.270414,0.293704,0.312149,0.518613,0.597521,0.667104,0.242608,0.465588,0.553084,0.630349,15.360774818401937,31.4364406779661,63.18946731234867,0.34362,0.448415,0.538694,0.237521,0.271536,0.294414,0.303123,0.509737,0.59078,0.660363,0.233501,0.455649,0.545598,0.622864,15.204642638973732,31.006108735491754,62.671960904092856
12,65000,0.339272,0.445462,0.534885,0.234866,0.269334,0.292035,0.321586,0.52483,0.600217,0.668677,0.253088,0.472408,0.556078,0.632095,15.411016949152541,31.431598062953995,63.256658595641646,0.340851,0.446835,0.537159,0.236371,0.270764,0.293707,0.313123,0.517414,0.594749,0.662235,0.244022,0.464133,0.550006,0.624943,15.197312156383628,31.128894318875993,62.78436163714111
13,70000,0.340343,0.446763,0.537169,0.235802,0.270326,0.293279,0.318066,0.518126,0.595648,0.667553,0.247682,0.464923,0.551004,0.630848,15.07869249394673,30.920702179176754,62.33111380145279,0.342185,0.447911,0.53838,0.237106,0.271409,0.29439,0.311887,0.514493,0.592765,0.659576,0.241569,0.460889,0.547802,0.62199,14.867440439828956,30.532681734880878,61.66524129505193
14,75000,0.340507,0.447397,0.536164,0.236537,0.271234,0.293758,0.313272,0.508202,0.587896,0.66055,0.24319,0.453903,0.542396,0.623071,15.029055690072639,30.855326876513317,62.15496368038741,0.342532,0.448628,0.538022,0.237279,0.271743,0.294398,0.302374,0.501535,0.580443,0.650775,0.23163,0.446542,0.534121,0.612218,14.899205864386072,30.489309712889433,61.59804520464264
15,80000,0.338103,0.444063,0.53483,0.234237,0.268664,0.291705,0.329264,0.536477,0.612651,0.682346,0.260947,0.4853,0.569884,0.647274,14.91767554479419,30.61743341404358,61.63317191283293,0.338329,0.444727,0.535769,0.234976,0.269521,0.292631,0.324395,0.530447,0.609655,0.681222,0.25525,0.478646,0.566557,0.646027,14.683567501527184,30.233353695784974,61.00183262064753
16,85000,0.337163,0.442096,0.529463,0.234513,0.268581,0.290738,0.325556,0.524979,0.599655,0.668976,0.256331,0.472533,0.555454,0.632428,15.136198547215496,31.082929782082324,62.6271186440678,0.339102,0.444268,0.531756,0.234884,0.269026,0.29121,0.318628,0.523856,0.599056,0.671186,0.24922,0.471285,0.554789,0.634882,14.989004276114844,30.723885155772756,61.992669517409894
17,90000,0.337709,0.444194,0.532928,0.234507,0.269065,0.291589,0.326455,0.527039,0.602427,0.674481,0.256872,0.474945,0.558531,0.638541,14.891646489104117,30.550847457627118,61.630750605326874,0.339853,0.445344,0.534659,0.235626,0.269826,0.292472,0.317355,0.519587,0.597671,0.665755,0.246975,0.466586,0.55325,0.628852,14.660354306658522,30.133781307269395,60.97923029932804
18,95000,0.33784,0.442981,0.529288,0.234338,0.268441,0.29033,0.332335,0.528724,0.603513,0.676391,0.263442,0.476733,0.559737,0.640662,14.917070217917676,30.553268765133172,61.73365617433414,0.337993,0.442766,0.531913,0.234045,0.268044,0.290666,0.32608,0.527301,0.600966,0.672047,0.256331,0.475111,0.556909,0.635838,14.698228466707391,30.29016493585828,61.196090409285276
19,100000,0.335228,0.438718,0.525058,0.233117,0.266668,0.288578,0.333533,0.537301,0.613999,0.682383,0.265397,0.486214,0.571381,0.647316,15.041767554479419,30.76089588377724,61.95278450363196,0.335672,0.44021,0.527463,0.232451,0.266363,0.288484,0.328253,0.535016,0.607408,0.677852,0.259533,0.483678,0.564062,0.642284,14.82773365913256,30.4257788637752,61.42150274893097
20,105000,0.338278,0.443877,0.533125,0.234292,0.268584,0.291214,0.340461,0.540147,0.613587,0.681934,0.272175,0.4895,0.570924,0.646817,14.886198547215496,30.482445520581113,61.48728813559322,0.338979,0.44475,0.53411,0.235618,0.269952,0.292607,0.329226,0.533556,0.608419,0.676579,0.259866,0.482139,0.565185,0.64087,14.655467318265119,30.085522296884545,60.792302993280394
21,110000,0.337119,0.439319,0.527507,0.233758,0.266921,0.289284,0.337166,0.536027,0.610554,0.678114,0.268807,0.484801,0.567555,0.642575,14.676755447941888,30.134382566585955,60.63559322033898,0.338968,0.441925,0.529043,0.234176,0.267638,0.289714,0.332634,0.531908,0.605685,0.675792,0.263817,0.480226,0.562149,0.639997,14.458766035430665,29.667684789248625,60.03359804520464
22,115000,0.339764,0.443189,0.531278,0.235228,0.268825,0.291178,0.336529,0.527975,0.599918,0.670849,0.268017,0.47586,0.555745,0.634507,14.672518159806295,30.095641646489103,60.789346246973366,0.340212,0.444929,0.533404,0.236338,0.270354,0.2928,0.327391,0.526964,0.606022,0.683207,0.257787,0.474737,0.562523,0.648231,14.481368356750153,29.803298717165546,60.060476481368354
23,120000,0.336463,0.442074,0.529474,0.233643,0.267934,0.290126,0.336716,0.531833,0.606209,0.67699,0.26785,0.480185,0.562731,0.641327,14.820217917675544,30.353510895883776,61.32445520581114,0.33806,0.441947,0.5292,0.234842,0.26854,0.290706,0.328739,0.532469,0.608306,0.683582,0.259284,0.480892,0.56506,0.648646,14.612706169822847,29.962736713500306,60.634086744043984
24,125000,0.331544,0.434401,0.521298,0.230723,0.264105,0.286126,0.340911,0.541383,0.617182,0.689237,0.272425,0.490747,0.574916,0.654926,15.165859564164649,31.07324455205811,62.43825665859564,0.333161,0.435849,0.522564,0.231045,0.264397,0.286392,0.335256,0.540783,0.616658,0.688638,0.266852,0.490082,0.574334,0.65426,14.991447770311545,30.644471594379965,61.753817959682344
25,130000,0.333195,0.437385,0.525299,0.231261,0.2651,0.287408,0.334582,0.530447,0.606546,0.677702,0.266145,0.478604,0.563106,0.642118,15.057506053268765,30.829297820823246,62.09685230024213,0.334484,0.439145,0.525367,0.231745,0.265708,0.287582,0.326942,0.525728,0.607146,0.684181,0.257953,0.473406,0.563771,0.649312,14.784972510690286,30.39401343921808,61.332315210751375
26,135000,0.332517,0.437745,0.525014,0.230843,0.265012,0.287128,0.35061,0.548348,0.625609,0.699311,0.283362,0.498524,0.584272,0.666112,14.725181598062955,30.34261501210654,61.14951573849879,0.33435,0.438764,0.526454,0.23116,0.265053,0.287283,0.341772,0.547749,0.624934,0.70167,0.273714,0.497817,0.583524,0.668732,14.499083689676237,29.958460598656078,60.43127672571778
27,140000,0.335643,0.439221,0.525124,0.232873,0.266489,0.288273,0.342971,0.542544,0.619879,0.692907,0.274171,0.492078,0.57791,0.659001,14.558111380145279,29.93401937046005,60.333535108958834,0.335157,0.43882,0.527216,0.233182,0.266856,0.289294,0.33945,0.540147,0.61913,0.695079,0.270387,0.489417,0.577078,0.661413,14.394013439218082,29.62553451435553,59.82895540623091
28,145000,0.338562,0.442533,0.530731,0.235003,0.268793,0.291167,0.345967,0.541682,0.614523,0.683732,0.278496,0.491163,0.571963,0.648813,14.462469733656174,29.823849878934624,60.082929782082324,0.33834,0.443203,0.532137,0.235688,0.269746,0.292309,0.342933,0.540484,0.617182,0.692457,0.275003,0.489749,0.574916,0.658502,14.157605375687233,29.333536957849724,59.400122174709836
29,150000,0.333413,0.438554,0.525583,0.231317,0.265467,0.287554,0.3487,0.542843,0.620628,0.689424,0.2807,0.492411,0.578742,0.655134,14.749394673123486,30.319612590799032,60.92857142857143,0.334473,0.43845,0.525837,0.232383,0.266136,0.288312,0.342147,0.548536,0.625534,0.702644,0.274338,0.49869,0.584189,0.669813,14.520464263897374,29.797189981673792,60.320708613317045
30,155000,0.333064,0.438926,0.526545,0.231195,0.265579,0.287806,0.348551,0.54142,0.615984,0.687551,0.280659,0.490789,0.573585,0.653054,14.367433414043584,29.680387409200968,59.738498789346245,0.33658,0.439537,0.527508,0.233438,0.266854,0.289198,0.341323,0.54524,0.627556,0.705378,0.273423,0.495031,0.586435,0.672849,14.18020769700672,29.251679902260232,59.024434941967016
31,160000,0.335501,0.436958,0.523211,0.232664,0.265601,0.28745,0.343832,0.538986,0.616059,0.691484,0.275752,0.488086,0.573668,0.657421,14.575060532687651,29.917070217917676,60.31234866828087,0.335627,0.439156,0.525344,0.232614,0.266212,0.288074,0.338139,0.542057,0.622425,0.702344,0.270429,0.491496,0.580738,0.669481,14.32131948686622,29.465485644471595,59.63653023824068
32,165000,0.331949,0.435024,0.519779,0.230116,0.263597,0.285097,0.355928,0.552318,0.625908,0.696053,0.289142,0.50289,0.584605,0.662494,14.636198547215496,30.037530266343826,60.583535108958834,0.332825,0.436062,0.522486,0.230222,0.263725,0.285647,0.353269,0.553666,0.631264,0.705415,0.285774,0.504387,0.590552,0.672891,14.358582773365914,29.582773365913255,59.76175931582163
33,170000,0.330692,0.433745,0.519582,0.229881,0.263316,0.285081,0.347839,0.544416,0.622687,0.692795,0.279162,0.494116,0.581029,0.658876,14.712469733656174,30.305084745762713,61.06598062953995,0.332141,0.43539,0.521309,0.230157,0.263615,0.2854,0.344094,0.54524,0.621714,0.700771,0.275419,0.495031,0.579948,0.667734,14.555894929749542,29.935247403787415,60.35064141722663
