,steps,hr_test_5,hr_test_10,hr_test_20,ndcg_test_5,ndcg_test_10,ndcg_test_20,cov_test_1,cov_test_5,cov_test_10,cov_test_20,nov_test_1,nov_test_5,nov_test_10,nov_test_20,rep_test_5,rep_test_10,rep_test_20,hr_val_5,hr_val_10,hr_val_20,ndcg_val_5,ndcg_val_10,ndcg_val_20,cov_val_1,cov_val_5,cov_val_10,cov_val_20,nov_val_1,nov_val_5,nov_val_10,nov_val_20,rep_val_5,rep_val_10,rep_val_20
0,5000,0.297572,0.390504,0.46964,0.205108,0.23528,0.255376,0.095573,0.14748,0.171186,0.192907,0.02624,0.061213,0.082505,0.104504,15.290556900726392,31.223365617433416,63.196125907990314,0.29839,0.394846,0.474746,0.205944,0.237241,0.257517,0.09415,0.148154,0.171073,0.192495,0.025991,0.061629,0.08238,0.104213,15.018937080024434,30.74160048869884,62.2351863164325
1,10000,0.323445,0.423284,0.508498,0.223031,0.255441,0.277073,0.161898,0.257359,0.294135,0.329638,0.08866,0.177278,0.216617,0.255708,14.853510895883778,30.422518159806295,61.52845036319613,0.323376,0.424012,0.509808,0.225185,0.257885,0.279687,0.161299,0.257172,0.293873,0.328814,0.08866,0.176945,0.216285,0.254793,14.66707391569945,30.197312156383628,60.87477092241906
2,15000,0.331818,0.435559,0.522446,0.230612,0.264277,0.286313,0.208374,0.338551,0.387649,0.433151,0.134362,0.266229,0.320123,0.370566,15.2681598062954,31.25181598062954,62.90496368038741,0.333229,0.435423,0.522217,0.231649,0.264812,0.286828,0.205528,0.335555,0.385851,0.430979,0.132116,0.262943,0.318085,0.368154,15.110568112400733,30.859499083689677,62.19181429444105
3,20000,0.334364,0.437669,0.52684,0.232184,0.265715,0.288352,0.253389,0.414388,0.472174,0.522395,0.181228,0.350148,0.413898,0.469664,15.228813559322035,31.194309927360774,62.58958837772397,0.335773,0.439414,0.527676,0.232741,0.266373,0.288799,0.249831,0.41319,0.472437,0.521871,0.178359,0.348609,0.414189,0.469081,15.080635308491143,30.80390959071472,62.133781307269395
4,25000,0.334834,0.43992,0.528272,0.232445,0.266536,0.28893,0.274137,0.450079,0.518763,0.574751,0.204433,0.389695,0.46563,0.5278,15.50544794188862,31.481234866828085,63.22820823244552,0.335493,0.439997,0.530231,0.233062,0.266962,0.289883,0.267396,0.447832,0.513969,0.572167,0.198029,0.387283,0.460307,0.52493,15.39951130116066,31.26878436163714,62.96456933414783
5,30000,0.330954,0.435789,0.524206,0.229295,0.26334,0.285786,0.29054,0.477343,0.542731,0.601678,0.221525,0.419637,0.492244,0.5577,15.87953995157385,32.119854721549636,64.46428571428571,0.332489,0.43613,0.524324,0.229885,0.263498,0.28586,0.284698,0.47386,0.540671,0.598944,0.215703,0.415852,0.489957,0.554664,15.662186927306047,31.890653634697617,64.11728772144166
6,35000,0.327664,0.43028,0.518292,0.226756,0.260038,0.282391,0.292225,0.486368,0.557674,0.618793,0.222481,0.429783,0.508837,0.576704,15.838983050847459,32.154358353510894,64.38075060532688,0.327131,0.430581,0.520031,0.227092,0.260678,0.28338,0.288443,0.483896,0.556063,0.615647,0.219404,0.426997,0.507049,0.573211,15.669517409896152,31.82101405009163,63.87293830177153
7,40000,0.328615,0.431165,0.518937,0.227763,0.261032,0.283342,0.311475,0.512583,0.582878,0.644821,0.24319,0.458893,0.536824,0.605606,15.607142857142858,31.86319612590799,63.960048426150124,0.329182,0.432027,0.520827,0.228203,0.261574,0.284083,0.307543,0.510748,0.582391,0.641862,0.239614,0.456855,0.536283,0.60232,15.46731826511912,31.455100794135614,63.371411117898596
8,45000,0.333763,0.436958,0.526556,0.230882,0.264405,0.287152,0.304509,0.498951,0.574302,0.641637,0.235414,0.443714,0.527301,0.602071,15.57869249394673,31.699152542372882,63.91101694915254,0.333543,0.437968,0.527384,0.231395,0.265203,0.287907,0.300052,0.496292,0.570332,0.636806,0.2298,0.440845,0.522893,0.596706,15.415394013439219,31.494196701282835,63.582162492364084
9,50000,0.326549,0.428924,0.517002,0.226387,0.259576,0.281917,0.312823,0.511722,0.583177,0.644858,0.244646,0.457895,0.537156,0.605647,15.993946731234868,32.55205811138015,65.3274818401937,0.327803,0.429034,0.518282,0.227735,0.260585,0.283224,0.308741,0.509587,0.58329,0.645719,0.240113,0.455566,0.537281,0.606604,15.838729383017716,32.12583995113012,64.8142944410507
