,steps,loss,plain,smorl
0,200,9.30979061126709,8.959,0.351
1,400,8.669746398925781,8.369,0.301
2,600,8.269526481628418,7.934,0.336
3,800,8.064656257629395,7.76,0.304
4,1000,8.128592491149902,7.832,0.297
5,1200,7.45305871963501,7.146,0.307
6,1400,7.697097301483154,7.368,0.329
7,1600,7.431085109710693,7.143,0.288
8,1800,7.199149131774902,6.943,0.257
9,2000,7.004549980163574,6.637,0.368
10,2200,7.283376693725586,7.024,0.259
11,2400,6.672861099243164,6.36,0.313
12,2600,6.776602268218994,6.507,0.27
13,2800,6.803632736206055,6.535,0.269
14,3000,6.5377655029296875,6.224,0.314
15,3200,6.610101222991943,6.299,0.311
16,3400,6.5957489013671875,6.323,0.273
17,3600,6.688325881958008,6.369,0.319
18,3800,6.333801746368408,6.056,0.277
19,4000,6.417644500732422,6.067,0.351
20,4200,6.131875038146973,5.843,0.289
21,4400,5.978818416595459,5.688,0.291
22,4600,6.261101722717285,5.949,0.312
23,4800,6.328207492828369,6.036,0.292
24,5000,5.655722141265869,5.368,0.288
25,5200,5.810243129730225,5.568,0.242
26,5400,6.047421455383301,5.728,0.32
27,5600,6.149955749511719,5.776,0.374
28,5800,5.778383255004883,5.488,0.29
29,6000,5.794345378875732,5.478,0.317
30,6200,5.76063346862793,5.417,0.343
31,6400,5.349191188812256,5.071,0.278
32,6600,5.905851364135742,5.649,0.257
33,6800,5.873504161834717,5.558,0.315
34,7000,5.505229949951172,5.213,0.292
35,7200,5.865753650665283,5.589,0.277
36,7400,5.449571132659912,5.194,0.255
37,7600,5.577543258666992,5.351,0.227
38,7800,5.746085166931152,5.529,0.217
39,8000,5.795478343963623,5.587,0.208
40,8200,5.61162805557251,5.397,0.215
41,8400,5.744795799255371,5.494,0.251
42,8600,5.693399906158447,5.408,0.286
43,8800,5.163843631744385,4.907,0.257
44,9000,5.038487434387207,4.827,0.211
45,9200,5.578941822052002,5.347,0.231
46,9400,5.505458831787109,5.26,0.245
47,9600,5.359916687011719,5.147,0.213
48,9800,5.415177345275879,5.191,0.224
49,10000,5.391147136688232,5.179,0.213
50,10200,5.822112560272217,5.504,0.318
51,10400,5.372692108154297,5.116,0.257
52,10600,5.550523281097412,5.243,0.307
53,10800,5.225759029388428,4.906,0.32
54,11000,5.454239845275879,5.189,0.265
55,11200,5.260525226593018,4.967,0.294
56,11400,5.2668137550354,4.999,0.268
57,11600,5.014711380004883,4.775,0.24
58,11800,5.1389970779418945,4.833,0.306
59,12000,5.10847282409668,4.824,0.285
60,12200,5.46901798248291,5.152,0.317
61,12400,5.273320198059082,5.017,0.256
62,12600,5.232785224914551,4.931,0.302
63,12800,5.2431488037109375,4.911,0.333
64,13000,5.06193733215332,4.707,0.355
65,13200,5.090255260467529,4.802,0.288
66,13400,4.707718372344971,4.468,0.24
67,13600,5.0518412590026855,4.785,0.267
68,13800,4.986466884613037,4.725,0.261
69,14000,5.088929176330566,4.844,0.245
70,14200,5.083727836608887,4.81,0.274
