,steps,hr_test_5,hr_test_10,hr_test_20,ndcg_test_5,ndcg_test_10,ndcg_test_20,cov_test_1,cov_test_5,cov_test_10,cov_test_20,nov_test_1,nov_test_5,nov_test_10,nov_test_20,rep_test_5,rep_test_10,rep_test_20,hr_val_5,hr_val_10,hr_val_20,ndcg_val_5,ndcg_val_10,ndcg_val_20,cov_val_1,cov_val_5,cov_val_10,cov_val_20,nov_val_1,nov_val_5,nov_val_10,nov_val_20,rep_val_5,rep_val_10,rep_val_20
0,5000,0.384918,0.498552,0.591079,0.265429,0.302292,0.325773,0.238821,0.403603,0.467343,0.521721,0.173119,0.338753,0.408575,0.468915,11.423728813559322,24.915254237288135,52.30569007263922,0.382605,0.497893,0.592286,0.264062,0.301455,0.325436,0.237173,0.404651,0.468092,0.524043,0.171581,0.339959,0.409448,0.471493,11.248625534514355,24.573610262675626,51.82345754428833
1,10000,0.392395,0.507996,0.59967,0.271587,0.309158,0.332421,0.288106,0.499963,0.578908,0.645907,0.222523,0.445087,0.532416,0.606812,11.036319612590798,24.062953995157386,50.71670702179177,0.389903,0.507577,0.601208,0.269931,0.308151,0.331903,0.283949,0.495394,0.575275,0.645233,0.218655,0.440013,0.528382,0.606063,10.778863775198534,23.697006719609043,50.02199144777031
2,15000,0.392701,0.51028,0.601069,0.272435,0.310649,0.333696,0.307131,0.536289,0.621526,0.693693,0.241818,0.485258,0.57974,0.659874,10.920096852300242,24.042978208232444,50.52179176755448,0.393064,0.510974,0.603159,0.272203,0.310481,0.333849,0.301813,0.532956,0.618755,0.692083,0.237119,0.481515,0.576662,0.658086,10.78069639584606,23.805742211362247,49.93036041539401
3,20000,0.403686,0.518719,0.610119,0.280033,0.317368,0.340589,0.314958,0.562243,0.655831,0.7356,0.249511,0.513952,0.617832,0.706408,11.027845036319613,24.24636803874092,50.94309927360775,0.400417,0.517486,0.610221,0.27732,0.315341,0.338877,0.313347,0.561419,0.65482,0.73399,0.248763,0.513079,0.616709,0.70462,10.931582162492363,23.88515577275504,50.354306658521686
4,25000,0.401292,0.516445,0.607573,0.278518,0.315908,0.339066,0.318965,0.565201,0.652535,0.72635,0.254294,0.517237,0.614172,0.696137,10.973365617433414,23.918280871670703,50.29842615012107,0.400832,0.51622,0.608517,0.278026,0.31549,0.33892,0.314396,0.562804,0.650101,0.725451,0.249179,0.514617,0.611469,0.695139,10.667684789248625,23.42944410507025,49.43921808185706
5,30000,0.399576,0.513056,0.605321,0.275917,0.312795,0.336236,0.323197,0.568272,0.654183,0.726275,0.258203,0.520689,0.616044,0.696054,10.796004842615012,23.64769975786925,49.49213075060533,0.397009,0.510828,0.604358,0.274568,0.311558,0.3353,0.321062,0.56419,0.651487,0.723092,0.256123,0.516156,0.613049,0.692519,10.604153940134392,23.22846670739157,49.04092852779475
6,35000,0.396439,0.512007,0.6032,0.27423,0.311786,0.334972,0.327766,0.576249,0.664295,0.737885,0.263234,0.529629,0.62723,0.708945,10.91767554479419,23.84503631961259,50.05750605326877,0.395575,0.510402,0.603977,0.272888,0.310203,0.333966,0.325743,0.573215,0.661449,0.734439,0.261155,0.526136,0.62407,0.705119,10.743433109346364,23.56750152718387,49.604153940134395
7,40000,0.399718,0.515341,0.606523,0.277319,0.314864,0.338033,0.330275,0.579208,0.668677,0.740881,0.265688,0.532873,0.632095,0.712272,10.66767554479419,23.45036319612591,48.979418886198545,0.398971,0.515043,0.606869,0.275772,0.313478,0.336817,0.328927,0.579095,0.667703,0.743952,0.264815,0.532707,0.631014,0.715682,10.545510079413562,23.08246792913867,48.496640195479536
8,45000,0.401565,0.515658,0.605343,0.278964,0.31606,0.338837,0.329638,0.575874,0.667815,0.744176,0.264856,0.529172,0.631139,0.715931,10.789346246973366,23.64406779661017,49.51876513317191,0.399375,0.515715,0.606992,0.277289,0.315051,0.338239,0.325219,0.576324,0.66759,0.74163,0.259741,0.529754,0.63089,0.713104,10.612706169822847,23.225412339645693,48.844227244960294
9,50000,0.39974,0.51592,0.606031,0.277521,0.315297,0.338168,0.337316,0.583439,0.670699,0.74178,0.272134,0.537489,0.634341,0.71327,10.7227602905569,23.43220338983051,49.17070217917676,0.398108,0.515065,0.606768,0.275611,0.313578,0.336854,0.333458,0.582054,0.666167,0.737286,0.268058,0.535992,0.629309,0.70828,10.593158216249236,23.166157605375687,48.75076359193647
10,55000,0.39774,0.512576,0.604086,0.275829,0.313154,0.336411,0.337915,0.58505,0.667104,0.737023,0.272716,0.539236,0.630349,0.707989,10.648910411622277,23.395278450363197,49.15072639225182,0.394655,0.510481,0.603798,0.273254,0.310869,0.334569,0.334769,0.584226,0.669051,0.737885,0.270221,0.538321,0.632511,0.708945,10.44777031154551,22.95174098961515,48.41539401343922
