,steps,hr_test_5,hr_test_10,hr_test_20,ndcg_test_5,ndcg_test_10,ndcg_test_20,cov_test_1,cov_test_5,cov_test_10,cov_test_20,nov_test_1,nov_test_5,nov_test_10,nov_test_20,rep_test_5,rep_test_10,rep_test_20,hr_val_5,hr_val_10,hr_val_20,ndcg_val_5,ndcg_val_10,ndcg_val_20,cov_val_1,cov_val_5,cov_val_10,cov_val_20,nov_val_1,nov_val_5,nov_val_10,nov_val_20,rep_val_5,rep_val_10,rep_val_20
0,5000,0.376611,0.494016,0.589898,0.25932,0.297495,0.321828,0.231331,0.400569,0.473111,0.538124,0.163014,0.33526,0.414979,0.487171,12.4727602905569,26.712469733656174,55.18583535108959,0.373593,0.491997,0.589439,0.256793,0.295285,0.320007,0.228335,0.402554,0.473111,0.536889,0.160353,0.337464,0.415021,0.485757,12.445326817348809,26.416004886988393,54.7574832009774
1,10000,0.374676,0.489425,0.582728,0.258343,0.295592,0.319295,0.282264,0.487267,0.57344,0.652685,0.213249,0.430823,0.526344,0.614339,12.139830508474576,25.863801452784504,53.31053268765133,0.370757,0.486414,0.582836,0.256144,0.293682,0.31819,0.279979,0.483821,0.568909,0.650513,0.21092,0.426956,0.521312,0.611927,12.131337813072694,25.699450213805743,53.048869883934024
2,15000,0.366795,0.479729,0.572147,0.252346,0.288969,0.31244,0.307318,0.518089,0.607333,0.685829,0.23899,0.465048,0.563979,0.651142,12.077481840193705,25.521186440677965,52.45096852300242,0.365153,0.47766,0.571851,0.251935,0.288482,0.312399,0.305895,0.518838,0.605236,0.684406,0.237992,0.465921,0.561692,0.649561,11.9975565058033,25.339034819792303,52.042150274893096
3,20000,0.370391,0.484757,0.575382,0.256837,0.293943,0.316965,0.322186,0.550708,0.643023,0.72635,0.256165,0.501268,0.60361,0.696137,11.876513317191284,25.214285714285715,51.723365617433416,0.37078,0.481886,0.573813,0.255848,0.291914,0.315255,0.321062,0.546551,0.640439,0.72253,0.255167,0.496694,0.60074,0.691895,11.814905314599878,24.9951130116066,51.41111789859499
4,25000,0.361986,0.473827,0.56572,0.250599,0.286899,0.310241,0.320201,0.542019,0.633061,0.71489,0.253628,0.491662,0.592548,0.683412,12.168886198547215,25.720338983050848,52.64769975786925,0.360826,0.47182,0.565204,0.249364,0.285386,0.309119,0.317055,0.542656,0.633099,0.713467,0.250925,0.492286,0.59259,0.681831,11.957849725106902,25.466707391569944,52.29566279780086
5,30000,0.355307,0.465552,0.555795,0.24632,0.282142,0.305064,0.337765,0.563141,0.649802,0.73002,0.271759,0.51495,0.611137,0.700212,11.874697336561743,25.009685230024214,51.23062953995157,0.354291,0.464781,0.55784,0.244419,0.280218,0.303834,0.336267,0.561082,0.652348,0.729121,0.270096,0.512787,0.613964,0.699214,11.737324373854612,24.853390348197923,51.12522907758094
6,35000,0.348345,0.458502,0.547947,0.240766,0.276499,0.299233,0.339787,0.5661,0.656655,0.734851,0.273839,0.518318,0.618747,0.705577,11.89951573849879,25.115617433414045,51.232445520581116,0.348922,0.458391,0.549668,0.239636,0.275216,0.298368,0.337166,0.561943,0.649502,0.733953,0.271177,0.513744,0.610804,0.704579,11.756261453879047,24.913255956017103,51.08552229688455
7,40000,0.354171,0.46552,0.555609,0.245351,0.281497,0.304382,0.347165,0.575013,0.663359,0.739008,0.28095,0.528174,0.62619,0.710193,11.973365617433414,25.340799031476998,51.535108958837775,0.356376,0.465745,0.557178,0.245861,0.281367,0.304591,0.343233,0.573927,0.662272,0.739682,0.277457,0.52701,0.624984,0.710941,11.825290164935858,24.99083689676237,51.25962125839951
8,45000,0.353679,0.46376,0.55339,0.244301,0.280032,0.302749,0.344206,0.574863,0.663546,0.739907,0.277956,0.527966,0.626398,0.711191,11.995762711864407,25.34866828087167,51.84382566585956,0.355031,0.462572,0.554197,0.244582,0.27955,0.302809,0.342446,0.569396,0.659164,0.733129,0.277082,0.521853,0.621533,0.703664,11.8564447159438,25.00916310323763,51.44410507025046
9,50000,0.345142,0.453649,0.541006,0.238014,0.273196,0.295356,0.349038,0.578271,0.662759,0.738072,0.283819,0.53175,0.625525,0.709153,11.954600484261501,24.998789346246973,50.84927360774818,0.345951,0.455152,0.544321,0.238634,0.274122,0.296756,0.348176,0.574264,0.66055,0.737435,0.282239,0.527301,0.623071,0.708446,11.654856444715945,24.618204031765426,50.394013439218085
