,steps,hr_test_5,hr_test_10,hr_test_20,ndcg_test_5,ndcg_test_10,ndcg_test_20,cov_test_1,cov_test_5,cov_test_10,cov_test_20,nov_test_1,nov_test_5,nov_test_10,nov_test_20,rep_test_5,rep_test_10,rep_test_20,hr_val_5,hr_val_10,hr_val_20,ndcg_val_5,ndcg_val_10,ndcg_val_20,cov_val_1,cov_val_5,cov_val_10,cov_val_20,nov_val_1,nov_val_5,nov_val_10,nov_val_20,rep_val_5,rep_val_10,rep_val_20
0,5000,0.364412,0.476308,0.565698,0.251409,0.287812,0.310531,0.165755,0.273875,0.319489,0.361509,0.095563,0.196158,0.244937,0.291097,12.732445520581114,27.010290556900728,55.48970944309927,0.363135,0.474846,0.564083,0.250011,0.286271,0.308938,0.16598,0.274811,0.320163,0.362669,0.096145,0.197322,0.245561,0.292344,12.536346976175931,26.583384239462433,54.79780085522297
1,10000,0.378644,0.494365,0.586925,0.261589,0.299185,0.322662,0.218148,0.361321,0.420455,0.473897,0.145715,0.291845,0.35651,0.415811,12.573849878934626,26.70762711864407,55.04297820823245,0.37866,0.492837,0.586692,0.260907,0.297963,0.321798,0.215489,0.360198,0.418957,0.472586,0.143594,0.290556,0.354847,0.414355,12.46854001221747,26.562003665241296,54.787416004886985
2,15000,0.382196,0.497601,0.590707,0.263625,0.301112,0.324766,0.242566,0.412628,0.482061,0.540783,0.169626,0.348152,0.424876,0.490082,12.46549636803874,26.442493946731236,54.07627118644068,0.38005,0.495595,0.590324,0.261952,0.299469,0.323522,0.240431,0.409033,0.479065,0.538499,0.167214,0.344201,0.421591,0.487545,12.314599877825291,26.26878436163714,53.94379963347587
3,20000,0.385793,0.500749,0.593024,0.266544,0.303901,0.327331,0.258033,0.440154,0.51307,0.580968,0.185179,0.378509,0.459309,0.534703,12.221549636803875,26.11743341404358,53.5817191283293,0.383356,0.498677,0.592409,0.265163,0.302624,0.326417,0.256685,0.438132,0.513445,0.581754,0.184181,0.376305,0.459766,0.535576,12.232742822235798,26.01038485033598,53.320708613317045
4,25000,0.380764,0.495579,0.587111,0.263437,0.300704,0.323963,0.263838,0.450154,0.529698,0.599993,0.191791,0.389612,0.477773,0.555828,12.437651331719128,26.415254237288135,54.24213075060533,0.380577,0.494709,0.586872,0.263133,0.300213,0.323615,0.264512,0.452026,0.529736,0.601977,0.192249,0.391608,0.477814,0.558032,12.303604153940134,26.201588271227855,53.78863775198534
5,30000,0.374895,0.489567,0.582225,0.258419,0.295656,0.319162,0.273987,0.467605,0.548236,0.620103,0.201564,0.409157,0.498357,0.578159,12.628934624697337,26.707021791767556,54.60290556900726,0.372999,0.486672,0.579821,0.256789,0.293704,0.31735,0.272526,0.46622,0.547525,0.621189,0.200482,0.407286,0.497567,0.579365,12.54428833231521,26.508246792913866,54.37080024434942
6,35000,0.375474,0.487446,0.579667,0.259436,0.295839,0.319265,0.286533,0.47899,0.561568,0.639877,0.214538,0.421633,0.513162,0.600116,12.320217917675544,26.08414043583535,53.38861985472155,0.373279,0.486179,0.579821,0.25829,0.294915,0.318675,0.285409,0.479777,0.565501,0.64145,0.213415,0.422506,0.517528,0.601863,12.192425167990226,25.872938301771534,53.14050091631032
7,40000,0.373386,0.486572,0.578957,0.258648,0.295384,0.318871,0.302936,0.502509,0.589357,0.667253,0.231505,0.447582,0.544018,0.630515,12.158595641646489,25.791162227602907,52.54055690072639,0.371385,0.485439,0.576795,0.257153,0.294181,0.317393,0.297206,0.503745,0.587971,0.668152,0.225226,0.448996,0.542479,0.631513,12.00916310323763,25.50274893097129,52.1930360415394
8,45000,0.371758,0.485042,0.576104,0.25772,0.294461,0.317561,0.289754,0.491274,0.573253,0.651749,0.217449,0.435148,0.526136,0.613299,12.367433414043584,26.126513317191282,53.15677966101695,0.368818,0.48183,0.574429,0.255582,0.292317,0.315827,0.289491,0.488952,0.572466,0.653696,0.217116,0.43257,0.525263,0.615461,12.223579718998167,25.890042761148443,52.826511912034206
9,50000,0.371069,0.483719,0.573557,0.257501,0.294075,0.316876,0.295783,0.492098,0.577897,0.656206,0.22402,0.436021,0.531293,0.618248,12.351694915254237,26.036924939467312,53.1228813559322,0.371038,0.483253,0.57462,0.256211,0.292685,0.31585,0.291102,0.492622,0.581155,0.659801,0.219154,0.436603,0.534911,0.62224,12.272449602932193,25.931582162492365,52.83506414172266
