,steps,loss,plain,smorl
0,200,8.71767520904541,8.655,0.062
1,400,8.020816802978516,7.847,0.174
2,600,7.220455169677734,6.967,0.253
3,800,6.846347808837891,6.547,0.299
4,1000,6.679202556610107,6.414,0.266
5,1200,6.808624267578125,6.412,0.396
6,1400,6.59315824508667,6.289,0.305
7,1600,6.32324743270874,6.011,0.312
8,1800,6.225086688995361,5.866,0.359
9,2000,6.248108386993408,5.874,0.374
10,2200,6.413269519805908,6.063,0.351
11,2400,6.0302557945251465,5.626,0.404
12,2600,6.289091110229492,5.938,0.351
13,2800,5.777122974395752,5.401,0.376
14,3000,5.8365044593811035,5.391,0.445
15,3200,6.0043792724609375,5.567,0.438
16,3400,6.004775524139404,5.477,0.528
17,3600,5.605353832244873,5.251,0.354
18,3800,5.45219612121582,4.992,0.46
19,4000,5.692224502563477,5.286,0.406
20,4200,5.612124443054199,5.185,0.428
21,4400,5.750128269195557,5.327,0.423
22,4600,5.305335998535156,4.971,0.334
23,4800,5.337836742401123,4.991,0.347
24,5000,5.678483963012695,5.318,0.36
25,5200,5.752408504486084,5.405,0.347
26,5400,5.489145755767822,5.131,0.358
27,5600,5.245113849639893,4.886,0.359
28,5800,4.766103744506836,4.387,0.379
29,6000,5.0359296798706055,4.724,0.312
30,6200,4.993401050567627,4.559,0.434
31,6400,4.7536468505859375,4.45,0.303
32,6600,5.117613792419434,4.743,0.374
33,6800,5.508671283721924,5.187,0.322
34,7000,5.430446624755859,4.998,0.433
35,7200,5.421674728393555,5.103,0.319
36,7400,5.5482892990112305,5.162,0.386
37,7600,4.887417316436768,4.564,0.324
38,7800,5.47196626663208,5.117,0.355
39,8000,5.320631504058838,4.981,0.34
40,8200,5.0881667137146,4.734,0.354
41,8400,5.175589561462402,4.835,0.34
42,8600,4.721353530883789,4.375,0.346
43,8800,4.869269847869873,4.519,0.351
44,9000,4.7607269287109375,4.472,0.289
45,9200,5.319784164428711,5.017,0.303
46,9400,5.316536903381348,4.808,0.508
47,9600,4.876005172729492,4.568,0.308
48,9800,4.729464530944824,4.339,0.391
