,steps,loss,plain,smorl
0,200,8.77225112915039,8.522,0.25
1,400,7.7306413650512695,7.443,0.288
2,600,6.846901893615723,6.518,0.329
3,800,7.330753803253174,6.974,0.357
4,1000,6.908482551574707,6.587,0.321
5,1200,6.3393235206604,6.028,0.311
6,1400,6.395124435424805,6.023,0.372
7,1600,6.433463096618652,6.14,0.293
8,1800,6.499216556549072,6.176,0.323
9,2000,6.052021503448486,5.768,0.285
10,2200,6.252862930297852,5.907,0.346
11,2400,5.890632629394531,5.519,0.372
12,2600,5.861062526702881,5.582,0.279
13,2800,5.88926887512207,5.557,0.332
14,3000,5.439201831817627,5.062,0.378
15,3200,5.410994529724121,5.125,0.286
16,3400,5.771794319152832,5.377,0.395
17,3600,5.478707313537598,5.094,0.385
18,3800,5.628878593444824,5.269,0.36
19,4000,5.511745929718018,5.123,0.389
20,4200,5.699750900268555,5.308,0.392
21,4400,5.485349178314209,5.058,0.428
22,4600,5.672301292419434,5.282,0.39
23,4800,5.51846981048584,5.104,0.415
24,5000,5.693199634552002,5.337,0.357
25,5200,5.587096214294434,5.152,0.435
26,5400,5.31925106048584,4.949,0.37
27,5600,5.782731533050537,5.377,0.406
28,5800,5.427331447601318,4.92,0.507
29,6000,5.265901565551758,4.89,0.376
30,6200,5.554958343505859,4.96,0.595
31,6400,5.1029953956604,4.731,0.372
32,6600,5.094243049621582,4.711,0.384
33,6800,5.1888203620910645,4.85,0.339
34,7000,5.271083831787109,4.892,0.379
35,7200,4.988271236419678,4.658,0.331
36,7400,5.047555446624756,4.726,0.322
37,7600,5.4538421630859375,5.15,0.304
38,7800,5.263314723968506,4.924,0.34
39,8000,5.346312999725342,5.005,0.341
40,8200,5.313029766082764,4.941,0.372
41,8400,5.524845123291016,5.171,0.354
42,8600,4.835244178771973,4.499,0.336
43,8800,4.899914264678955,4.542,0.358
44,9000,4.892428874969482,4.408,0.484
45,9200,4.549572944641113,4.256,0.294
46,9400,5.141575813293457,4.768,0.374
47,9600,4.876525402069092,4.508,0.368
48,9800,5.137906551361084,4.812,0.326
49,10000,4.754775524139404,4.477,0.278
50,10200,5.005343437194824,4.628,0.377
51,10400,5.040859222412109,4.657,0.384
52,10600,4.9979095458984375,4.646,0.352
53,10800,4.841294765472412,4.542,0.299
54,11000,4.708994388580322,4.402,0.307
55,11200,4.872958660125732,4.56,0.313
56,11400,5.137390613555908,4.839,0.299
57,11600,4.959935665130615,4.631,0.329
58,11800,4.756908416748047,4.402,0.355
59,12000,4.92954158782959,4.575,0.354
60,12200,4.691186904907227,4.389,0.302
61,12400,4.801000595092773,4.509,0.292
62,12600,4.692949295043945,4.325,0.368
63,12800,4.698950290679932,4.397,0.302
64,13000,4.684073448181152,4.377,0.307
65,13200,4.770889759063721,4.527,0.244
66,13400,4.763908386230469,4.475,0.289
67,13600,4.833498477935791,4.539,0.295
68,13800,4.946516990661621,4.672,0.274
69,14000,4.88454008102417,4.614,0.27
70,14200,4.900200843811035,4.615,0.285
71,14400,4.617033958435059,4.355,0.263
72,14600,4.749364852905273,4.464,0.285
73,14800,4.609632968902588,4.332,0.277
74,15000,4.586098670959473,4.338,0.248
75,15200,4.485294818878174,4.284,0.202
76,15400,4.8079047203063965,4.527,0.281
