,steps,hr_test_5,hr_test_10,hr_test_20,ndcg_test_5,ndcg_test_10,ndcg_test_20,cov_test_1,cov_test_5,cov_test_10,cov_test_20,nov_test_1,nov_test_5,nov_test_10,nov_test_20,rep_test_5,rep_test_10,rep_test_20,hr_val_5,hr_val_10,hr_val_20,ndcg_val_5,ndcg_val_10,ndcg_val_20,cov_val_1,cov_val_5,cov_val_10,cov_val_20,nov_val_1,nov_val_5,nov_val_10,nov_val_20,rep_val_5,rep_val_10,rep_val_20
0,5000,0.36462,0.475685,0.562943,0.251693,0.287743,0.309892,0.150176,0.247847,0.289866,0.328552,0.079719,0.167796,0.212085,0.254502,12.975786924939467,27.47215496368039,56.28813559322034,0.362563,0.473894,0.563523,0.250856,0.286982,0.309743,0.14909,0.247772,0.287731,0.327092,0.079303,0.167755,0.209839,0.25288,12.797800855222969,27.158827122785585,55.922419059254736
1,10000,0.381508,0.496945,0.588532,0.26275,0.300233,0.323498,0.201858,0.338289,0.391019,0.43963,0.129995,0.265813,0.323824,0.37776,12.62953995157385,26.878934624697337,55.163438256658594,0.379904,0.496828,0.588419,0.261673,0.299611,0.322879,0.202569,0.336192,0.390757,0.438244,0.130411,0.263359,0.323533,0.376222,12.478924862553452,26.606597434331093,54.627978008552226
2,15000,0.383628,0.498891,0.592051,0.264913,0.302307,0.325952,0.227324,0.37941,0.441989,0.500712,0.153034,0.311307,0.380422,0.445586,12.88135593220339,27.222760290556902,55.84927360774818,0.382336,0.496761,0.59195,0.264891,0.302023,0.326182,0.226013,0.378174,0.441765,0.499513,0.151911,0.309935,0.380172,0.444255,12.640195479535736,26.88515577275504,55.423335369578496
3,20000,0.38858,0.503667,0.596358,0.268888,0.30627,0.329798,0.249082,0.417422,0.487192,0.552206,0.176072,0.353433,0.430573,0.502765,12.504237288135593,26.715496368038743,54.80508474576271,0.38682,0.502466,0.597532,0.26799,0.30556,0.329715,0.245937,0.417085,0.486593,0.549509,0.172828,0.353017,0.429908,0.499771,12.41905925473427,26.46059865607819,54.423335369578496
4,25000,0.384831,0.500027,0.592489,0.26649,0.303896,0.327388,0.257359,0.433526,0.50603,0.574114,0.183391,0.371231,0.451491,0.527093,12.545399515738499,26.71912832929782,54.54842615012107,0.382482,0.498229,0.591568,0.265315,0.3029,0.326589,0.253352,0.435098,0.508501,0.574451,0.178525,0.372812,0.454235,0.527467,12.458766035430665,26.41111789859499,54.08491142333537
5,30000,0.383027,0.498803,0.590499,0.265933,0.303533,0.326832,0.270504,0.452176,0.528125,0.597521,0.196864,0.391816,0.476026,0.553084,12.427360774818402,26.316585956416464,53.96307506053269,0.382583,0.496301,0.59056,0.265087,0.302035,0.325953,0.267733,0.451277,0.529436,0.598944,0.194536,0.390776,0.477482,0.554664,12.27794746487477,26.089798411728772,53.57361026267563
6,35000,0.380983,0.493589,0.58557,0.263622,0.300149,0.323533,0.276009,0.465995,0.547525,0.617894,0.203435,0.407119,0.497567,0.575706,12.495762711864407,26.44370460048426,53.9769975786925,0.380252,0.492826,0.584798,0.263015,0.299545,0.322957,0.274661,0.465209,0.545615,0.615946,0.202063,0.406246,0.495446,0.573543,12.384239462431276,26.145387904703725,53.662186927306045
7,40000,0.383257,0.495404,0.587646,0.266376,0.302795,0.326242,0.283649,0.477268,0.560819,0.635645,0.210712,0.419637,0.51233,0.595417,12.391041162227603,26.260290556900728,53.393462469733656,0.380027,0.494059,0.586883,0.264151,0.301181,0.324767,0.284623,0.478466,0.561456,0.636132,0.211835,0.420967,0.513037,0.595958,12.256566890653636,25.926084300549785,53.025656689065364
8,45000,0.379311,0.491556,0.582586,0.263417,0.299872,0.322991,0.285185,0.478541,0.56389,0.63984,0.212168,0.42105,0.51574,0.600075,12.396489104116222,26.429782082324454,53.7318401937046,0.377785,0.489475,0.583274,0.262342,0.298655,0.32248,0.284473,0.480189,0.564227,0.640963,0.211752,0.42288,0.516114,0.601322,12.268173488087966,26.072083078802688,53.26267562614539
9,50000,0.371758,0.483347,0.57594,0.257538,0.293777,0.317297,0.284511,0.476781,0.560857,0.639802,0.211045,0.419096,0.512372,0.600033,12.615617433414043,26.625302663438255,54.25423728813559,0.371856,0.483152,0.576526,0.257248,0.293365,0.317058,0.281889,0.480076,0.561456,0.637218,0.208633,0.422672,0.513037,0.597164,12.488698839340257,26.1954795357361,53.679291386682955
10,55000,0.374949,0.487829,0.57876,0.261043,0.297727,0.320823,0.298742,0.495656,0.576174,0.654071,0.227014,0.440096,0.52938,0.615877,12.467312348668282,26.321428571428573,53.50181598062954,0.373918,0.484755,0.577725,0.259273,0.295202,0.318804,0.295821,0.496255,0.57711,0.653472,0.22402,0.44072,0.53042,0.615212,12.274893097128894,25.940745265729994,52.905925473427004
11,60000,0.373441,0.485118,0.576038,0.259134,0.29537,0.318438,0.302037,0.499813,0.584376,0.661898,0.229176,0.444588,0.538487,0.624569,12.389225181598063,26.090193704600484,53.148910411622275,0.373492,0.485361,0.575528,0.258844,0.295237,0.318113,0.295746,0.499625,0.585312,0.665081,0.222523,0.444463,0.539527,0.628103,12.171655467318265,25.79902260232132,52.86316432498473
12,65000,0.35804,0.469356,0.559249,0.248996,0.285089,0.307904,0.30597,0.508389,0.59093,0.668751,0.233168,0.454111,0.545765,0.632179,11.83958837772397,25.032082324455207,50.83958837772397,0.357564,0.465812,0.557403,0.247341,0.28249,0.305731,0.302974,0.505955,0.593663,0.672721,0.231048,0.451408,0.5488,0.636587,11.67501527183873,24.794135613927917,50.401343921808184
