,steps,loss,plain,smorl
0,200,9.037915229797363,8.751,0.287
1,400,8.700791358947754,8.42,0.281
2,600,8.238153457641602,7.941,0.297
3,800,7.954345703125,7.532,0.422
4,1000,7.967639923095703,7.391,0.576
5,1200,7.303609848022461,6.801,0.503
6,1400,6.616325378417969,6.086,0.53
7,1600,6.963680267333984,6.384,0.58
8,1800,7.605901718139648,6.709,0.897
9,2000,6.9505228996276855,6.264,0.686
10,2200,6.470804214477539,5.825,0.646
11,2400,6.4423418045043945,5.722,0.721
12,2600,6.805998802185059,5.964,0.842
13,2800,6.795877456665039,5.906,0.89
14,3000,6.291687965393066,5.406,0.886
15,3200,6.509718418121338,5.515,0.995
16,3400,6.207118034362793,5.264,0.943
17,3600,6.869528770446777,5.797,1.073
18,3800,6.381819725036621,5.432,0.95
19,4000,6.267852783203125,5.308,0.96
20,4200,6.980359077453613,5.669,1.311
21,4400,6.436581611633301,5.416,1.02
22,4600,6.851047515869141,5.576,1.275
23,4800,7.062558174133301,5.357,1.706
24,5000,6.777398109436035,5.544,1.233
25,5200,6.5609540939331055,5.567,0.994
26,5400,6.215521812438965,5.195,1.02
27,5600,6.461560249328613,5.413,1.048
28,5800,6.1477460861206055,4.938,1.21
29,6000,6.27031946182251,5.178,1.092
30,6200,6.466985702514648,5.056,1.411
31,6400,6.449800491333008,4.878,1.571
32,6600,6.357546806335449,5.263,1.095
33,6800,6.413670539855957,5.085,1.329
34,7000,5.957077980041504,4.748,1.21
35,7200,6.3270182609558105,5.262,1.065
36,7400,6.268763542175293,5.293,0.975
37,7600,6.505094051361084,5.447,1.058
38,7800,6.024625301361084,5.012,1.012
39,8000,6.180850028991699,5.067,1.114
40,8200,6.030146598815918,5.118,0.912
41,8400,5.948421955108643,4.962,0.987
42,8600,5.790951251983643,4.688,1.103
43,8800,5.739123344421387,4.521,1.219
44,9000,5.610870361328125,4.853,0.758
45,9200,5.630964279174805,4.639,0.992
46,9400,6.169094562530518,4.979,1.19
47,9600,5.3446760177612305,4.462,0.883
48,9800,6.029854774475098,4.837,1.193
49,10000,5.733428478240967,4.86,0.873
50,10200,6.268801689147949,5.157,1.112
51,10400,5.83662223815918,4.894,0.943
52,10600,5.804818153381348,4.861,0.944
53,10800,5.800912380218506,5.017,0.784
54,11000,6.194775104522705,5.205,0.99
55,11200,6.00717830657959,4.95,1.057
56,11400,5.902376174926758,4.909,0.994
57,11600,6.562212944030762,4.852,1.71
58,11800,5.542515754699707,4.611,0.932
59,12000,5.477901458740234,4.699,0.779
60,12200,5.642537593841553,4.648,0.995
61,12400,5.601526260375977,4.671,0.93
62,12600,5.334014415740967,4.596,0.738
63,12800,5.962396144866943,4.987,0.976
64,13000,6.0977067947387695,5.175,0.923
65,13200,5.5053863525390625,4.423,1.082
66,13400,6.07585334777832,5.05,1.026
67,13600,5.50662088394165,4.665,0.842
68,13800,6.384127616882324,5.091,1.293
69,14000,5.749431133270264,4.702,1.047
70,14200,5.304385185241699,4.486,0.819
71,14400,5.194615364074707,4.314,0.881
72,14600,5.390078544616699,4.534,0.856
73,14800,5.588991165161133,4.412,1.177
74,15000,5.650691986083984,4.815,0.836
75,15200,5.638321876525879,4.517,1.121
76,15400,5.406983852386475,4.547,0.859
77,15600,5.385208606719971,4.587,0.798
78,15800,5.607441425323486,4.732,0.875
79,16000,5.322042942047119,4.445,0.877
80,16200,5.716302871704102,4.641,1.075
81,16400,5.1870927810668945,4.262,0.925
82,16600,5.873315811157227,4.879,0.994
83,16800,5.216935157775879,4.356,0.861
84,17000,5.451362133026123,4.754,0.698
85,17200,5.064296722412109,4.031,1.033
86,17400,5.197381496429443,4.195,1.002
87,17600,5.550408363342285,4.582,0.968
88,17800,5.6909942626953125,4.561,1.13
89,18000,5.652015686035156,4.47,1.182
90,18200,5.398473739624023,4.438,0.961
91,18400,5.743247985839844,4.558,1.185
92,18600,5.888174057006836,4.773,1.115
93,18800,5.392062187194824,4.523,0.869
94,19000,5.030604362487793,4.312,0.719
95,19200,5.7280731201171875,4.774,0.954
96,19400,5.62826681137085,4.711,0.917
97,19600,5.3155717849731445,4.561,0.754
98,19800,5.731348991394043,4.725,1.006
99,20000,5.114979267120361,4.238,0.877
100,20200,5.400136470794678,4.497,0.903
101,20400,4.760932445526123,3.819,0.942
102,20600,4.893769264221191,4.241,0.653
103,20800,5.211240768432617,4.189,1.022
104,21000,5.296111106872559,4.367,0.929
105,21200,6.446545600891113,4.811,1.636
106,21400,5.600744724273682,4.616,0.985
107,21600,5.557013034820557,4.543,1.014
108,21800,5.474634170532227,4.479,0.996
109,22000,5.643789291381836,4.59,1.054
110,22200,4.907760143280029,4.208,0.699
111,22400,5.228153705596924,4.578,0.651
112,22600,5.279330253601074,4.422,0.857
113,22800,5.5903000831604,4.709,0.882
114,23000,5.247986316680908,4.28,0.968
115,23200,5.229162216186523,4.181,1.048
116,23400,5.816380977630615,4.62,1.197
117,23600,4.904842853546143,3.939,0.966
118,23800,5.178213119506836,4.326,0.852
119,24000,5.460280418395996,4.514,0.946
120,24200,5.516042232513428,4.589,0.927
121,24400,5.0959062576293945,4.281,0.815
122,24600,5.069394588470459,4.223,0.846
123,24800,5.587660312652588,4.567,1.021
124,25000,5.489799499511719,4.582,0.908
125,25200,5.481624603271484,4.621,0.86
126,25400,5.396033763885498,4.507,0.889
127,25600,5.360956192016602,4.502,0.859
128,25800,5.809660911560059,4.451,1.359
129,26000,5.195662975311279,4.138,1.058
130,26200,5.501537322998047,4.413,1.088
131,26400,5.289048194885254,4.14,1.149
132,26600,5.343379974365234,4.365,0.978
133,26800,5.351433277130127,4.199,1.152
134,27000,5.030084133148193,4.103,0.927
135,27200,5.262151718139648,4.503,0.759
136,27400,5.117293357849121,4.417,0.7
137,27600,5.3817877769470215,4.593,0.789
138,27800,5.2624359130859375,4.523,0.739
139,28000,5.153787612915039,4.32,0.833
140,28200,5.288991928100586,4.358,0.931
141,28400,5.442531585693359,4.646,0.797
142,28600,5.3399882316589355,4.214,1.126
143,28800,5.1246185302734375,4.078,1.046
144,29000,5.336729526519775,4.325,1.012
145,29200,5.343443870544434,4.487,0.857
146,29400,4.920030117034912,4.032,0.888
147,29600,5.272735595703125,4.503,0.77
148,29800,5.561119556427002,4.102,1.459
149,30000,5.19473934173584,4.265,0.93
150,30200,5.636408805847168,4.537,1.099
151,30400,4.898934841156006,4.188,0.711
152,30600,4.9975738525390625,4.251,0.747
153,30800,5.296875,4.469,0.828
154,31000,5.325549602508545,4.503,0.822
155,31200,5.283965110778809,4.417,0.867
156,31400,4.982395648956299,3.821,1.162
157,31600,4.820247650146484,3.941,0.879
158,31800,5.181303024291992,4.161,1.021
159,32000,5.3104963302612305,4.416,0.894
160,32200,4.941241264343262,4.068,0.873
161,32400,5.644591808319092,4.589,1.056
162,32600,5.26715612411499,4.374,0.893
163,32800,5.197265625,4.198,0.999
164,33000,5.064549446105957,4.172,0.893
165,33200,5.274694442749023,4.205,1.07
166,33400,5.580918312072754,4.291,1.29
167,33600,5.554895877838135,4.648,0.907
168,33800,5.23162841796875,4.261,0.971
169,34000,5.245282173156738,4.365,0.88
170,34200,5.301063537597656,4.388,0.913
171,34400,5.15708589553833,3.961,1.196
172,34600,4.588051795959473,3.824,0.764
173,34800,5.24332857131958,4.26,0.984
174,35000,5.339900970458984,4.202,1.138
175,35200,5.064170837402344,4.3,0.764
176,35400,5.16366720199585,4.297,0.867
177,35600,5.199662685394287,4.285,0.915
178,35800,5.155007839202881,4.243,0.912
179,36000,5.27938985824585,4.252,1.027
180,36200,5.323625564575195,4.59,0.734
181,36400,5.00932502746582,4.097,0.913
182,36600,4.912506580352783,4.166,0.747
183,36800,5.162381172180176,4.271,0.891
184,37000,5.577336311340332,4.452,1.125
185,37200,4.808769226074219,4.003,0.806
186,37400,5.081447124481201,3.891,1.19
187,37600,4.822446346282959,3.883,0.939
188,37800,5.2940239906311035,4.161,1.133
189,38000,4.868805408477783,4.126,0.742
190,38200,5.143351078033447,4.331,0.812
191,38400,5.012035369873047,3.986,1.026
192,38600,5.028882026672363,4.034,0.994
193,38800,5.145195484161377,4.217,0.929
194,39000,5.801458358764648,4.472,1.33
195,39200,5.736071586608887,4.751,0.985
196,39400,5.251465797424316,4.373,0.878
197,39600,5.255496978759766,4.536,0.72
198,39800,5.260170936584473,4.303,0.957
199,40000,4.955106258392334,4.029,0.926
200,40200,5.131681442260742,4.042,1.09
201,40400,4.859546661376953,4.046,0.814
202,40600,5.507741451263428,4.267,1.24
203,40800,4.980546951293945,4.119,0.861
204,41000,4.696613311767578,3.861,0.835
205,41200,5.033935546875,4.252,0.782
206,41400,5.540520668029785,4.497,1.043
207,41600,5.2445573806762695,4.37,0.875
208,41800,5.138510227203369,4.218,0.92
209,42000,4.750524520874023,3.826,0.924
210,42200,5.10050106048584,4.108,0.993
211,42400,5.020366191864014,4.014,1.006
212,42600,5.079980850219727,4.303,0.777
213,42800,5.174972057342529,4.113,1.062
214,43000,5.129287242889404,4.2,0.93
215,43200,4.767799377441406,3.88,0.887
216,43400,4.783654689788818,3.895,0.889
217,43600,5.478264808654785,3.94,1.538
218,43800,5.194129943847656,4.079,1.115
219,44000,5.0297465324401855,4.147,0.883
220,44200,5.0096845626831055,4.011,0.999
221,44400,5.499576568603516,4.342,1.157
222,44600,5.127831935882568,4.21,0.917
223,44800,4.9938063621521,4.005,0.989
224,45000,4.824676513671875,3.896,0.928
225,45200,5.1974053382873535,4.297,0.9
226,45400,5.143383026123047,4.276,0.867
227,45600,5.242978572845459,4.298,0.945
228,45800,4.573226451873779,3.659,0.914
229,46000,5.053048610687256,4.064,0.989
230,46200,4.983565807342529,4.032,0.951
231,46400,5.414179801940918,4.335,1.079
232,46600,4.929763317108154,3.856,1.073
233,46800,5.150110721588135,3.941,1.209
234,47000,4.783243179321289,3.991,0.792
235,47200,5.035642623901367,4.112,0.924
236,47400,5.262230396270752,4.311,0.951
237,47600,4.926506996154785,3.948,0.979
238,47800,5.04624605178833,4.071,0.975
239,48000,5.064929962158203,4.032,1.033
240,48200,5.429837226867676,4.584,0.845
241,48400,5.057215213775635,4.314,0.743
242,48600,5.216668128967285,4.158,1.059
243,48800,5.183679580688477,4.171,1.012
244,49000,4.892630577087402,3.897,0.996
245,49200,5.037650108337402,3.99,1.048
246,49400,5.055543422698975,4.027,1.029
247,49600,4.867209434509277,4.056,0.812
248,49800,5.0037665367126465,4.052,0.951
249,50000,4.913883209228516,4.153,0.761
250,50200,4.820062637329102,3.983,0.837
251,50400,5.166787624359131,4.167,0.999
252,50600,5.145392417907715,4.32,0.825
253,50800,4.824774742126465,4.017,0.808
254,51000,5.119968414306641,4.21,0.91
255,51200,4.999460697174072,4.109,0.891
256,51400,4.727179527282715,3.584,1.143
257,51600,5.0643415451049805,4.176,0.888
258,51800,4.992194175720215,4.039,0.953
259,52000,5.255149841308594,4.208,1.047
260,52200,5.02822208404541,4.007,1.021
261,52400,4.827523231506348,4.077,0.751
262,52600,5.029078483581543,3.953,1.076
263,52800,4.84143590927124,4.05,0.792
264,53000,5.121933460235596,3.923,1.199
265,53200,5.098489284515381,4.103,0.996
266,53400,5.324709892272949,4.233,1.092
267,53600,4.9103288650512695,3.925,0.986
268,53800,5.186268329620361,4.288,0.899
269,54000,5.053982734680176,4.084,0.97
270,54200,5.327702522277832,3.907,1.421
271,54400,4.977667808532715,3.839,1.138
272,54600,5.039644241333008,3.849,1.19
273,54800,4.939335346221924,4.01,0.929
274,55000,4.708720684051514,3.994,0.715
275,55200,5.005570411682129,4.141,0.865
276,55400,5.173225402832031,4.138,1.036
277,55600,5.248116493225098,4.005,1.243
278,55800,5.219188690185547,4.431,0.789
279,56000,5.007440567016602,4.04,0.968
280,56200,5.552223205566406,4.474,1.078
281,56400,5.17800760269165,4.204,0.974
282,56600,4.97269868850708,3.865,1.107
283,56800,4.905057430267334,4.122,0.783
284,57000,5.10618257522583,4.236,0.87
285,57200,5.129819869995117,3.868,1.262
286,57400,4.8502044677734375,3.743,1.107
287,57600,4.9820380210876465,3.923,1.059
288,57800,4.739762306213379,3.884,0.856
289,58000,5.386568069458008,4.376,1.01
290,58200,5.086946964263916,4.083,1.004
291,58400,4.877057075500488,4.078,0.799
292,58600,4.904536724090576,3.913,0.991
293,58800,5.206763744354248,4.052,1.155
294,59000,5.040703773498535,4.255,0.786
295,59200,5.162381649017334,4.147,1.016
296,59400,4.793395042419434,3.968,0.825
297,59600,4.891185760498047,4.133,0.758
298,59800,5.132616996765137,4.146,0.987
299,60000,4.971397399902344,3.824,1.147
300,60200,5.038524627685547,3.824,1.214
301,60400,5.0015363693237305,4.062,0.939
302,60600,4.652043342590332,3.878,0.774
303,60800,5.045534610748291,3.934,1.111
304,61000,4.884682655334473,3.916,0.968
305,61200,4.9572038650512695,4.01,0.947
306,61400,5.052097320556641,4.249,0.803
307,61600,5.122902870178223,4.16,0.963
308,61800,5.1447906494140625,4.182,0.963
309,62000,5.211051940917969,4.18,1.031
310,62200,5.03458309173584,4.09,0.944
311,62400,5.024787425994873,4.017,1.008
312,62600,5.004827499389648,4.128,0.877
313,62800,5.069820404052734,3.869,1.201
314,63000,4.587279319763184,3.608,0.98
315,63200,4.889104843139648,3.805,1.084
316,63400,5.2828168869018555,4.096,1.187
317,63600,4.745851516723633,3.861,0.885
318,63800,4.901165962219238,3.918,0.984
319,64000,5.118127346038818,3.776,1.343
320,64200,5.085534572601318,4.198,0.888
321,64400,4.7888922691345215,3.994,0.795
322,64600,5.03476095199585,4.203,0.832
323,64800,4.652393341064453,3.826,0.827
324,65000,5.100622177124023,4.074,1.026
325,65200,5.158553123474121,4.086,1.072
326,65400,4.887362480163574,3.983,0.904
327,65600,4.668201923370361,3.694,0.974
328,65800,5.447727203369141,3.959,1.488
329,66000,5.003904819488525,4.033,0.971
330,66200,4.8490891456604,3.99,0.859
331,66400,5.511009216308594,4.173,1.338
332,66600,5.054697036743164,3.967,1.088
333,66800,4.893177032470703,3.852,1.041
334,67000,5.187494277954102,4.02,1.167
335,67200,4.9844207763671875,4.122,0.862
336,67400,4.8671956062316895,3.643,1.224
337,67600,5.01060676574707,4.042,0.969
338,67800,5.0192670822143555,4.105,0.914
339,68000,5.048974990844727,4.05,0.998
340,68200,5.167196273803711,3.941,1.227
341,68400,5.456052780151367,4.412,1.045
342,68600,4.918820858001709,4.112,0.807
343,68800,5.236410140991211,3.966,1.271
344,69000,4.970148086547852,3.746,1.224
345,69200,4.953608512878418,3.89,1.064
346,69400,5.011554718017578,3.848,1.164
347,69600,4.864735126495361,3.956,0.909
348,69800,5.090301036834717,4.083,1.007
