,steps,hr_test_5,hr_test_10,hr_test_20,ndcg_test_5,ndcg_test_10,ndcg_test_20,cov_test_1,cov_test_5,cov_test_10,cov_test_20,nov_test_1,nov_test_5,nov_test_10,nov_test_20,rep_test_5,rep_test_10,rep_test_20,hr_val_5,hr_val_10,hr_val_20,ndcg_val_5,ndcg_val_10,ndcg_val_20,cov_val_1,cov_val_5,cov_val_10,cov_val_20,nov_val_1,nov_val_5,nov_val_10,nov_val_20,rep_val_5,rep_val_10,rep_val_20
0,5000,0.365199,0.472242,0.556385,0.254016,0.288814,0.31018,0.188825,0.299603,0.335443,0.368587,0.122843,0.223895,0.262403,0.298915,10.064164648910412,21.957021791767556,46.13680387409201,0.36448,0.471394,0.55719,0.252524,0.287249,0.309019,0.188563,0.30155,0.336379,0.368961,0.122843,0.226016,0.263484,0.29933,9.977397678680513,21.742211362248014,45.60232131948687
1,10000,0.383606,0.497808,0.587045,0.264919,0.302037,0.324684,0.23796,0.385102,0.433451,0.474496,0.171082,0.317753,0.370899,0.416476,10.382566585956416,22.928571428571427,47.80145278450363,0.382303,0.494754,0.585706,0.264397,0.300934,0.324057,0.236237,0.38484,0.433151,0.473036,0.169585,0.317378,0.370608,0.414854,10.250458155161882,22.60843005497862,47.44532681734881
2,15000,0.388842,0.502836,0.594227,0.268321,0.305367,0.328607,0.26264,0.433488,0.489139,0.537713,0.194868,0.371231,0.432777,0.486672,10.477602905569007,22.86501210653753,47.95702179176755,0.387325,0.501121,0.594203,0.266892,0.303884,0.327502,0.259381,0.429181,0.48884,0.53775,0.191209,0.366407,0.432445,0.486714,10.32254123396457,22.611484422724494,47.622480146609654
3,20000,0.39305,0.509974,0.601342,0.27226,0.310263,0.333493,0.284511,0.475058,0.540259,0.598083,0.217324,0.417266,0.4895,0.553707,10.677966101694915,23.296004842615012,48.705811138014525,0.390486,0.506658,0.601769,0.270227,0.30798,0.33215,0.28144,0.472025,0.540147,0.598382,0.214289,0.413981,0.489375,0.55404,10.517409896151497,23.0965180207697,48.490531459987785
4,25000,0.390919,0.507252,0.599014,0.270855,0.308702,0.332028,0.283874,0.474009,0.547038,0.608232,0.216534,0.416143,0.497027,0.564977,10.7318401937046,23.456416464891042,48.80084745762712,0.388143,0.50482,0.599,0.26863,0.306581,0.330501,0.281065,0.475957,0.547038,0.606846,0.213457,0.418264,0.497027,0.563438,10.555894929749542,23.092241905925473,48.310323762981064
5,30000,0.392351,0.507679,0.599047,0.272104,0.309641,0.332828,0.30391,0.51337,0.588083,0.652498,0.235539,0.459808,0.542604,0.614131,10.655569007263923,23.263922518159806,48.27845036319613,0.389723,0.505336,0.599079,0.270122,0.307659,0.331468,0.305071,0.512546,0.588083,0.651262,0.236953,0.45881,0.542604,0.612758,10.491142333536958,23.022602321319486,47.889431887599265
6,35000,0.391367,0.506924,0.598927,0.271331,0.308881,0.332263,0.307992,0.517452,0.595686,0.662722,0.239864,0.464299,0.551046,0.625483,10.575665859564165,23.067191283292978,47.92070217917676,0.3896,0.505818,0.598462,0.268652,0.306416,0.329958,0.304846,0.511797,0.589843,0.660025,0.237701,0.458061,0.544559,0.622489,10.433720219914477,22.759315821624924,47.59010384850336
7,40000,0.391848,0.507886,0.599025,0.271682,0.309339,0.332497,0.309153,0.516815,0.602127,0.674219,0.241361,0.463717,0.558199,0.63825,10.675544794188863,23.25726392251816,48.436440677966104,0.391012,0.50556,0.597969,0.271174,0.308368,0.331846,0.305483,0.519587,0.600592,0.673133,0.237327,0.466669,0.556494,0.637044,10.556505803298718,23.00794135613928,48.111178985949905
8,45000,0.390831,0.505908,0.597866,0.271344,0.308734,0.332113,0.319639,0.536739,0.617295,0.690735,0.251715,0.485632,0.575041,0.656589,10.65677966101695,23.11864406779661,48.12590799031477,0.386775,0.50334,0.597543,0.268207,0.306058,0.32998,0.317167,0.536926,0.618306,0.690248,0.24947,0.48584,0.576163,0.656049,10.48320097739768,22.85766646304215,47.73304825901039
9,50000,0.386514,0.501689,0.593975,0.267593,0.304998,0.328457,0.316531,0.531908,0.617107,0.687626,0.249262,0.480351,0.574833,0.653138,10.650726392251816,23.137409200968523,47.88317191283293,0.385744,0.50093,0.594191,0.266549,0.304002,0.327715,0.316194,0.53056,0.61486,0.686765,0.24843,0.478771,0.572338,0.652181,10.453268173488087,22.815516188149054,47.59071472205253
10,55000,0.385913,0.499142,0.590969,0.266979,0.303793,0.327135,0.318216,0.537188,0.620216,0.696053,0.249927,0.486173,0.578284,0.662494,10.644673123486683,23.131961259079905,47.82203389830509,0.384522,0.499383,0.590302,0.266836,0.304125,0.327217,0.31728,0.535578,0.618568,0.698412,0.249595,0.484343,0.576454,0.665114,10.463042150274893,22.858277336591325,47.46059865607819
11,60000,0.388132,0.502301,0.592423,0.268406,0.305471,0.328376,0.3302,0.549622,0.636993,0.713692,0.263318,0.499979,0.596914,0.682081,10.630750605326876,23.093825665859566,47.682203389830505,0.387425,0.502354,0.593227,0.267407,0.304776,0.327878,0.324919,0.551157,0.639615,0.71298,0.257038,0.501684,0.599825,0.681291,10.528405620036652,22.950519242516798,47.51679902260232
12,65000,0.382798,0.497295,0.588652,0.265626,0.302808,0.326025,0.333945,0.55479,0.637555,0.712419,0.266478,0.505635,0.597538,0.680667,10.613801452784504,22.987893462469735,47.394067796610166,0.38367,0.497276,0.587813,0.264275,0.301115,0.324122,0.329938,0.552655,0.637443,0.711145,0.262236,0.503348,0.597413,0.679253,10.443494196701282,22.68784361637141,47.185094685400124
13,70000,0.386743,0.501033,0.592336,0.267641,0.304753,0.327942,0.344768,0.571156,0.657629,0.732679,0.277997,0.523808,0.619828,0.703165,10.468523002421307,22.74273607748184,46.96610169491525,0.383906,0.498677,0.59195,0.265961,0.303259,0.326942,0.343008,0.569171,0.651337,0.726238,0.276459,0.521728,0.612842,0.696012,10.256566890653636,22.30971288943189,46.46243127672572
14,75000,0.381825,0.495415,0.586499,0.264243,0.301104,0.324249,0.343794,0.564714,0.652498,0.727773,0.276542,0.516696,0.614131,0.697717,10.516949152542374,22.74818401937046,47.00121065375303,0.379254,0.493801,0.587724,0.262163,0.299368,0.323205,0.338888,0.562467,0.650438,0.727062,0.271884,0.514243,0.611843,0.696927,10.357361026267563,22.444715943799633,46.64752596212584
15,80000,0.386317,0.502323,0.592707,0.268525,0.306244,0.329197,0.340911,0.568235,0.656917,0.735525,0.273922,0.520564,0.619038,0.706325,10.5544794188862,22.96186440677966,47.586561743341406,0.387683,0.503609,0.593508,0.26927,0.306902,0.329742,0.340911,0.568085,0.658228,0.734439,0.273963,0.520481,0.620493,0.705119,10.376298106291998,22.63042150274893,47.25717776420281
16,85000,0.384645,0.497754,0.587701,0.267422,0.304173,0.327015,0.340049,0.566886,0.653322,0.730882,0.272758,0.519067,0.615046,0.701169,10.493946731234868,22.61501210653753,46.75181598062954,0.38302,0.49462,0.587959,0.266029,0.302286,0.326009,0.337091,0.562692,0.652573,0.731106,0.270346,0.514409,0.614214,0.701418,10.264508246792914,22.31459987782529,46.26511912034209
17,90000,0.384361,0.495808,0.58593,0.266358,0.302621,0.325529,0.340873,0.562243,0.648903,0.72444,0.273589,0.513993,0.610138,0.694016,10.452179176755449,22.603510895883776,46.5726392251816,0.381216,0.494597,0.587096,0.263568,0.300373,0.323869,0.337503,0.56258,0.648715,0.725751,0.27047,0.514492,0.609972,0.695471,10.221136224801466,22.29016493585828,46.26572999389126
18,95000,0.37883,0.493622,0.582782,0.263412,0.300719,0.323331,0.346491,0.564714,0.650176,0.729346,0.278912,0.516655,0.611552,0.699464,10.431598062953995,22.69733656174334,46.74515738498789,0.379669,0.492826,0.583318,0.262952,0.299711,0.322676,0.342559,0.565201,0.650888,0.726799,0.274754,0.517279,0.612342,0.696636,10.30421502748931,22.384239462431278,46.41356139279169
19,100000,0.382448,0.494945,0.584487,0.264434,0.300978,0.323733,0.342222,0.562317,0.651861,0.731031,0.27467,0.514035,0.613424,0.701335,10.506658595641646,22.69370460048426,46.7772397094431,0.381115,0.492411,0.583352,0.264414,0.300552,0.323692,0.340162,0.561456,0.649839,0.729421,0.27255,0.513037,0.611178,0.699547,10.34086744043983,22.387293830177153,46.31826511912034
20,105000,0.377857,0.490955,0.582662,0.261712,0.298417,0.321708,0.353831,0.580518,0.664857,0.74324,0.28777,0.534287,0.627854,0.714892,10.338377723970945,22.38256658595642,46.01029055690073,0.376082,0.489351,0.581693,0.260821,0.29758,0.321047,0.349225,0.580593,0.666355,0.743053,0.282987,0.534329,0.629517,0.714684,10.176542455711667,22.032376298106293,45.63958460598656
21,110000,0.37907,0.491141,0.581689,0.262842,0.299224,0.322187,0.360834,0.589132,0.672309,0.745263,0.294507,0.54381,0.636129,0.717137,10.256658595641646,22.29963680387409,45.84927360774818,0.380935,0.491739,0.583094,0.263854,0.299818,0.323006,0.356528,0.583926,0.669912,0.745412,0.290057,0.537988,0.633468,0.717304,10.185705558949298,22.06658521686011,45.497251069028714
22,115000,0.378349,0.489621,0.57759,0.262759,0.298919,0.321271,0.346379,0.566999,0.656992,0.735301,0.278579,0.519192,0.619121,0.706076,10.380750605326876,22.427360774818403,45.87590799031477,0.378111,0.489508,0.578913,0.26123,0.297395,0.320111,0.343869,0.566699,0.654708,0.732417,0.2765,0.518942,0.616584,0.702874,10.195479535736103,22.107513744654856,45.75442883323152
23,120000,0.378021,0.488824,0.578268,0.26228,0.298301,0.321009,0.348401,0.569358,0.659464,0.736986,0.281158,0.521853,0.621866,0.707947,10.320217917675544,22.360774818401936,46.04237288135593,0.376082,0.489127,0.578655,0.260951,0.297691,0.320439,0.345742,0.565239,0.653621,0.732904,0.278413,0.517403,0.615378,0.703414,10.265119120342089,22.109346365302383,45.77825290164936
24,125000,0.378557,0.487971,0.578279,0.263109,0.298653,0.321591,0.346603,0.571006,0.661186,0.7359,0.279869,0.523641,0.623778,0.706741,10.349878934624698,22.25726392251816,45.937046004842614,0.378424,0.487502,0.579395,0.262212,0.297642,0.320971,0.34503,0.567748,0.657029,0.735788,0.278663,0.520023,0.619162,0.706616,10.13439218081857,21.975565058032988,45.48442272449603
25,130000,0.374687,0.487053,0.575164,0.260993,0.297487,0.31984,0.357876,0.577223,0.667441,0.743989,0.292011,0.530544,0.630723,0.715723,10.26452784503632,22.125302663438255,45.333535108958834,0.374479,0.484587,0.575763,0.25954,0.295264,0.318416,0.354505,0.578084,0.665868,0.743577,0.288518,0.531501,0.628977,0.715266,10.098961514966401,21.84605986560782,45.01832620647526
26,135000,0.375846,0.488135,0.577907,0.261495,0.297978,0.320759,0.347577,0.566362,0.652985,0.732529,0.280243,0.518568,0.614671,0.702998,10.424939467312349,22.58232445520581,46.20278450363196,0.37579,0.485753,0.578263,0.261381,0.297113,0.320612,0.348026,0.566062,0.652798,0.732117,0.281158,0.518152,0.614463,0.702541,10.210751374465486,22.136224801466096,45.717776420281005
27,140000,0.376283,0.486801,0.575568,0.261175,0.297066,0.319612,0.354355,0.578459,0.667403,0.745375,0.287146,0.531958,0.630682,0.717262,10.306900726392252,22.20762711864407,45.394067796610166,0.373672,0.485562,0.57657,0.259364,0.295737,0.318829,0.355104,0.580556,0.668452,0.745,0.288726,0.534287,0.631846,0.716846,10.128894318875993,21.914477703115455,45.27367135003055
28,145000,0.379158,0.490398,0.578301,0.263675,0.299805,0.32211,0.355629,0.583926,0.6695,0.747397,0.288851,0.538071,0.63301,0.719508,10.387409200968523,22.415254237288135,46.03389830508475,0.379254,0.488914,0.578319,0.262693,0.298287,0.321026,0.353457,0.580256,0.667553,0.746461,0.286896,0.533954,0.630848,0.718468,10.221136224801466,22.106291997556507,45.6634086744044
29,150000,0.379169,0.49066,0.578508,0.264012,0.300255,0.32258,0.358325,0.582541,0.669987,0.746761,0.292552,0.536491,0.633551,0.718801,10.228208232445521,22.128934624697337,45.43765133171913,0.378335,0.489519,0.578454,0.262414,0.298532,0.321084,0.355704,0.581305,0.668901,0.745712,0.289142,0.535119,0.632387,0.717636,10.114233353695784,21.919364691508857,45.10323762981063
30,155000,0.37965,0.488507,0.578246,0.264082,0.299394,0.322189,0.358587,0.580818,0.666055,0.741742,0.291928,0.534578,0.629185,0.713228,10.317796610169491,22.284503631961257,45.84140435835351,0.377023,0.487434,0.579238,0.262383,0.298253,0.321576,0.355704,0.577035,0.661336,0.737585,0.288643,0.530336,0.623945,0.708612,10.0965180207697,21.944410507025047,45.281612706169824
31,160000,0.374097,0.484648,0.574486,0.260693,0.296605,0.319456,0.348588,0.569433,0.656093,0.734327,0.281615,0.521895,0.618123,0.704994,10.331719128329297,22.251210653753027,45.74455205811138,0.373941,0.483814,0.574598,0.260229,0.295905,0.318985,0.349075,0.567074,0.65658,0.738259,0.282239,0.519316,0.618663,0.709361,10.128894318875993,21.99205864386072,45.41417226634087
32,165000,0.377824,0.488222,0.577044,0.26237,0.298254,0.320797,0.359374,0.586248,0.676579,0.754663,0.29301,0.540608,0.64087,0.727575,10.296610169491526,22.2953995157385,45.8589588377724,0.376653,0.486807,0.576727,0.261245,0.296957,0.319792,0.359786,0.589619,0.676129,0.752153,0.293758,0.544351,0.640371,0.724789,10.174709835064142,21.93708002443494,45.24373854612095
33,170000,0.377988,0.48855,0.578804,0.26238,0.298295,0.321178,0.376638,0.607071,0.69036,0.763576,0.311473,0.563688,0.656173,0.737472,10.189467312348668,22.013317191283292,45.17493946731235,0.37746,0.487883,0.577904,0.260911,0.29682,0.319653,0.374991,0.608194,0.690248,0.762827,0.30981,0.564935,0.656049,0.736641,10.00916310323763,21.689676237018936,44.723885155772756
