,steps,hr_test_5,hr_test_10,hr_test_20,ndcg_test_5,ndcg_test_10,ndcg_test_20,cov_test_1,cov_test_5,cov_test_10,cov_test_20,nov_test_1,nov_test_5,nov_test_10,nov_test_20,rep_test_5,rep_test_10,rep_test_20,hr_val_5,hr_val_10,hr_val_20,ndcg_val_5,ndcg_val_10,ndcg_val_20,cov_val_1,cov_val_5,cov_val_10,cov_val_20,nov_val_1,nov_val_5,nov_val_10,nov_val_20,rep_val_5,rep_val_10,rep_val_20
0,5000,0.377212,0.49548,0.590138,0.25833,0.296777,0.320823,0.268632,0.462325,0.533668,0.597221,0.207677,0.403959,0.482264,0.552751,10.415254237288135,22.880750605326877,48.15556900726392,0.377001,0.494945,0.589562,0.258205,0.296459,0.320497,0.269568,0.463149,0.536252,0.595761,0.208924,0.404832,0.485133,0.551129,10.296273671350031,22.673182651191205,47.803298717165546
1,10000,0.377529,0.492879,0.588554,0.25751,0.295005,0.319298,0.316605,0.528837,0.60767,0.67714,0.253088,0.476858,0.564353,0.641494,10.115617433414043,22.061138014527845,46.119249394673126,0.374053,0.490831,0.586771,0.256524,0.294445,0.318817,0.315931,0.526665,0.605123,0.67729,0.25288,0.474446,0.561525,0.64166,9.99877825290165,21.931582162492365,45.95907147220525
2,15000,0.3712,0.483938,0.574814,0.255293,0.291893,0.314936,0.339413,0.544004,0.624111,0.694705,0.273922,0.493783,0.582609,0.660997,9.90314769975787,21.52179176755448,44.49152542372882,0.3655,0.479554,0.572916,0.25126,0.288294,0.311997,0.333458,0.541195,0.621826,0.691222,0.267975,0.490706,0.580072,0.65713,9.739156994502139,21.233964569334148,44.31276725717776
3,20000,0.367648,0.479697,0.570179,0.254013,0.290377,0.31332,0.347914,0.565688,0.646993,0.71871,0.284069,0.517819,0.608018,0.687653,9.944309927360775,21.476997578692494,44.24576271186441,0.367238,0.480227,0.570159,0.25349,0.290175,0.312994,0.34166,0.559958,0.643323,0.719085,0.277082,0.511457,0.603942,0.688069,9.795968234575444,21.128894318875993,43.956627978008555
4,25000,0.362926,0.472537,0.562714,0.250713,0.286279,0.309198,0.358213,0.570482,0.648229,0.716763,0.294423,0.523059,0.60939,0.685491,9.627118644067796,20.80145278450363,42.893462469733656,0.362799,0.474174,0.563444,0.250849,0.287002,0.309644,0.351884,0.566624,0.644184,0.714329,0.287354,0.518859,0.604899,0.682788,9.56505803298717,20.691508857666463,42.67684789248626
5,30000,0.355001,0.464394,0.552997,0.246236,0.281757,0.304262,0.357501,0.559434,0.63617,0.707213,0.292469,0.510916,0.596041,0.674887,9.427360774818402,20.392857142857142,41.98607748184019,0.355378,0.462673,0.552896,0.245628,0.280466,0.303385,0.358325,0.559321,0.636806,0.70755,0.293342,0.51075,0.596706,0.675261,9.262064752596213,20.233964569334148,41.632864996945635
6,35000,0.351974,0.458863,0.546427,0.243452,0.278122,0.300336,0.378511,0.585499,0.662048,0.727511,0.315091,0.539735,0.624735,0.697426,9.175544794188863,19.805084745762713,40.62409200968523,0.350782,0.457237,0.544523,0.241391,0.275959,0.298111,0.372407,0.583402,0.661523,0.729271,0.308562,0.537406,0.624153,0.69938,9.06658521686011,19.530849114233355,40.326206475259625
7,40000,0.35252,0.458218,0.545389,0.245289,0.279629,0.301769,0.377238,0.583065,0.66025,0.726987,0.313761,0.537115,0.622739,0.696844,9.271791767554479,19.967917675544793,40.93280871670702,0.348866,0.456015,0.546541,0.241726,0.276518,0.299469,0.375028,0.582578,0.657591,0.726612,0.311473,0.536574,0.619786,0.696428,9.071472205253512,19.615149664019548,40.57544288332315
8,45000,0.353274,0.458491,0.545629,0.24514,0.279295,0.301389,0.377987,0.584263,0.6604,0.727249,0.314218,0.538529,0.622905,0.697135,9.175544794188863,19.612590799031477,40.3589588377724,0.351713,0.456867,0.544523,0.243907,0.278003,0.300227,0.37559,0.582578,0.656955,0.726725,0.311598,0.536533,0.619079,0.696553,8.891875381795968,19.255345143555285,39.8588882101405
9,50000,0.34665,0.451266,0.537399,0.240922,0.274868,0.296732,0.381956,0.583102,0.660737,0.7265,0.317753,0.537115,0.623279,0.696303,9.076876513317192,19.377118644067796,39.761501210653755,0.346153,0.449211,0.537652,0.240177,0.273631,0.296046,0.379634,0.582466,0.658228,0.726949,0.315466,0.536366,0.620493,0.696802,8.811850946854001,19.083078802687844,39.44777031154551
