,steps,loss,plain,smorl
0,200,8.666747093200684,8.304,0.363
1,400,7.821949481964111,7.47,0.351
2,600,7.501736640930176,7.173,0.329
3,800,7.406417369842529,7.047,0.359
4,1000,7.204818248748779,6.862,0.342
5,1200,6.798563480377197,6.474,0.325
6,1400,6.99570369720459,6.651,0.344
7,1600,6.445399284362793,6.135,0.31
8,1800,6.293824195861816,6.007,0.287
9,2000,6.304197788238525,6.0,0.305
10,2200,6.178506851196289,5.861,0.317
11,2400,6.47652530670166,6.11,0.366
12,2600,6.357674598693848,6.038,0.319
13,2800,6.199411392211914,5.904,0.296
14,3000,5.867072582244873,5.523,0.344
15,3200,5.797680854797363,5.333,0.464
16,3400,5.928196430206299,5.539,0.39
17,3600,5.738628387451172,5.427,0.312
18,3800,5.706270217895508,5.421,0.285
19,4000,5.581952095031738,5.255,0.327
20,4200,5.985172748565674,5.571,0.414
21,4400,5.796730995178223,5.454,0.343
22,4600,5.566141128540039,5.205,0.361
23,4800,5.750043869018555,5.395,0.355
24,5000,5.93265962600708,5.558,0.375
25,5200,5.556943893432617,5.21,0.347
26,5400,5.481166839599609,5.165,0.316
27,5600,5.635406970977783,5.339,0.296
28,5800,5.461732387542725,5.051,0.411
29,6000,5.569282531738281,5.248,0.322
30,6200,5.66754674911499,5.25,0.417
31,6400,5.71143913269043,5.264,0.448
32,6600,5.365393161773682,5.054,0.312
33,6800,5.715044975280762,5.263,0.452
34,7000,5.6334381103515625,5.317,0.317
35,7200,5.360198497772217,5.002,0.358
36,7400,5.627889156341553,5.289,0.339
37,7600,5.494460582733154,5.169,0.326
38,7800,5.396988868713379,5.047,0.35
39,8000,5.789055347442627,5.49,0.299
40,8200,5.289186954498291,4.995,0.294
41,8400,5.551488399505615,5.314,0.237
42,8600,4.846928596496582,4.624,0.223
43,8800,5.117444038391113,4.805,0.312
44,9000,4.957088470458984,4.649,0.308
45,9200,5.082082748413086,4.743,0.339
46,9400,5.248571395874023,4.903,0.345
47,9600,5.419466972351074,5.154,0.265
48,9800,4.836544036865234,4.548,0.289
49,10000,5.25853967666626,4.973,0.285
50,10200,4.8325276374816895,4.517,0.315
51,10400,5.370896816253662,5.081,0.29
52,10600,5.157838344573975,4.906,0.252
53,10800,4.925474166870117,4.655,0.27
54,11000,5.439958572387695,5.151,0.289
55,11200,5.803584098815918,5.424,0.379
56,11400,5.26602029800415,5.018,0.248
57,11600,5.000278472900391,4.664,0.336
58,11800,4.835433483123779,4.553,0.283
59,12000,4.983419418334961,4.672,0.312
60,12200,4.908437728881836,4.65,0.259
61,12400,5.453272342681885,5.146,0.307
62,12600,5.0339250564575195,4.823,0.211
63,12800,5.046550750732422,4.785,0.262
64,13000,5.139509201049805,4.83,0.31
65,13200,5.1274542808532715,4.849,0.279
66,13400,4.650191783905029,4.421,0.229
67,13600,4.943359851837158,4.705,0.238
68,13800,5.127532958984375,4.837,0.291
69,14000,4.952052593231201,4.68,0.272
70,14200,5.225734710693359,5.0,0.226
71,14400,4.708165645599365,4.42,0.288
72,14600,4.484546184539795,4.253,0.232
73,14800,5.147310256958008,4.892,0.255
74,15000,4.851128101348877,4.549,0.302
75,15200,4.955192565917969,4.692,0.263
76,15400,4.67634391784668,4.392,0.284
77,15600,4.953001499176025,4.678,0.275
78,15800,5.131189823150635,4.892,0.239
79,16000,4.731054782867432,4.482,0.249
80,16200,4.95341157913208,4.645,0.309
81,16400,4.906164169311523,4.698,0.208
82,16600,4.743219375610352,4.515,0.228
83,16800,5.055029392242432,4.8,0.255
84,17000,4.973390102386475,4.702,0.272
85,17200,4.615574359893799,4.371,0.244
86,17400,4.609060287475586,4.307,0.302
87,17600,4.774044036865234,4.507,0.267
88,17800,4.820714950561523,4.602,0.219
89,18000,4.486428260803223,4.251,0.236
90,18200,4.793335914611816,4.53,0.263
91,18400,4.706375598907471,4.467,0.239
92,18600,4.861891269683838,4.59,0.272
93,18800,4.8784589767456055,4.672,0.206
94,19000,4.797786712646484,4.508,0.29
95,19200,4.666476726531982,4.361,0.306
96,19400,5.181406497955322,4.952,0.229
97,19600,4.847555637359619,4.591,0.257
98,19800,4.530323505401611,4.381,0.15
99,20000,4.722187042236328,4.466,0.256
100,20200,4.486964225769043,4.259,0.228
101,20400,4.740615367889404,4.478,0.262
102,20600,4.5074076652526855,4.291,0.216
103,20800,4.595396995544434,4.351,0.244
104,21000,4.763434410095215,4.509,0.255
105,21200,4.5774664878845215,4.335,0.243
106,21400,4.404419422149658,4.177,0.228
107,21600,4.51586389541626,4.265,0.251
108,21800,4.666411399841309,4.495,0.172
109,22000,4.9578142166137695,4.705,0.253
110,22200,4.760087966918945,4.496,0.264
111,22400,5.084493637084961,4.772,0.313
112,22600,4.676852226257324,4.424,0.253
113,22800,4.592751502990723,4.366,0.227
114,23000,4.4364423751831055,4.211,0.225
115,23200,4.865444660186768,4.636,0.23
116,23400,4.3796539306640625,4.105,0.275
117,23600,4.541442394256592,4.329,0.213
118,23800,4.845522880554199,4.573,0.273
119,24000,4.566938877105713,4.359,0.208
120,24200,4.750460147857666,4.503,0.248
121,24400,4.849472522735596,4.602,0.247
122,24600,4.882998466491699,4.615,0.268
123,24800,4.922523498535156,4.692,0.231
124,25000,4.762682914733887,4.525,0.238
125,25200,4.497900485992432,4.268,0.229
126,25400,4.407321929931641,4.196,0.212
127,25600,4.900164604187012,4.688,0.212
128,25800,4.814642906188965,4.549,0.265
129,26000,4.166139125823975,3.942,0.225
130,26200,4.4677300453186035,4.181,0.287
131,26400,4.980180740356445,4.705,0.275
132,26600,4.068480491638184,3.844,0.224
133,26800,4.736742973327637,4.47,0.267
134,27000,4.525828838348389,4.291,0.234
135,27200,4.621126174926758,4.4,0.221
136,27400,4.999706745147705,4.79,0.209
137,27600,4.6669602394104,4.495,0.172
138,27800,4.663668155670166,4.358,0.305
139,28000,4.8569464683532715,4.568,0.289
140,28200,5.146712303161621,4.841,0.306
141,28400,4.717087268829346,4.493,0.224
142,28600,4.349382400512695,4.118,0.232
143,28800,4.41784143447876,4.163,0.255
144,29000,4.762537479400635,4.52,0.243
145,29200,4.414410591125488,4.208,0.207
146,29400,4.6561431884765625,4.417,0.239
