,steps,loss,plain,smorl
0,200,8.541865348815918,8.178,0.364
1,400,7.75825309753418,7.378,0.381
2,600,7.792952537536621,7.353,0.44
3,800,7.335749626159668,6.892,0.444
4,1000,7.684175968170166,7.22,0.464
5,1200,7.223029136657715,6.739,0.484
6,1400,6.812659740447998,6.398,0.415
7,1600,7.13070011138916,6.672,0.458
8,1800,6.566652774810791,6.146,0.421
9,2000,6.393001079559326,5.936,0.457
10,2200,6.584848880767822,6.145,0.44
11,2400,6.558876991271973,5.988,0.571
12,2600,6.261214733123779,5.769,0.492
13,2800,6.4044108390808105,5.897,0.508
14,3000,6.064491271972656,5.549,0.515
15,3200,6.104672908782959,5.601,0.504
16,3400,6.281980514526367,5.755,0.527
17,3600,6.281765937805176,5.733,0.549
18,3800,6.047205924987793,5.442,0.605
19,4000,5.972843647003174,5.471,0.502
20,4200,6.102983474731445,5.493,0.61
21,4400,6.283529758453369,5.704,0.58
22,4600,6.099794387817383,5.556,0.544
23,4800,5.918826103210449,5.333,0.586
24,5000,5.700627326965332,5.251,0.449
25,5200,6.2649359703063965,5.691,0.574
26,5400,5.713286876678467,5.274,0.439
27,5600,5.86367130279541,5.379,0.485
28,5800,5.998117923736572,5.521,0.477
29,6000,5.496417045593262,5.018,0.479
30,6200,5.928661346435547,5.422,0.506
31,6400,5.555619716644287,4.998,0.558
32,6600,5.806398868560791,5.305,0.501
33,6800,5.432051658630371,4.919,0.514
34,7000,5.824429988861084,5.273,0.552
35,7200,5.625255107879639,5.093,0.532
36,7400,5.480985641479492,5.035,0.446
37,7600,5.280777931213379,4.856,0.425
38,7800,5.842187404632568,5.354,0.488
39,8000,5.507403373718262,5.111,0.396
40,8200,5.791243553161621,5.33,0.462
41,8400,5.458304405212402,5.042,0.417
42,8600,5.203452110290527,4.701,0.503
43,8800,5.6658711433410645,5.147,0.519
44,9000,5.151096343994141,4.58,0.571
45,9200,5.817580699920654,5.375,0.443
46,9400,5.159490585327148,4.664,0.496
47,9600,5.252749443054199,4.793,0.459
48,9800,5.41441011428833,4.977,0.438
49,10000,5.541110992431641,5.182,0.359
50,10200,5.248833656311035,4.841,0.408
51,10400,5.109387397766113,4.734,0.375
52,10600,5.204005718231201,4.818,0.386
53,10800,5.274659633636475,4.864,0.411
54,11000,5.4098310470581055,4.895,0.515
55,11200,5.511017799377441,5.092,0.419
56,11400,5.101613998413086,4.634,0.467
57,11600,4.792694091796875,4.474,0.319
58,11800,5.374049663543701,4.893,0.481
59,12000,5.0275444984436035,4.618,0.41
60,12200,5.207766532897949,4.765,0.443
61,12400,5.114246845245361,4.651,0.463
62,12600,5.095025062561035,4.716,0.379
63,12800,5.012619495391846,4.553,0.46
64,13000,4.963888645172119,4.663,0.301
65,13200,5.0971360206604,4.762,0.335
66,13400,4.953900337219238,4.576,0.377
67,13600,5.110088348388672,4.698,0.412
68,13800,5.007657051086426,4.644,0.364
69,14000,4.9157819747924805,4.582,0.333
70,14200,5.1670241355896,4.76,0.407
71,14400,4.9632720947265625,4.571,0.392
72,14600,5.016744613647461,4.596,0.42
73,14800,5.148929595947266,4.733,0.416
74,15000,5.163826942443848,4.744,0.42
75,15200,4.828899383544922,4.45,0.379
76,15400,5.224289417266846,4.77,0.455
77,15600,5.348021507263184,4.933,0.415
78,15800,5.218245506286621,4.871,0.347
79,16000,5.130868911743164,4.758,0.372
80,16200,5.0865278244018555,4.726,0.361
81,16400,5.291822910308838,4.902,0.39
82,16600,5.012942314147949,4.597,0.416
83,16800,5.001690864562988,4.612,0.389
84,17000,5.143345355987549,4.713,0.43
85,17200,4.63139533996582,4.25,0.381
86,17400,4.7578840255737305,4.407,0.35
87,17600,4.794617652893066,4.355,0.439
88,17800,4.984148979187012,4.559,0.425
89,18000,5.136102676391602,4.735,0.401
90,18200,4.972286701202393,4.549,0.424
91,18400,4.947357654571533,4.522,0.425
92,18600,5.000766277313232,4.579,0.422
93,18800,5.092854976654053,4.702,0.391
94,19000,4.995941162109375,4.596,0.4
95,19200,5.074723243713379,4.672,0.402
96,19400,5.144855499267578,4.745,0.4
97,19600,5.117931365966797,4.729,0.389
98,19800,4.84324312210083,4.511,0.333
99,20000,4.626941680908203,4.241,0.386
100,20200,4.93218994140625,4.518,0.414
101,20400,4.759674549102783,4.375,0.385
102,20600,4.958444595336914,4.546,0.412
103,20800,4.583805561065674,4.194,0.39
104,21000,5.016026973724365,4.609,0.408
105,21200,4.882495403289795,4.494,0.389
106,21400,4.842621326446533,4.487,0.356
107,21600,4.919246196746826,4.54,0.379
108,21800,4.77329683303833,4.463,0.31
109,22000,4.8005828857421875,4.406,0.395
110,22200,5.125831127166748,4.708,0.418
111,22400,4.783668518066406,4.431,0.353
112,22600,5.234645366668701,4.889,0.345
113,22800,4.888282775878906,4.527,0.361
114,23000,4.662280559539795,4.292,0.37
115,23200,5.0332441329956055,4.659,0.374
116,23400,4.684578895568848,4.317,0.367
117,23600,5.063352584838867,4.665,0.398
118,23800,5.041865348815918,4.724,0.318
119,24000,4.794388294219971,4.338,0.457
120,24200,4.8038153648376465,4.431,0.373
121,24400,4.855539321899414,4.472,0.384
122,24600,5.168333530426025,4.762,0.407
123,24800,4.89159631729126,4.528,0.364
124,25000,5.03782844543457,4.664,0.374
125,25200,4.712411880493164,4.367,0.345
126,25400,4.8466291427612305,4.461,0.385
127,25600,4.797891616821289,4.417,0.381
128,25800,4.590993881225586,4.191,0.4
129,26000,4.62037467956543,4.276,0.345
130,26200,4.718242645263672,4.317,0.401
131,26400,4.714564800262451,4.387,0.328
132,26600,4.6925764083862305,4.316,0.377
133,26800,4.53920841217041,4.188,0.351
134,27000,4.8653950691223145,4.501,0.365
135,27200,4.955508708953857,4.571,0.385
136,27400,4.747220993041992,4.371,0.376
137,27600,4.6568450927734375,4.289,0.368
138,27800,5.061048984527588,4.678,0.383
139,28000,4.731515407562256,4.427,0.304
140,28200,4.799319744110107,4.434,0.365
141,28400,4.547202110290527,4.226,0.321
142,28600,4.665035724639893,4.268,0.397
143,28800,4.429203033447266,4.012,0.418
