,steps,hr_test_5,hr_test_10,hr_test_20,ndcg_test_5,ndcg_test_10,ndcg_test_20,cov_test_1,cov_test_5,cov_test_10,cov_test_20,nov_test_1,nov_test_5,nov_test_10,nov_test_20,rep_test_5,rep_test_10,rep_test_20,hr_val_5,hr_val_10,hr_val_20,ndcg_val_5,ndcg_val_10,ndcg_val_20,cov_val_1,cov_val_5,cov_val_10,cov_val_20,nov_val_1,nov_val_5,nov_val_10,nov_val_20,rep_val_5,rep_val_10,rep_val_20
0,5000,0.352072,0.457114,0.543039,0.244408,0.278494,0.300303,0.140027,0.227211,0.264812,0.298629,0.070736,0.146255,0.184805,0.221275,11.53087167070218,24.785714285714285,51.470338983050844,0.351388,0.457326,0.543492,0.243221,0.277616,0.29946,0.139203,0.227773,0.263426,0.297056,0.070903,0.146422,0.183058,0.21957,11.358582773365914,24.39034819792303,50.83811850946854
1,10000,0.383366,0.495633,0.583176,0.266101,0.302569,0.324806,0.204479,0.327541,0.374616,0.414688,0.133613,0.25446,0.305984,0.350064,11.292372881355933,24.60048426150121,51.52239709443099,0.383031,0.49564,0.585213,0.265823,0.302455,0.325177,0.204554,0.328814,0.374242,0.415924,0.133655,0.255791,0.305651,0.351437,11.156994502138057,24.33048259010385,51.07269395235186
2,15000,0.39387,0.507285,0.597713,0.273003,0.309869,0.332814,0.239682,0.387162,0.440416,0.488053,0.169792,0.319957,0.378675,0.43153,11.12590799031477,24.312348668280872,51.041162227602904,0.390912,0.504282,0.596007,0.271612,0.308437,0.33173,0.238933,0.386563,0.439031,0.485769,0.169252,0.319582,0.377136,0.428993,11.029321930360416,24.083689676237018,50.66279780085522
3,20000,0.398505,0.514565,0.605113,0.276628,0.314347,0.337369,0.264175,0.427758,0.490862,0.544117,0.194577,0.36491,0.434649,0.493783,10.98365617433414,24.213075060532688,51.016949152542374,0.39748,0.514516,0.606791,0.276525,0.314541,0.337985,0.261703,0.431653,0.490151,0.542544,0.192748,0.369443,0.433859,0.492036,10.87477092241906,24.039706780696395,50.64263897373244
4,25000,0.403653,0.517451,0.608819,0.280943,0.317908,0.341087,0.271403,0.455921,0.522171,0.577859,0.203684,0.396058,0.469414,0.531251,11.185230024213075,24.652542372881356,51.92372881355932,0.401415,0.514942,0.609055,0.278914,0.315787,0.339685,0.273463,0.45652,0.523519,0.579357,0.205223,0.396806,0.470911,0.532915,10.983506414172266,24.22846670739157,51.22357971899817
5,30000,0.401532,0.517625,0.610251,0.278787,0.316509,0.340013,0.285821,0.475994,0.543555,0.601116,0.217075,0.418347,0.493159,0.557076,11.095036319612591,24.285714285714285,51.157384987893465,0.402636,0.517632,0.611095,0.279259,0.316626,0.340351,0.285372,0.473822,0.54333,0.601528,0.217491,0.415894,0.49291,0.557533,10.97251069028711,23.993891264508246,50.502748930971286
6,35000,0.404604,0.51968,0.612229,0.281069,0.31848,0.341991,0.298817,0.505393,0.576848,0.638641,0.23059,0.450909,0.530128,0.598744,11.185835351089588,24.61743341404358,51.91041162227603,0.402625,0.518193,0.612093,0.279654,0.317216,0.341064,0.295821,0.504681,0.576586,0.638903,0.227596,0.450119,0.529837,0.599035,11.020769700671961,24.38240684178375,51.56627978008552
7,40000,0.405216,0.520183,0.611934,0.282056,0.319376,0.342657,0.303723,0.514606,0.589993,0.652311,0.236204,0.461222,0.544725,0.613923,11.056900726392252,24.18099273607748,50.893462469733656,0.402054,0.518742,0.611756,0.280521,0.318395,0.342033,0.301138,0.514793,0.589581,0.651187,0.233626,0.461388,0.544267,0.612675,10.80818570555895,23.81612706169823,50.17165546731827
8,45000,0.408113,0.523145,0.614481,0.283944,0.321323,0.344527,0.31095,0.528125,0.605198,0.669763,0.24319,0.476151,0.561609,0.633301,11.222154963680387,24.7136803874092,52.35835351089588,0.40777,0.523226,0.61513,0.282986,0.32052,0.343862,0.310613,0.530297,0.605161,0.668489,0.243939,0.478563,0.561567,0.631888,11.059254734270006,24.393402565668907,51.62981062919975
9,50000,0.40514,0.519855,0.610327,0.282551,0.319822,0.342797,0.312748,0.53408,0.612576,0.677665,0.246559,0.482805,0.569801,0.642076,10.995157384987893,24.12046004842615,50.77905569007264,0.404419,0.519392,0.612126,0.281003,0.318346,0.341903,0.312261,0.532919,0.608868,0.673583,0.246018,0.481391,0.565684,0.637543,10.745876603543067,23.720219914477703,50.20403176542456
10,55000,0.405664,0.522194,0.611923,0.282044,0.319903,0.342674,0.314958,0.537488,0.613662,0.6795,0.248097,0.486547,0.571007,0.644114,11.0090799031477,24.23910411622276,51.25363196125908,0.405394,0.519896,0.611431,0.281625,0.318866,0.342121,0.316493,0.535466,0.614973,0.677889,0.249553,0.484302,0.572462,0.642325,10.888210140500917,23.882712278558337,50.44899205864386
11,60000,0.4089,0.525222,0.61576,0.283925,0.321709,0.344676,0.32477,0.555052,0.635233,0.70388,0.257205,0.506009,0.59496,0.671186,10.915254237288135,24.072033898305083,50.619249394673126,0.406604,0.522475,0.61392,0.282799,0.320428,0.343666,0.323272,0.551232,0.633848,0.702082,0.257038,0.501684,0.593421,0.66919,10.707391569945022,23.66463042150275,49.9505192425168
12,65000,0.407544,0.522916,0.614087,0.282926,0.320429,0.343571,0.324395,0.561231,0.644371,0.710958,0.258577,0.512912,0.605107,0.679045,10.99818401937046,24.232445520581113,50.97760290556901,0.404329,0.521242,0.614917,0.281223,0.319217,0.342998,0.322672,0.562692,0.643922,0.712007,0.256248,0.514451,0.604608,0.68021,10.880268784361638,23.875381795968234,50.555284056200364
13,70000,0.405533,0.519582,0.610786,0.281549,0.318592,0.341746,0.32286,0.556662,0.635833,0.701783,0.255957,0.507797,0.595625,0.668857,10.725786924939467,23.61682808716707,49.68946731234867,0.40258,0.519291,0.611992,0.27941,0.317307,0.340852,0.319564,0.554528,0.634896,0.699948,0.254086,0.505468,0.594586,0.666819,10.530849114233353,23.136224801466096,48.95846059865608
14,75000,0.405588,0.522151,0.613431,0.281756,0.319634,0.342829,0.328627,0.56213,0.642948,0.709947,0.261488,0.513993,0.603526,0.677922,11.073849878934626,24.22215496368039,51.1089588377724,0.402289,0.52002,0.611734,0.279687,0.317942,0.341249,0.327541,0.560445,0.641825,0.708599,0.261571,0.512039,0.602279,0.676425,10.901649358582773,23.96579108124618,50.3811850946854
15,80000,0.406921,0.52273,0.612579,0.282578,0.320226,0.343027,0.332147,0.574414,0.658527,0.729384,0.266437,0.527509,0.620826,0.699505,11.01997578692494,24.260290556900728,50.84322033898305,0.405484,0.518809,0.610983,0.281891,0.318714,0.342151,0.329189,0.571493,0.654857,0.724815,0.263318,0.524265,0.616751,0.694432,10.763591936469151,23.783750763591936,50.241905925473425
16,85000,0.405828,0.519287,0.609945,0.281908,0.318773,0.341785,0.328702,0.571118,0.654782,0.718673,0.262694,0.523932,0.616667,0.687612,10.564164648910412,23.283898305084747,49.11682808716707,0.403993,0.51826,0.610445,0.280417,0.317514,0.340938,0.325369,0.56992,0.650064,0.715939,0.260074,0.52256,0.611428,0.684576,10.390959071472205,22.984117287721443,48.63836285888821
17,90000,0.403413,0.518095,0.608349,0.280317,0.317518,0.340449,0.328215,0.567898,0.648303,0.711595,0.26103,0.520273,0.609473,0.679752,10.524818401937045,23.263922518159806,48.93462469733656,0.401504,0.515794,0.608819,0.278729,0.315855,0.339474,0.328889,0.56625,0.64557,0.708486,0.262777,0.518401,0.606437,0.676301,10.360415394013438,22.875381795968234,48.47037263286499
18,95000,0.405435,0.519779,0.609332,0.280703,0.317839,0.340573,0.331548,0.578084,0.658902,0.723579,0.266852,0.531542,0.621242,0.693059,10.476997578692494,23.190677966101696,48.97094430992736,0.40072,0.517856,0.609357,0.278432,0.316502,0.339758,0.331174,0.5755,0.656168,0.721369,0.265979,0.528673,0.618206,0.690606,10.317043372021992,22.846670739156995,48.526572999389124
19,100000,0.404833,0.519571,0.6106,0.281695,0.318963,0.342084,0.342259,0.584675,0.665943,0.7359,0.276209,0.538861,0.62906,0.706741,11.0090799031477,24.062953995157386,50.55992736077482,0.40443,0.51928,0.609156,0.281072,0.318362,0.341203,0.338177,0.57947,0.661636,0.729646,0.27255,0.533039,0.624277,0.699796,10.8094074526573,23.706780696395846,50.06719609040928
