,steps,hr_test_5,hr_test_10,hr_test_20,ndcg_test_5,ndcg_test_10,ndcg_test_20,cov_test_1,cov_test_5,cov_test_10,cov_test_20,nov_test_1,nov_test_5,nov_test_10,nov_test_20,rep_test_5,rep_test_10,rep_test_20,hr_val_5,hr_val_10,hr_val_20,ndcg_val_5,ndcg_val_10,ndcg_val_20,cov_val_1,cov_val_5,cov_val_10,cov_val_20,nov_val_1,nov_val_5,nov_val_10,nov_val_20,rep_val_5,rep_val_10,rep_val_20
0,5000,0.351799,0.455912,0.540951,0.244548,0.278369,0.299933,0.138192,0.223204,0.25646,0.288368,0.069364,0.140641,0.17549,0.209964,11.286924939467312,24.293583535108958,50.74213075060533,0.353742,0.457203,0.542696,0.246471,0.280054,0.301719,0.136357,0.222006,0.25691,0.289304,0.068241,0.139726,0.175906,0.211003,11.135003054367745,24.098350641417227,50.18937080024435
1,10000,0.382863,0.494682,0.582684,0.265996,0.302302,0.324652,0.201034,0.323983,0.371021,0.410681,0.13091,0.250717,0.301867,0.345615,11.39043583535109,24.69309927360775,51.73970944309927,0.382269,0.490203,0.581917,0.264817,0.299921,0.323218,0.200921,0.324994,0.369298,0.410306,0.130993,0.25184,0.299954,0.345241,11.147220525351253,24.38668295662798,51.01832620647526
2,15000,0.395226,0.50899,0.599309,0.273695,0.310681,0.333627,0.239682,0.38881,0.444012,0.490525,0.170167,0.321787,0.382667,0.434275,11.35230024213075,24.86319612590799,52.2772397094431,0.392974,0.506255,0.597823,0.272308,0.309151,0.332378,0.23811,0.389109,0.443675,0.491424,0.169127,0.322202,0.382293,0.435273,11.136224801466097,24.560781918142943,51.82773365913256
3,20000,0.40244,0.516062,0.606523,0.279881,0.316798,0.339796,0.265486,0.440828,0.504232,0.556625,0.197696,0.379382,0.449578,0.507672,11.23728813559322,24.65556900726392,51.916464891041166,0.399767,0.515715,0.606802,0.277043,0.314721,0.337823,0.264924,0.440379,0.504569,0.55625,0.197031,0.379008,0.449911,0.507257,11.079413561392792,24.324373854612094,51.29016493585828
4,25000,0.401893,0.516303,0.609147,0.279235,0.316376,0.33992,0.278968,0.463711,0.52468,0.578421,0.210213,0.404707,0.4722,0.531875,11.056900726392252,24.276029055690074,50.99818401937046,0.401168,0.516366,0.608315,0.278628,0.316095,0.339442,0.280054,0.4621,0.524717,0.577597,0.211544,0.402961,0.472242,0.53096,10.931582162492363,24.01405009163103,50.58582773365913
5,30000,0.40397,0.52073,0.612754,0.280845,0.318811,0.342195,0.288181,0.486068,0.553854,0.614748,0.22061,0.429534,0.504595,0.572213,11.26271186440678,24.816585956416464,52.190677966101696,0.401459,0.517767,0.612171,0.278591,0.316343,0.340302,0.28657,0.489664,0.555501,0.613999,0.219861,0.433526,0.506425,0.571381,11.081246182040317,24.45204642638974,51.53390348197923
6,35000,0.402855,0.51968,0.609792,0.279631,0.317559,0.340439,0.296719,0.494794,0.566549,0.62793,0.227679,0.439098,0.518693,0.586851,11.074455205811137,24.321428571428573,51.21852300242131,0.40332,0.518215,0.612149,0.279711,0.317049,0.3409,0.295259,0.496892,0.568085,0.626245,0.227721,0.441427,0.520398,0.584979,10.825290164935858,23.891264508246792,50.49358582773366
7,40000,0.406582,0.522238,0.61248,0.28249,0.320032,0.342951,0.301513,0.512958,0.587072,0.650813,0.233252,0.459434,0.541481,0.612259,11.261501210653753,24.796610169491526,52.143462469733656,0.405002,0.521073,0.612855,0.282132,0.319815,0.343113,0.299229,0.514381,0.589394,0.652348,0.231588,0.461097,0.54406,0.613964,11.092852779474649,24.376298106291998,51.60781918142944
8,45000,0.405402,0.5212,0.611879,0.282409,0.320082,0.343106,0.305633,0.520822,0.598345,0.663321,0.238866,0.468083,0.553998,0.626149,10.986077481840194,24.08777239709443,50.75423728813559,0.403959,0.521286,0.614256,0.282144,0.320246,0.343872,0.306719,0.523369,0.59591,0.658715,0.239864,0.47087,0.551295,0.621034,10.745876603543067,23.747098350641416,50.08735491753207
9,50000,0.406495,0.522216,0.613016,0.282953,0.320579,0.343635,0.316306,0.536477,0.615797,0.682009,0.248139,0.485383,0.573377,0.6469,11.159806295399516,24.520581113801452,51.828087167070215,0.406571,0.521701,0.615579,0.281536,0.31888,0.342702,0.31522,0.53981,0.615572,0.680998,0.247765,0.489125,0.573128,0.645777,11.035430665852168,24.2895540623091,51.434331093463655
