,steps,hr_test_5,hr_test_10,hr_test_20,ndcg_test_5,ndcg_test_10,ndcg_test_20,cov_test_1,cov_test_5,cov_test_10,cov_test_20,nov_test_1,nov_test_5,nov_test_10,nov_test_20,rep_test_5,rep_test_10,rep_test_20,hr_val_5,hr_val_10,hr_val_20,ndcg_val_5,ndcg_val_10,ndcg_val_20,cov_val_1,cov_val_5,cov_val_10,cov_val_20,nov_val_1,nov_val_5,nov_val_10,nov_val_20,rep_val_5,rep_val_10,rep_val_20
0,5000,0.272429,0.359674,0.434701,0.189207,0.217472,0.23651,0.156617,0.247884,0.281103,0.312786,0.08222,0.165772,0.201598,0.23655,14.51065,29.94875,61.3466,0.271889,0.358403,0.435618,0.189768,0.217838,0.237423,0.15688,0.245749,0.280503,0.313123,0.081846,0.16365,0.200766,0.236924,14.3801,29.6529,60.7932
1,10000,0.280796,0.369863,0.448082,0.194594,0.223477,0.243311,0.222605,0.362145,0.419519,0.467231,0.148671,0.291724,0.355095,0.408064,14.5989,30.1426,61.5313,0.279583,0.367748,0.44675,0.194615,0.223174,0.243199,0.217736,0.36016,0.417422,0.467193,0.143802,0.289602,0.352765,0.408022,14.45185,29.82675,60.9464
2,15000,0.279768,0.369295,0.44709,0.194184,0.223219,0.242944,0.259681,0.434087,0.499588,0.560183,0.18795,0.371448,0.444014,0.511339,14.4801,29.91475,61.1618,0.279102,0.367512,0.446314,0.194198,0.222848,0.242825,0.257359,0.430754,0.496892,0.554453,0.185578,0.367703,0.441019,0.504972,14.32825,29.6009,60.5686
3,20000,0.279525,0.369367,0.446649,0.193426,0.222557,0.242125,0.278818,0.468092,0.54127,0.609617,0.208547,0.409479,0.490326,0.566263,14.477,29.872,61.01155,0.27853,0.365697,0.444908,0.193579,0.221797,0.241881,0.276234,0.46607,0.53996,0.605423,0.2058,0.406982,0.488869,0.561603,14.2957,29.51565,60.37635
4,25000,0.280481,0.368105,0.446324,0.194277,0.222691,0.242531,0.294173,0.496817,0.575687,0.644184,0.224691,0.441102,0.528606,0.604669,14.3747,29.6887,60.79685,0.27883,0.367285,0.445815,0.193809,0.222466,0.242374,0.294772,0.492622,0.571231,0.638229,0.224774,0.436442,0.523613,0.598053,14.2125,29.35605,60.15175
5,30000,0.279146,0.366319,0.444539,0.193266,0.221568,0.241411,0.308891,0.506704,0.586735,0.658228,0.240211,0.452045,0.54084,0.620272,14.1978,29.3817,60.17875,0.27873,0.364718,0.443012,0.1938,0.221655,0.241494,0.305258,0.508164,0.583926,0.655606,0.235426,0.453626,0.537761,0.617359,14.01195,29.0896,59.57845
6,35000,0.279002,0.366797,0.442158,0.193304,0.221737,0.240851,0.311737,0.515767,0.594637,0.668002,0.24354,0.462281,0.549661,0.631132,14.231,29.4349,60.09715,0.277178,0.363502,0.441606,0.193284,0.221227,0.241014,0.313422,0.52071,0.600592,0.675043,0.244955,0.467565,0.556235,0.638955,14.051,29.11215,59.5133
7,40000,0.278154,0.366139,0.442194,0.193397,0.221932,0.24123,0.311625,0.516104,0.596098,0.67377,0.241168,0.462406,0.551242,0.63754,14.1351,29.2498,59.8305,0.276707,0.363765,0.441651,0.19285,0.221115,0.240857,0.31125,0.514269,0.594675,0.669725,0.240794,0.460492,0.549661,0.633046,13.95895,28.95065,59.3054
8,45000,0.279182,0.367248,0.443285,0.193725,0.222279,0.241557,0.318178,0.521646,0.604187,0.683245,0.248034,0.468564,0.56023,0.648067,13.837,28.73995,58.9329,0.278358,0.364445,0.441161,0.193749,0.221615,0.241076,0.318328,0.522246,0.603438,0.681335,0.248533,0.46923,0.559397,0.645945,13.6736,28.4006,58.2933
9,50000,0.277992,0.365625,0.443078,0.192696,0.22111,0.24078,0.320725,0.524755,0.607295,0.686653,0.250531,0.472018,0.563683,0.651854,14.0083,28.99145,59.3159,0.278657,0.364491,0.440644,0.194229,0.222037,0.241323,0.316905,0.522882,0.603438,0.682159,0.246786,0.469937,0.559397,0.646861,13.8403,28.70115,58.76085
10,55000,0.276522,0.364453,0.440833,0.191266,0.219782,0.239161,0.336267,0.542281,0.62456,0.704666,0.268423,0.491616,0.582865,0.671868,13.7592,28.55505,58.50315,0.276562,0.363502,0.438966,0.192436,0.220581,0.23972,0.335218,0.545952,0.628605,0.708599,0.266966,0.495569,0.587359,0.676237,13.59585,28.24475,57.8885
11,60000,0.275386,0.361072,0.435811,0.191187,0.218941,0.237902,0.316044,0.519624,0.60033,0.683282,0.245371,0.466359,0.555944,0.648109,14.09365,29.15705,59.61985,0.274339,0.359474,0.435228,0.191112,0.21873,0.237928,0.314546,0.52232,0.606621,0.6889,0.24354,0.469313,0.562934,0.65435,13.94525,28.84095,59.00535
12,65000,0.280814,0.367663,0.442807,0.194553,0.222709,0.241753,0.32095,0.526777,0.608419,0.690548,0.250739,0.474223,0.564932,0.656181,13.7832,28.6249,58.70225,0.279283,0.366069,0.441941,0.194162,0.222259,0.241488,0.322073,0.53056,0.614111,0.701183,0.251446,0.478509,0.571256,0.667998,13.612,28.3026,58.07925
13,70000,0.277722,0.364453,0.44022,0.192566,0.22071,0.239941,0.332784,0.531833,0.615385,0.698412,0.263221,0.47984,0.572671,0.664919,13.6532,28.46125,58.31975,0.277623,0.362867,0.438703,0.193427,0.221071,0.240294,0.331174,0.538799,0.625084,0.70976,0.261474,0.48758,0.583448,0.677527,13.50295,28.15145,57.67925
14,75000,0.277036,0.365688,0.441725,0.192048,0.220805,0.240096,0.338364,0.543255,0.625234,0.70976,0.269796,0.492614,0.583614,0.677527,13.55145,28.26385,57.99535,0.278222,0.363774,0.4402,0.193581,0.22134,0.240711,0.3399,0.543442,0.627556,0.714403,0.272667,0.492739,0.586194,0.682686,13.41485,27.9802,57.4388
15,80000,0.276631,0.363227,0.439174,0.191479,0.21958,0.238838,0.337578,0.543555,0.629878,0.713767,0.268131,0.492947,0.588774,0.681979,13.58985,28.2814,57.9518,0.27726,0.361198,0.436562,0.192617,0.219819,0.23893,0.334432,0.547412,0.632687,0.71916,0.265135,0.49715,0.591894,0.687971,13.4225,27.97265,57.39845
