,steps,loss,plain,smorl
0,200,8.686502456665039,8.633,0.054
1,400,8.685964584350586,8.607,0.079
2,600,8.340229034423828,8.264,0.076
3,800,8.136615753173828,8.061,0.076
4,1000,7.774869918823242,7.648,0.127
5,1200,7.956182956695557,7.844,0.112
6,1400,7.665205001831055,7.491,0.175
7,1600,6.973353862762451,6.834,0.14
8,1800,7.790089130401611,7.653,0.137
9,2000,7.282559394836426,7.167,0.116
10,2200,7.220452308654785,7.064,0.157
11,2400,7.328261852264404,7.216,0.112
12,2600,6.954875469207764,6.844,0.111
13,2800,6.955717086791992,6.847,0.109
14,3000,7.045554161071777,6.884,0.161
15,3200,7.0406107902526855,6.924,0.116
16,3400,7.159908771514893,6.993,0.167
17,3600,7.033490180969238,6.845,0.189
18,3800,6.847750663757324,6.659,0.189
19,4000,6.631505012512207,6.497,0.134
20,4200,6.674356937408447,6.55,0.124
21,4400,6.7122883796691895,6.504,0.208
22,4600,6.672009468078613,6.455,0.217
23,4800,6.4683098793029785,6.281,0.188
24,5000,6.605230808258057,6.431,0.175
25,5200,6.310066223144531,6.136,0.174
26,5400,6.638263702392578,6.431,0.208
27,5600,6.354171276092529,6.178,0.176
28,5800,6.82368278503418,6.616,0.208
29,6000,6.4605326652526855,6.244,0.216
30,6200,6.51216459274292,6.324,0.188
31,6400,6.2756218910217285,6.079,0.196
32,6600,6.188522815704346,5.935,0.253
33,6800,6.016397476196289,5.821,0.195
34,7000,6.733595848083496,6.47,0.263
35,7200,6.465668201446533,6.255,0.211
36,7400,5.984847068786621,5.792,0.193
37,7600,6.305232048034668,6.057,0.248
38,7800,6.275298118591309,6.009,0.266
39,8000,6.348791122436523,5.972,0.377
40,8200,6.382262229919434,6.072,0.311
41,8400,6.273138046264648,5.982,0.291
42,8600,6.457897186279297,6.136,0.322
43,8800,6.26864767074585,5.996,0.272
44,9000,6.155738353729248,5.854,0.301
45,9200,6.363576889038086,6.134,0.23
46,9400,5.9947896003723145,5.701,0.294
47,9600,6.637406349182129,6.411,0.226
48,9800,5.825809001922607,5.612,0.214
49,10000,6.0699005126953125,5.784,0.286
50,10200,6.052046298980713,5.828,0.224
51,10400,6.121264934539795,5.899,0.222
52,10600,6.206494331359863,5.974,0.232
53,10800,5.906891822814941,5.699,0.207
54,11000,5.8249711990356445,5.596,0.229
55,11200,5.739636421203613,5.529,0.211
56,11400,5.818775177001953,5.556,0.263
57,11600,5.974302768707275,5.738,0.236
58,11800,5.5713605880737305,5.331,0.24
59,12000,6.308584213256836,6.095,0.214
60,12200,6.0555572509765625,5.792,0.264
