,steps,hr_test_5,hr_test_10,hr_test_20,ndcg_test_5,ndcg_test_10,ndcg_test_20,cov_test_1,cov_test_5,cov_test_10,cov_test_20,nov_test_1,nov_test_5,nov_test_10,nov_test_20,rep_test_5,rep_test_10,rep_test_20,hr_val_5,hr_val_10,hr_val_20,ndcg_val_5,ndcg_val_10,ndcg_val_20,cov_val_1,cov_val_5,cov_val_10,cov_val_20,nov_val_1,nov_val_5,nov_val_10,nov_val_20,rep_val_5,rep_val_10,rep_val_20
0,5000,0.246515,0.327647,0.39749,0.17082,0.197187,0.214904,0.085612,0.133923,0.153359,0.172234,0.017143,0.045562,0.062664,0.081555,15.0026,30.8371,62.7967,0.247113,0.327848,0.398494,0.171858,0.198035,0.215938,0.086098,0.13426,0.154258,0.172721,0.017767,0.045895,0.063704,0.082012,14.88335,30.5788,62.28785
1,10000,0.268362,0.354967,0.429616,0.186462,0.214548,0.233476,0.134709,0.214516,0.247435,0.277732,0.057962,0.12953,0.164274,0.19752,14.87585,30.6475,62.51025,0.266818,0.35237,0.427979,0.1854,0.213122,0.232286,0.135196,0.21489,0.246274,0.277919,0.058461,0.130071,0.163359,0.197728,14.72755,30.3219,61.93475
2,15000,0.272501,0.36054,0.43838,0.188264,0.216847,0.236585,0.176841,0.281514,0.323571,0.366714,0.100154,0.202721,0.248616,0.296384,14.88565,30.6846,62.60755,0.270773,0.357541,0.436171,0.188473,0.216602,0.236534,0.176017,0.283162,0.325743,0.366489,0.099155,0.204552,0.250947,0.296134,14.72815,30.3205,61.97065
3,20000,0.276306,0.365922,0.443078,0.191783,0.220817,0.240389,0.205977,0.333982,0.385102,0.433526,0.130779,0.260642,0.316898,0.370615,14.78435,30.4671,62.15885,0.274629,0.36293,0.440626,0.191758,0.220386,0.240067,0.201745,0.331773,0.384391,0.430979,0.126285,0.258062,0.316149,0.367786,14.6402,30.16555,61.61605
4,25000,0.275693,0.364173,0.440418,0.191128,0.219771,0.239092,0.223654,0.374054,0.432402,0.486705,0.149752,0.305289,0.369492,0.429701,15.09635,30.9439,62.9816,0.274312,0.360708,0.439483,0.19034,0.218339,0.238275,0.221931,0.37016,0.430118,0.484009,0.148338,0.300712,0.366995,0.426705,14.9416,30.64025,62.3583
5,30000,0.278714,0.367825,0.446189,0.192967,0.221889,0.241759,0.244064,0.401618,0.468467,0.522058,0.172097,0.33558,0.409479,0.46898,14.79535,30.5052,62.3048,0.277795,0.365081,0.443357,0.192829,0.221084,0.240949,0.242192,0.404052,0.467568,0.525092,0.169226,0.33816,0.408438,0.472351,14.65005,30.19565,61.7075
6,35000,0.278371,0.366067,0.444746,0.193658,0.222122,0.24205,0.265673,0.440903,0.507078,0.564677,0.194607,0.378937,0.452336,0.516332,14.67615,30.2166,61.819,0.278059,0.365071,0.442468,0.193161,0.221355,0.240979,0.263651,0.439667,0.505206,0.564152,0.192152,0.377481,0.450256,0.515749,14.5013,29.9076,61.222
7,40000,0.27682,0.365318,0.442663,0.19196,0.220668,0.240289,0.26968,0.451839,0.522133,0.582428,0.19906,0.391503,0.469105,0.536055,14.81825,30.4632,62.2822,0.276153,0.36244,0.441424,0.191783,0.219772,0.239824,0.268969,0.45109,0.519999,0.581904,0.198685,0.390297,0.466692,0.535472,14.6618,30.14135,61.6846
8,45000,0.277604,0.365372,0.443222,0.192645,0.221095,0.240822,0.276459,0.465733,0.537675,0.60415,0.204427,0.406608,0.486331,0.560188,14.8226,30.54495,62.3416,0.277296,0.363266,0.441751,0.193343,0.221211,0.241096,0.275036,0.457906,0.530522,0.59269,0.203304,0.39787,0.478425,0.547456,14.6837,30.2264,61.73335
9,50000,0.278136,0.366013,0.443637,0.193175,0.221689,0.241371,0.282563,0.471725,0.548348,0.610778,0.212083,0.413473,0.49819,0.567553,14.7564,30.41435,61.98725,0.276979,0.363919,0.442059,0.193666,0.221843,0.241648,0.281739,0.468167,0.544079,0.606771,0.210793,0.409562,0.493447,0.563101,14.5973,30.0921,61.39595
10,55000,0.279777,0.368483,0.446333,0.19369,0.222415,0.242142,0.297356,0.493184,0.569058,0.633585,0.227271,0.437024,0.5212,0.592893,14.40755,29.73225,60.71205,0.278648,0.365688,0.444119,0.193735,0.221957,0.241829,0.293948,0.488653,0.561231,0.625384,0.223526,0.432031,0.512545,0.583781,14.26725,29.4167,60.16195
11,60000,0.278948,0.366373,0.444331,0.193049,0.221383,0.241149,0.293985,0.492135,0.567898,0.635271,0.222902,0.435901,0.51991,0.594766,14.49035,29.8692,61.0041,0.277641,0.36509,0.44244,0.192533,0.220907,0.2405,0.292487,0.490113,0.567336,0.634222,0.221029,0.433654,0.519286,0.5936,14.3456,29.5914,60.46025
12,65000,0.280868,0.369421,0.445918,0.195516,0.22424,0.243635,0.302,0.50191,0.579208,0.650101,0.232222,0.446844,0.532476,0.611243,14.39605,29.7594,60.8734,0.278966,0.366714,0.44469,0.194571,0.223029,0.242801,0.298442,0.495131,0.571343,0.639465,0.22802,0.439354,0.523738,0.599426,14.2676,29.45045,60.272
13,70000,0.277992,0.366328,0.443673,0.192905,0.221565,0.241191,0.301026,0.500749,0.581267,0.649539,0.230516,0.445429,0.534765,0.610619,14.41985,29.75705,60.7453,0.277324,0.363838,0.440191,0.193499,0.221579,0.240913,0.300052,0.499251,0.575762,0.646581,0.229393,0.443765,0.528648,0.607332,14.27195,29.45735,60.1741
14,75000,0.279759,0.368105,0.446234,0.193984,0.222628,0.242428,0.308853,0.509962,0.592165,0.663583,0.240378,0.455707,0.546873,0.626222,14.236,29.40035,60.19215,0.27883,0.365598,0.442949,0.193832,0.221991,0.2416,0.304584,0.509026,0.587334,0.659876,0.23551,0.454542,0.541505,0.622103,14.062,29.07095,59.6073
15,80000,0.280508,0.369655,0.446802,0.194269,0.223196,0.242751,0.328889,0.533705,0.612763,0.683844,0.261099,0.481962,0.569758,0.648733,13.91785,28.86005,58.98755,0.279565,0.366732,0.443602,0.19406,0.222326,0.241827,0.323983,0.53363,0.615722,0.689387,0.255357,0.481921,0.573045,0.654891,13.7399,28.53145,58.39485
16,85000,0.280445,0.368483,0.444133,0.194365,0.22293,0.242122,0.309752,0.512995,0.591941,0.662347,0.240419,0.458994,0.546623,0.624849,14.3229,29.5848,60.4924,0.278186,0.36548,0.442831,0.194161,0.222444,0.242063,0.308891,0.511235,0.588458,0.66201,0.238672,0.45708,0.542754,0.624475,14.16265,29.2596,59.88845
17,90000,0.280544,0.368114,0.445287,0.194392,0.222805,0.242371,0.317729,0.524493,0.601715,0.673245,0.248991,0.471685,0.557483,0.636958,14.11755,29.2164,59.8053,0.279138,0.365743,0.442867,0.193946,0.222004,0.241546,0.314246,0.524305,0.604299,0.67935,0.244913,0.471518,0.560355,0.64374,13.9738,28.8882,59.1997
18,95000,0.28085,0.368528,0.444205,0.194569,0.223014,0.242209,0.318815,0.522395,0.603663,0.676316,0.248492,0.469438,0.559647,0.640369,14.031,29.10315,59.63895,0.279447,0.366351,0.4444,0.194496,0.222636,0.242445,0.31904,0.523257,0.604861,0.682795,0.249615,0.470478,0.560979,0.647568,13.86495,28.78305,59.02495
19,100000,0.281085,0.368727,0.445567,0.195161,0.223568,0.24305,0.315632,0.516665,0.595873,0.668677,0.245995,0.46303,0.550992,0.631881,13.98335,29.0218,59.52785,0.279646,0.367412,0.445271,0.194767,0.223208,0.242928,0.314995,0.516516,0.597708,0.67568,0.244622,0.462947,0.553031,0.639662,13.84105,28.6921,58.90085
20,105000,0.281337,0.369493,0.445251,0.194934,0.223551,0.242764,0.330874,0.536102,0.617257,0.691072,0.262098,0.484667,0.574751,0.656764,13.89635,28.8223,58.98715,0.281497,0.367621,0.44499,0.195822,0.223781,0.243402,0.330462,0.537038,0.618755,0.695865,0.262264,0.485666,0.576416,0.66209,13.7442,28.5138,58.3793
21,110000,0.277803,0.364768,0.44031,0.19288,0.221094,0.240248,0.319002,0.521908,0.600255,0.677065,0.248616,0.468855,0.555861,0.641202,14.19945,29.3558,59.95105,0.276571,0.362123,0.438757,0.192579,0.220327,0.23973,0.31286,0.521159,0.605273,0.682046,0.242042,0.468065,0.561436,0.646736,14.0612,29.03565,59.37185
22,115000,0.280012,0.367825,0.443177,0.194365,0.222822,0.241924,0.325968,0.534454,0.619017,0.695491,0.256439,0.482919,0.576707,0.661674,14.01225,29.0385,59.3493,0.27824,0.36645,0.442812,0.19422,0.222868,0.242213,0.328739,0.534267,0.619354,0.70152,0.259726,0.482628,0.577082,0.668373,13.8503,28.6843,58.6839
23,120000,0.278587,0.365246,0.440752,0.193255,0.22139,0.240535,0.321062,0.523369,0.603812,0.683732,0.251904,0.47052,0.559814,0.648608,14.1346,29.2976,59.8176,0.278222,0.362604,0.439392,0.193052,0.220412,0.23989,0.316718,0.527002,0.610853,0.695079,0.246203,0.474473,0.567636,0.661216,14.00225,28.97705,59.21335
24,125000,0.279642,0.365922,0.442411,0.193776,0.2218,0.241205,0.332896,0.529885,0.612014,0.688301,0.264054,0.477677,0.568926,0.653685,13.9615,28.9251,59.15605,0.278975,0.365407,0.441715,0.193696,0.221699,0.24101,0.328327,0.537787,0.623586,0.702794,0.258977,0.486456,0.581783,0.669787,13.8231,28.6191,58.5607
25,130000,0.280887,0.367609,0.443141,0.194931,0.223077,0.242231,0.333308,0.535091,0.613737,0.688712,0.263804,0.483502,0.57084,0.654142,13.8619,28.773,58.9144,0.279229,0.366269,0.442531,0.194349,0.222574,0.241919,0.330387,0.537301,0.625009,0.708449,0.260017,0.485915,0.583365,0.67607,13.73265,28.48295,58.34235
26,135000,0.281418,0.368086,0.442438,0.195538,0.223606,0.242469,0.331099,0.535952,0.617332,0.692682,0.261224,0.4845,0.574835,0.658553,13.75045,28.5317,58.48165,0.279773,0.365852,0.441742,0.194789,0.222714,0.241973,0.329002,0.536664,0.620777,0.701633,0.258977,0.485208,0.578663,0.668497,13.6079,28.23705,57.8765
27,140000,0.277659,0.365841,0.44022,0.192975,0.221556,0.240432,0.330387,0.536552,0.618306,0.697888,0.259643,0.485125,0.575916,0.664337,13.90975,28.8442,58.99085,0.277269,0.363756,0.44,0.193395,0.221465,0.240776,0.327391,0.536776,0.622725,0.702269,0.258145,0.485457,0.580826,0.669205,13.77845,28.5459,58.38825
28,145000,0.278335,0.364868,0.441293,0.193369,0.221426,0.240842,0.331511,0.539248,0.62059,0.701932,0.261307,0.488162,0.578455,0.66883,13.73555,28.5748,58.45705,0.279066,0.36518,0.440336,0.194135,0.222042,0.241108,0.331698,0.542207,0.627369,0.706651,0.262098,0.491491,0.585986,0.674073,13.58745,28.2676,57.8663
29,150000,0.278434,0.365003,0.440021,0.192956,0.221019,0.240007,0.332035,0.540222,0.6225,0.703019,0.263055,0.489244,0.580577,0.670037,13.82565,28.71995,58.8025,0.277687,0.363919,0.439746,0.193305,0.221294,0.240516,0.333945,0.544079,0.628005,0.708074,0.265552,0.493613,0.586693,0.675654,13.6847,28.3885,58.19805
30,155000,0.278443,0.365048,0.439949,0.193324,0.221426,0.240412,0.34709,0.554977,0.636057,0.713692,0.279283,0.505596,0.595639,0.681896,13.7853,28.5994,58.5593,0.27746,0.363275,0.439047,0.193034,0.220861,0.240059,0.341922,0.553517,0.637892,0.713917,0.273998,0.503932,0.597678,0.682145,13.6434,28.30565,57.98235
31,160000,0.278894,0.365778,0.441239,0.193311,0.221501,0.240615,0.334132,0.539585,0.623174,0.706089,0.264719,0.488495,0.581326,0.673449,13.81515,28.67195,58.7131,0.277913,0.365407,0.440689,0.193343,0.22172,0.240776,0.332709,0.540297,0.624972,0.70961,0.262556,0.489286,0.583323,0.67736,13.68385,28.39385,58.1473
