,steps,loss,plain,smorl
0,200,9.192005157470703,8.872,0.32
1,400,8.653155326843262,8.486,0.167
2,600,8.373478889465332,8.165,0.209
3,800,8.358145713806152,8.128,0.231
4,1000,8.109362602233887,7.848,0.262
5,1200,8.190022468566895,7.807,0.383
6,1400,7.91165018081665,7.59,0.322
7,1600,7.505343914031982,7.208,0.298
8,1800,7.72099494934082,7.422,0.299
9,2000,7.688581466674805,7.37,0.318
10,2200,7.782286643981934,7.444,0.338
11,2400,7.236866474151611,6.856,0.381
12,2600,7.256466388702393,6.906,0.35
13,2800,7.254886150360107,6.938,0.317
14,3000,7.227291584014893,6.914,0.313
15,3200,7.191117763519287,6.85,0.341
16,3400,6.89510440826416,6.603,0.292
17,3600,6.945758819580078,6.613,0.333
18,3800,6.594790935516357,6.196,0.399
19,4000,6.555968761444092,6.203,0.353
20,4200,7.1240997314453125,6.741,0.383
21,4400,7.040125370025635,6.59,0.45
22,4600,7.07637882232666,6.687,0.389
23,4800,6.791507244110107,6.392,0.4
24,5000,6.579155921936035,6.196,0.384
25,5200,6.599258899688721,6.288,0.311
26,5400,6.862914085388184,6.5,0.363
27,5600,6.724944114685059,6.405,0.32
28,5800,6.6501617431640625,6.263,0.387
29,6000,6.534521102905273,6.22,0.315
30,6200,6.668569564819336,6.208,0.461
31,6400,6.874711990356445,6.528,0.347
32,6600,6.529531955718994,6.244,0.286
33,6800,6.43178653717041,6.022,0.41
34,7000,6.9604010581970215,6.576,0.384
35,7200,6.899571418762207,6.535,0.364
36,7400,6.18757438659668,5.824,0.363
37,7600,6.292912483215332,5.819,0.474
38,7800,6.162200927734375,5.78,0.382
39,8000,5.925624847412109,5.566,0.359
40,8200,6.710973262786865,6.245,0.466
41,8400,6.453832626342773,6.077,0.377
42,8600,6.379732131958008,5.961,0.419
43,8800,6.422835826873779,5.983,0.44
44,9000,6.284345626831055,5.927,0.357
45,9200,6.532235622406006,6.08,0.452
46,9400,6.370752811431885,5.979,0.392
47,9600,6.328125,5.999,0.329
48,9800,6.6044158935546875,6.214,0.39
49,10000,6.3512091636657715,5.945,0.406
50,10200,6.316384315490723,5.921,0.395
51,10400,6.341726303100586,5.938,0.404
52,10600,6.542768955230713,6.015,0.528
53,10800,6.551575660705566,6.1,0.452
54,11000,6.351310729980469,5.919,0.433
55,11200,5.8583526611328125,5.343,0.516
56,11400,6.203954696655273,5.843,0.361
57,11600,6.2729411125183105,5.789,0.484
58,11800,6.027565956115723,5.662,0.365
59,12000,6.033877372741699,5.565,0.469
60,12200,6.052044868469238,5.562,0.49
61,12400,6.042026519775391,5.631,0.411
62,12600,6.245153903961182,5.82,0.425
63,12800,6.134853839874268,5.717,0.418
64,13000,6.256629467010498,5.879,0.378
65,13200,6.048898696899414,5.655,0.394
66,13400,5.944370269775391,5.589,0.355
67,13600,6.00921630859375,5.665,0.344
68,13800,5.83341121673584,5.516,0.317
69,14000,6.325682163238525,5.965,0.36
70,14200,6.459683895111084,6.102,0.358
71,14400,6.08132266998291,5.758,0.323
72,14600,5.783205032348633,5.451,0.332
73,14800,5.920522212982178,5.493,0.428
74,15000,5.911470413208008,5.603,0.309
75,15200,6.140815734863281,5.791,0.349
76,15400,5.77631950378418,5.448,0.329
77,15600,5.794418811798096,5.508,0.287
78,15800,5.938348770141602,5.748,0.191
79,16000,5.729757785797119,5.553,0.177
80,16200,6.026044845581055,5.577,0.449
81,16400,5.511453151702881,5.149,0.362
82,16600,6.088564872741699,5.768,0.32
