,steps,hr_test_5,hr_test_10,hr_test_20,ndcg_test_5,ndcg_test_10,ndcg_test_20,cov_test_1,cov_test_5,cov_test_10,cov_test_20,nov_test_1,nov_test_5,nov_test_10,nov_test_20,rep_test_5,rep_test_10,rep_test_20,hr_val_5,hr_val_10,hr_val_20,ndcg_val_5,ndcg_val_10,ndcg_val_20,cov_val_1,cov_val_5,cov_val_10,cov_val_20,nov_val_1,nov_val_5,nov_val_10,nov_val_20,rep_val_5,rep_val_10,rep_val_20
0,5000,0.248147,0.330171,0.401998,0.170854,0.197437,0.215649,0.082953,0.133248,0.154857,0.175043,0.01681,0.046228,0.065535,0.085008,14.8042,30.5358,62.40975,0.248836,0.329635,0.400826,0.172052,0.198226,0.216263,0.084226,0.134072,0.154745,0.173732,0.017476,0.047227,0.065202,0.083843,14.66835,30.2677,61.89485
1,10000,0.26948,0.357005,0.431807,0.186362,0.214752,0.233699,0.132162,0.210284,0.244401,0.276159,0.056381,0.125203,0.161237,0.195897,15.0291,30.848,63.0291,0.267689,0.352797,0.429902,0.18631,0.213902,0.233442,0.131413,0.211108,0.242529,0.27526,0.056256,0.126201,0.159281,0.194857,14.8992,30.5789,62.44475
2,15000,0.275332,0.365309,0.443727,0.190535,0.219706,0.23958,0.174069,0.280466,0.323197,0.362332,0.098406,0.201889,0.2482,0.291557,14.8011,30.48125,62.2884,0.275201,0.364019,0.443656,0.19124,0.219999,0.240186,0.172609,0.279904,0.32241,0.36207,0.096492,0.201431,0.247327,0.291225,14.67065,30.20185,61.70755
3,20000,0.279922,0.369367,0.446423,0.193656,0.222667,0.242178,0.204666,0.333833,0.386113,0.432589,0.129489,0.260475,0.317979,0.369575,14.80565,30.46445,62.3525,0.279111,0.367412,0.445325,0.194644,0.223265,0.243012,0.201296,0.330237,0.382668,0.43038,0.125411,0.256564,0.314235,0.36712,14.68265,30.2201,61.7933
4,25000,0.279471,0.368438,0.447135,0.193368,0.222229,0.242161,0.221781,0.374279,0.431466,0.480376,0.148546,0.305413,0.36841,0.422669,14.99575,30.8059,62.75115,0.278204,0.365507,0.444545,0.193971,0.222248,0.242299,0.217474,0.372444,0.429743,0.479777,0.144177,0.303458,0.366538,0.422003,14.87135,30.53875,62.2582
5,30000,0.279083,0.368483,0.445765,0.193834,0.222837,0.242425,0.236424,0.39967,0.460902,0.516965,0.162027,0.333417,0.401074,0.463321,14.9596,30.75865,62.80685,0.278839,0.365561,0.444482,0.194518,0.222611,0.242576,0.234439,0.393529,0.458805,0.514343,0.159864,0.326759,0.398702,0.460409,14.8384,30.5006,62.28185
6,35000,0.277478,0.366031,0.443745,0.192533,0.221229,0.24093,0.250169,0.428357,0.496143,0.553591,0.17838,0.365331,0.44027,0.504057,14.9947,30.79145,62.82785,0.275391,0.362822,0.44274,0.192154,0.220487,0.240759,0.249682,0.424987,0.493746,0.552768,0.177339,0.361669,0.437648,0.5031,14.86665,30.5236,62.2186
7,40000,0.281193,0.370846,0.451355,0.194974,0.224035,0.24442,0.265149,0.450566,0.522807,0.587596,0.193734,0.389797,0.469812,0.541797,14.7853,30.4118,62.14545,0.278957,0.368709,0.447594,0.194109,0.223177,0.24317,0.264662,0.44873,0.519362,0.580481,0.192818,0.387634,0.465984,0.533891,14.6394,30.1218,61.5408
8,45000,0.280318,0.369448,0.448731,0.194581,0.223486,0.243571,0.272676,0.463224,0.533481,0.59842,0.201431,0.403903,0.481713,0.553822,14.6775,30.26025,61.86025,0.280299,0.367158,0.447358,0.194287,0.222444,0.242779,0.271216,0.460565,0.531533,0.595012,0.19985,0.40099,0.479507,0.550035,14.51865,29.9827,61.29585
9,50000,0.280264,0.368159,0.444503,0.194461,0.222954,0.242322,0.272676,0.465958,0.542768,0.607557,0.201265,0.406982,0.49199,0.563975,14.7918,30.47215,62.1248,0.278802,0.365951,0.444182,0.19432,0.222496,0.242308,0.26983,0.461501,0.536589,0.598345,0.199226,0.401781,0.485125,0.553739,14.66055,30.2065,61.61975
