,steps,hr_test_5,hr_test_10,hr_test_20,ndcg_test_5,ndcg_test_10,ndcg_test_20,cov_test_1,cov_test_5,cov_test_10,cov_test_20,nov_test_1,nov_test_5,nov_test_10,nov_test_20,rep_test_5,rep_test_10,rep_test_20,hr_val_5,hr_val_10,hr_val_20,ndcg_val_5,ndcg_val_10,ndcg_val_20,cov_val_1,cov_val_5,cov_val_10,cov_val_20,nov_val_1,nov_val_5,nov_val_10,nov_val_20,rep_val_5,rep_val_10,rep_val_20
0,5000,0.306106,0.40281,0.481895,0.211564,0.242971,0.263042,0.219984,0.379223,0.448768,0.509662,0.150626,0.311322,0.38755,0.455207,12.2657,26.00235,53.98115,0.305058,0.398485,0.479755,0.211261,0.24157,0.262173,0.218897,0.37941,0.446409,0.510074,0.149003,0.311447,0.385095,0.455665,12.12635,25.67735,53.3795
1,10000,0.309605,0.408851,0.489063,0.213184,0.245385,0.265752,0.251854,0.43978,0.523444,0.599318,0.182374,0.378022,0.47052,0.55482,12.2515,25.9609,53.6975,0.308315,0.403928,0.486632,0.212715,0.243767,0.264771,0.252041,0.438731,0.523332,0.599543,0.182374,0.376815,0.470395,0.55507,12.10565,25.6498,53.1418
2,15000,0.301904,0.39905,0.47992,0.206892,0.238428,0.258968,0.285222,0.487192,0.572841,0.648641,0.216868,0.430616,0.525403,0.60962,12.08825,25.55825,53.09075,0.301048,0.396117,0.476072,0.206735,0.237541,0.257813,0.282526,0.486892,0.57374,0.650213,0.213581,0.4302,0.526443,0.611368,11.95765,25.25395,52.59905
3,20000,0.301075,0.394433,0.475664,0.207375,0.237659,0.25825,0.295858,0.506816,0.59812,0.681559,0.227562,0.452295,0.553489,0.646195,11.96445,25.21115,52.33155,0.299442,0.393713,0.474366,0.206878,0.23747,0.257902,0.293798,0.504906,0.595498,0.681335,0.224899,0.450173,0.550576,0.645945,11.8129,24.9115,51.7256
4,25000,0.302022,0.394749,0.474798,0.207933,0.238066,0.258394,0.303535,0.51704,0.609767,0.695978,0.234677,0.463571,0.566429,0.662214,11.9683,25.25845,52.2105,0.298653,0.393568,0.471989,0.205857,0.236637,0.256527,0.302299,0.519025,0.607969,0.697139,0.233013,0.465901,0.564432,0.663504,11.82525,24.99505,51.7741
5,30000,0.297982,0.391259,0.469993,0.204944,0.235232,0.255207,0.317504,0.533406,0.623549,0.706426,0.249157,0.481671,0.581742,0.673823,11.7466,24.8675,51.5173,0.295976,0.388333,0.467335,0.203905,0.233872,0.253908,0.314246,0.534192,0.62295,0.704629,0.246162,0.48267,0.581076,0.671826,11.5907,24.57185,51.00925
6,35000,0.292293,0.385182,0.461968,0.201526,0.231701,0.251164,0.324433,0.546513,0.635458,0.717362,0.25698,0.496276,0.594974,0.685973,11.69745,24.7156,51.1785,0.289952,0.381601,0.459623,0.20055,0.230267,0.250048,0.321025,0.543293,0.632724,0.714403,0.253152,0.492614,0.591936,0.682686,11.5458,24.42845,50.6492
7,40000,0.291084,0.383,0.461751,0.200511,0.230343,0.25032,0.333908,0.558947,0.650588,0.736012,0.266925,0.510049,0.611784,0.706695,11.652,24.59445,50.78975,0.291848,0.383071,0.460739,0.201623,0.231194,0.250883,0.335293,0.556999,0.647854,0.731406,0.268006,0.507802,0.608746,0.701577,11.4898,24.2988,50.2264
8,45000,0.288334,0.381639,0.458298,0.199211,0.229481,0.248942,0.328852,0.548798,0.636919,0.715602,0.262181,0.498731,0.596596,0.684018,11.8464,25.0062,51.67225,0.288328,0.377891,0.456249,0.199136,0.228207,0.248071,0.325781,0.544828,0.635645,0.717474,0.258894,0.494445,0.595182,0.686098,11.69735,24.7221,51.08075
9,50000,0.290796,0.383595,0.462815,0.200324,0.230427,0.250557,0.326492,0.547712,0.640439,0.722642,0.259435,0.497607,0.600508,0.69184,12.01025,25.3712,52.6082,0.293082,0.381864,0.461429,0.202745,0.231595,0.251779,0.327878,0.549547,0.639091,0.720021,0.261557,0.499688,0.599051,0.688928,11.87395,25.0741,52.0172
10,55000,0.28599,0.375597,0.452807,0.197019,0.226105,0.245686,0.33563,0.558235,0.646281,0.725002,0.269255,0.5093,0.606999,0.694462,11.80135,24.885,51.6683,0.284654,0.373636,0.451068,0.19691,0.225785,0.245409,0.334544,0.55655,0.644371,0.725189,0.267923,0.507386,0.604877,0.69467,11.67715,24.64515,51.13185
11,60000,0.289552,0.379375,0.457432,0.199565,0.228695,0.248496,0.336604,0.555427,0.643585,0.718897,0.269213,0.506096,0.604003,0.687679,12.01575,25.2838,52.2571,0.287367,0.3778,0.454761,0.198763,0.228103,0.247625,0.330949,0.554715,0.640514,0.719909,0.263471,0.505388,0.600591,0.688803,11.8434,24.95315,51.69945
12,65000,0.290453,0.381521,0.458884,0.200701,0.230297,0.249916,0.333833,0.553105,0.638042,0.717849,0.267008,0.503474,0.597845,0.686514,11.9951,25.3186,52.51165,0.289444,0.38093,0.458553,0.199891,0.229575,0.249267,0.330462,0.553741,0.641562,0.719909,0.263637,0.504182,0.601756,0.688803,11.84065,25.01885,51.93865
13,70000,0.286558,0.375498,0.453113,0.197835,0.226719,0.246425,0.333908,0.552992,0.642199,0.716725,0.267466,0.503516,0.602463,0.685266,12.0012,25.2937,52.36025,0.285235,0.375405,0.452248,0.197207,0.226458,0.245929,0.334544,0.555501,0.641076,0.719235,0.26809,0.506221,0.601215,0.688054,11.84745,24.9834,51.74045
14,75000,0.281554,0.372523,0.449363,0.193546,0.223051,0.24253,0.343645,0.567149,0.653921,0.727586,0.278118,0.519286,0.615529,0.697333,11.93035,25.1471,52.0607,0.280399,0.368936,0.447648,0.193038,0.221759,0.241713,0.343008,0.566212,0.652236,0.727024,0.27741,0.518163,0.613615,0.696709,11.76835,24.82005,51.432
15,80000,0.281923,0.371684,0.448858,0.194382,0.223532,0.243079,0.347914,0.571867,0.657554,0.730956,0.28153,0.524487,0.619523,0.701078,11.8988,25.1431,52.1027,0.281098,0.369916,0.446714,0.194417,0.223216,0.24267,0.345817,0.565763,0.650513,0.727886,0.279491,0.517663,0.611701,0.697666,11.7648,24.83625,51.4722
16,85000,0.285719,0.37658,0.452681,0.195636,0.225103,0.24439,0.345292,0.565538,0.648303,0.724552,0.279199,0.51733,0.609246,0.693962,12.037,25.4102,52.62695,0.28333,0.374062,0.450687,0.195237,0.22466,0.244092,0.343869,0.564564,0.648266,0.722755,0.276869,0.516207,0.609204,0.691965,11.8973,25.1031,52.03135
17,90000,0.286125,0.376544,0.453068,0.197124,0.226454,0.245858,0.346004,0.566062,0.650251,0.724103,0.280281,0.517913,0.611409,0.693463,11.98185,25.2996,52.59095,0.285979,0.375133,0.451939,0.197703,0.22661,0.246068,0.342821,0.563965,0.64879,0.723092,0.276869,0.515624,0.609787,0.69234,11.83055,24.98185,51.9485
18,95000,0.286594,0.375183,0.451554,0.197329,0.22606,0.24545,0.345779,0.565201,0.648191,0.721257,0.279616,0.516997,0.609121,0.690301,11.99425,25.29935,52.36865,0.28538,0.37271,0.449018,0.197741,0.226068,0.245415,0.342783,0.562168,0.645794,0.717961,0.27662,0.513669,0.606458,0.686639,11.8505,25.00255,51.7817
19,100000,0.285909,0.375291,0.450904,0.196937,0.225943,0.245123,0.342222,0.564789,0.64351,0.721931,0.276079,0.51654,0.603961,0.69105,12.0941,25.5757,53.02295,0.283965,0.372946,0.450388,0.196202,0.225106,0.244743,0.344955,0.560819,0.646656,0.718373,0.278991,0.512171,0.607415,0.687097,11.96075,25.25835,52.42685
20,105000,0.281563,0.371197,0.447208,0.194246,0.223316,0.242605,0.357876,0.573702,0.657853,0.730545,0.292847,0.526401,0.619856,0.70062,11.8743,25.037,51.83935,0.282386,0.370043,0.446224,0.194768,0.223177,0.242487,0.352146,0.57374,0.65497,0.728597,0.286772,0.526484,0.616652,0.698456,11.73305,24.73885,51.2625
