,steps,hr_test_5,hr_test_10,hr_test_20,ndcg_test_5,ndcg_test_10,ndcg_test_20,cov_test_1,cov_test_5,cov_test_10,cov_test_20,nov_test_1,nov_test_5,nov_test_10,nov_test_20,rep_test_5,rep_test_10,rep_test_20,hr_val_5,hr_val_10,hr_val_20,ndcg_val_5,ndcg_val_10,ndcg_val_20,cov_val_1,cov_val_5,cov_val_10,cov_val_20,nov_val_1,nov_val_5,nov_val_10,nov_val_20,rep_val_5,rep_val_10,rep_val_20
0,5000,0.290787,0.383054,0.459407,0.200883,0.230826,0.250193,0.158303,0.253651,0.292075,0.330013,0.089169,0.173553,0.21433,0.25569,12.5045,26.4334,54.63335,0.289834,0.381293,0.457546,0.201431,0.231124,0.250501,0.157516,0.254101,0.294323,0.333645,0.08842,0.174011,0.216577,0.259809,12.33195,26.1026,54.0487
1,10000,0.307648,0.401683,0.481155,0.212336,0.242831,0.263013,0.191259,0.323421,0.377949,0.429743,0.119211,0.249324,0.309033,0.366454,12.50445,26.49965,54.8785,0.307108,0.400463,0.479846,0.213281,0.243538,0.263685,0.189873,0.323347,0.377425,0.42847,0.118129,0.249157,0.308492,0.364998,12.37155,26.20535,54.335
2,15000,0.31047,0.406561,0.487728,0.213925,0.2451,0.265703,0.219534,0.37001,0.433114,0.493783,0.145508,0.300753,0.370241,0.437565,12.5995,26.5279,54.84925,0.308905,0.402849,0.484763,0.214137,0.244575,0.265364,0.219459,0.368811,0.434949,0.494345,0.145259,0.299255,0.37228,0.438189,12.4288,26.2002,54.22695
3,20000,0.310948,0.406407,0.486782,0.215164,0.246163,0.26657,0.239121,0.40158,0.469366,0.532994,0.165606,0.335372,0.410477,0.48113,12.4516,26.3273,54.49645,0.309032,0.404445,0.485634,0.21459,0.245556,0.266143,0.235975,0.39806,0.467156,0.530747,0.162527,0.331586,0.407981,0.478634,12.31155,26.06455,53.921
4,25000,0.313707,0.409852,0.489577,0.217385,0.248588,0.268827,0.2456,0.416486,0.489476,0.559134,0.171972,0.351933,0.43278,0.510174,12.43125,26.2462,54.131,0.311917,0.407929,0.488011,0.216275,0.247468,0.267762,0.241405,0.415512,0.489589,0.554603,0.167811,0.350851,0.432988,0.505139,12.26595,25.9405,53.59245
5,30000,0.310272,0.404378,0.484311,0.214164,0.24469,0.264985,0.260617,0.442476,0.517714,0.588345,0.18641,0.380893,0.464195,0.542629,12.4805,26.343,54.4716,0.308895,0.402531,0.48205,0.213538,0.243894,0.264057,0.258969,0.442064,0.518838,0.589207,0.184996,0.380477,0.465443,0.543586,12.33115,26.00705,53.83805
6,35000,0.310137,0.405776,0.484248,0.215233,0.246279,0.266174,0.263201,0.447457,0.527601,0.599618,0.189115,0.386261,0.475138,0.555153,12.3472,26.0787,53.9053,0.308469,0.402196,0.48157,0.214277,0.24468,0.26483,0.266085,0.447532,0.528612,0.602764,0.191903,0.386344,0.476303,0.55869,12.1886,25.7546,53.2789
7,40000,0.310037,0.405253,0.483518,0.214695,0.245612,0.26547,0.276309,0.465358,0.547412,0.626245,0.202721,0.406191,0.49715,0.584738,12.15215,25.6966,53.10065,0.308006,0.401905,0.482549,0.213628,0.244097,0.264546,0.278331,0.467381,0.547337,0.62441,0.20476,0.408522,0.497067,0.582699,12.00505,25.40605,52.537
8,45000,0.298289,0.390691,0.469632,0.205912,0.235882,0.255919,0.279642,0.474534,0.558423,0.6322,0.20709,0.416219,0.509383,0.591354,12.2205,25.6939,52.88565,0.296221,0.389685,0.468632,0.205458,0.235778,0.255847,0.275672,0.471013,0.551831,0.627743,0.202513,0.412475,0.50206,0.586402,12.08495,25.3851,52.2681
9,50000,0.305971,0.401953,0.480786,0.211567,0.242726,0.262723,0.284361,0.47959,0.564714,0.641225,0.21225,0.421878,0.516373,0.601381,12.3195,25.92495,53.4514,0.304804,0.399628,0.479165,0.2116,0.242369,0.262546,0.282301,0.475994,0.55876,0.636544,0.210211,0.417925,0.509757,0.59618,12.14305,25.6011,52.8725
10,55000,0.229789,0.308369,0.382161,0.157001,0.182475,0.201172,0.301326,0.502846,0.591341,0.669276,0.230433,0.447635,0.545958,0.632547,11.4507,24.0523,49.642,0.229603,0.3067,0.378816,0.157146,0.182094,0.200385,0.297993,0.503333,0.588308,0.664744,0.227146,0.4483,0.542587,0.627512,11.29435,23.74665,49.116
11,60000,0.304456,0.39822,0.477251,0.210877,0.241291,0.261345,0.283949,0.481574,0.567411,0.647817,0.210419,0.424084,0.519369,0.608705,12.38585,26.20965,53.84245,0.305058,0.397451,0.477006,0.212411,0.242331,0.262504,0.282451,0.48281,0.565838,0.645083,0.209212,0.425457,0.517622,0.605667,12.2457,25.8717,53.2586
12,65000,0.302427,0.395118,0.473302,0.209402,0.239506,0.259354,0.291177,0.488727,0.576811,0.65819,0.218242,0.432114,0.529813,0.620231,12.32135,25.8817,53.3309,0.300875,0.393559,0.471753,0.208271,0.23835,0.258168,0.28848,0.487866,0.574002,0.651524,0.214913,0.431157,0.526692,0.612824,12.14425,25.55715,52.7646
13,70000,0.299461,0.392242,0.472021,0.20719,0.237324,0.257556,0.291813,0.489963,0.576661,0.655494,0.219864,0.433362,0.529647,0.617235,12.2813,25.8334,53.30125,0.297918,0.390229,0.469612,0.206667,0.236627,0.25674,0.290802,0.492398,0.580219,0.658378,0.218283,0.436109,0.5336,0.620439,12.1418,25.5405,52.7795
14,75000,0.288623,0.379384,0.457658,0.199707,0.229132,0.248984,0.29994,0.501873,0.590106,0.667815,0.228103,0.446802,0.544585,0.630924,12.0186,25.27765,51.9067,0.28743,0.378453,0.455623,0.198119,0.227641,0.247207,0.298255,0.504157,0.591079,0.668414,0.226938,0.449174,0.545666,0.63159,11.87905,24.96695,51.29355
15,80000,0.299118,0.392801,0.471011,0.206974,0.237345,0.257171,0.292562,0.497828,0.586922,0.669276,0.219948,0.442184,0.541048,0.632547,12.4503,26.1209,53.7698,0.297963,0.390138,0.46865,0.206708,0.236611,0.256521,0.290915,0.49442,0.584825,0.668452,0.218075,0.438314,0.538718,0.631632,12.2888,25.79035,53.15675
16,85000,0.289975,0.380998,0.461427,0.201102,0.230656,0.251053,0.29627,0.501835,0.589993,0.676354,0.224566,0.446553,0.54446,0.640411,12.4253,26.0978,53.63815,0.290234,0.381202,0.459923,0.202094,0.231589,0.251547,0.291439,0.500112,0.587784,0.670025,0.218824,0.444639,0.542005,0.633379,12.2795,25.80735,53.03285
17,90000,0.293528,0.385444,0.463492,0.202637,0.232443,0.252248,0.287544,0.489739,0.578421,0.663246,0.215162,0.433279,0.531602,0.625848,12.61585,26.37385,54.27425,0.291948,0.383216,0.46279,0.202809,0.232409,0.252588,0.283836,0.488802,0.575313,0.659539,0.211751,0.432156,0.52819,0.621728,12.444,26.09525,53.7142
18,95000,0.251474,0.334851,0.410266,0.173434,0.200464,0.219596,0.297131,0.523444,0.62265,0.709685,0.2306,0.471185,0.580743,0.677444,13.21075,27.42835,56.0653,0.251694,0.334679,0.409562,0.174279,0.201182,0.220141,0.295184,0.517414,0.616995,0.704367,0.227729,0.464362,0.574502,0.671535,13.0553,27.0982,55.44865
19,100000,0.274458,0.361595,0.4404,0.189323,0.217569,0.237523,0.286683,0.499775,0.594113,0.680249,0.21716,0.444472,0.549037,0.644738,13.11985,27.321,56.0911,0.273704,0.360408,0.438149,0.189318,0.217395,0.237063,0.282189,0.497491,0.592353,0.677178,0.212291,0.441892,0.547081,0.641327,12.96585,26.97485,55.43305
20,105000,0.276559,0.365941,0.444421,0.190617,0.219618,0.239526,0.285035,0.494682,0.588832,0.676878,0.213581,0.438647,0.54317,0.640994,12.4761,26.17865,53.8961,0.275573,0.362767,0.442667,0.191673,0.219942,0.240183,0.286158,0.497229,0.591641,0.675567,0.21458,0.441518,0.546291,0.639537,12.3451,25.8558,53.31245
21,110000,0.267894,0.355616,0.433773,0.184718,0.213153,0.232967,0.298255,0.510486,0.604524,0.69227,0.227063,0.456248,0.560604,0.658095,12.5964,26.3139,53.99,0.267816,0.354076,0.432189,0.185025,0.212988,0.232776,0.29597,0.514044,0.608943,0.696053,0.2244,0.460117,0.565514,0.662298,12.4245,25.96555,53.32855
22,115000,0.286306,0.376706,0.454069,0.198192,0.227483,0.247114,0.284024,0.495581,0.593626,0.687926,0.212125,0.439729,0.548537,0.653268,13.0866,27.25845,55.9494,0.284636,0.375187,0.454407,0.19776,0.227104,0.247188,0.282975,0.497079,0.593926,0.686391,0.210669,0.441518,0.548829,0.651562,12.91135,26.957,55.3408
23,120000,0.277154,0.367825,0.445927,0.191583,0.220981,0.240784,0.285746,0.498839,0.596959,0.685604,0.213789,0.443474,0.552282,0.650689,13.16515,27.39915,56.1526,0.277351,0.365634,0.444627,0.192015,0.220623,0.240659,0.285784,0.497903,0.594824,0.687701,0.214746,0.442433,0.549911,0.653019,13.0224,27.1327,55.62075
24,125000,0.154464,0.217238,0.281004,0.104453,0.124778,0.140928,0.40907,0.674481,0.765336,0.832484,0.348604,0.638539,0.739275,0.813881,9.58815,20.4751,43.10275,0.156888,0.218861,0.281978,0.106667,0.126711,0.142662,0.409595,0.674781,0.764662,0.833196,0.349311,0.638788,0.738526,0.814671,9.41765,20.11595,42.3926
