,steps,loss,plain,smorl
0,200,8.623146057128906,8.578,0.045
1,400,8.149110794067383,8.045,0.104
2,600,7.754434108734131,7.531,0.224
3,800,7.285872936248779,7.041,0.245
4,1000,7.20986270904541,6.889,0.321
5,1200,7.193055629730225,6.901,0.292
6,1400,7.192490100860596,6.928,0.265
7,1600,7.034657955169678,6.757,0.277
8,1800,6.527254104614258,6.223,0.304
9,2000,6.698121070861816,6.455,0.243
10,2200,6.752708911895752,6.466,0.286
11,2400,6.6509108543396,6.386,0.265
12,2600,6.591392993927002,6.278,0.313
13,2800,6.702229022979736,6.374,0.328
14,3000,6.5518798828125,6.158,0.394
15,3200,6.2991533279418945,6.026,0.273
16,3400,6.167746543884277,5.888,0.28
17,3600,6.13909387588501,5.912,0.227
18,3800,6.2296671867370605,5.886,0.344
19,4000,6.452106952667236,6.137,0.315
20,4200,6.363122940063477,6.004,0.359
21,4400,6.019150257110596,5.635,0.384
22,4600,5.821095943450928,5.564,0.257
23,4800,6.158621788024902,5.764,0.395
24,5000,6.345205307006836,6.014,0.331
25,5200,6.076483249664307,5.813,0.263
26,5400,5.741947174072266,5.398,0.344
27,5600,6.304025650024414,5.983,0.321
28,5800,5.74832820892334,5.455,0.294
29,6000,6.002828121185303,5.682,0.321
30,6200,6.207093715667725,5.804,0.403
31,6400,6.260566234588623,5.945,0.316
32,6600,5.916456699371338,5.627,0.29
33,6800,5.741781711578369,5.425,0.317
34,7000,6.267980575561523,5.961,0.306
35,7200,5.8206706047058105,5.577,0.244
36,7400,6.0921502113342285,5.711,0.381
37,7600,6.02675724029541,5.604,0.423
38,7800,5.691144943237305,5.397,0.294
39,8000,5.806039333343506,5.503,0.303
40,8200,5.6596527099609375,5.293,0.367
41,8400,5.459521293640137,5.151,0.309
42,8600,5.657370567321777,5.356,0.301
43,8800,5.711330413818359,5.392,0.319
44,9000,5.886223793029785,5.581,0.305
45,9200,6.029381275177002,5.738,0.291
46,9400,5.796952724456787,5.492,0.305
47,9600,6.264402389526367,5.904,0.36
48,9800,5.776130676269531,5.512,0.264
49,10000,5.807995796203613,5.532,0.276
50,10200,6.094003200531006,5.806,0.288
51,10400,5.565281391143799,5.272,0.294
52,10600,5.745150089263916,5.529,0.217
53,10800,5.674588203430176,5.375,0.3
54,11000,5.554650783538818,5.27,0.285
55,11200,5.398311614990234,5.109,0.29
56,11400,5.682279586791992,5.36,0.323
57,11600,6.077338218688965,5.786,0.292
58,11800,5.6230268478393555,5.417,0.206
59,12000,5.638284683227539,5.374,0.264
60,12200,5.638698577880859,5.358,0.28
61,12400,6.202320098876953,5.867,0.336
62,12600,5.612004280090332,5.405,0.207
63,12800,5.476326942443848,5.264,0.212
64,13000,5.808845043182373,5.564,0.245
65,13200,5.702887535095215,5.427,0.276
66,13400,5.399064540863037,5.129,0.27
67,13600,5.437173843383789,5.159,0.278
68,13800,5.636768341064453,5.384,0.252
69,14000,5.632757186889648,5.395,0.238
70,14200,5.694738864898682,5.5,0.195
71,14400,5.593400955200195,5.365,0.228
72,14600,5.383953094482422,5.114,0.27
73,14800,5.387578964233398,5.071,0.317
74,15000,5.57647705078125,5.363,0.214
75,15200,5.2744879722595215,5.038,0.236
76,15400,5.383439064025879,5.157,0.227
77,15600,5.277488708496094,4.984,0.294
78,15800,5.291585445404053,5.014,0.278
79,16000,5.1678900718688965,4.954,0.214
80,16200,5.275616645812988,5.01,0.266
81,16400,5.621457576751709,5.373,0.248
82,16600,5.151832103729248,4.889,0.263
83,16800,5.517303466796875,5.307,0.21
84,17000,5.443160533905029,5.214,0.229
85,17200,5.485365390777588,5.274,0.211
86,17400,5.602521896362305,5.358,0.244
87,17600,5.668446063995361,5.36,0.308
88,17800,5.1568989753723145,4.893,0.264
89,18000,5.612813949584961,5.314,0.299
90,18200,5.163190841674805,4.914,0.249
91,18400,5.50814962387085,5.17,0.338
92,18600,5.468681335449219,5.177,0.292
93,18800,5.050239562988281,4.777,0.273
94,19000,5.4122700691223145,5.13,0.282
95,19200,5.318411827087402,5.044,0.274
96,19400,5.614340305328369,5.355,0.259
97,19600,5.356112003326416,5.122,0.234
98,19800,5.329039096832275,5.122,0.207
99,20000,5.6374616622924805,5.319,0.318
100,20200,5.644803524017334,5.396,0.248
101,20400,5.612514972686768,5.342,0.271
102,20600,5.3212971687316895,5.054,0.268
103,20800,5.645073890686035,5.388,0.258
104,21000,5.679154872894287,5.433,0.247
105,21200,5.3401360511779785,5.113,0.227
106,21400,5.229730129241943,5.0,0.23
107,21600,5.33444356918335,5.047,0.288
108,21800,5.226037979125977,4.953,0.273
109,22000,5.186185359954834,4.902,0.284
110,22200,5.1623969078063965,4.828,0.335
111,22400,5.413172721862793,5.149,0.264
112,22600,5.371525287628174,5.066,0.305
113,22800,5.391695499420166,5.121,0.271
114,23000,5.413930892944336,5.128,0.286
115,23200,5.507968425750732,5.224,0.284
116,23400,5.251967906951904,4.993,0.259
117,23600,5.507380962371826,5.264,0.244
118,23800,5.077363967895508,4.815,0.263
119,24000,5.49304723739624,5.272,0.221
120,24200,5.2091755867004395,4.97,0.239
121,24400,5.202469348907471,4.972,0.23
122,24600,4.956485748291016,4.731,0.225
123,24800,5.3696160316467285,5.2,0.17
124,25000,5.460230827331543,5.211,0.25
125,25200,4.99859619140625,4.771,0.228
126,25400,5.061336994171143,4.759,0.303
127,25600,5.181125640869141,4.882,0.299
128,25800,5.320985794067383,5.091,0.23
129,26000,5.4328718185424805,5.2,0.232
130,26200,5.022218227386475,4.791,0.231
131,26400,4.938656806945801,4.748,0.191
132,26600,5.043734073638916,4.816,0.228
133,26800,5.461191177368164,5.228,0.233
134,27000,5.182802200317383,4.947,0.236
135,27200,5.192517280578613,4.964,0.228
136,27400,5.228531360626221,4.993,0.235
137,27600,5.392435550689697,5.195,0.197
138,27800,5.2493062019348145,5.017,0.232
139,28000,5.307252407073975,5.063,0.244
140,28200,5.828481674194336,5.565,0.263
141,28400,5.432369232177734,5.208,0.224
142,28600,5.378527641296387,5.19,0.188
143,28800,5.529158115386963,5.307,0.222
144,29000,5.158961772918701,4.898,0.261
145,29200,5.277188301086426,5.052,0.225
146,29400,4.9905619621276855,4.722,0.268
147,29600,5.0975799560546875,4.936,0.161
148,29800,5.505603790283203,5.27,0.235
149,30000,5.160938739776611,4.911,0.25
150,30200,5.250758171081543,5.047,0.203
151,30400,5.122302055358887,4.826,0.296
152,30600,5.451485633850098,5.133,0.318
153,30800,5.498515605926514,5.25,0.248
154,31000,5.168571949005127,4.975,0.193
155,31200,5.110304832458496,4.897,0.213
156,31400,5.375617980957031,5.055,0.321
157,31600,5.269076347351074,5.053,0.216
158,31800,5.26392126083374,5.047,0.217
159,32000,5.282522201538086,5.025,0.257
160,32200,5.08746862411499,4.9,0.188
161,32400,5.400524616241455,5.164,0.236
162,32600,4.786357402801514,4.595,0.191
163,32800,5.294165134429932,5.023,0.271
164,33000,4.9432830810546875,4.697,0.246
165,33200,5.288379669189453,5.024,0.264
166,33400,5.217757701873779,4.959,0.258
167,33600,4.885149002075195,4.67,0.215
168,33800,4.960328102111816,4.759,0.202
169,34000,5.0949506759643555,4.864,0.231
170,34200,5.142585277557373,4.931,0.212
171,34400,5.097382545471191,4.845,0.252
172,34600,5.04641580581665,4.858,0.189
173,34800,5.3327717781066895,5.1,0.233
174,35000,5.496711730957031,5.244,0.253
175,35200,5.432708740234375,5.2,0.233
176,35400,5.236377239227295,4.996,0.24
177,35600,5.101053237915039,4.943,0.158
178,35800,5.202234745025635,4.965,0.237
179,36000,5.362269401550293,5.042,0.321
180,36200,5.265448093414307,4.998,0.267
181,36400,5.238035678863525,4.951,0.287
182,36600,5.113100051879883,4.825,0.288
183,36800,5.14013671875,4.917,0.223
184,37000,4.98629093170166,4.78,0.207
185,37200,5.20272970199585,5.024,0.178
186,37400,5.161796569824219,4.927,0.235
187,37600,4.91750955581665,4.598,0.32
188,37800,5.188319206237793,4.965,0.223
189,38000,5.390576362609863,5.093,0.298
190,38200,5.295361042022705,5.06,0.236
191,38400,5.3177714347839355,5.055,0.263
192,38600,5.064741611480713,4.816,0.249
193,38800,5.095729351043701,4.846,0.25
194,39000,5.187316417694092,4.895,0.293
195,39200,5.172946929931641,4.932,0.241
196,39400,5.05311918258667,4.791,0.262
197,39600,5.197556495666504,4.966,0.231
198,39800,5.098890781402588,4.897,0.202
199,40000,5.196186065673828,5.024,0.172
200,40200,4.940307140350342,4.771,0.169
201,40400,5.0242414474487305,4.817,0.207
202,40600,5.044312477111816,4.863,0.182
203,40800,5.047601222991943,4.793,0.254
204,41000,5.018898963928223,4.733,0.286
205,41200,5.0895609855651855,4.822,0.267
206,41400,5.154437065124512,4.921,0.234
207,41600,5.083192348480225,4.848,0.236
208,41800,5.1437458992004395,4.875,0.269
209,42000,5.2253804206848145,4.932,0.293
210,42200,5.193737030029297,4.975,0.218
211,42400,5.0082221031188965,4.71,0.298
212,42600,5.3608012199401855,5.154,0.207
213,42800,5.363651275634766,5.132,0.231
214,43000,5.232413291931152,4.978,0.254
215,43200,4.967652320861816,4.791,0.177
216,43400,4.95939826965332,4.683,0.277
217,43600,5.264016151428223,4.984,0.28
218,43800,4.836761951446533,4.643,0.194
219,44000,5.100841999053955,4.883,0.218
220,44200,5.344794273376465,5.028,0.317
221,44400,5.132381916046143,4.944,0.189
222,44600,5.141975402832031,4.85,0.292
223,44800,5.318577289581299,5.118,0.201
224,45000,5.006593227386475,4.702,0.304
225,45200,5.415681838989258,5.127,0.289
226,45400,4.963828086853027,4.645,0.319
227,45600,5.315123081207275,5.1,0.215
228,45800,5.142453670501709,4.858,0.285
229,46000,4.779880523681641,4.586,0.194
230,46200,5.2256855964660645,4.972,0.254
231,46400,5.073458671569824,4.851,0.223
232,46600,5.123053550720215,4.883,0.24
233,46800,5.324260234832764,5.123,0.202
234,47000,5.0523762702941895,4.78,0.272
235,47200,5.13884973526001,4.887,0.252
236,47400,5.207544326782227,4.99,0.218
237,47600,5.064014911651611,4.768,0.296
238,47800,4.925719738006592,4.644,0.282
239,48000,5.036453723907471,4.78,0.256
240,48200,4.917011260986328,4.65,0.267
241,48400,4.974940776824951,4.758,0.217
242,48600,4.911874771118164,4.673,0.239
243,48800,5.4992499351501465,5.26,0.24
244,49000,5.127349853515625,4.951,0.176
245,49200,4.838314056396484,4.599,0.239
246,49400,5.149052143096924,4.942,0.207
247,49600,4.859747886657715,4.645,0.215
248,49800,5.083460330963135,4.856,0.228
249,50000,5.100593566894531,4.832,0.269
250,50200,5.332209587097168,5.083,0.249
251,50400,5.4740471839904785,5.233,0.241
252,50600,4.843793869018555,4.576,0.268
253,50800,5.469687461853027,5.22,0.249
254,51000,5.021995544433594,4.784,0.238
255,51200,5.058584213256836,4.784,0.274
256,51400,5.007842540740967,4.745,0.263
257,51600,5.022632122039795,4.792,0.231
258,51800,5.073746681213379,4.838,0.236
259,52000,5.2876434326171875,5.023,0.264
260,52200,5.278985977172852,5.09,0.189
261,52400,5.246862411499023,5.055,0.192
262,52600,5.337890148162842,5.135,0.203
