,steps,hr_test_5,hr_test_10,hr_test_20,ndcg_test_5,ndcg_test_10,ndcg_test_20,cov_test_1,cov_test_5,cov_test_10,cov_test_20,nov_test_1,nov_test_5,nov_test_10,nov_test_20,rep_test_5,rep_test_10,rep_test_20,hr_val_5,hr_val_10,hr_val_20,ndcg_val_5,ndcg_val_10,ndcg_val_20,cov_val_1,cov_val_5,cov_val_10,cov_val_20,nov_val_1,nov_val_5,nov_val_10,nov_val_20,rep_val_5,rep_val_10,rep_val_20
0,5000,0.290679,0.383018,0.458776,0.200936,0.230902,0.250124,0.156505,0.255262,0.296682,0.334881,0.087796,0.175301,0.219407,0.261183,12.5421,26.41615,54.8104,0.288555,0.380168,0.45751,0.199573,0.229317,0.248942,0.155681,0.255861,0.295259,0.334619,0.086839,0.176258,0.217867,0.26085,12.3842,26.08195,54.2219
1,10000,0.306268,0.40152,0.481994,0.211496,0.242385,0.262819,0.188563,0.318141,0.373792,0.425661,0.115383,0.24354,0.304373,0.361877,12.81435,26.9685,55.9516,0.305539,0.399619,0.479701,0.211957,0.242491,0.2628,0.188188,0.31728,0.371395,0.422815,0.115217,0.24275,0.301752,0.358715,12.66495,26.66045,55.33945
2,15000,0.311723,0.407038,0.487503,0.215375,0.246332,0.26674,0.223354,0.376826,0.441877,0.497753,0.149669,0.308076,0.379894,0.441976,12.43095,26.26265,54.5305,0.309086,0.403738,0.485162,0.214345,0.24507,0.265698,0.22444,0.375927,0.438881,0.497641,0.150418,0.307286,0.376607,0.441851,12.26945,25.91055,53.82305
3,20000,0.312174,0.407111,0.487665,0.215173,0.246,0.266438,0.23414,0.397011,0.464872,0.530934,0.159905,0.330379,0.405484,0.478842,12.73065,26.8069,55.32995,0.308614,0.403457,0.486296,0.213604,0.244367,0.265377,0.233765,0.398622,0.468916,0.531196,0.159156,0.332085,0.409936,0.479133,12.56075,26.49635,54.7291
4,25000,0.311435,0.408553,0.488639,0.215226,0.246759,0.267086,0.242529,0.416823,0.489252,0.559209,0.168976,0.352307,0.43253,0.510257,12.63135,26.63805,54.94075,0.311835,0.406369,0.487058,0.215795,0.246472,0.26692,0.240394,0.416973,0.492023,0.561007,0.167104,0.35239,0.435609,0.512254,12.47605,26.29445,54.2496
5,30000,0.310407,0.404297,0.484401,0.214798,0.245269,0.265609,0.259119,0.436559,0.512958,0.583664,0.184912,0.374277,0.458869,0.537428,12.3548,26.1202,53.91405,0.309902,0.403366,0.484863,0.215482,0.245816,0.266487,0.257584,0.432964,0.510486,0.580968,0.182957,0.370241,0.456123,0.534432,12.2356,25.87675,53.37265
6,35000,0.308559,0.405442,0.48579,0.214039,0.245518,0.265895,0.268594,0.454161,0.534567,0.605086,0.194441,0.393709,0.482878,0.561228,12.3342,26.0783,53.67875,0.309195,0.402704,0.483393,0.214744,0.245089,0.26557,0.267995,0.450228,0.5285,0.599918,0.194649,0.389215,0.476137,0.555486,12.1862,25.78265,53.10865
7,40000,0.306178,0.401412,0.480335,0.211883,0.242839,0.262871,0.277545,0.464722,0.547712,0.623287,0.20372,0.405484,0.497483,0.581451,12.0675,25.5686,52.69365,0.307253,0.400726,0.480608,0.21312,0.243438,0.263688,0.275597,0.464684,0.545128,0.620366,0.201639,0.405359,0.494612,0.578205,11.9266,25.27325,52.13315
8,45000,0.30194,0.395344,0.474474,0.2091,0.239359,0.259429,0.278481,0.470714,0.553442,0.628155,0.204719,0.412017,0.50389,0.58686,12.0564,25.42915,52.47,0.303207,0.394575,0.474684,0.209777,0.239462,0.259784,0.281215,0.472249,0.554453,0.628342,0.207257,0.413889,0.504972,0.587068,11.91775,25.13255,51.9012
9,50000,0.304745,0.399077,0.479,0.211096,0.241717,0.26199,0.279155,0.470527,0.556662,0.634672,0.205551,0.411809,0.507427,0.5941,12.3947,26.11295,53.8994,0.303779,0.397296,0.477024,0.210845,0.241202,0.261443,0.276571,0.474272,0.558235,0.637068,0.202555,0.416053,0.509175,0.596763,12.2273,25.7817,53.28655
