,steps,loss,plain,smorl
0,200,8.87523365020752,8.575,0.3
1,400,8.03573226928711,7.782,0.254
2,600,7.634450912475586,7.323,0.312
3,800,7.763784408569336,7.418,0.346
4,1000,7.445940971374512,7.134,0.312
5,1200,6.942781925201416,6.649,0.294
6,1400,7.425034523010254,7.043,0.382
7,1600,6.895959854125977,6.545,0.351
8,1800,6.915566444396973,6.601,0.315
9,2000,6.324028015136719,6.071,0.253
10,2200,6.701728343963623,6.39,0.311
11,2400,6.765458106994629,6.424,0.342
12,2600,6.603282928466797,6.331,0.272
13,2800,6.245772838592529,5.942,0.303
14,3000,6.331892967224121,6.038,0.294
15,3200,6.261472225189209,5.948,0.313
16,3400,6.261784553527832,6.004,0.258
17,3600,6.38066291809082,6.074,0.307
18,3800,6.094340801239014,5.72,0.374
19,4000,6.283956050872803,5.935,0.349
20,4200,5.8219428062438965,5.522,0.3
21,4400,5.953920364379883,5.612,0.342
22,4600,6.443936824798584,6.082,0.362
23,4800,6.044247150421143,5.606,0.438
24,5000,6.33377742767334,5.981,0.352
25,5200,5.860105037689209,5.498,0.362
26,5400,5.82225227355957,5.455,0.367
27,5600,5.867605209350586,5.522,0.346
28,5800,6.056992053985596,5.75,0.307
29,6000,6.018558502197266,5.698,0.32
30,6200,5.793670654296875,5.536,0.258
31,6400,6.501415252685547,6.093,0.408
32,6600,5.741493225097656,5.455,0.286
33,6800,6.166205406188965,5.897,0.269
34,7000,5.694067001342773,5.381,0.313
35,7200,6.286018371582031,5.936,0.35
36,7400,5.703562259674072,5.438,0.265
37,7600,5.564692497253418,5.255,0.309
38,7800,6.227170467376709,5.873,0.354
39,8000,5.695755958557129,5.343,0.353
40,8200,5.622971057891846,5.355,0.268
41,8400,5.855392932891846,5.499,0.356
42,8600,5.696385383605957,5.399,0.298
43,8800,5.645752906799316,5.335,0.311
44,9000,6.0059356689453125,5.658,0.348
45,9200,6.139839172363281,5.78,0.36
46,9400,5.464770793914795,5.085,0.38
47,9600,6.053101062774658,5.632,0.421
48,9800,5.522830486297607,5.295,0.228
49,10000,5.768547058105469,5.519,0.249
50,10200,6.379755020141602,6.063,0.316
51,10400,5.711653709411621,5.399,0.312
52,10600,6.002529144287109,5.697,0.306
53,10800,5.490011215209961,5.19,0.3
54,11000,5.451565742492676,5.176,0.276
55,11200,5.371335506439209,5.033,0.338
56,11400,5.553142070770264,5.293,0.26
57,11600,5.73819637298584,5.47,0.268
58,11800,5.499475002288818,5.167,0.333
59,12000,5.537909030914307,5.28,0.258
60,12200,5.628803730010986,5.304,0.324
61,12400,5.597352027893066,5.391,0.206
62,12600,5.311225891113281,4.946,0.365
63,12800,5.53318452835083,5.259,0.274
64,13000,5.421344757080078,5.097,0.324
65,13200,5.274805545806885,5.031,0.244
66,13400,5.607480525970459,5.315,0.292
67,13600,5.753940582275391,5.532,0.222
68,13800,5.802842140197754,5.525,0.278
69,14000,5.349113941192627,5.071,0.278
70,14200,5.772444248199463,5.459,0.313
71,14400,5.437200546264648,5.148,0.29
72,14600,5.508410930633545,5.24,0.268
73,14800,5.4075775146484375,5.11,0.298
74,15000,5.460897445678711,5.192,0.269
75,15200,5.50354528427124,5.223,0.28
76,15400,5.114211559295654,4.861,0.253
77,15600,5.511774063110352,5.238,0.273
78,15800,5.326599597930908,5.086,0.241
79,16000,5.634453773498535,5.334,0.301
80,16200,5.286716938018799,5.014,0.273
81,16400,5.269895553588867,5.027,0.243
82,16600,5.276956558227539,5.004,0.273
83,16800,5.271665096282959,5.047,0.225
84,17000,5.629936695098877,5.385,0.245
85,17200,5.431936264038086,5.198,0.234
86,17400,5.6357550621032715,5.349,0.287
87,17600,5.564297676086426,5.297,0.267
88,17800,5.4272613525390625,5.144,0.283
89,18000,5.490583419799805,5.21,0.281
90,18200,5.095318794250488,4.854,0.242
91,18400,5.192123889923096,4.956,0.236
92,18600,4.885272979736328,4.608,0.277
93,18800,5.729976177215576,5.419,0.311
94,19000,5.44708251953125,5.145,0.303
95,19200,5.166182994842529,4.876,0.291
96,19400,5.3708577156066895,5.136,0.235
97,19600,5.327818393707275,5.032,0.296
98,19800,5.366928577423096,5.14,0.227
99,20000,5.362472057342529,5.042,0.32
100,20200,5.509097576141357,5.302,0.207
101,20400,5.564444541931152,5.212,0.352
102,20600,5.350318908691406,5.089,0.261
103,20800,5.373928070068359,5.065,0.309
104,21000,5.193756103515625,4.955,0.239
105,21200,5.384225368499756,5.164,0.22
106,21400,5.25935173034668,5.036,0.223
107,21600,5.421696662902832,5.206,0.215
108,21800,4.867191791534424,4.614,0.253
109,22000,5.187314987182617,4.969,0.218
110,22200,5.364327907562256,5.147,0.217
111,22400,4.8827924728393555,4.626,0.257
112,22600,5.31412410736084,4.993,0.321
113,22800,5.242156028747559,4.967,0.276
114,23000,5.233990669250488,4.983,0.251
115,23200,5.018861293792725,4.816,0.203
116,23400,5.474967956542969,5.148,0.327
117,23600,5.222883224487305,4.947,0.276
118,23800,5.122834205627441,4.893,0.23
119,24000,5.345052719116211,5.075,0.27
120,24200,5.468603134155273,5.183,0.286
121,24400,5.086024284362793,4.855,0.231
122,24600,5.2015700340271,4.931,0.271
123,24800,5.122086524963379,4.908,0.214
124,25000,5.477297782897949,5.165,0.312
125,25200,5.18084192276001,4.911,0.27
126,25400,4.99181604385376,4.78,0.212
127,25600,5.141445636749268,4.943,0.199
128,25800,5.170755386352539,4.931,0.24
129,26000,5.078431606292725,4.863,0.216
130,26200,5.596211910247803,5.381,0.216
131,26400,5.407436370849609,5.039,0.368
132,26600,5.381622314453125,5.138,0.243
133,26800,5.386291980743408,5.129,0.257
134,27000,5.263383865356445,5.012,0.251
135,27200,5.427257061004639,5.116,0.311
136,27400,5.4861159324646,5.246,0.24
137,27600,4.987625598907471,4.735,0.253
138,27800,5.260166168212891,5.039,0.221
139,28000,5.172163963317871,4.913,0.26
140,28200,5.188172340393066,4.954,0.234
141,28400,5.11320161819458,4.871,0.242
142,28600,5.6047492027282715,5.351,0.254
143,28800,5.0673828125,4.876,0.191
144,29000,5.141949653625488,4.872,0.269
145,29200,5.200981616973877,4.967,0.234
146,29400,5.082831859588623,4.873,0.21
147,29600,5.097639560699463,4.868,0.23
148,29800,5.205466270446777,4.893,0.313
149,30000,5.183103561401367,4.912,0.271
150,30200,5.092590808868408,4.788,0.305
151,30400,5.219619274139404,4.914,0.305
152,30600,5.246511459350586,4.947,0.3
153,30800,5.229437828063965,4.965,0.264
154,31000,5.599625587463379,5.349,0.251
155,31200,5.597370624542236,5.256,0.341
156,31400,5.297574043273926,5.092,0.206
157,31600,5.251197814941406,4.99,0.262
158,31800,5.161135196685791,4.9,0.261
159,32000,5.379326820373535,5.118,0.261
160,32200,5.173166751861572,4.901,0.272
161,32400,5.182132720947266,4.967,0.215
162,32600,5.124101638793945,4.824,0.3
163,32800,4.977877140045166,4.767,0.211
164,33000,5.221497535705566,4.917,0.305
165,33200,5.087536334991455,4.84,0.248
166,33400,5.059943675994873,4.851,0.209
167,33600,5.028173923492432,4.703,0.325
168,33800,5.044215679168701,4.825,0.22
169,34000,5.703341960906982,5.48,0.224
170,34200,5.344916343688965,5.068,0.277
171,34400,5.04273796081543,4.799,0.244
172,34600,5.697970867156982,5.413,0.285
173,34800,4.915715217590332,4.664,0.251
174,35000,5.126991271972656,4.774,0.353
175,35200,5.491336822509766,5.232,0.259
176,35400,5.386017799377441,5.144,0.242
177,35600,5.393778324127197,5.081,0.312
178,35800,5.367419242858887,5.13,0.238
179,36000,5.282576084136963,5.071,0.212
180,36200,4.82200813293457,4.584,0.238
181,36400,5.273631572723389,5.031,0.242
182,36600,4.831801891326904,4.64,0.192
183,36800,4.9764204025268555,4.746,0.23
184,37000,5.088497638702393,4.783,0.306
185,37200,5.0148210525512695,4.764,0.251
186,37400,5.34592342376709,5.047,0.299
187,37600,4.821341514587402,4.625,0.196
188,37800,5.252653121948242,4.998,0.255
189,38000,5.119411468505859,4.919,0.201
190,38200,4.866203784942627,4.599,0.268
191,38400,5.1465253829956055,4.903,0.243
192,38600,5.287951946258545,5.076,0.212
193,38800,5.485159397125244,5.222,0.263
194,39000,5.343993663787842,5.094,0.25
195,39200,5.189640045166016,4.953,0.237
196,39400,5.494863510131836,5.207,0.288
197,39600,4.965487003326416,4.752,0.213
198,39800,5.0754570960998535,4.775,0.3
199,40000,5.043391227722168,4.794,0.249
200,40200,5.293484210968018,4.996,0.298
201,40400,5.070137023925781,4.813,0.257
202,40600,5.005805015563965,4.783,0.222
203,40800,4.8729987144470215,4.595,0.278
204,41000,5.072688579559326,4.887,0.185
205,41200,5.112365245819092,4.914,0.198
206,41400,5.363105773925781,5.068,0.295
207,41600,5.2993083000183105,5.09,0.209
208,41800,5.180258750915527,4.923,0.257
209,42000,5.404873371124268,5.19,0.215
210,42200,4.942291736602783,4.73,0.212
211,42400,5.261915683746338,5.044,0.218
212,42600,4.997081279754639,4.748,0.249
213,42800,5.249842166900635,5.016,0.234
214,43000,5.25400972366333,4.962,0.292
215,43200,5.217937469482422,5.009,0.209
216,43400,4.811247825622559,4.599,0.212
217,43600,5.144641876220703,4.856,0.289
218,43800,4.899237632751465,4.674,0.225
219,44000,4.801060199737549,4.518,0.283
220,44200,5.041838645935059,4.755,0.287
221,44400,5.202479362487793,4.946,0.256
222,44600,5.256386756896973,5.053,0.204
223,44800,5.101415634155273,4.863,0.238
224,45000,5.126707553863525,4.872,0.254
225,45200,5.163573265075684,4.917,0.247
226,45400,5.3677520751953125,5.155,0.213
227,45600,5.212449550628662,4.948,0.264
228,45800,5.126852035522461,4.863,0.264
229,46000,5.101502895355225,4.875,0.227
230,46200,5.1146416664123535,4.858,0.257
231,46400,5.197332859039307,4.982,0.216
232,46600,4.738863945007324,4.514,0.225
233,46800,5.26185417175293,5.023,0.239
234,47000,5.062790393829346,4.754,0.309
235,47200,4.81532096862793,4.54,0.275
236,47400,4.958598613739014,4.639,0.319
237,47600,5.325704097747803,5.089,0.237
238,47800,5.156826496124268,4.836,0.321
239,48000,5.329359531402588,5.092,0.237
240,48200,5.180517673492432,5.007,0.174
241,48400,4.8562493324279785,4.632,0.224
242,48600,5.1996684074401855,4.945,0.255
243,48800,5.075045585632324,4.821,0.254
244,49000,5.103001594543457,4.844,0.259
245,49200,5.279109477996826,5.019,0.26
246,49400,4.865524768829346,4.624,0.241
247,49600,5.166170120239258,4.941,0.225
248,49800,4.799914836883545,4.547,0.253
249,50000,5.108780384063721,4.803,0.306
250,50200,4.989863872528076,4.716,0.274
251,50400,5.328827857971191,5.054,0.275
252,50600,4.984921932220459,4.712,0.273
253,50800,5.031266689300537,4.741,0.29
254,51000,5.00421142578125,4.797,0.208
255,51200,5.182550430297852,4.95,0.233
256,51400,5.558016300201416,5.324,0.234
257,51600,4.966876983642578,4.742,0.225
258,51800,5.039233684539795,4.841,0.198
259,52000,4.811315536499023,4.562,0.25
260,52200,5.154658317565918,4.885,0.269
261,52400,4.927947998046875,4.665,0.263
262,52600,4.911701202392578,4.679,0.232
263,52800,5.361682415008545,5.129,0.233
264,53000,5.157137393951416,4.914,0.243
265,53200,5.34922456741333,5.089,0.26
266,53400,5.251001358032227,4.922,0.329
267,53600,5.236613750457764,5.002,0.235
268,53800,5.220561504364014,4.999,0.221
269,54000,5.3729329109191895,5.129,0.244
270,54200,4.975309371948242,4.708,0.267
271,54400,5.138576984405518,4.905,0.233
272,54600,5.005134582519531,4.747,0.259
273,54800,5.1827311515808105,4.918,0.265
274,55000,5.036409854888916,4.784,0.253
275,55200,5.100467681884766,4.817,0.284
276,55400,5.076137542724609,4.8,0.276
277,55600,5.195472717285156,4.964,0.231
278,55800,5.117642879486084,4.847,0.27
279,56000,5.298508644104004,4.908,0.391
280,56200,5.046113014221191,4.813,0.233
281,56400,4.912389755249023,4.667,0.246
282,56600,5.138798236846924,4.807,0.332
283,56800,5.072896480560303,4.818,0.255
284,57000,5.248487949371338,4.979,0.27
285,57200,4.990654468536377,4.749,0.241
286,57400,5.051205635070801,4.767,0.284
287,57600,5.256017684936523,4.995,0.261
288,57800,4.98599100112915,4.78,0.206
289,58000,5.123124599456787,4.793,0.33
290,58200,5.076604843139648,4.788,0.288
291,58400,4.886570930480957,4.665,0.221
292,58600,5.016232490539551,4.74,0.276
293,58800,5.645458221435547,5.454,0.191
294,59000,4.885201454162598,4.638,0.247
295,59200,5.228464126586914,4.963,0.266
296,59400,5.143519401550293,4.857,0.287
297,59600,4.98507833480835,4.746,0.239
298,59800,4.837949275970459,4.644,0.194
299,60000,5.149898529052734,4.9,0.25
300,60200,5.215062618255615,4.938,0.277
301,60400,5.0615553855896,4.793,0.269
302,60600,4.837369441986084,4.613,0.224
303,60800,5.111713886260986,4.871,0.24
304,61000,5.203973770141602,4.938,0.266
305,61200,5.019896030426025,4.741,0.278
306,61400,5.44645881652832,5.193,0.253
307,61600,4.993075847625732,4.717,0.276
308,61800,5.1127777099609375,4.848,0.265
309,62000,4.985011100769043,4.666,0.319
310,62200,4.919246673583984,4.714,0.205
311,62400,5.012584686279297,4.754,0.258
312,62600,4.766826152801514,4.557,0.21
313,62800,4.908063888549805,4.723,0.185
314,63000,5.213901042938232,4.95,0.264
315,63200,4.742734909057617,4.488,0.255
316,63400,5.1969499588012695,4.955,0.242
317,63600,5.328190803527832,5.018,0.31
318,63800,5.306838035583496,5.039,0.268
319,64000,5.433002948760986,5.23,0.203
320,64200,5.121250629425049,4.826,0.295
321,64400,5.203973770141602,5.005,0.199
322,64600,4.979581832885742,4.749,0.23
323,64800,5.237320423126221,4.932,0.306
324,65000,5.118409633636475,4.84,0.278
325,65200,5.381219387054443,5.113,0.268
326,65400,5.02707576751709,4.76,0.267
327,65600,4.984098434448242,4.703,0.281
328,65800,4.857792854309082,4.607,0.251
329,66000,4.981622695922852,4.679,0.303
330,66200,4.844532012939453,4.584,0.261
331,66400,4.859917163848877,4.602,0.258
332,66600,5.046935558319092,4.805,0.242
333,66800,5.011669158935547,4.711,0.301
334,67000,5.360480308532715,5.116,0.245
335,67200,5.103188514709473,4.826,0.277
336,67400,5.066636085510254,4.792,0.275
337,67600,5.000983715057373,4.765,0.236
338,67800,5.244505405426025,5.043,0.201
339,68000,4.990993499755859,4.657,0.334
340,68200,5.382772445678711,5.138,0.245
341,68400,5.227002143859863,4.998,0.229
342,68600,5.392700672149658,5.105,0.287
343,68800,5.401671886444092,5.19,0.212
344,69000,5.525043487548828,5.204,0.321
345,69200,5.453755855560303,5.162,0.292
346,69400,5.096599578857422,4.831,0.265
347,69600,5.564392566680908,5.251,0.313
348,69800,4.9833478927612305,4.754,0.229
349,70000,4.762047290802002,4.572,0.19
350,70200,4.932388782501221,4.7,0.232
351,70400,5.114018440246582,4.83,0.284
352,70600,5.206009387969971,4.931,0.275
353,70800,6.642097473144531,6.198,0.444
354,71000,5.308270454406738,4.951,0.357
355,71200,5.7037434577941895,5.406,0.298
356,71400,4.998536586761475,4.745,0.253
357,71600,4.8141374588012695,4.455,0.359
358,71800,5.6444854736328125,5.305,0.339
359,72000,5.300622940063477,5.07,0.231
360,72200,5.51608419418335,5.257,0.259
361,72400,5.001495838165283,4.651,0.35
362,72600,4.8820414543151855,4.612,0.27
363,72800,5.189129829406738,4.934,0.255
364,73000,5.114278316497803,4.845,0.27
365,73200,5.1608567237854,4.836,0.325
366,73400,5.3676371574401855,5.085,0.283
367,73600,4.78627872467041,4.552,0.234
368,73800,5.005203723907471,4.72,0.285
369,74000,5.373844146728516,5.125,0.248
370,74200,5.272454261779785,4.926,0.347
371,74400,5.291064262390137,5.044,0.247
372,74600,5.274538040161133,4.957,0.318
373,74800,5.085079193115234,4.84,0.245
374,75000,4.946493148803711,4.742,0.204
375,75200,5.181283950805664,4.948,0.233
376,75400,5.098653316497803,4.795,0.304
377,75600,4.872995376586914,4.65,0.223
378,75800,5.004238605499268,4.767,0.238
379,76000,5.14987325668335,4.881,0.269
380,76200,5.199223518371582,4.973,0.226
381,76400,5.085969924926758,4.794,0.292
382,76600,5.067868232727051,4.806,0.261
383,76800,5.257350444793701,4.987,0.27
384,77000,4.833612442016602,4.597,0.237
385,77200,5.351100921630859,5.106,0.245
386,77400,5.126041889190674,4.868,0.258
387,77600,5.195343017578125,4.941,0.255
388,77800,5.388773441314697,5.092,0.297
389,78000,4.799221515655518,4.515,0.284
390,78200,5.378447532653809,5.104,0.274
391,78400,5.604446887969971,5.284,0.32
392,78600,5.170927047729492,4.907,0.264
393,78800,5.432130336761475,5.129,0.304
394,79000,5.9337310791015625,5.632,0.302
395,79200,5.450608730316162,5.089,0.362
396,79400,5.425869941711426,5.046,0.379
397,79600,4.7209625244140625,4.478,0.243
398,79800,5.248523712158203,4.97,0.279
