,steps,hr_test_5,hr_test_10,hr_test_20,ndcg_test_5,ndcg_test_10,ndcg_test_20,cov_test_1,cov_test_5,cov_test_10,cov_test_20,nov_test_1,nov_test_5,nov_test_10,nov_test_20,rep_test_5,rep_test_10,rep_test_20,hr_val_5,hr_val_10,hr_val_20,ndcg_val_5,ndcg_val_10,ndcg_val_20,cov_val_1,cov_val_5,cov_val_10,cov_val_20,nov_val_1,nov_val_5,nov_val_10,nov_val_20,rep_val_5,rep_val_10,rep_val_20
0,5000,0.308018,0.4051,0.485591,0.21105,0.242544,0.262972,0.266834,0.449779,0.512171,0.568984,0.205426,0.389673,0.458162,0.521117,10.12785,22.25015,47.591,0.305348,0.401216,0.483738,0.209538,0.240625,0.261552,0.265673,0.448244,0.513332,0.568534,0.203845,0.3878,0.45941,0.520617,9.97225,21.922,47.0382
1,10000,0.314203,0.413711,0.493715,0.215951,0.248304,0.268606,0.296008,0.491611,0.567298,0.638192,0.232847,0.435568,0.519244,0.598011,10.3075,22.51045,47.81605,0.312089,0.409462,0.490851,0.214487,0.246076,0.266714,0.291926,0.4909,0.569283,0.639727,0.228186,0.434694,0.52145,0.599717,10.1747,22.1969,47.2549
2,15000,0.306115,0.404622,0.484627,0.210623,0.242549,0.262857,0.320762,0.514306,0.591679,0.662272,0.256356,0.460533,0.546332,0.624766,9.9369,21.67425,45.6756,0.305012,0.400635,0.481506,0.210287,0.241284,0.261793,0.319452,0.518201,0.593214,0.664407,0.253859,0.464902,0.548038,0.627138,9.8114,21.4357,45.2036
3,20000,0.303879,0.398581,0.478234,0.210076,0.240844,0.261067,0.340049,0.541607,0.621152,0.692495,0.275663,0.490867,0.579079,0.658345,9.75385,21.2625,44.68755,0.302581,0.396371,0.47452,0.209877,0.240291,0.26011,0.336304,0.545502,0.625871,0.697363,0.27171,0.495152,0.584322,0.663754,9.6317,21.0069,44.20305
4,25000,0.306683,0.401096,0.479749,0.211869,0.24255,0.26252,0.344806,0.561606,0.643809,0.71343,0.280364,0.513003,0.604252,0.681604,9.7719,21.1527,44.57635,0.307417,0.399238,0.47765,0.211956,0.241744,0.261635,0.340237,0.560033,0.639503,0.712606,0.275579,0.511214,0.599467,0.680689,9.6441,20.91845,44.126
5,30000,0.296648,0.388085,0.465638,0.20409,0.233782,0.253443,0.356228,0.564752,0.642574,0.711258,0.291058,0.516498,0.602879,0.679191,9.28965,20.17505,42.3432,0.295795,0.386945,0.464641,0.203807,0.23337,0.253055,0.355666,0.563591,0.642199,0.712044,0.290684,0.515125,0.602463,0.680065,9.19235,19.9445,41.93895
6,35000,0.298505,0.39061,0.466927,0.20549,0.235371,0.25473,0.361022,0.565501,0.643959,0.714478,0.296675,0.51733,0.604419,0.68277,9.3278,20.2183,42.3281,0.296593,0.386972,0.465276,0.205082,0.234395,0.254243,0.35679,0.564864,0.642611,0.716388,0.292015,0.516581,0.602921,0.684892,9.2403,20.0506,42.0287
7,40000,0.294015,0.384136,0.461733,0.202647,0.231889,0.251573,0.369972,0.583402,0.663134,0.734926,0.305497,0.537178,0.625723,0.705488,9.1711,19.95095,41.7241,0.293182,0.382744,0.459478,0.202438,0.231495,0.250937,0.367575,0.582428,0.662759,0.734177,0.302501,0.536138,0.625348,0.704656,9.0746,19.76965,41.4114
8,45000,0.292861,0.382838,0.459272,0.202843,0.231979,0.251403,0.372631,0.57962,0.656955,0.724028,0.30816,0.532975,0.618899,0.69338,9.0476,19.6038,41.1175,0.290297,0.379288,0.456856,0.201548,0.230414,0.250102,0.368549,0.577447,0.654033,0.725863,0.303666,0.530521,0.615612,0.695419,8.96075,19.4133,40.8143
9,50000,0.293997,0.385534,0.461445,0.203916,0.233598,0.252887,0.376114,0.586473,0.664969,0.733615,0.312196,0.54059,0.627762,0.704032,9.0776,19.71605,41.3939,0.293019,0.382989,0.459887,0.203541,0.232743,0.25225,0.375178,0.585275,0.663958,0.732979,0.31153,0.539259,0.626638,0.703325,8.99165,19.5407,41.0738
10,55000,0.287523,0.378167,0.454358,0.198608,0.228034,0.247371,0.37956,0.58857,0.666692,0.732529,0.315358,0.542962,0.629676,0.702825,8.82145,19.16285,40.24695,0.28792,0.374162,0.450043,0.199891,0.227898,0.247141,0.377725,0.585761,0.664145,0.731443,0.313319,0.539799,0.626846,0.701619,8.7279,18.96905,39.96325
11,60000,0.287342,0.376589,0.452464,0.199362,0.228314,0.247549,0.373979,0.580668,0.658041,0.723766,0.310032,0.534141,0.620064,0.693089,8.79845,19.1707,40.327,0.285099,0.373908,0.448864,0.198383,0.227159,0.246158,0.369411,0.576736,0.653097,0.720995,0.30454,0.529896,0.614572,0.69001,8.73345,19.01325,40.03985
12,65000,0.291535,0.381305,0.458009,0.201775,0.23091,0.250381,0.387387,0.597596,0.674369,0.739982,0.324637,0.552948,0.638206,0.711106,8.90085,19.31875,40.67985,0.290188,0.378743,0.454634,0.201527,0.230277,0.249496,0.384316,0.595948,0.673096,0.740357,0.321766,0.551117,0.636791,0.711522,8.8055,19.14245,40.37075
13,70000,0.285674,0.37438,0.448858,0.198078,0.22685,0.245735,0.378848,0.582129,0.658115,0.72474,0.314276,0.535722,0.620147,0.694171,8.69365,18.88925,39.79285,0.283103,0.370324,0.445988,0.196601,0.224906,0.244071,0.376788,0.582204,0.659127,0.727249,0.312113,0.535847,0.621271,0.696958,8.5822,18.72575,39.50065
14,75000,0.288704,0.376977,0.452176,0.199049,0.227705,0.246751,0.373568,0.580031,0.656805,0.72047,0.308825,0.533392,0.618691,0.689427,8.7987,19.1,40.10555,0.285951,0.373064,0.44782,0.198367,0.226692,0.245655,0.375066,0.577784,0.654857,0.721182,0.310739,0.530937,0.616527,0.690218,8.7086,18.9228,39.7625
15,80000,0.286531,0.37447,0.448794,0.198803,0.227355,0.246208,0.383941,0.590592,0.669238,0.733653,0.319561,0.545125,0.632505,0.704074,8.7028,18.894,39.86715,0.28567,0.370832,0.44626,0.19836,0.225996,0.245124,0.383829,0.592128,0.669163,0.732155,0.319311,0.546831,0.632422,0.702409,8.6087,18.73635,39.58625
16,85000,0.285963,0.374155,0.448136,0.198557,0.227176,0.245928,0.385889,0.588345,0.664033,0.731069,0.32214,0.542629,0.626722,0.701203,8.64485,18.77385,39.3731,0.284872,0.371776,0.446106,0.198305,0.226523,0.24537,0.381207,0.585649,0.660887,0.72841,0.316773,0.539633,0.623226,0.698248,8.54595,18.607,39.0532
17,90000,0.287541,0.374714,0.450715,0.199641,0.227898,0.247201,0.386788,0.594562,0.671335,0.739645,0.323139,0.549536,0.634835,0.710731,8.65915,18.84595,39.64595,0.28626,0.372747,0.447457,0.199886,0.227943,0.246893,0.388735,0.593364,0.670175,0.734926,0.325511,0.548246,0.633546,0.705488,8.581,18.6971,39.39705
18,95000,0.28205,0.368808,0.442122,0.19552,0.223693,0.242268,0.388323,0.591604,0.667366,0.732567,0.324096,0.546291,0.630425,0.702867,8.55505,18.6089,39.1207,0.280671,0.36665,0.440209,0.19495,0.222855,0.241502,0.385102,0.588945,0.662422,0.730432,0.320642,0.543378,0.624932,0.700495,8.4707,18.4181,38.8456
19,100000,0.285683,0.372514,0.447271,0.198845,0.227003,0.245978,0.389484,0.592652,0.667441,0.733653,0.325719,0.547414,0.630508,0.704074,8.5989,18.72095,39.38155,0.285716,0.372638,0.445697,0.19853,0.226761,0.245282,0.383717,0.590967,0.666467,0.733316,0.319353,0.545625,0.629426,0.703699,8.533,18.5949,39.10245
20,105000,0.283961,0.37191,0.44691,0.196854,0.225386,0.244419,0.395027,0.605648,0.679575,0.742304,0.331211,0.561852,0.64399,0.713685,8.574,18.6319,39.13875,0.283602,0.369426,0.443094,0.19765,0.225522,0.244193,0.391132,0.599693,0.677028,0.742941,0.327134,0.555237,0.64116,0.714393,8.47325,18.462,38.852
