,steps,hr_test_5,hr_test_10,hr_test_20,ndcg_test_5,ndcg_test_10,ndcg_test_20,cov_test_1,cov_test_5,cov_test_10,cov_test_20,nov_test_1,nov_test_5,nov_test_10,nov_test_20,rep_test_5,rep_test_10,rep_test_20,hr_val_5,hr_val_10,hr_val_20,ndcg_val_5,ndcg_val_10,ndcg_val_20,cov_val_1,cov_val_5,cov_val_10,cov_val_20,nov_val_1,nov_val_5,nov_val_10,nov_val_20,rep_val_5,rep_val_10,rep_val_20
0,5000,0.292094,0.378537,0.450093,0.20247,0.230567,0.24874,0.169238,0.265373,0.298255,0.32653,0.101444,0.185828,0.220738,0.251862,10.02465,22.02245,47.029,0.289345,0.376076,0.448183,0.201641,0.229811,0.248086,0.170137,0.263651,0.296682,0.325893,0.102234,0.184122,0.218991,0.251113,9.88815,21.7354,46.47545
1,10000,0.312742,0.404983,0.480731,0.216042,0.245984,0.265217,0.216875,0.346416,0.389334,0.426934,0.147214,0.274664,0.321558,0.363292,10.2702,22.5807,48.04055,0.310302,0.401742,0.478521,0.214921,0.244557,0.264048,0.217512,0.346903,0.389746,0.426859,0.147797,0.275038,0.322057,0.363209,10.1338,22.2803,47.4447
2,15000,0.316511,0.410654,0.489793,0.219144,0.24972,0.269815,0.23987,0.390757,0.441203,0.487229,0.171223,0.323763,0.379187,0.430283,10.3527,22.71385,48.04185,0.314765,0.407149,0.487049,0.218794,0.248789,0.269103,0.240506,0.389634,0.442364,0.486705,0.171805,0.322265,0.380477,0.429701,10.1792,22.39245,47.4762
3,20000,0.317738,0.414207,0.492083,0.219168,0.250531,0.270306,0.260467,0.432477,0.494682,0.545165,0.192277,0.370116,0.438605,0.494653,10.44475,22.80895,48.22085,0.316525,0.411467,0.490288,0.218605,0.249401,0.269382,0.259793,0.432514,0.493259,0.544528,0.191736,0.370283,0.437066,0.493946,10.28895,22.5034,47.7036
4,25000,0.319784,0.416163,0.495636,0.221315,0.252649,0.272836,0.272414,0.456857,0.523144,0.583439,0.204136,0.396788,0.470187,0.537178,10.5164,22.8998,48.17345,0.317278,0.414371,0.492738,0.219465,0.250996,0.270884,0.270279,0.457981,0.524979,0.582278,0.201515,0.397953,0.472226,0.535888,10.37375,22.5785,47.62965
5,30000,0.321849,0.418147,0.497088,0.222334,0.253593,0.273617,0.28687,0.480713,0.54876,0.609018,0.218949,0.423251,0.498648,0.565597,10.3486,22.5832,47.6659,0.319882,0.415051,0.494516,0.222148,0.253045,0.27323,0.286271,0.480001,0.548873,0.60591,0.218574,0.422419,0.498814,0.562144,10.197,22.3154,47.16425
6,35000,0.32533,0.421131,0.500289,0.224225,0.255324,0.275413,0.297206,0.500861,0.575313,0.637031,0.228769,0.445554,0.528149,0.596721,10.46005,22.782,47.9719,0.321742,0.418117,0.497863,0.222802,0.254041,0.274271,0.295446,0.496255,0.570257,0.634821,0.226189,0.440561,0.522532,0.594266,10.3141,22.4992,47.47525
7,40000,0.323111,0.420879,0.499549,0.22319,0.254886,0.274847,0.300389,0.507715,0.587671,0.655344,0.233221,0.453293,0.541922,0.617068,10.45315,22.78935,47.9752,0.320308,0.416022,0.495514,0.222107,0.253177,0.273341,0.301326,0.508726,0.586361,0.653022,0.233595,0.454292,0.540424,0.614488,10.29245,22.4561,47.34715
8,45000,0.319884,0.418246,0.497061,0.221491,0.253499,0.273493,0.301326,0.505842,0.585911,0.654408,0.231889,0.45113,0.539924,0.616028,10.3897,22.64125,47.78025,0.320136,0.415251,0.495586,0.222101,0.252949,0.273311,0.301962,0.507116,0.585799,0.654932,0.233055,0.452503,0.539799,0.61661,10.22865,22.32655,47.254
9,50000,0.326357,0.422646,0.501416,0.225889,0.257108,0.277119,0.310763,0.528762,0.60928,0.6789,0.242708,0.476595,0.565889,0.643241,10.37535,22.66025,47.7229,0.323475,0.419415,0.497727,0.225141,0.256302,0.276184,0.306719,0.523931,0.606172,0.675193,0.237881,0.471102,0.562435,0.639121,10.2425,22.4078,47.2572
