,steps,loss,plain,smorl
0,200,9.20567512512207,8.914,0.292
1,400,8.720534324645996,8.482,0.238
2,600,8.613923072814941,8.288,0.325
3,800,8.163599014282227,7.823,0.341
4,1000,7.839371681213379,7.39,0.45
5,1200,7.579418659210205,6.984,0.595
6,1400,7.56370210647583,6.991,0.572
7,1600,7.52196741104126,6.956,0.566
8,1800,7.711451530456543,7.163,0.548
9,2000,7.0658979415893555,6.374,0.692
10,2200,7.04386568069458,6.436,0.607
11,2400,7.111536026000977,6.482,0.63
12,2600,7.547084808349609,6.781,0.766
13,2800,7.163871765136719,6.302,0.862
14,3000,7.122929096221924,6.406,0.717
15,3200,7.2211127281188965,6.325,0.896
16,3400,7.313119411468506,6.556,0.757
17,3600,6.883883476257324,5.93,0.954
18,3800,6.965737342834473,5.914,1.051
19,4000,7.116466999053955,5.949,1.168
20,4200,6.612760066986084,5.881,0.731
21,4400,6.893346786499023,5.762,1.132
22,4600,6.881411552429199,5.999,0.883
23,4800,6.895153045654297,6.056,0.839
24,5000,6.6166090965271,5.687,0.93
25,5200,7.181389331817627,6.111,1.071
26,5400,6.587893009185791,5.727,0.861
27,5600,7.074275970458984,6.078,0.996
28,5800,6.556401252746582,5.671,0.885
29,6000,6.885346412658691,5.799,1.086
30,6200,6.707353115081787,5.579,1.129
31,6400,7.067262649536133,5.999,1.068
32,6600,6.853244781494141,5.972,0.881
33,6800,7.153552532196045,6.077,1.076
34,7000,7.22852897644043,6.231,0.998
35,7200,6.5546746253967285,5.65,0.904
36,7400,6.997906684875488,5.578,1.42
37,7600,7.553067207336426,5.806,1.747
38,7800,6.679727554321289,5.541,1.138
39,8000,6.388092994689941,5.446,0.942
40,8200,6.975864887237549,5.674,1.302
41,8400,7.016188144683838,5.86,1.157
42,8600,6.339398384094238,5.472,0.868
43,8800,6.929645538330078,5.787,1.143
44,9000,6.8919572830200195,5.874,1.018
45,9200,6.730100154876709,5.769,0.961
46,9400,6.529952526092529,5.594,0.936
47,9600,6.624384880065918,5.678,0.946
48,9800,6.210057735443115,5.223,0.987
49,10000,6.900485992431641,5.878,1.022
50,10200,6.515692234039307,5.539,0.976
51,10400,6.498074531555176,5.577,0.921
52,10600,6.71986198425293,5.67,1.05
53,10800,6.495957374572754,5.708,0.788
54,11000,6.635962963104248,5.652,0.984
55,11200,6.75245475769043,5.744,1.009
56,11400,6.92716121673584,5.749,1.179
57,11600,6.550478458404541,5.543,1.008
58,11800,6.507702350616455,5.377,1.13
59,12000,6.694470405578613,5.703,0.991
60,12200,6.390720844268799,5.513,0.878
61,12400,6.306726932525635,5.584,0.723
62,12600,6.413946151733398,5.646,0.768
63,12800,6.973499774932861,5.83,1.143
64,13000,7.120395660400391,5.543,1.578
65,13200,6.47080659866333,5.552,0.918
66,13400,6.4884233474731445,5.628,0.861
67,13600,6.491004467010498,5.624,0.867
68,13800,6.607478141784668,5.563,1.044
69,14000,6.6989426612854,5.445,1.254
70,14200,6.436804294586182,5.375,1.062
71,14400,6.800140380859375,5.821,0.979
72,14600,5.963253974914551,5.046,0.918
73,14800,6.308575630187988,5.344,0.964
74,15000,6.506059646606445,5.511,0.995
75,15200,6.223818778991699,5.345,0.879
76,15400,6.45430850982666,5.442,1.012
77,15600,6.499606132507324,5.354,1.146
78,15800,6.4559326171875,5.442,1.014
79,16000,5.891805648803711,4.993,0.899
80,16200,6.735665321350098,5.378,1.358
81,16400,6.354414939880371,5.713,0.642
82,16600,6.516358375549316,5.525,0.991
83,16800,6.5866546630859375,5.775,0.812
84,17000,6.7372636795043945,5.761,0.976
85,17200,6.328360557556152,5.456,0.872
86,17400,6.311454772949219,5.433,0.879
87,17600,6.472661972045898,5.413,1.06
88,17800,6.670742988586426,5.526,1.144
89,18000,6.449352264404297,5.609,0.84
90,18200,5.808874130249023,5.086,0.722
91,18400,6.041049003601074,5.222,0.819
92,18600,6.464202880859375,5.483,0.981
93,18800,6.29297399520874,5.066,1.227
94,19000,6.4238433837890625,5.388,1.035
95,19200,6.150071620941162,5.332,0.818
96,19400,6.322299480438232,5.346,0.976
97,19600,7.052347183227539,5.465,1.587
98,19800,5.742012023925781,4.901,0.841
99,20000,6.717717170715332,5.625,1.093
100,20200,6.1463623046875,5.32,0.826
101,20400,6.513885974884033,5.525,0.989
102,20600,6.304145812988281,5.465,0.839
103,20800,6.440210342407227,5.461,0.979
104,21000,6.273301124572754,5.266,1.007
105,21200,6.058202266693115,5.416,0.642
106,21400,5.98572301864624,5.171,0.815
107,21600,6.168073654174805,5.38,0.788
108,21800,5.661009788513184,4.738,0.923
109,22000,6.252891540527344,5.323,0.93
110,22200,5.785737991333008,4.883,0.903
111,22400,5.629954814910889,4.82,0.809
112,22600,6.228302478790283,5.456,0.772
113,22800,5.986884593963623,5.18,0.807
114,23000,5.876086235046387,4.953,0.924
115,23200,5.708278179168701,4.9,0.808
116,23400,6.128074645996094,5.433,0.695
117,23600,6.08384895324707,5.051,1.032
