,steps,hr_test_5,hr_test_10,hr_test_20,ndcg_test_5,ndcg_test_10,ndcg_test_20,cov_test_1,cov_test_5,cov_test_10,cov_test_20,nov_test_1,nov_test_5,nov_test_10,nov_test_20,rep_test_5,rep_test_10,rep_test_20,hr_val_5,hr_val_10,hr_val_20,ndcg_val_5,ndcg_val_10,ndcg_val_20,cov_val_1,cov_val_5,cov_val_10,cov_val_20,nov_val_1,nov_val_5,nov_val_10,nov_val_20,rep_val_5,rep_val_10,rep_val_20
0,5000,0.289948,0.377392,0.448939,0.200156,0.228545,0.246716,0.16568,0.258145,0.289641,0.317392,0.097116,0.178047,0.211334,0.241668,10.09075,22.04,47.0132,0.289535,0.376022,0.447222,0.200244,0.228326,0.246407,0.164669,0.257921,0.290203,0.319339,0.09695,0.178213,0.212042,0.243831,9.9486,21.7692,46.5044
1,10000,0.31396,0.407056,0.482995,0.217384,0.247628,0.266923,0.216201,0.346903,0.388585,0.425811,0.147422,0.275579,0.320767,0.362044,10.28265,22.5289,47.8801,0.311608,0.403729,0.480408,0.215668,0.245543,0.264994,0.214778,0.344843,0.387274,0.424875,0.146049,0.273249,0.319311,0.361004,10.13055,22.19495,47.2792
2,15000,0.31634,0.412575,0.490794,0.218629,0.249837,0.269673,0.245525,0.393379,0.446071,0.492398,0.177756,0.326634,0.384596,0.436025,10.2952,22.5257,47.82595,0.313214,0.408238,0.486224,0.216211,0.247081,0.266869,0.2456,0.393678,0.446521,0.491873,0.176799,0.326842,0.385137,0.435443,10.15285,22.23685,47.3055
3,20000,0.319315,0.416064,0.494833,0.220222,0.251639,0.271652,0.268744,0.440566,0.496517,0.546214,0.200641,0.378812,0.440644,0.495818,10.39265,22.6985,48.08505,0.31765,0.41301,0.49154,0.220772,0.251722,0.271659,0.265074,0.43772,0.496555,0.547674,0.197104,0.375525,0.440644,0.497441,10.22885,22.3721,47.4621
4,25000,0.324653,0.420771,0.498738,0.224985,0.256257,0.276075,0.276309,0.460527,0.524006,0.581829,0.208006,0.400865,0.471185,0.535389,10.516,22.9839,48.56645,0.321216,0.417265,0.495051,0.223677,0.254869,0.274613,0.271702,0.457007,0.522096,0.580706,0.202763,0.396913,0.469022,0.534141,10.36085,22.6521,47.99715
5,30000,0.317647,0.414035,0.493472,0.219185,0.250505,0.270679,0.285821,0.472998,0.543854,0.606059,0.218366,0.414805,0.493197,0.56231,10.3815,22.6336,47.81815,0.316743,0.410696,0.490578,0.218759,0.249288,0.269565,0.281814,0.470377,0.54157,0.605498,0.214081,0.411809,0.4907,0.561686,10.2421,22.3287,47.2473
6,35000,0.319,0.416515,0.494933,0.220095,0.251764,0.271669,0.289229,0.487229,0.560258,0.626732,0.221903,0.43045,0.511422,0.585279,10.4708,22.7453,48.00675,0.319646,0.413119,0.493336,0.221425,0.251788,0.272127,0.287207,0.485357,0.559509,0.623699,0.218783,0.428328,0.51059,0.581908,10.32975,22.48105,47.53695
7,40000,0.321822,0.417786,0.498765,0.222401,0.253566,0.274147,0.295671,0.494907,0.572017,0.643023,0.228269,0.439229,0.524487,0.603379,10.5118,22.84305,48.1745,0.319156,0.413971,0.493645,0.221495,0.2523,0.272506,0.29436,0.493034,0.569058,0.639503,0.225898,0.437149,0.5212,0.599467,10.3399,22.51305,47.58
8,45000,0.321137,0.418868,0.497845,0.222535,0.254292,0.27434,0.306007,0.514418,0.592652,0.659801,0.238089,0.460617,0.547414,0.62202,10.4813,22.8045,47.9841,0.318213,0.414752,0.49438,0.220863,0.252174,0.272404,0.303123,0.511797,0.590218,0.659501,0.233804,0.457787,0.544709,0.621687,10.3182,22.4989,47.4585
9,50000,0.322706,0.418841,0.497755,0.222682,0.253856,0.273886,0.312823,0.529136,0.609205,0.680548,0.24483,0.476969,0.565805,0.645071,10.44745,22.73015,47.78945,0.318639,0.414044,0.494452,0.220887,0.251863,0.272265,0.309415,0.527489,0.607445,0.680024,0.240627,0.475138,0.56385,0.644489,10.315,22.4465,47.2858
10,55000,0.321552,0.41968,0.498638,0.222223,0.254017,0.27407,0.318403,0.53026,0.614748,0.686428,0.251571,0.478301,0.571964,0.651604,10.33615,22.4835,47.26795,0.320181,0.415405,0.494271,0.222007,0.252918,0.272934,0.316605,0.528987,0.608644,0.683095,0.249074,0.476803,0.565181,0.647901,10.1852,22.16655,46.70175
11,60000,0.314897,0.41097,0.490379,0.217717,0.248878,0.269032,0.3114,0.519212,0.598869,0.673994,0.242209,0.465943,0.554321,0.63779,10.4602,22.69155,47.7314,0.313776,0.406868,0.485589,0.217477,0.247698,0.267692,0.30758,0.517864,0.602015,0.678039,0.238131,0.46457,0.557816,0.642284,10.28675,22.3666,47.11105
12,65000,0.3179,0.415081,0.494067,0.220854,0.25242,0.272486,0.306943,0.51674,0.602951,0.679912,0.239088,0.463155,0.558898,0.644364,10.501,22.80275,47.93405,0.315518,0.410878,0.49066,0.21922,0.250198,0.270451,0.303423,0.518838,0.602127,0.680398,0.234885,0.465527,0.557941,0.644905,10.36225,22.5156,47.427
