,steps,hr_test_5,hr_test_10,hr_test_20,ndcg_test_5,ndcg_test_10,ndcg_test_20,cov_test_1,cov_test_5,cov_test_10,cov_test_20,nov_test_1,nov_test_5,nov_test_10,nov_test_20,rep_test_5,rep_test_10,rep_test_20,hr_val_5,hr_val_10,hr_val_20,ndcg_val_5,ndcg_val_10,ndcg_val_20,cov_val_1,cov_val_5,cov_val_10,cov_val_20,nov_val_1,nov_val_5,nov_val_10,nov_val_20,rep_val_5,rep_val_10,rep_val_20
0,5000,0.311507,0.407552,0.485204,0.214532,0.245727,0.265452,0.235488,0.3963,0.456221,0.506741,0.169018,0.330337,0.396039,0.451962,10.88705,23.6681,49.8146,0.309712,0.402468,0.48245,0.213983,0.244131,0.264386,0.233765,0.39278,0.451914,0.505093,0.167104,0.326301,0.391129,0.450173,10.77505,23.4286,49.4094
1,10000,0.325104,0.422899,0.503489,0.224875,0.256631,0.277084,0.265411,0.455172,0.527039,0.593776,0.19856,0.395207,0.474556,0.548662,11.05915,24.0549,50.88795,0.323257,0.418553,0.500249,0.223751,0.254704,0.275438,0.263239,0.454086,0.527189,0.593139,0.195856,0.393958,0.474681,0.547955,10.93265,23.76435,50.3616
2,15000,0.325816,0.424287,0.504391,0.225099,0.257077,0.277376,0.296832,0.506067,0.585537,0.656131,0.231307,0.451546,0.539508,0.617942,10.65315,23.301,49.38815,0.324409,0.420304,0.50083,0.225181,0.256341,0.276768,0.29612,0.507602,0.5846,0.653846,0.230724,0.453293,0.538468,0.615404,10.5547,23.06155,48.97395
3,20000,0.327881,0.426163,0.506681,0.227673,0.259565,0.280005,0.30597,0.531196,0.614823,0.687327,0.240669,0.479341,0.572047,0.652603,10.65375,23.33615,49.5557,0.325344,0.422164,0.501864,0.226083,0.257505,0.277702,0.303423,0.527901,0.61295,0.683544,0.237881,0.475638,0.569966,0.6484,10.5138,23.04445,49.02025
4,25000,0.333246,0.431338,0.510937,0.230701,0.262544,0.282743,0.304022,0.534492,0.621377,0.694892,0.237465,0.482919,0.579328,0.661008,10.73265,23.45665,49.70435,0.329698,0.426056,0.506373,0.229058,0.260341,0.28071,0.300989,0.531458,0.619804,0.690997,0.233887,0.479591,0.577581,0.65668,10.565,23.131,49.113
5,30000,0.327467,0.424621,0.504175,0.22724,0.258862,0.279052,0.317355,0.54876,0.634297,0.703206,0.251529,0.498773,0.593684,0.670245,10.5836,23.15325,49.0671,0.324572,0.420957,0.501892,0.225493,0.256793,0.277328,0.311999,0.54745,0.630327,0.702831,0.245621,0.497316,0.589273,0.669829,10.43955,22.86515,48.54795
6,35000,0.33028,0.428182,0.507511,0.228984,0.260779,0.280926,0.313422,0.543892,0.628342,0.701745,0.247493,0.493363,0.587068,0.668622,10.6135,23.24425,49.23995,0.328147,0.42435,0.503035,0.228182,0.259364,0.279345,0.30949,0.537975,0.624185,0.699348,0.243207,0.486789,0.582449,0.665959,10.45745,22.96665,48.7648
7,40000,0.330767,0.428868,0.507204,0.229028,0.260882,0.280742,0.327316,0.575725,0.668152,0.743802,0.262348,0.528773,0.631299,0.71535,10.5632,23.06905,48.8821,0.327702,0.424024,0.502663,0.227565,0.258883,0.278826,0.325182,0.572691,0.663995,0.740506,0.261349,0.525486,0.62668,0.711688,10.4179,22.80835,48.42195
8,45000,0.330902,0.427497,0.50642,0.229737,0.261106,0.281154,0.331998,0.575463,0.659951,0.733054,0.266342,0.52844,0.622186,0.703408,10.4356,22.81085,48.29915,0.327966,0.422046,0.501175,0.227986,0.258534,0.278615,0.328253,0.570257,0.657928,0.730732,0.262389,0.522698,0.619939,0.700828,10.29245,22.5514,47.82365
9,50000,0.334472,0.430157,0.509368,0.232114,0.263158,0.283262,0.327766,0.567785,0.654296,0.729271,0.26189,0.519993,0.615903,0.699205,10.5678,23.12115,48.97225,0.329426,0.42465,0.504142,0.228744,0.259667,0.279829,0.327766,0.563291,0.650213,0.722156,0.261682,0.515,0.611368,0.691299,10.4361,22.86015,48.53745
10,55000,0.328125,0.427416,0.506231,0.227673,0.259918,0.27992,0.335069,0.572092,0.658677,0.729121,0.26913,0.524654,0.620813,0.699039,10.3698,22.65925,48.0259,0.326478,0.420975,0.500993,0.226384,0.257042,0.277342,0.32859,0.567486,0.653172,0.722156,0.26214,0.519494,0.614696,0.691299,10.2276,22.4036,47.55485
11,60000,0.330487,0.427136,0.506005,0.228675,0.260066,0.280099,0.333084,0.5758,0.662497,0.733129,0.268048,0.528731,0.625016,0.703491,10.4538,22.9621,48.6147,0.327857,0.423606,0.501574,0.228169,0.25925,0.279031,0.332073,0.572691,0.656505,0.729384,0.266051,0.525278,0.618358,0.69933,10.32505,22.65845,48.08795
12,65000,0.331605,0.430265,0.509026,0.230044,0.262107,0.282111,0.331511,0.576811,0.661711,0.732829,0.266592,0.529896,0.624142,0.703158,10.61815,23.1443,48.9599,0.329971,0.425992,0.505502,0.228393,0.259595,0.279765,0.331623,0.571193,0.657254,0.730133,0.266425,0.523613,0.61919,0.700162,10.47165,22.8713,48.46615
13,70000,0.330487,0.426776,0.505455,0.228497,0.259772,0.279772,0.334919,0.577597,0.663096,0.732454,0.269671,0.530812,0.625681,0.702742,10.41845,22.8622,48.3658,0.325806,0.421238,0.500558,0.22648,0.257491,0.277613,0.333645,0.570968,0.65849,0.728822,0.268048,0.523447,0.620563,0.698706,10.29265,22.58915,47.9564
14,75000,0.329721,0.4272,0.505671,0.228936,0.260616,0.280529,0.330649,0.574901,0.660999,0.730882,0.264844,0.527816,0.623351,0.700994,10.45125,22.8667,48.428,0.327394,0.421474,0.500349,0.227705,0.258241,0.278225,0.329526,0.569133,0.653472,0.723841,0.263846,0.521366,0.614988,0.693172,10.3161,22.60315,47.96695
15,80000,0.329558,0.426731,0.50413,0.227739,0.259309,0.278952,0.33754,0.58284,0.669463,0.740431,0.271751,0.536596,0.632755,0.711605,10.43055,22.7372,48.0551,0.325189,0.420739,0.499524,0.225671,0.256708,0.276709,0.334657,0.57917,0.664594,0.738259,0.268631,0.532601,0.627346,0.709192,10.29325,22.4555,47.57335
16,85000,0.329297,0.426992,0.505644,0.227737,0.259442,0.279387,0.344618,0.583177,0.666542,0.734477,0.279532,0.536928,0.629509,0.704989,10.34155,22.6596,48.0048,0.325961,0.420005,0.500449,0.226203,0.256732,0.277152,0.339226,0.58078,0.664033,0.732829,0.273665,0.534349,0.626722,0.703158,10.22315,22.39795,47.5613
17,90000,0.332669,0.429796,0.507105,0.230478,0.262007,0.281632,0.334881,0.576174,0.658453,0.72605,0.269296,0.529189,0.620522,0.695627,10.52305,22.9528,48.73445,0.329245,0.423062,0.502518,0.229583,0.26002,0.28019,0.330724,0.568834,0.654071,0.726275,0.264386,0.520992,0.615653,0.695877,10.3982,22.6917,48.2636
18,95000,0.32963,0.425784,0.503553,0.227582,0.258833,0.278561,0.339975,0.579582,0.666467,0.73796,0.274331,0.532975,0.629426,0.708859,10.38315,22.7575,48.1632,0.325852,0.420059,0.498861,0.226295,0.256879,0.276867,0.340873,0.577597,0.665343,0.736462,0.275205,0.530812,0.628178,0.707194,10.25365,22.46865,47.6707
