,steps,loss,plain,smorl
0,200,8.745980262756348,8.573,0.173
1,400,8.231849670410156,8.008,0.224
2,600,8.104437828063965,7.853,0.251
3,800,7.836433410644531,7.529,0.308
4,1000,7.59099006652832,7.315,0.276
5,1200,7.5883660316467285,7.241,0.348
6,1400,7.180340766906738,6.807,0.373
7,1600,7.41145658493042,7.022,0.39
8,1800,6.9900078773498535,6.66,0.33
9,2000,7.041338920593262,6.711,0.331
10,2200,7.169522762298584,6.837,0.333
11,2400,7.061999320983887,6.744,0.318
12,2600,6.906266212463379,6.572,0.335
13,2800,6.983077049255371,6.632,0.351
14,3000,6.958237171173096,6.613,0.345
15,3200,6.939503192901611,6.505,0.435
16,3400,6.955268859863281,6.527,0.428
17,3600,6.924779891967773,6.621,0.304
18,3800,6.677046298980713,6.249,0.428
19,4000,6.640563488006592,6.181,0.46
20,4200,6.395850658416748,5.934,0.462
21,4400,6.543069362640381,6.059,0.485
22,4600,6.394947528839111,6.001,0.394
23,4800,6.735437393188477,6.319,0.417
24,5000,6.635868072509766,6.189,0.447
25,5200,6.305985450744629,5.829,0.477
26,5400,6.52881383895874,5.969,0.56
27,5600,6.5522990226745605,6.196,0.356
28,5800,5.975630283355713,5.601,0.375
29,6000,6.449772357940674,6.033,0.416
30,6200,6.31827974319458,5.848,0.47
31,6400,6.55172872543335,6.025,0.527
32,6600,6.343477725982666,5.914,0.429
33,6800,6.269652366638184,5.845,0.425
34,7000,6.177029132843018,5.692,0.485
35,7200,6.323232173919678,5.936,0.388
36,7400,5.676932334899902,5.245,0.432
37,7600,6.016364097595215,5.636,0.38
38,7800,6.297751426696777,5.908,0.39
39,8000,6.489197254180908,6.082,0.408
40,8200,5.997522830963135,5.622,0.376
41,8400,6.139343738555908,5.701,0.438
42,8600,6.133975982666016,5.705,0.429
43,8800,6.24157190322876,5.864,0.377
44,9000,6.049321174621582,5.679,0.37
45,9200,6.027163028717041,5.627,0.4
46,9400,6.257375240325928,5.817,0.441
47,9600,6.254364013671875,5.756,0.499
48,9800,6.291323661804199,5.878,0.413
49,10000,5.689350128173828,5.375,0.314
50,10200,6.061959743499756,5.769,0.293
51,10400,6.253745079040527,5.852,0.402
52,10600,5.691959857940674,5.349,0.343
53,10800,5.910359859466553,5.581,0.33
54,11000,6.2240777015686035,5.771,0.454
55,11200,5.953182697296143,5.489,0.465
56,11400,5.7411017417907715,5.383,0.359
57,11600,5.914986610412598,5.559,0.356
58,11800,6.060849666595459,5.653,0.408
59,12000,5.837302207946777,5.509,0.328
60,12200,5.858328819274902,5.499,0.36
61,12400,5.851594924926758,5.533,0.319
62,12600,6.37791633605957,6.02,0.358
63,12800,5.754763126373291,5.402,0.353
64,13000,6.177979946136475,5.853,0.325
65,13200,5.97727108001709,5.665,0.313
66,13400,5.761048316955566,5.476,0.285
67,13600,5.884546279907227,5.567,0.317
68,13800,5.633760452270508,5.31,0.323
69,14000,6.033217906951904,5.688,0.346
70,14200,5.971341133117676,5.63,0.341
71,14400,6.225133895874023,5.912,0.313
72,14600,5.5880632400512695,5.219,0.369
73,14800,5.363187313079834,5.062,0.301
74,15000,6.039352893829346,5.689,0.351
75,15200,5.946110248565674,5.626,0.32
76,15400,5.944178104400635,5.599,0.346
77,15600,5.563506126403809,5.192,0.372
78,15800,5.853594779968262,5.502,0.352
79,16000,5.856093406677246,5.47,0.386
80,16200,5.982669353485107,5.616,0.366
81,16400,6.13849401473999,5.769,0.37
82,16600,5.617184638977051,5.292,0.325
83,16800,5.874822616577148,5.549,0.326
84,17000,5.535707950592041,5.239,0.297
85,17200,5.729455947875977,5.395,0.335
86,17400,5.814842224121094,5.486,0.329
87,17600,5.793377876281738,5.474,0.32
88,17800,5.636038303375244,5.348,0.288
89,18000,5.752243518829346,5.402,0.35
90,18200,5.670614242553711,5.345,0.325
91,18400,5.520868301391602,5.158,0.362
92,18600,6.001161098480225,5.669,0.332
93,18800,5.423452854156494,5.113,0.311
94,19000,5.523073196411133,5.229,0.294
95,19200,5.552492618560791,5.256,0.297
96,19400,5.444840431213379,5.167,0.278
97,19600,6.061224937438965,5.789,0.272
98,19800,5.605565547943115,5.257,0.348
99,20000,5.840211868286133,5.46,0.38
100,20200,5.560669422149658,5.258,0.302
101,20400,5.6299567222595215,5.31,0.32
102,20600,5.384765148162842,5.119,0.266
103,20800,5.830065727233887,5.535,0.295
104,21000,5.547366619110107,5.255,0.293
105,21200,6.064116954803467,5.748,0.317
106,21400,5.882246494293213,5.554,0.328
107,21600,5.551219940185547,5.27,0.282
108,21800,5.586408615112305,5.224,0.362
109,22000,5.716959476470947,5.359,0.357
110,22200,5.38826847076416,5.045,0.343
111,22400,5.502305030822754,5.159,0.343
112,22600,5.358561992645264,5.024,0.335
113,22800,5.8499274253845215,5.528,0.322
114,23000,5.420015335083008,5.124,0.296
115,23200,5.4604926109313965,5.183,0.277
116,23400,5.768334865570068,5.403,0.365
117,23600,6.041020393371582,5.771,0.27
118,23800,5.459183216094971,5.191,0.268
119,24000,5.859357833862305,5.523,0.337
120,24200,5.810436248779297,5.474,0.337
121,24400,5.591833591461182,5.261,0.33
122,24600,5.429840564727783,5.06,0.37
123,24800,5.66281795501709,5.292,0.37
124,25000,5.518275260925293,5.268,0.25
125,25200,5.508399963378906,5.217,0.291
126,25400,5.374500751495361,5.057,0.318
127,25600,5.637392044067383,5.308,0.329
128,25800,5.513084411621094,5.204,0.309
129,26000,5.6921563148498535,5.352,0.341
130,26200,5.187425136566162,4.922,0.266
131,26400,5.407348155975342,5.126,0.281
132,26600,5.745523929595947,5.388,0.357
133,26800,5.411125659942627,5.075,0.336
134,27000,5.490752696990967,5.207,0.283
135,27200,5.697519779205322,5.366,0.332
136,27400,5.6507887840271,5.299,0.352
137,27600,5.392381191253662,5.068,0.324
138,27800,5.464052200317383,5.171,0.293
139,28000,5.787981033325195,5.477,0.311
140,28200,5.799411773681641,5.456,0.344
141,28400,5.646210193634033,5.374,0.273
142,28600,5.708340644836426,5.408,0.3
143,28800,5.447015762329102,5.089,0.358
144,29000,5.440193176269531,5.18,0.261
145,29200,5.47570276260376,5.159,0.316
146,29400,5.545846462249756,5.266,0.28
147,29600,5.767310619354248,5.427,0.341
148,29800,5.493704319000244,5.18,0.313
149,30000,5.46956205368042,5.191,0.279
150,30200,5.9456658363342285,5.586,0.36
151,30400,5.573894023895264,5.249,0.325
152,30600,5.614776134490967,5.285,0.329
153,30800,5.321712970733643,4.896,0.426
154,31000,5.40725564956665,5.134,0.274
155,31200,5.425862789154053,5.132,0.294
156,31400,5.422630786895752,5.139,0.284
157,31600,5.214354515075684,4.927,0.287
158,31800,5.273241996765137,4.968,0.305
159,32000,5.525913238525391,5.271,0.255
160,32200,5.514455318450928,5.186,0.328
161,32400,5.517094135284424,5.176,0.341
162,32600,5.441964626312256,5.117,0.325
163,32800,5.179784774780273,4.843,0.337
164,33000,5.602040767669678,5.304,0.298
165,33200,5.540236473083496,5.318,0.222
166,33400,5.61470365524292,5.299,0.316
167,33600,5.660668849945068,5.355,0.305
168,33800,5.68644905090332,5.306,0.38
169,34000,5.599254608154297,5.314,0.285
170,34200,5.198824882507324,4.963,0.236
171,34400,5.3592987060546875,5.064,0.295
172,34600,5.704277038574219,5.447,0.257
173,34800,4.964559555053711,4.698,0.267
174,35000,5.643459320068359,5.375,0.268
175,35200,5.383448123931885,5.039,0.345
176,35400,5.625535011291504,5.33,0.295
177,35600,5.393006801605225,5.076,0.317
178,35800,5.4021897315979,5.119,0.284
179,36000,5.120455741882324,4.845,0.276
180,36200,5.314993381500244,5.022,0.293
181,36400,5.550864219665527,5.2,0.351
182,36600,5.623046875,5.31,0.313
183,36800,5.401703834533691,5.114,0.288
184,37000,5.296609401702881,5.026,0.27
185,37200,5.592763900756836,5.296,0.297
186,37400,5.650701522827148,5.383,0.268
187,37600,5.403898239135742,5.149,0.255
188,37800,5.215824604034424,4.951,0.265
189,38000,5.231163501739502,4.936,0.296
190,38200,5.624420166015625,5.328,0.297
191,38400,5.2362775802612305,4.987,0.249
192,38600,5.384739398956299,5.108,0.276
193,38800,5.592978000640869,5.299,0.294
194,39000,5.238773345947266,4.979,0.259
195,39200,5.444014549255371,5.166,0.278
196,39400,5.403853893280029,5.115,0.289
197,39600,5.127065658569336,4.848,0.279
198,39800,5.502805233001709,5.205,0.297
199,40000,4.9464802742004395,4.667,0.279
200,40200,5.384207248687744,5.114,0.27
201,40400,5.368356704711914,5.035,0.333
202,40600,5.5978007316589355,5.324,0.274
203,40800,5.272185325622559,4.996,0.277
204,41000,5.209866046905518,4.947,0.263
205,41200,5.317315101623535,5.0,0.318
206,41400,5.333273887634277,5.07,0.263
207,41600,5.372546672821045,5.087,0.286
208,41800,5.303197860717773,4.997,0.306
209,42000,5.025399208068848,4.736,0.289
210,42200,5.2765278816223145,5.004,0.272
211,42400,5.733537197113037,5.451,0.282
212,42600,5.427824020385742,5.119,0.308
213,42800,5.595294952392578,5.256,0.339
214,43000,5.548656463623047,5.238,0.31
215,43200,5.351168632507324,5.049,0.302
216,43400,5.378079414367676,5.098,0.28
217,43600,5.278077125549316,5.013,0.265
218,43800,5.411653995513916,5.113,0.299
219,44000,5.282609462738037,5.057,0.226
220,44200,5.204904556274414,4.937,0.268
221,44400,5.3537373542785645,5.062,0.292
222,44600,5.449714660644531,5.147,0.303
223,44800,5.330540180206299,4.992,0.339
224,45000,5.455294609069824,5.149,0.306
225,45200,5.452578067779541,5.168,0.284
226,45400,5.243268013000488,4.96,0.283
227,45600,5.342658996582031,5.056,0.287
228,45800,5.399255275726318,5.09,0.31
229,46000,5.263705253601074,4.995,0.269
230,46200,5.307974338531494,5.02,0.288
231,46400,5.591287136077881,5.292,0.299
232,46600,5.54511833190918,5.268,0.277
233,46800,5.332425594329834,5.017,0.316
234,47000,5.323206901550293,4.983,0.34
235,47200,5.21632194519043,4.939,0.277
236,47400,5.2352495193481445,4.967,0.269
237,47600,5.424587249755859,5.114,0.311
238,47800,5.062395095825195,4.749,0.314
239,48000,5.1450324058532715,4.849,0.296
240,48200,5.363264083862305,5.093,0.271
241,48400,5.331532955169678,5.047,0.284
242,48600,5.294617652893066,5.001,0.294
243,48800,5.345151901245117,5.086,0.259
244,49000,5.148709297180176,4.892,0.257
245,49200,5.274901390075684,4.98,0.295
246,49400,5.6482462882995605,5.37,0.279
247,49600,5.671609878540039,5.305,0.367
248,49800,5.189627647399902,4.93,0.259
249,50000,5.391716957092285,5.162,0.23
250,50200,5.429610729217529,5.164,0.265
251,50400,5.313217639923096,5.028,0.285
252,50600,4.861086845397949,4.611,0.25
253,50800,5.031574249267578,4.763,0.268
254,51000,5.239379405975342,4.948,0.291
255,51200,5.138171195983887,4.879,0.26
256,51400,4.918251991271973,4.665,0.253
257,51600,5.321229934692383,4.997,0.324
258,51800,5.25091552734375,5.042,0.209
259,52000,5.242368698120117,4.917,0.325
260,52200,5.478113174438477,5.139,0.339
261,52400,5.206310272216797,4.958,0.249
262,52600,5.0273871421813965,4.816,0.211
263,52800,5.274514198303223,4.989,0.285
264,53000,5.0856218338012695,4.814,0.272
265,53200,5.248677730560303,5.01,0.238
266,53400,5.292567729949951,4.988,0.305
267,53600,5.606362819671631,5.225,0.382
268,53800,5.3032546043396,4.988,0.315
269,54000,5.125945091247559,4.874,0.252
270,54200,5.4811859130859375,5.2,0.282
