,steps,loss,plain,smorl
0,200,8.942672729492188,8.568,0.375
1,400,8.5183744430542,8.187,0.331
2,600,8.234381675720215,7.884,0.35
3,800,7.684257507324219,7.326,0.359
4,1000,7.918977737426758,7.563,0.356
5,1200,7.424570083618164,7.013,0.412
6,1400,7.439209938049316,7.066,0.374
7,1600,7.334936618804932,6.953,0.381
8,1800,7.149866104125977,6.777,0.373
9,2000,7.4829936027526855,7.076,0.407
10,2200,6.93748664855957,6.567,0.371
11,2400,7.456123352050781,7.041,0.416
12,2600,6.896513938903809,6.49,0.406
13,2800,6.909240245819092,6.545,0.364
14,3000,6.75038480758667,6.368,0.383
15,3200,7.061130523681641,6.672,0.39
16,3400,6.821691036224365,6.486,0.335
17,3600,6.889132976531982,6.55,0.339
18,3800,6.5268425941467285,6.085,0.441
19,4000,6.6738691329956055,6.134,0.54
20,4200,6.74163293838501,6.337,0.404
21,4400,6.659504413604736,6.187,0.473
22,4600,6.867109298706055,6.421,0.447
23,4800,6.392576217651367,5.964,0.429
24,5000,6.64403772354126,6.135,0.509
25,5200,6.282743453979492,5.801,0.482
26,5400,6.357507228851318,5.975,0.383
27,5600,6.32884407043457,5.868,0.461
28,5800,6.241077423095703,5.811,0.43
29,6000,6.31649923324585,5.928,0.389
30,6200,6.333329677581787,5.889,0.445
31,6400,6.243921279907227,5.896,0.348
32,6600,6.56967830657959,6.095,0.474
33,6800,6.419076919555664,5.97,0.449
34,7000,6.32589054107666,5.91,0.416
35,7200,5.981045246124268,5.583,0.398
36,7400,6.019487380981445,5.641,0.378
37,7600,6.291222095489502,5.803,0.488
38,7800,6.37936544418335,5.924,0.456
39,8000,6.550983428955078,6.077,0.474
40,8200,5.769101619720459,5.336,0.433
41,8400,6.138376235961914,5.724,0.415
42,8600,5.924248218536377,5.585,0.339
43,8800,6.231337547302246,5.791,0.44
44,9000,6.392538070678711,6.01,0.382
45,9200,6.16176176071167,5.747,0.415
46,9400,6.321551322937012,5.923,0.398
47,9600,6.27578067779541,5.891,0.385
48,9800,6.340052604675293,5.936,0.404
49,10000,5.602780818939209,5.228,0.375
50,10200,6.365085601806641,5.993,0.372
51,10400,6.508269786834717,6.166,0.342
52,10600,6.312595844268799,5.919,0.393
53,10800,5.704112529754639,5.325,0.379
54,11000,6.148950576782227,5.657,0.492
55,11200,6.051319122314453,5.667,0.385
56,11400,6.064387798309326,5.574,0.49
57,11600,5.821770191192627,5.449,0.372
58,11800,5.9061665534973145,5.524,0.382
59,12000,5.917510509490967,5.556,0.362
60,12200,5.992231845855713,5.609,0.384
61,12400,5.623237609863281,5.166,0.458
62,12600,6.126701831817627,5.624,0.503
63,12800,6.352415084838867,5.835,0.518
64,13000,5.662522315979004,5.242,0.421
65,13200,6.147916793823242,5.794,0.354
66,13400,5.859963417053223,5.516,0.344
67,13600,5.781918048858643,5.45,0.332
68,13800,6.454314231872559,6.062,0.393
69,14000,5.870538711547852,5.549,0.322
70,14200,5.662993907928467,5.245,0.418
71,14400,5.893246650695801,5.561,0.333
72,14600,5.7592010498046875,5.367,0.392
73,14800,5.833726406097412,5.462,0.372
74,15000,5.821109771728516,5.453,0.368
75,15200,6.122775077819824,5.771,0.351
76,15400,5.821276664733887,5.477,0.344
77,15600,5.507282733917236,5.179,0.329
78,15800,5.695069313049316,5.354,0.341
79,16000,5.444995403289795,5.112,0.333
80,16200,5.778781890869141,5.446,0.333
81,16400,5.733221054077148,5.318,0.415
82,16600,5.571659088134766,5.21,0.361
83,16800,5.558103084564209,5.213,0.345
84,17000,5.57554292678833,5.287,0.288
85,17200,5.765679359436035,5.456,0.309
86,17400,5.782581806182861,5.358,0.424
87,17600,5.994243621826172,5.642,0.352
88,17800,5.700213432312012,5.323,0.377
89,18000,6.041618824005127,5.714,0.328
90,18200,5.570478439331055,5.264,0.306
91,18400,5.448461055755615,5.1,0.348
92,18600,5.749963283538818,5.374,0.376
93,18800,5.720463275909424,5.395,0.325
94,19000,5.468502044677734,5.136,0.332
95,19200,5.495786666870117,5.111,0.385
96,19400,5.711358547210693,5.348,0.363
97,19600,5.77725887298584,5.431,0.347
98,19800,5.9395246505737305,5.58,0.36
99,20000,5.715514659881592,5.37,0.346
100,20200,5.623093605041504,5.322,0.301
101,20400,5.882149696350098,5.499,0.383
102,20600,5.733718395233154,5.391,0.343
103,20800,5.801362037658691,5.529,0.272
104,21000,5.481715202331543,5.145,0.337
105,21200,5.256031036376953,4.938,0.318
106,21400,5.730909824371338,5.399,0.332
107,21600,5.620028018951416,5.267,0.353
108,21800,5.673112392425537,5.348,0.326
109,22000,5.458237171173096,5.149,0.309
110,22200,4.919820308685303,4.666,0.254
111,22400,5.755758285522461,5.4,0.356
112,22600,5.67061710357666,5.374,0.296
113,22800,5.404988765716553,5.035,0.37
114,23000,5.320769786834717,4.993,0.327
115,23200,5.524372100830078,5.227,0.297
116,23400,5.60967493057251,5.263,0.347
117,23600,5.253771781921387,4.953,0.301
118,23800,5.547118663787842,5.275,0.272
119,24000,5.447834014892578,5.163,0.285
120,24200,5.645890235900879,5.322,0.324
121,24400,5.640660285949707,5.343,0.298
122,24600,5.705556392669678,5.443,0.263
123,24800,5.591012477874756,5.261,0.33
124,25000,5.7542266845703125,5.425,0.33
125,25200,5.420838356018066,5.107,0.314
126,25400,5.624104976654053,5.337,0.287
127,25600,5.4996442794799805,5.17,0.329
128,25800,5.655474662780762,5.307,0.349
129,26000,5.2218756675720215,4.928,0.294
130,26200,5.497248649597168,5.189,0.308
131,26400,5.192128658294678,4.909,0.283
132,26600,5.466359615325928,5.173,0.294
133,26800,5.150946140289307,4.867,0.284
134,27000,5.206075191497803,4.896,0.31
135,27200,5.696164608001709,5.403,0.293
136,27400,5.455361366271973,5.134,0.321
137,27600,5.257665157318115,4.944,0.314
138,27800,5.376364231109619,5.133,0.244
