,steps,hr_test_5,hr_test_10,hr_test_20,ndcg_test_5,ndcg_test_10,ndcg_test_20,cov_test_1,cov_test_5,cov_test_10,cov_test_20,nov_test_1,nov_test_5,nov_test_10,nov_test_20,rep_test_5,rep_test_10,rep_test_20,hr_val_5,hr_val_10,hr_val_20,ndcg_val_5,ndcg_val_10,ndcg_val_20,cov_val_1,cov_val_5,cov_val_10,cov_val_20,nov_val_1,nov_val_5,nov_val_10,nov_val_20,rep_val_5,rep_val_10,rep_val_20
0,5000,0.279561,0.364408,0.43527,0.193729,0.221291,0.239269,0.123099,0.199423,0.230732,0.26073,0.054966,0.116506,0.147297,0.179129,11.27355,24.08025,50.56825,0.279129,0.362685,0.435183,0.19438,0.221463,0.239828,0.124111,0.198974,0.229796,0.261553,0.055382,0.115716,0.146132,0.179961,11.18975,23.87825,50.14835
1,10000,0.312418,0.40491,0.479722,0.215646,0.245662,0.264646,0.177103,0.284585,0.325444,0.366003,0.106021,0.206799,0.250905,0.295594,11.31315,24.47925,51.6071,0.309122,0.400417,0.477433,0.214944,0.244564,0.264119,0.174444,0.283649,0.325706,0.365815,0.10315,0.205967,0.251071,0.295386,11.17015,24.1566,51.0776
2,15000,0.321939,0.418147,0.495356,0.224149,0.255363,0.274954,0.216351,0.346566,0.395326,0.442701,0.143428,0.274914,0.32834,0.38081,11.01545,24.1147,51.06365,0.319619,0.413545,0.491277,0.222734,0.253204,0.272944,0.215976,0.344244,0.39469,0.441577,0.142138,0.272251,0.327591,0.379603,10.89735,23.8593,50.62415
3,20000,0.327962,0.425432,0.504039,0.228199,0.259828,0.279807,0.235413,0.388023,0.443338,0.489701,0.164857,0.320559,0.3816,0.43303,11.04045,24.1796,51.2897,0.325779,0.421002,0.501266,0.226733,0.257613,0.277978,0.233915,0.384728,0.443487,0.491162,0.163151,0.316898,0.381725,0.434652,10.88765,23.84795,50.7382
4,25000,0.332263,0.429995,0.509981,0.231337,0.263111,0.28343,0.253764,0.418545,0.478578,0.531196,0.184413,0.354429,0.420672,0.479133,11.061,24.1902,51.328,0.330896,0.427507,0.507752,0.230726,0.262044,0.282398,0.252453,0.416973,0.477417,0.530222,0.181334,0.352682,0.419382,0.478051,10.9323,23.9079,50.82765
5,30000,0.33459,0.431618,0.510477,0.232334,0.263852,0.283868,0.268519,0.442476,0.506217,0.561868,0.199309,0.381101,0.451463,0.513211,11.0051,24.10165,51.142,0.330678,0.427317,0.506636,0.230453,0.261814,0.281931,0.265224,0.439742,0.502696,0.559246,0.194899,0.378105,0.44751,0.510298,10.8908,23.848,50.679
6,35000,0.333733,0.432339,0.509233,0.232662,0.264626,0.284143,0.275672,0.462887,0.529249,0.585986,0.206466,0.403404,0.476969,0.540007,10.80815,23.76395,50.4204,0.330433,0.426972,0.505602,0.230767,0.26209,0.282029,0.273987,0.457307,0.524081,0.581941,0.204011,0.397287,0.471227,0.535514,10.6767,23.4727,49.9219
7,40000,0.335158,0.433169,0.511397,0.232305,0.26418,0.284038,0.28878,0.484421,0.550745,0.607071,0.219906,0.427329,0.500853,0.563434,10.67455,23.4134,49.70425,0.330524,0.426419,0.508079,0.230069,0.261178,0.281928,0.284922,0.47768,0.548086,0.606808,0.216203,0.419715,0.497899,0.563142,10.50985,23.0917,49.16425
8,45000,0.336122,0.433692,0.512317,0.232966,0.264703,0.28469,0.297693,0.49442,0.566512,0.626432,0.229102,0.438314,0.518371,0.584946,11.04495,24.1623,51.3172,0.333971,0.429757,0.509621,0.232973,0.264083,0.284368,0.295558,0.49266,0.566924,0.629279,0.225856,0.436358,0.518828,0.588108,10.8889,23.91235,50.83795
9,50000,0.337069,0.432709,0.510982,0.233999,0.265076,0.284957,0.295558,0.496592,0.566961,0.623811,0.227021,0.440769,0.51887,0.582033,10.67765,23.52085,49.91905,0.333808,0.429331,0.508632,0.232908,0.263929,0.284055,0.292113,0.491873,0.561156,0.621526,0.222902,0.435526,0.51242,0.579495,10.55145,23.26205,49.4418
10,55000,0.336249,0.433133,0.512091,0.233768,0.265235,0.285284,0.305445,0.508576,0.58138,0.64512,0.23605,0.454167,0.534931,0.605709,10.98045,24.0463,51.0622,0.335405,0.43061,0.508188,0.233406,0.264269,0.28395,0.303048,0.50719,0.581604,0.644409,0.233928,0.452586,0.535139,0.604918,10.8331,23.74815,50.56285
11,60000,0.337223,0.433953,0.512704,0.234023,0.265469,0.285463,0.306232,0.519399,0.592839,0.655045,0.238797,0.466067,0.547622,0.616735,10.6861,23.4684,49.7407,0.334198,0.430365,0.510002,0.232706,0.263918,0.2841,0.306382,0.515205,0.589094,0.654183,0.238089,0.46149,0.543461,0.615778,10.5319,23.2177,49.23525
