,steps,hr_test_5,hr_test_10,hr_test_20,ndcg_test_5,ndcg_test_10,ndcg_test_20,cov_test_1,cov_test_5,cov_test_10,cov_test_20,nov_test_1,nov_test_5,nov_test_10,nov_test_20,rep_test_5,rep_test_10,rep_test_20,hr_val_5,hr_val_10,hr_val_20,ndcg_val_5,ndcg_val_10,ndcg_val_20,cov_val_1,cov_val_5,cov_val_10,cov_val_20,nov_val_1,nov_val_5,nov_val_10,nov_val_20,rep_val_5,rep_val_10,rep_val_20
0,5000,0.27627,0.360404,0.430626,0.19206,0.219319,0.237107,0.106734,0.170736,0.197775,0.225976,0.038946,0.08609,0.111513,0.140806,11.1766,23.89045,50.014,0.275691,0.357396,0.428097,0.191423,0.217957,0.235853,0.106397,0.169388,0.198187,0.226275,0.039612,0.084842,0.111846,0.141139,11.04335,23.6312,49.55585
1,10000,0.312183,0.403513,0.479298,0.217688,0.247328,0.266561,0.163808,0.261179,0.300277,0.338214,0.091374,0.181209,0.223027,0.264719,11.31635,24.4717,51.4462,0.310347,0.399746,0.476607,0.215538,0.244554,0.264057,0.163771,0.262452,0.301925,0.338551,0.091125,0.182374,0.224733,0.265094,11.156,24.14025,50.8857
2,15000,0.322652,0.416695,0.494761,0.224815,0.255381,0.275196,0.20212,0.324283,0.371807,0.413976,0.128324,0.24999,0.302168,0.348895,11.1393,24.24215,51.2556,0.320644,0.413708,0.49174,0.22342,0.253589,0.273406,0.202831,0.325556,0.371882,0.414089,0.129239,0.251279,0.302209,0.349062,10.99495,23.95935,50.789
3,20000,0.329126,0.424576,0.502885,0.228482,0.259477,0.279374,0.217437,0.35664,0.409145,0.457644,0.145758,0.285857,0.343652,0.397412,11.3256,24.6948,52.29295,0.326278,0.420068,0.498626,0.228148,0.25859,0.278516,0.218036,0.356902,0.408771,0.455771,0.146049,0.286273,0.343236,0.395331,11.19195,24.39545,51.69005
4,25000,0.332813,0.428994,0.507691,0.231551,0.262787,0.282769,0.23987,0.39454,0.451614,0.500375,0.168602,0.327633,0.390754,0.444888,11.17685,24.43575,51.66165,0.330542,0.425194,0.504495,0.231464,0.262185,0.282324,0.238709,0.394203,0.450341,0.500637,0.167187,0.3273,0.38934,0.44518,11.0221,24.1206,51.0681
5,30000,0.335455,0.431086,0.511613,0.234295,0.265333,0.28576,0.258408,0.426972,0.486106,0.536552,0.187118,0.363583,0.429035,0.485083,10.8707,23.83885,50.6733,0.331966,0.427916,0.508288,0.232156,0.26331,0.28369,0.260617,0.425286,0.484158,0.536289,0.189739,0.361669,0.426871,0.484792,10.72455,23.56455,50.15445
6,35000,0.335554,0.433322,0.511217,0.234009,0.265752,0.285543,0.267021,0.442252,0.505655,0.561156,0.196521,0.380477,0.450755,0.51242,10.93145,23.9904,50.83905,0.333654,0.429494,0.508315,0.232674,0.263784,0.283779,0.266684,0.439892,0.504194,0.559246,0.196064,0.377814,0.449132,0.510298,10.789,23.68895,50.2987
7,40000,0.335897,0.432168,0.511965,0.234558,0.265816,0.286064,0.274586,0.461464,0.525242,0.582091,0.205093,0.401781,0.472517,0.53568,10.74455,23.5441,49.9903,0.334915,0.429512,0.509476,0.23349,0.264211,0.2845,0.273575,0.457868,0.521422,0.580668,0.203429,0.397994,0.468273,0.534099,10.6133,23.2879,49.57365
8,45000,0.335888,0.432114,0.5121,0.234283,0.265541,0.285843,0.280354,0.472324,0.539735,0.597221,0.210585,0.413931,0.48862,0.55249,10.64595,23.359,49.6639,0.33301,0.429204,0.508215,0.232314,0.263529,0.283569,0.279792,0.470264,0.537862,0.595573,0.20992,0.411601,0.486539,0.55066,10.53045,23.11775,49.2043
9,50000,0.33908,0.43719,0.515662,0.235892,0.26775,0.287683,0.291439,0.491798,0.559621,0.621115,0.22311,0.435526,0.510714,0.579037,10.77855,23.64425,50.17825,0.335641,0.432361,0.512089,0.234658,0.266059,0.286287,0.291514,0.491798,0.56243,0.62059,0.222153,0.435485,0.513835,0.578455,10.64545,23.3937,49.7378
10,55000,0.338431,0.435711,0.515734,0.235671,0.26723,0.287544,0.29818,0.499513,0.571156,0.630964,0.229226,0.444014,0.523572,0.58998,10.65665,23.4192,49.7079,0.334988,0.432125,0.51149,0.234118,0.265649,0.285781,0.298068,0.497828,0.570894,0.630178,0.229185,0.442308,0.52328,0.589107,10.52575,23.14895,49.2245
11,60000,0.337998,0.435702,0.51522,0.234794,0.266547,0.286757,0.298142,0.499625,0.570931,0.629915,0.229851,0.444264,0.52328,0.588815,10.7118,23.4865,49.9496,0.336539,0.431091,0.510519,0.2349,0.265599,0.285763,0.295521,0.496367,0.5658,0.627219,0.22648,0.440644,0.51758,0.585819,10.5708,23.20465,49.4066
12,65000,0.339152,0.435756,0.515418,0.236352,0.267745,0.287967,0.303423,0.513857,0.584114,0.642424,0.234594,0.459951,0.537927,0.602713,10.6811,23.48655,49.9111,0.337319,0.432842,0.511871,0.235228,0.266197,0.286236,0.302524,0.508239,0.578234,0.639278,0.233887,0.453834,0.531394,0.599218,10.55075,23.2021,49.4367
13,70000,0.33789,0.434548,0.514165,0.235016,0.266398,0.28661,0.305595,0.519774,0.591117,0.65085,0.237465,0.466816,0.545708,0.612075,10.61165,23.338,49.62915,0.335468,0.431399,0.510928,0.234024,0.265163,0.285331,0.30552,0.511572,0.586061,0.646394,0.23655,0.457496,0.540091,0.607124,10.4529,23.04585,49.13245
14,75000,0.336988,0.434124,0.513922,0.235128,0.266677,0.286975,0.309228,0.526403,0.598944,0.66246,0.241501,0.474015,0.554404,0.624974,10.62965,23.40415,49.81375,0.335414,0.431236,0.510683,0.233893,0.264983,0.285141,0.307205,0.522021,0.598157,0.659913,0.239754,0.469147,0.553531,0.622145,10.4792,23.1406,49.3375
15,80000,0.339368,0.436063,0.514589,0.236249,0.267623,0.287553,0.31522,0.539173,0.614561,0.675492,0.247659,0.488079,0.571756,0.639454,10.5144,23.15275,49.2599,0.336602,0.431871,0.511236,0.234979,0.265939,0.286077,0.314958,0.534417,0.609954,0.67392,0.246619,0.482794,0.566638,0.637706,10.36965,22.8628,48.78425
16,85000,0.340126,0.437199,0.515491,0.236803,0.268338,0.288183,0.314958,0.532469,0.607333,0.672908,0.24691,0.480589,0.563725,0.636583,10.55125,23.25815,49.3792,0.337909,0.432597,0.51198,0.23566,0.266398,0.286527,0.311475,0.528163,0.606471,0.670399,0.243082,0.475846,0.562768,0.633795,10.41945,22.98155,48.892
17,90000,0.338936,0.437109,0.516122,0.236787,0.268683,0.288742,0.313085,0.536964,0.610142,0.673957,0.244872,0.485624,0.566846,0.637748,10.6167,23.32365,49.58345,0.336203,0.432969,0.512996,0.235611,0.26702,0.287332,0.312449,0.533218,0.607258,0.671335,0.243915,0.481588,0.563642,0.634835,10.4594,23.05335,49.10875
18,95000,0.338214,0.43563,0.515202,0.235523,0.267214,0.28743,0.317617,0.540034,0.614186,0.676279,0.250863,0.489078,0.571339,0.640328,10.4757,22.9866,48.8837,0.336076,0.431681,0.511091,0.234503,0.265582,0.285724,0.315445,0.53966,0.612463,0.674444,0.247868,0.48862,0.569425,0.638289,10.335,22.71525,48.41385
19,100000,0.337881,0.435639,0.515148,0.234928,0.266667,0.286849,0.3205,0.544716,0.621676,0.683245,0.253152,0.494237,0.579661,0.648067,10.6751,23.45475,49.7991,0.336321,0.432098,0.511136,0.234312,0.2654,0.285484,0.317355,0.540147,0.617444,0.682159,0.24999,0.489244,0.574959,0.646861,10.51355,23.14155,49.3068
20,105000,0.34183,0.438777,0.51669,0.237595,0.269055,0.288833,0.325743,0.557561,0.635233,0.699423,0.257937,0.508426,0.594724,0.666043,10.61585,23.28875,49.51895,0.338018,0.4356,0.514112,0.236253,0.267927,0.287838,0.324395,0.55479,0.635608,0.70021,0.256189,0.505347,0.59514,0.666916,10.46695,23.0111,49.114
21,110000,0.338286,0.435567,0.513732,0.235881,0.267464,0.287302,0.326155,0.557486,0.633735,0.696352,0.258728,0.508426,0.59306,0.662631,10.49685,23.0621,49.0338,0.335332,0.431753,0.510057,0.234218,0.26553,0.285357,0.324882,0.552431,0.631676,0.696952,0.256439,0.502767,0.590771,0.663296,10.35755,22.7993,48.5614
22,115000,0.340937,0.438047,0.516275,0.238452,0.269996,0.289874,0.322972,0.549097,0.621901,0.685379,0.254067,0.499105,0.579911,0.650439,10.7401,23.5828,50.16305,0.338825,0.433903,0.512878,0.237031,0.267877,0.287917,0.321923,0.544491,0.619429,0.682234,0.252361,0.493987,0.577165,0.646944,10.6165,23.33345,49.69535
23,120000,0.338052,0.436009,0.513444,0.235777,0.267603,0.287266,0.326492,0.560857,0.638005,0.703206,0.259019,0.512129,0.597803,0.670245,10.5668,23.17,49.2163,0.336884,0.431499,0.510274,0.235129,0.265869,0.285864,0.324994,0.556363,0.636282,0.700734,0.257313,0.507178,0.595889,0.667499,10.4164,22.8792,48.70865
24,125000,0.3389,0.435197,0.515337,0.235959,0.267282,0.287637,0.329151,0.557374,0.633286,0.699798,0.261682,0.508384,0.59256,0.666459,10.64875,23.3445,49.67645,0.337555,0.431418,0.511009,0.235297,0.26576,0.285943,0.328402,0.556475,0.636132,0.700809,0.260101,0.507386,0.595723,0.667582,10.51675,23.12005,49.25685
25,130000,0.339576,0.43692,0.51412,0.237561,0.269202,0.288818,0.323871,0.553891,0.63235,0.694555,0.256356,0.504431,0.59152,0.660633,10.50265,23.0652,49.09485,0.33663,0.431926,0.511173,0.23496,0.265901,0.285995,0.319939,0.551344,0.630889,0.693618,0.25182,0.50156,0.589897,0.659593,10.3574,22.78505,48.6183
26,135000,0.3388,0.435477,0.513696,0.23576,0.267158,0.287046,0.324994,0.552768,0.628005,0.692907,0.257729,0.5031,0.586693,0.658802,10.517,23.10485,49.1173,0.334978,0.429857,0.509667,0.234439,0.26526,0.28549,0.324133,0.549996,0.627818,0.688712,0.255981,0.500062,0.586485,0.654142,10.35375,22.7773,48.56395
27,140000,0.339702,0.435414,0.513895,0.235847,0.266953,0.286877,0.325594,0.552768,0.632799,0.697701,0.257146,0.5031,0.592019,0.664128,10.5188,23.1048,49.0745,0.337355,0.431853,0.510755,0.235469,0.266148,0.286169,0.324919,0.554415,0.631151,0.69433,0.256065,0.504931,0.590188,0.660384,10.37445,22.81035,48.59385
28,145000,0.338945,0.43508,0.514373,0.23584,0.267082,0.28721,0.331249,0.565463,0.647817,0.711595,0.264262,0.517247,0.608705,0.679566,10.4848,23.0417,48.98925,0.333917,0.429585,0.50934,0.23303,0.264072,0.284315,0.332335,0.563928,0.644858,0.707475,0.265302,0.515666,0.605418,0.674989,10.30645,22.7142,48.43495
29,150000,0.337854,0.43554,0.513462,0.235397,0.267121,0.286953,0.333009,0.56595,0.643809,0.70534,0.265094,0.517788,0.604252,0.672617,10.47475,23.0229,48.8512,0.335877,0.432388,0.510075,0.234589,0.265922,0.285641,0.3305,0.563104,0.64145,0.705003,0.262223,0.514667,0.601631,0.672242,10.3384,22.7429,48.39065
30,155000,0.339819,0.436171,0.515031,0.236663,0.267951,0.287954,0.33196,0.562842,0.640027,0.702382,0.264095,0.514334,0.60005,0.66933,10.5401,23.16255,49.1959,0.335904,0.432243,0.511771,0.235385,0.266662,0.286848,0.329226,0.56258,0.640102,0.70006,0.260766,0.514085,0.600133,0.66675,10.367,22.8655,48.629
31,160000,0.338359,0.437163,0.514679,0.235756,0.267838,0.287506,0.334806,0.571193,0.647068,0.71122,0.267757,0.523572,0.607873,0.67915,10.5432,23.13175,49.25135,0.336085,0.432688,0.510456,0.234286,0.265649,0.285386,0.332709,0.56771,0.648079,0.710696,0.264927,0.519785,0.608996,0.678567,10.39635,22.8879,48.82545
32,165000,0.337754,0.435838,0.513732,0.235047,0.266886,0.286687,0.329676,0.561119,0.639241,0.701858,0.261848,0.512504,0.599176,0.668747,10.56925,23.216,49.33085,0.334362,0.430193,0.510048,0.233332,0.264451,0.284728,0.328927,0.558123,0.636095,0.700547,0.26085,0.509133,0.595681,0.667291,10.4116,22.9224,48.84295
33,170000,0.340306,0.436541,0.514688,0.236708,0.267937,0.287775,0.336754,0.571493,0.652198,0.715003,0.269172,0.524029,0.613573,0.683352,10.56235,23.1518,49.1878,0.336575,0.432198,0.511,0.234134,0.265185,0.285166,0.333121,0.569695,0.650064,0.713617,0.265302,0.521991,0.611201,0.681813,10.4022,22.86995,48.63085
34,175000,0.338223,0.434296,0.513254,0.235862,0.267062,0.287131,0.33211,0.557187,0.63572,0.702607,0.264761,0.508051,0.595265,0.669579,10.65735,23.34345,49.49995,0.334997,0.430356,0.510692,0.234022,0.264949,0.285329,0.328402,0.555988,0.632462,0.697588,0.259934,0.506678,0.591645,0.664004,10.4757,23.0259,48.9827
35,180000,0.340487,0.436,0.514255,0.236899,0.267903,0.287766,0.331211,0.563141,0.640664,0.704517,0.263929,0.514667,0.600757,0.671701,10.5947,23.2343,49.2868,0.336203,0.431835,0.510256,0.234483,0.265557,0.285433,0.330649,0.562205,0.639727,0.703917,0.262764,0.513669,0.599717,0.671036,10.4061,22.89155,48.71245
