,steps,hr_test_5,hr_test_10,hr_test_20,ndcg_test_5,ndcg_test_10,ndcg_test_20,cov_test_1,cov_test_5,cov_test_10,cov_test_20,nov_test_1,nov_test_5,nov_test_10,nov_test_20,rep_test_5,rep_test_10,rep_test_20,hr_val_5,hr_val_10,hr_val_20,ndcg_val_5,ndcg_val_10,ndcg_val_20,cov_val_1,cov_val_5,cov_val_10,cov_val_20,nov_val_1,nov_val_5,nov_val_10,nov_val_20,rep_val_5,rep_val_10,rep_val_20
0,10000,0.211508,0.245957,0.27934,0.170212,0.181376,0.189823,0.16677,0.303929,0.356744,0.403108,0.096939,0.230003,0.287182,0.338158,16.82192,34.122436,69.404695,0.20529,0.240208,0.273672,0.16573,0.177028,0.185499,0.169762,0.307966,0.361091,0.40538,0.099336,0.234358,0.291882,0.340681,17.028642,34.681721,70.798435
1,20000,0.219382,0.256259,0.290837,0.176019,0.187959,0.19671,0.225526,0.432888,0.50789,0.567817,0.158051,0.371808,0.45446,0.520804,16.009819,32.66353,66.879609,0.211655,0.248922,0.284364,0.168978,0.181071,0.190039,0.232936,0.43708,0.511954,0.569666,0.163753,0.376335,0.458972,0.522934,16.102394,33.059994,68.044394
2,30000,0.218074,0.255811,0.291173,0.175157,0.187408,0.196353,0.241743,0.463473,0.546731,0.613617,0.17356,0.405536,0.497509,0.571655,15.619087,32.076408,65.75661,0.210598,0.247883,0.284009,0.167883,0.179966,0.189111,0.250339,0.469839,0.551135,0.614718,0.181596,0.41268,0.50246,0.572892,15.712613,32.428038,66.918167
3,40000,0.215647,0.252068,0.286947,0.171903,0.183729,0.192561,0.251298,0.477192,0.562002,0.632036,0.183225,0.420842,0.514459,0.592083,15.480387,31.815578,65.418146,0.208933,0.245769,0.280611,0.165541,0.177481,0.186307,0.258144,0.482245,0.566575,0.634449,0.189429,0.426325,0.519598,0.594808,15.560352,32.188369,66.689341
4,50000,0.216052,0.252945,0.286801,0.172499,0.184453,0.193013,0.255928,0.480904,0.566491,0.637272,0.186562,0.424852,0.519551,0.597942,15.288293,31.441825,64.76198,0.208519,0.24593,0.280654,0.165897,0.178039,0.186833,0.262674,0.487326,0.57105,0.638302,0.193173,0.431886,0.524548,0.599101,15.365027,31.82948,66.02097
5,60000,0.214055,0.249692,0.283996,0.170378,0.181948,0.190626,0.258539,0.483346,0.569991,0.641661,0.188802,0.427562,0.523389,0.602751,15.254692,31.471948,64.910704,0.206507,0.243792,0.276867,0.163898,0.175992,0.184369,0.265172,0.487933,0.571953,0.641704,0.195601,0.432575,0.525613,0.602845,15.32902,31.87454,66.263912
6,70000,0.213255,0.248668,0.282636,0.169605,0.181089,0.189666,0.265314,0.495752,0.582468,0.656636,0.196729,0.441332,0.537222,0.619356,15.225643,31.33064,64.703115,0.205163,0.242059,0.276512,0.162777,0.17474,0.183451,0.272907,0.502145,0.586631,0.657907,0.204155,0.448366,0.54189,0.620829,15.308613,31.766009,65.980155
7,80000,0.212532,0.24705,0.280846,0.168914,0.180087,0.188647,0.264424,0.488511,0.574536,0.648888,0.194974,0.433296,0.528417,0.610787,15.139314,31.294431,64.651562,0.20392,0.240816,0.273596,0.161484,0.173446,0.181738,0.270493,0.495371,0.578671,0.651104,0.200818,0.440894,0.533086,0.613294,15.232048,31.680595,65.944098
8,90000,0.211172,0.245716,0.279959,0.166559,0.177733,0.186396,0.269999,0.498899,0.58529,0.662014,0.201397,0.444888,0.540339,0.625262,14.852503,30.69529,63.520585,0.202864,0.238914,0.273046,0.159829,0.171522,0.18017,0.276915,0.505631,0.58896,0.663044,0.20793,0.452329,0.544569,0.626531,14.934482,31.087766,64.845489
9,100000,0.209124,0.245837,0.279761,0.166271,0.178166,0.186744,0.267205,0.493127,0.578431,0.654816,0.197716,0.438403,0.532835,0.617336,14.922774,30.831075,63.878331,0.202348,0.238297,0.271153,0.160159,0.171804,0.180129,0.275744,0.49921,0.583103,0.655535,0.20663,0.445123,0.538005,0.61826,15.020816,31.285086,65.213687
10,110000,0.209305,0.244064,0.278023,0.166174,0.177428,0.186016,0.269618,0.497234,0.583272,0.660165,0.200207,0.442977,0.538083,0.623273,14.829489,30.656012,63.446121,0.200869,0.23692,0.27057,0.158621,0.170306,0.178833,0.27748,0.503754,0.587238,0.661139,0.208478,0.450215,0.542579,0.624354,14.930288,31.123056,64.829736
