,steps,hr_test_5,hr_test_10,hr_test_20,ndcg_test_5,ndcg_test_10,ndcg_test_20,cov_test_1,cov_test_5,cov_test_10,cov_test_20,nov_test_1,nov_test_5,nov_test_10,nov_test_20,rep_test_5,rep_test_10,rep_test_20,hr_val_5,hr_val_10,hr_val_20,ndcg_val_5,ndcg_val_10,ndcg_val_20,cov_val_1,cov_val_5,cov_val_10,cov_val_20,nov_val_1,nov_val_5,nov_val_10,nov_val_20,rep_val_5,rep_val_10,rep_val_20
0,10000,0.182798,0.211998,0.241749,0.147597,0.157049,0.164571,0.098473,0.16749,0.19847,0.228632,0.032585,0.085017,0.114735,0.145816,17.967678,36.528359,74.022196,0.17896,0.209296,0.239624,0.144109,0.153906,0.161592,0.099193,0.168266,0.199345,0.228716,0.033086,0.08566,0.115424,0.146035,18.273629,37.275982,75.697934
1,20000,0.209649,0.244658,0.277799,0.169529,0.180847,0.189237,0.168294,0.30767,0.359425,0.404124,0.098866,0.233919,0.289893,0.339161,16.674679,33.72306,68.808418,0.203599,0.237342,0.270434,0.163233,0.174145,0.182514,0.170849,0.308968,0.359425,0.40586,0.100479,0.23536,0.289955,0.341056,16.873824,34.285495,70.239669
2,30000,0.21643,0.252248,0.287068,0.174689,0.186279,0.195087,0.198216,0.374414,0.435923,0.487142,0.128756,0.30714,0.374706,0.431338,16.368793,33.303585,67.860277,0.209178,0.245076,0.279453,0.167798,0.179418,0.188128,0.204497,0.3779,0.439451,0.491292,0.13438,0.310994,0.37856,0.435849,16.498517,33.775522,69.166172
3,40000,0.21977,0.257291,0.29218,0.176018,0.188161,0.196992,0.219373,0.415514,0.484658,0.539942,0.150468,0.352461,0.428674,0.48988,16.088887,32.814964,66.965632,0.211748,0.248973,0.284677,0.169486,0.181542,0.190568,0.226345,0.420158,0.488921,0.544459,0.156703,0.357646,0.433452,0.494815,16.182795,33.200644,68.182334
4,50000,0.221344,0.257085,0.293953,0.17717,0.188756,0.198088,0.229803,0.440355,0.516048,0.577344,0.161575,0.379892,0.463421,0.5313,15.978008,32.593924,66.786836,0.213058,0.250452,0.2863,0.170187,0.182328,0.191393,0.237227,0.445111,0.520324,0.580393,0.168374,0.385265,0.468277,0.534715,16.066182,32.931465,67.971052
5,60000,0.219021,0.2573,0.292765,0.176028,0.188462,0.197446,0.234489,0.45468,0.532646,0.594704,0.166541,0.395808,0.481844,0.550459,15.884826,32.509129,66.587224,0.213379,0.25019,0.28548,0.170009,0.18192,0.190847,0.243084,0.458336,0.535595,0.597781,0.174061,0.399803,0.485118,0.553968,15.953202,32.881598,67.807641
6,70000,0.220097,0.257455,0.293178,0.17599,0.188076,0.197113,0.242153,0.461497,0.540832,0.605629,0.173654,0.40328,0.490961,0.56271,15.76735,32.26308,66.157776,0.212736,0.250148,0.285801,0.16954,0.18166,0.190684,0.249167,0.465548,0.544882,0.609919,0.17934,0.407823,0.495457,0.567472,15.835004,32.610475,67.389832
7,80000,0.219365,0.256792,0.293006,0.174861,0.186991,0.196163,0.243479,0.466338,0.546915,0.612601,0.174593,0.408591,0.497713,0.570386,15.740654,32.251164,66.06444,0.212846,0.250106,0.285565,0.168849,0.180919,0.189902,0.252018,0.47101,0.548707,0.614831,0.182129,0.413761,0.499718,0.572892,15.80447,32.61963,67.267645
8,90000,0.219098,0.255166,0.290416,0.173758,0.185439,0.194347,0.24952,0.470939,0.552871,0.619686,0.181565,0.413698,0.504261,0.578312,15.726692,32.241958,66.177211,0.211629,0.24746,0.282361,0.168333,0.179938,0.188764,0.255109,0.475329,0.557331,0.621789,0.185403,0.418695,0.509352,0.580647,15.811579,32.616766,67.403846
9,100000,0.216835,0.25335,0.288608,0.173407,0.185186,0.194104,0.247685,0.469246,0.551403,0.620067,0.178964,0.411928,0.502788,0.578798,15.548765,31.925127,65.552294,0.209643,0.2456,0.28089,0.166787,0.17843,0.187358,0.256859,0.475541,0.555087,0.623031,0.187298,0.418962,0.506721,0.581978,15.603007,32.296491,66.794139
