,steps,hr_test_5,hr_test_10,hr_test_20,ndcg_test_5,ndcg_test_10,ndcg_test_20,cov_test_1,cov_test_5,cov_test_10,cov_test_20,nov_test_1,nov_test_5,nov_test_10,nov_test_20,rep_test_5,rep_test_10,rep_test_20,hr_val_5,hr_val_10,hr_val_20,ndcg_val_5,ndcg_val_10,ndcg_val_20,cov_val_1,cov_val_5,cov_val_10,cov_val_20,nov_val_1,nov_val_5,nov_val_10,nov_val_20,rep_val_5,rep_val_10,rep_val_20
0,10000,0.207231,0.242334,0.277102,0.167086,0.178445,0.187229,0.122862,0.210043,0.247474,0.285638,0.056255,0.130824,0.168484,0.208948,17.504373,35.750524,72.813072,0.201951,0.237849,0.272632,0.161432,0.173068,0.181866,0.124315,0.211356,0.247502,0.286386,0.057352,0.131779,0.168453,0.209575,17.76519,36.441745,74.418985
1,20000,0.232386,0.272352,0.312533,0.186323,0.199275,0.209425,0.197369,0.374965,0.443389,0.505928,0.130965,0.308456,0.383056,0.451938,16.880632,34.369406,70.159617,0.226261,0.266064,0.304887,0.179517,0.192386,0.202215,0.202634,0.378733,0.446692,0.510148,0.135508,0.312404,0.386753,0.456685,17.01028,34.745959,71.251125
2,30000,0.239666,0.280476,0.320502,0.191691,0.204902,0.215026,0.223988,0.44329,0.528877,0.603907,0.159022,0.384153,0.477817,0.560673,16.651972,34.019383,69.406536,0.230927,0.271711,0.311649,0.182688,0.195873,0.205968,0.232358,0.452267,0.536823,0.611345,0.167497,0.393897,0.48659,0.569007,16.721716,34.350348,70.361037
3,40000,0.238289,0.279675,0.320906,0.18967,0.203082,0.213519,0.234799,0.468597,0.561847,0.642127,0.169768,0.411881,0.514459,0.603143,16.494758,33.661535,68.704342,0.230893,0.272556,0.312317,0.183232,0.196732,0.206812,0.241136,0.476698,0.569102,0.649043,0.17616,0.420936,0.522496,0.61085,16.528795,33.906557,69.661058
4,50000,0.240957,0.282679,0.322929,0.191647,0.20516,0.215351,0.24331,0.488285,0.583597,0.669438,0.178385,0.433421,0.538443,0.633487,16.369815,33.458855,68.344602,0.233437,0.275726,0.315343,0.185141,0.19882,0.208849,0.250268,0.497841,0.592841,0.67761,0.185371,0.444136,0.54861,0.642479,16.388093,33.714761,69.214863
5,60000,0.242575,0.283866,0.324271,0.193124,0.206473,0.216702,0.251468,0.497756,0.593914,0.679444,0.186844,0.443917,0.549911,0.6445,16.331356,33.287577,68.007313,0.232304,0.274483,0.314523,0.183451,0.197098,0.207221,0.259202,0.504305,0.60179,0.687546,0.194129,0.451061,0.558605,0.653523,16.398834,33.607764,68.993044
6,70000,0.241267,0.282817,0.324151,0.191901,0.205347,0.215816,0.252301,0.497756,0.595904,0.684243,0.186593,0.443792,0.552073,0.64992,16.253976,33.231678,67.845855,0.232042,0.275295,0.314912,0.183767,0.197793,0.207824,0.258638,0.5082,0.606306,0.693573,0.19322,0.455541,0.563712,0.660291,16.295315,33.515139,68.842625
7,80000,0.242085,0.28255,0.322679,0.192431,0.205531,0.215692,0.25693,0.505476,0.601521,0.690467,0.191606,0.45222,0.55826,0.656797,16.130364,32.988697,67.315859,0.231544,0.273714,0.314042,0.18318,0.196869,0.207086,0.26417,0.514961,0.613786,0.699754,0.198296,0.462998,0.571984,0.66709,16.180749,33.245857,68.311426
8,90000,0.239038,0.28125,0.320803,0.189803,0.203494,0.213511,0.257706,0.504643,0.604852,0.692585,0.19181,0.451531,0.56202,0.659225,16.045313,32.83087,67.177057,0.230724,0.272218,0.313146,0.181539,0.194983,0.205334,0.266316,0.514664,0.612827,0.701265,0.200175,0.462512,0.570903,0.668797,16.110423,33.10311,68.098507
9,100000,0.239047,0.280347,0.319667,0.189266,0.202649,0.212599,0.266104,0.513634,0.612629,0.701011,0.200348,0.461369,0.570699,0.668578,15.873268,32.533473,66.432414,0.229278,0.271254,0.310762,0.180677,0.194269,0.204242,0.276238,0.524798,0.622904,0.711243,0.210687,0.47376,0.582041,0.679857,15.887735,32.727138,67.295673
10,110000,0.236353,0.276896,0.316733,0.187333,0.200476,0.210565,0.263309,0.51489,0.613194,0.701476,0.197794,0.463029,0.57142,0.669079,15.94364,32.601851,66.678975,0.22752,0.268718,0.308091,0.179451,0.192765,0.202734,0.271651,0.526252,0.623624,0.710086,0.205815,0.475342,0.582809,0.678557,15.979951,32.866868,67.626074
11,120000,0.23656,0.277903,0.317344,0.186649,0.200029,0.210021,0.28177,0.542497,0.643666,0.732795,0.218113,0.493373,0.605007,0.703763,15.601698,31.942515,65.285532,0.227647,0.268972,0.308514,0.178501,0.191897,0.201917,0.291551,0.557373,0.657455,0.744453,0.228295,0.509838,0.620234,0.716671,15.58659,32.111446,66.0982
12,130000,0.231233,0.272378,0.311664,0.181297,0.194643,0.204597,0.286259,0.544445,0.640984,0.726402,0.226196,0.495332,0.601983,0.696604,15.635452,31.993096,65.443206,0.221688,0.262658,0.301616,0.172017,0.185281,0.195153,0.297112,0.557232,0.654689,0.738652,0.23677,0.509587,0.617273,0.710201,15.609094,32.143361,66.219466
13,140000,0.23137,0.273591,0.313247,0.183359,0.197063,0.207079,0.267007,0.486945,0.580619,0.672077,0.198374,0.431886,0.535216,0.636542,15.42326,31.632997,64.789188,0.2249,0.266318,0.306138,0.17641,0.189828,0.199883,0.27827,0.499393,0.594465,0.683763,0.209982,0.445405,0.550553,0.649466,15.423793,31.765088,65.553345
14,150000,0.211112,0.254494,0.294934,0.160217,0.174288,0.184516,0.319935,0.611387,0.71137,0.793598,0.275574,0.571122,0.680202,0.771109,15.06577,30.954738,63.340152,0.20469,0.247688,0.28712,0.154128,0.168058,0.178048,0.331183,0.623638,0.721702,0.801911,0.286728,0.584751,0.691638,0.78029,15.008183,30.988185,63.843801
15,160000,0.235346,0.2765,0.315381,0.185531,0.198881,0.208713,0.280754,0.530091,0.62862,0.718709,0.215637,0.479384,0.588213,0.688082,15.447246,31.618473,64.747149,0.225229,0.266453,0.305657,0.176208,0.189547,0.199471,0.290987,0.541382,0.639982,0.729549,0.225585,0.491682,0.600793,0.700128,15.435608,31.770509,65.50179
16,170000,0.238229,0.27934,0.319091,0.188046,0.201353,0.211415,0.278228,0.537924,0.640899,0.73494,0.213585,0.488188,0.601889,0.706019,15.534854,31.749859,64.989055,0.228594,0.270189,0.30979,0.179338,0.192828,0.202848,0.288757,0.548679,0.653094,0.744877,0.224332,0.499937,0.615362,0.71711,15.537029,31.952281,65.80355
17,180000,0.224916,0.265871,0.306732,0.176024,0.189306,0.199653,0.260049,0.466465,0.554818,0.641111,0.194786,0.409641,0.506862,0.602297,15.26845,31.329412,64.162021,0.216067,0.258043,0.299706,0.16778,0.181378,0.191924,0.266894,0.476232,0.565277,0.650045,0.201147,0.42009,0.518297,0.612229,15.304521,31.573445,65.078406
18,190000,0.222653,0.264718,0.305226,0.173935,0.187568,0.197813,0.327909,0.599687,0.70468,0.796604,0.264922,0.556412,0.672651,0.774525,14.457014,29.829591,61.244719,0.215264,0.2574,0.29777,0.167437,0.181081,0.191308,0.338932,0.611288,0.716014,0.805171,0.276827,0.569352,0.685199,0.784034,14.406557,29.864515,61.750051
