,steps,loss,plain,smorl
0,200,10.899863243103027,10.849,0.051
1,400,10.757308006286621,10.702,0.055
2,600,10.636646270751953,10.588,0.048
3,800,10.346757888793945,10.294,0.053
4,1000,10.382980346679688,10.325,0.058
5,1200,10.273340225219727,10.221,0.052
6,1400,10.075502395629883,10.027,0.048
7,1600,10.114066123962402,10.051,0.063
8,1800,10.046574592590332,9.961,0.086
9,2000,9.90341854095459,9.838,0.066
10,2200,10.055160522460938,9.998,0.057
11,2400,9.967692375183105,9.883,0.085
12,2600,9.598791122436523,9.53,0.069
13,2800,9.81804370880127,9.746,0.072
14,3000,9.767090797424316,9.694,0.073
15,3200,9.512534141540527,9.434,0.079
16,3400,9.68663215637207,9.6,0.087
17,3600,9.732378005981445,9.652,0.08
18,3800,9.476319313049316,9.399,0.077
19,4000,9.22700309753418,9.105,0.122
20,4200,8.934042930603027,8.835,0.099
21,4400,9.344826698303223,9.253,0.091
22,4600,9.427216529846191,9.325,0.102
23,4800,8.768672943115234,8.657,0.112
24,5000,9.040438652038574,8.934,0.107
25,5200,9.052541732788086,8.946,0.107
26,5400,9.410420417785645,9.291,0.119
27,5600,8.779464721679688,8.685,0.094
28,5800,8.585926055908203,8.473,0.113
29,6000,8.808781623840332,8.664,0.145
30,6200,8.642013549804688,8.52,0.122
31,6400,8.856059074401855,8.746,0.11
32,6600,8.473771095275879,8.343,0.131
33,6800,8.763412475585938,8.648,0.115
34,7000,8.461024284362793,8.348,0.113
35,7200,8.650564193725586,8.553,0.097
36,7400,8.763209342956543,8.659,0.105
37,7600,8.419219017028809,8.328,0.092
38,7800,8.159595489501953,8.02,0.14
39,8000,7.592720985412598,7.446,0.147
40,8200,8.14533805847168,7.993,0.152
41,8400,8.35092830657959,8.204,0.147
42,8600,7.839493751525879,7.708,0.132
43,8800,8.09401798248291,7.944,0.15
44,9000,8.21632194519043,8.067,0.149
45,9200,7.414148807525635,7.287,0.127
46,9400,7.442958831787109,7.275,0.168
47,9600,8.183642387390137,8.048,0.135
48,9800,7.399667263031006,7.26,0.14
49,10000,7.727656364440918,7.603,0.125
50,10200,7.666548728942871,7.519,0.148
51,10400,8.050107955932617,7.905,0.145
52,10600,7.638925552368164,7.48,0.159
53,10800,8.168647766113281,8.034,0.135
54,11000,7.985081195831299,7.853,0.132
55,11200,7.783945083618164,7.638,0.146
56,11400,7.657721996307373,7.505,0.153
57,11600,7.306821823120117,7.162,0.145
58,11800,7.398311138153076,7.199,0.2
59,12000,7.322233200073242,7.188,0.135
60,12200,7.022109508514404,6.855,0.167
61,12400,7.825247764587402,7.653,0.173
62,12600,7.567779064178467,7.419,0.149
63,12800,7.110100746154785,6.931,0.179
64,13000,6.950279712677002,6.763,0.187
65,13200,7.376742362976074,7.211,0.165
66,13400,7.576326847076416,7.408,0.168
67,13600,6.942521095275879,6.777,0.165
68,13800,7.365318298339844,7.209,0.156
69,14000,7.879255771636963,7.72,0.159
70,14200,7.062593460083008,6.916,0.146
71,14400,6.962337017059326,6.79,0.172
72,14600,7.448664665222168,7.288,0.161
73,14800,7.009645938873291,6.848,0.162
74,15000,7.183553695678711,7.016,0.167
75,15200,6.990636348724365,6.842,0.148
76,15400,7.029059886932373,6.848,0.182
77,15600,6.962489604949951,6.788,0.174
78,15800,6.5911478996276855,6.428,0.163
79,16000,7.456942558288574,7.287,0.17
80,16200,6.7202935218811035,6.536,0.184
81,16400,6.9012980461120605,6.746,0.155
82,16600,6.202706813812256,6.041,0.162
83,16800,6.909613609313965,6.734,0.176
84,17000,6.847148895263672,6.671,0.176
85,17200,6.754695415496826,6.565,0.19
86,17400,6.423998832702637,6.273,0.151
87,17600,7.155551910400391,6.994,0.162
88,17800,6.8199076652526855,6.638,0.182
89,18000,6.759164333343506,6.549,0.21
90,18200,7.075221538543701,6.899,0.177
91,18400,7.185885429382324,6.997,0.189
92,18600,6.575324058532715,6.392,0.184
93,18800,7.077244281768799,6.903,0.174
94,19000,6.5139312744140625,6.329,0.185
95,19200,6.868133544921875,6.697,0.171
96,19400,5.870251655578613,5.632,0.238
97,19600,6.340092182159424,6.148,0.192
98,19800,6.610991477966309,6.413,0.198
99,20000,6.774320125579834,6.563,0.211
100,20200,6.267719268798828,6.093,0.174
101,20400,6.844700336456299,6.651,0.194
102,20600,6.531585216522217,6.342,0.19
103,20800,6.218523025512695,6.001,0.217
104,21000,6.673934459686279,6.5,0.174
105,21200,6.153542518615723,5.964,0.19
106,21400,6.530593395233154,6.358,0.172
107,21600,6.59592342376709,6.39,0.206
108,21800,6.530223369598389,6.334,0.196
109,22000,6.633938789367676,6.456,0.178
110,22200,6.164453983306885,5.957,0.208
111,22400,6.42464542388916,6.246,0.179
112,22600,6.235365390777588,6.063,0.172
113,22800,6.26376485824585,6.063,0.201
114,23000,6.692200660705566,6.528,0.164
115,23200,5.8955488204956055,5.69,0.206
116,23400,6.041752338409424,5.809,0.233
117,23600,5.966129779815674,5.766,0.2
118,23800,6.211976051330566,6.026,0.186
119,24000,6.198870658874512,6.004,0.195
120,24200,6.3012590408325195,6.102,0.199
121,24400,6.04106330871582,5.83,0.211
122,24600,6.656915664672852,6.473,0.184
123,24800,6.4281463623046875,6.236,0.192
124,25000,6.223569393157959,6.026,0.198
125,25200,6.336596488952637,6.149,0.187
126,25400,6.269128322601318,6.093,0.176
127,25600,6.390188694000244,6.187,0.203
128,25800,6.048452377319336,5.843,0.206
129,26000,6.350674629211426,6.181,0.169
130,26200,6.119287967681885,5.939,0.18
131,26400,5.881381034851074,5.673,0.208
132,26600,5.665350914001465,5.497,0.168
133,26800,6.426621437072754,6.243,0.184
134,27000,6.073657035827637,5.851,0.223
135,27200,6.676650047302246,6.509,0.167
136,27400,6.126935958862305,5.924,0.203
137,27600,5.314530372619629,5.106,0.208
138,27800,5.34886360168457,5.127,0.221
139,28000,6.119166374206543,5.947,0.173
140,28200,5.609447479248047,5.418,0.191
141,28400,5.639928817749023,5.438,0.202
142,28600,6.110980033874512,5.918,0.193
143,28800,5.997416973114014,5.835,0.163
144,29000,5.708967208862305,5.516,0.193
145,29200,5.856586456298828,5.644,0.212
146,29400,5.809381008148193,5.629,0.18
147,29600,6.257963180541992,6.023,0.235
148,29800,6.02172327041626,5.839,0.183
149,30000,6.239858627319336,6.07,0.17
150,30200,6.21177864074707,6.002,0.21
151,30400,6.064495086669922,5.898,0.166
152,30600,6.462214946746826,6.299,0.163
153,30800,6.061616897583008,5.881,0.181
154,31000,5.530377388000488,5.305,0.226
155,31200,5.585460662841797,5.401,0.184
156,31400,5.392088413238525,5.194,0.198
157,31600,5.442718029022217,5.268,0.175
158,31800,5.845670700073242,5.637,0.209
159,32000,5.679609775543213,5.47,0.209
160,32200,5.3947553634643555,5.176,0.219
161,32400,5.718652248382568,5.499,0.22
162,32600,5.743523120880127,5.54,0.203
163,32800,6.442111015319824,6.216,0.226
164,33000,5.994593620300293,5.794,0.201
165,33200,5.518473148345947,5.316,0.203
166,33400,5.512266635894775,5.31,0.203
167,33600,5.579300880432129,5.39,0.19
168,33800,5.7846174240112305,5.586,0.199
169,34000,5.73206090927124,5.562,0.17
170,34200,5.524653434753418,5.322,0.202
171,34400,5.684444427490234,5.508,0.176
172,34600,6.479434490203857,6.297,0.182
173,34800,5.361847877502441,5.177,0.185
174,35000,4.991428375244141,4.782,0.21
175,35200,5.733828067779541,5.521,0.213
176,35400,5.705129146575928,5.522,0.184
177,35600,5.390721321105957,5.175,0.216
178,35800,5.230682373046875,4.996,0.235
179,36000,5.270415782928467,5.085,0.185
180,36200,5.804281711578369,5.601,0.203
181,36400,5.699066638946533,5.509,0.19
182,36600,5.118789196014404,4.909,0.21
183,36800,5.621348857879639,5.404,0.217
184,37000,5.129613876342773,4.924,0.206
185,37200,5.741645336151123,5.554,0.187
186,37400,5.6984124183654785,5.524,0.174
187,37600,5.280603408813477,5.062,0.219
188,37800,5.600180149078369,5.352,0.248
189,38000,5.733570575714111,5.553,0.181
190,38200,5.607431888580322,5.404,0.204
191,38400,5.6065826416015625,5.43,0.177
192,38600,5.591487884521484,5.416,0.175
193,38800,5.417045593261719,5.222,0.195
194,39000,5.065036296844482,4.83,0.235
195,39200,5.301545143127441,5.113,0.189
196,39400,4.762930393218994,4.532,0.231
197,39600,4.9822163581848145,4.763,0.22
198,39800,5.398384094238281,5.206,0.193
199,40000,5.116055965423584,4.915,0.201
200,40200,5.442510604858398,5.241,0.202
201,40400,5.298096179962158,5.079,0.219
202,40600,5.141035079956055,4.919,0.222
203,40800,5.628408432006836,5.42,0.209
204,41000,5.642294406890869,5.442,0.201
205,41200,5.597989082336426,5.388,0.21
206,41400,5.728789806365967,5.509,0.22
207,41600,5.404714584350586,5.2,0.205
