,steps,loss,plain,smorl
0,200,11.313030242919922,10.78,0.533
1,400,11.131706237792969,10.681,0.45
2,600,10.934049606323242,10.505,0.429
3,800,11.135088920593262,10.576,0.559
4,1000,10.83983325958252,10.33,0.51
5,1200,10.780834197998047,10.299,0.482
6,1400,10.688514709472656,10.26,0.428
7,1600,10.993630409240723,10.443,0.551
8,1800,10.422554016113281,9.951,0.472
9,2000,10.737313270568848,10.2,0.537
10,2200,10.473270416259766,10.011,0.462
11,2400,10.420793533325195,9.983,0.438
12,2600,10.321083068847656,9.882,0.439
13,2800,10.195318222045898,9.808,0.388
14,3000,10.023351669311523,9.598,0.426
15,3200,10.345486640930176,9.944,0.401
16,3400,10.169864654541016,9.75,0.42
17,3600,10.037343978881836,9.526,0.512
18,3800,9.839637756347656,9.332,0.508
19,4000,9.715080261230469,9.249,0.466
20,4200,9.27933120727539,8.808,0.471
21,4400,9.351825714111328,8.847,0.505
22,4600,9.323287963867188,8.644,0.679
23,4800,9.092799186706543,8.551,0.542
24,5000,8.736348152160645,8.334,0.403
25,5200,9.059534072875977,8.673,0.387
26,5400,9.159459114074707,8.674,0.485
27,5600,8.844908714294434,8.364,0.481
28,5800,9.285444259643555,8.651,0.634
29,6000,9.164264678955078,8.629,0.535
30,6200,9.018587112426758,8.419,0.6
31,6400,9.140191078186035,8.614,0.526
32,6600,8.903118133544922,8.286,0.617
33,6800,8.969058990478516,8.487,0.482
34,7000,9.101824760437012,8.588,0.514
35,7200,8.483941078186035,8.061,0.423
36,7400,8.386494636535645,7.933,0.454
37,7600,8.823379516601562,8.326,0.497
38,7800,8.173070907592773,7.627,0.546
39,8000,7.575248718261719,7.055,0.52
40,8200,8.325812339782715,7.682,0.643
41,8400,8.238693237304688,7.631,0.607
42,8600,7.744647026062012,7.115,0.629
43,8800,7.917684555053711,7.359,0.558
44,9000,7.834329605102539,7.154,0.68
45,9200,8.156586647033691,7.407,0.75
46,9400,7.8861918449401855,7.224,0.662
47,9600,7.3607354164123535,6.703,0.658
48,9800,7.958155155181885,7.315,0.644
49,10000,7.664306640625,7.078,0.586
50,10200,7.899469375610352,7.275,0.625
51,10400,7.636953830718994,6.996,0.641
52,10600,8.202601432800293,7.552,0.651
53,10800,7.836505889892578,7.096,0.741
54,11000,7.332634925842285,6.768,0.565
55,11200,7.406130790710449,6.827,0.579
