,steps,hr_test_5,hr_test_10,hr_test_20,ndcg_test_5,ndcg_test_10,ndcg_test_20,cov_test_1,cov_test_5,cov_test_10,cov_test_20,nov_test_1,nov_test_5,nov_test_10,nov_test_20,rep_test_5,rep_test_10,rep_test_20,hr_val_5,hr_val_10,hr_val_20,ndcg_val_5,ndcg_val_10,ndcg_val_20,cov_val_1,cov_val_5,cov_val_10,cov_val_20,nov_val_1,nov_val_5,nov_val_10,nov_val_20,rep_val_5,rep_val_10,rep_val_20
0,10000,0.263806,0.315407,0.365339,0.202927,0.219642,0.232271,0.240064,0.471151,0.5728,0.664865,0.180875,0.415954,0.526694,0.62849,14.076715,28.906255,59.349716,0.255152,0.308209,0.35846,0.195724,0.212924,0.225654,0.246429,0.474609,0.574874,0.66845,0.186781,0.419776,0.529185,0.632484,14.238288,29.37725,60.5558
1,20000,0.241792,0.294237,0.342886,0.185184,0.202197,0.214498,0.283605,0.531432,0.636214,0.730029,0.223987,0.481812,0.596892,0.700818,12.769805,26.395694,54.373447,0.236379,0.286773,0.335858,0.17984,0.196188,0.208641,0.287981,0.536612,0.639784,0.73137,0.227731,0.487342,0.600902,0.70229,12.871471,26.784984,55.433971
2,30000,0.233642,0.281715,0.326965,0.178647,0.194231,0.205701,0.298538,0.552772,0.654392,0.741743,0.238525,0.505076,0.617007,0.713789,12.354472,25.536695,52.776249,0.224925,0.27368,0.319443,0.170562,0.186356,0.197931,0.303337,0.556653,0.658711,0.744481,0.243648,0.509337,0.621879,0.716859,12.453151,25.839351,53.699315
3,40000,0.218986,0.264994,0.311517,0.16893,0.183848,0.195613,0.311311,0.562017,0.661294,0.747205,0.251057,0.51518,0.624667,0.719789,11.452667,23.89219,49.770879,0.209093,0.255794,0.300526,0.159311,0.174461,0.185773,0.31769,0.564176,0.663143,0.750353,0.257621,0.517671,0.626798,0.723361,11.500102,24.159984,50.683818
4,50000,0.214838,0.259667,0.304099,0.165854,0.180384,0.191637,0.320033,0.575114,0.672444,0.756323,0.25947,0.529671,0.63709,0.729987,11.298829,23.555567,48.924666,0.206727,0.251636,0.294516,0.15739,0.171936,0.182769,0.325707,0.57997,0.678174,0.760275,0.265,0.535091,0.643482,0.734374,11.355258,23.779511,49.723558
5,60000,0.207033,0.250493,0.293169,0.15948,0.173543,0.18435,0.324931,0.572715,0.670073,0.755349,0.263261,0.526726,0.63438,0.728906,10.912852,22.664144,47.449343,0.199153,0.24227,0.283578,0.152311,0.166281,0.176733,0.330718,0.57781,0.674519,0.757791,0.269433,0.532459,0.63933,0.731632,10.945479,22.87367,48.250716
6,70000,0.206198,0.24878,0.290002,0.157796,0.171618,0.182041,0.330816,0.584924,0.682394,0.766372,0.269402,0.540308,0.648056,0.74111,10.648136,22.397791,46.377998,0.195814,0.238542,0.279572,0.149963,0.163809,0.174186,0.338311,0.589581,0.687264,0.768743,0.277172,0.545477,0.653523,0.743789,10.64285,22.540712,47.08659
7,80000,0.203332,0.244296,0.285803,0.157996,0.171229,0.181748,0.330929,0.582877,0.680503,0.764015,0.269841,0.537911,0.64591,0.738462,10.547179,22.108219,46.028947,0.193786,0.235449,0.276706,0.14882,0.162338,0.172764,0.338748,0.589835,0.684215,0.766711,0.27725,0.545822,0.650092,0.741486,10.571655,22.316438,46.817615
8,90000,0.198522,0.240097,0.281052,0.153606,0.167056,0.177422,0.331776,0.584048,0.682394,0.768927,0.269449,0.539242,0.648072,0.743961,10.423106,21.762031,45.246663,0.191918,0.232888,0.273984,0.146541,0.159806,0.170204,0.338297,0.58793,0.685923,0.771975,0.276295,0.543425,0.651925,0.747282,10.450593,21.964403,46.038922
9,100000,0.196869,0.237997,0.27903,0.152191,0.165501,0.175891,0.336871,0.591712,0.690115,0.77302,0.276122,0.547796,0.656641,0.748457,10.36511,21.585537,45.153941,0.189695,0.230943,0.271187,0.144876,0.15824,0.168417,0.344973,0.59915,0.694744,0.776478,0.283955,0.55602,0.661795,0.752373,10.338942,21.712203,45.789229
10,110000,0.194038,0.235191,0.275467,0.149933,0.163252,0.17345,0.334401,0.588523,0.6866,0.772258,0.272535,0.544208,0.652693,0.747611,10.185598,21.299443,44.816243,0.185958,0.226666,0.266622,0.142895,0.156077,0.166197,0.339976,0.591275,0.690482,0.775617,0.278049,0.547201,0.656954,0.751308,10.200747,21.436579,45.467574
