,steps,loss,plain,smorl
0,200,10.695244789123535,10.684,0.011
1,400,10.590076446533203,10.563,0.027
2,600,10.278578758239746,10.235,0.043
3,800,10.072851181030273,9.968,0.105
4,1000,9.799599647521973,9.663,0.136
5,1200,9.912314414978027,9.705,0.207
6,1400,9.619338989257812,9.367,0.252
7,1600,9.578569412231445,9.304,0.274
8,1800,9.183615684509277,8.892,0.291
9,2000,9.371566772460938,9.053,0.318
10,2200,9.42359447479248,9.072,0.352
11,2400,8.862224578857422,8.5,0.362
12,2600,9.264115333557129,8.857,0.407
13,2800,8.801881790161133,8.386,0.416
14,3000,8.383906364440918,8.061,0.323
15,3200,8.970484733581543,8.547,0.423
16,3400,8.655255317687988,8.21,0.446
17,3600,8.503236770629883,8.144,0.36
18,3800,8.545748710632324,8.146,0.4
19,4000,7.8816399574279785,7.374,0.508
20,4200,8.15180778503418,7.559,0.593
21,4400,7.8759636878967285,7.341,0.535
22,4600,7.670896530151367,7.157,0.514
23,4800,7.696283340454102,7.02,0.676
24,5000,7.742094039916992,7.21,0.532
25,5200,8.183727264404297,7.611,0.573
26,5400,7.689543724060059,7.247,0.442
27,5600,7.160581588745117,6.721,0.44
28,5800,7.629761695861816,7.174,0.456
29,6000,7.7748565673828125,7.171,0.604
30,6200,7.533112049102783,7.156,0.377
31,6400,7.378927707672119,6.854,0.525
32,6600,7.422800064086914,6.896,0.527
33,6800,7.580249309539795,7.194,0.386
34,7000,7.463854789733887,7.0,0.464
35,7200,7.198949337005615,6.694,0.504
36,7400,7.06765604019165,6.652,0.415
37,7600,7.5510382652282715,6.968,0.583
38,7800,6.900267601013184,6.251,0.649
39,8000,7.085850238800049,6.599,0.486
40,8200,6.576657772064209,5.915,0.661
41,8400,6.725118160247803,6.157,0.568
42,8600,6.846737861633301,6.316,0.531
43,8800,6.581392288208008,6.081,0.5
44,9000,6.921863079071045,6.328,0.594
45,9200,7.270272254943848,6.703,0.567
46,9400,6.371574878692627,5.918,0.454
47,9600,6.957191467285156,6.418,0.539
48,9800,6.878523349761963,6.338,0.541
49,10000,6.799219608306885,6.286,0.513
50,10200,6.437785625457764,5.966,0.472
51,10400,6.921873569488525,6.355,0.566
52,10600,7.233331203460693,6.658,0.576
53,10800,6.142740249633789,5.632,0.511
54,11000,6.831582069396973,6.242,0.589
55,11200,6.925494194030762,6.352,0.573
56,11400,7.038999080657959,6.491,0.548
57,11600,6.026391983032227,5.535,0.492
58,11800,5.885590553283691,5.391,0.494
59,12000,6.470146179199219,5.995,0.475
60,12200,6.250060081481934,5.824,0.426
61,12400,6.1824870109558105,5.586,0.597
62,12600,6.581362724304199,5.941,0.641
63,12800,6.271175861358643,5.729,0.542
64,13000,6.247757911682129,5.708,0.54
65,13200,5.733586311340332,5.177,0.557
66,13400,6.321383953094482,5.772,0.549
67,13600,6.029435634613037,5.47,0.559
68,13800,5.918944358825684,5.398,0.521
69,14000,6.2264404296875,5.843,0.383
70,14200,6.13891077041626,5.594,0.545
71,14400,6.1289544105529785,5.746,0.382
72,14600,6.176072120666504,5.596,0.58
73,14800,6.296929359436035,5.949,0.348
74,15000,6.497178077697754,6.037,0.46
75,15200,6.336883068084717,5.843,0.494
76,15400,6.029466152191162,5.531,0.498
77,15600,6.064942359924316,5.496,0.569
78,15800,6.131226539611816,5.638,0.493
79,16000,6.082479476928711,5.582,0.501
80,16200,5.789047718048096,5.333,0.456
81,16400,5.947052478790283,5.429,0.518
82,16600,5.969176769256592,5.407,0.562
83,16800,5.91955041885376,5.463,0.457
84,17000,5.775320529937744,5.233,0.543
85,17200,5.998030185699463,5.526,0.472
86,17400,6.0218892097473145,5.524,0.498
87,17600,5.866389751434326,5.352,0.515
88,17800,5.68440580368042,5.118,0.566
89,18000,5.886083126068115,5.378,0.508
90,18200,6.091999053955078,5.46,0.632
91,18400,6.137459754943848,5.675,0.462
92,18600,5.730627536773682,5.281,0.45
93,18800,5.664760589599609,5.177,0.488
94,19000,5.977384090423584,5.582,0.396
95,19200,6.025745391845703,5.632,0.393
96,19400,5.480190753936768,4.929,0.551
97,19600,5.568769931793213,4.951,0.617
98,19800,5.478766918182373,4.999,0.48
99,20000,5.369356632232666,4.776,0.593
100,20200,5.617032051086426,5.216,0.401
101,20400,5.613010883331299,5.196,0.417
102,20600,5.7836785316467285,5.324,0.46
103,20800,5.644862651824951,5.146,0.499
104,21000,5.87349796295166,5.45,0.424
105,21200,5.819142818450928,5.327,0.492
106,21400,5.842385768890381,5.385,0.457
107,21600,5.473278999328613,5.027,0.446
108,21800,5.327487945556641,4.784,0.544
109,22000,6.070022106170654,5.618,0.452
110,22200,5.646494388580322,5.182,0.464
111,22400,5.439146041870117,4.962,0.477
112,22600,5.51862907409668,5.148,0.37
113,22800,5.7895331382751465,5.366,0.423
114,23000,5.697878837585449,5.259,0.439
115,23200,5.354015827178955,4.925,0.429
116,23400,5.304525852203369,4.756,0.549
117,23600,5.432147026062012,4.892,0.54
118,23800,5.182422637939453,4.752,0.43
119,24000,5.485396862030029,4.901,0.585
120,24200,5.280483245849609,4.832,0.448
121,24400,5.543654441833496,5.098,0.445
122,24600,5.429507732391357,4.917,0.513
123,24800,5.8122053146362305,5.3,0.513
124,25000,5.354994297027588,4.881,0.474
125,25200,5.663366794586182,5.142,0.521
126,25400,4.8674492835998535,4.368,0.499
127,25600,5.394331932067871,4.923,0.471
128,25800,5.401310920715332,4.938,0.464
129,26000,5.503137111663818,5.036,0.467
130,26200,5.462053298950195,5.071,0.391
