,steps,hr_test_5,hr_test_10,hr_test_20,ndcg_test_5,ndcg_test_10,ndcg_test_20,cov_test_1,cov_test_5,cov_test_10,cov_test_20,nov_test_1,nov_test_5,nov_test_10,nov_test_20,rep_test_5,rep_test_10,rep_test_20,hr_val_5,hr_val_10,hr_val_20,ndcg_val_5,ndcg_val_10,ndcg_val_20,cov_val_1,cov_val_5,cov_val_10,cov_val_20,nov_val_1,nov_val_5,nov_val_10,nov_val_20,rep_val_5,rep_val_10,rep_val_20
0,10000,0.259176,0.306595,0.350958,0.202543,0.217906,0.229145,0.192443,0.333286,0.387625,0.437489,0.126986,0.263653,0.321678,0.376116,14.59331,29.90155,61.357388,0.254374,0.302208,0.345654,0.198871,0.214377,0.225372,0.195887,0.334613,0.389093,0.440002,0.12979,0.264875,0.323072,0.378952,14.818382,30.475808,62.831475
1,20000,0.27736,0.32959,0.379168,0.214572,0.231504,0.244062,0.234573,0.447087,0.534847,0.61318,0.170708,0.388445,0.484585,0.571028,14.4944,29.874444,61.34542,0.268913,0.321412,0.370421,0.208176,0.225161,0.237585,0.238314,0.449924,0.536555,0.612827,0.174358,0.391406,0.486387,0.570574,14.672105,30.364106,62.583061
2,30000,0.270958,0.324134,0.375468,0.209884,0.22712,0.240113,0.252047,0.493621,0.595608,0.685175,0.187956,0.439625,0.551712,0.65086,14.223188,29.338209,60.335192,0.265439,0.319172,0.369035,0.204807,0.222207,0.234845,0.255702,0.495907,0.59716,0.686064,0.19098,0.441974,0.553467,0.651847,14.422872,29.821195,61.535802
3,40000,0.263453,0.316905,0.367284,0.202295,0.219627,0.232394,0.264001,0.513563,0.619206,0.710961,0.199737,0.46151,0.577921,0.679418,13.818647,28.501611,58.455889,0.258584,0.311193,0.360278,0.197853,0.21488,0.227307,0.267473,0.520987,0.623088,0.714602,0.202839,0.46975,0.582182,0.683539,14.025726,28.976984,59.626841
4,50000,0.260906,0.311612,0.360416,0.20054,0.21697,0.229324,0.270395,0.528214,0.634365,0.725865,0.206692,0.477645,0.594605,0.695977,13.747916,28.195776,57.886923,0.251712,0.305124,0.353177,0.192871,0.210183,0.222333,0.277198,0.532194,0.638359,0.729238,0.212724,0.481953,0.599054,0.699674,13.916428,28.650522,58.976166
5,60000,0.251741,0.30193,0.348798,0.194166,0.210409,0.222298,0.280331,0.538432,0.644075,0.736775,0.216515,0.488721,0.605398,0.708008,13.257301,27.200481,55.741932,0.244586,0.294296,0.341234,0.187729,0.203856,0.215735,0.285115,0.541354,0.648874,0.74386,0.220588,0.492042,0.610787,0.715872,13.365333,27.573599,56.772248
6,70000,0.247498,0.296887,0.341974,0.190585,0.206584,0.217978,0.286668,0.542836,0.647462,0.74163,0.222374,0.493796,0.609189,0.713476,12.96333,26.564415,54.583798,0.238238,0.287779,0.335503,0.182205,0.198248,0.21032,0.291283,0.551601,0.655169,0.745978,0.22723,0.503415,0.617868,0.718348,13.052782,26.912541,55.623517
7,80000,0.241586,0.289839,0.334598,0.186454,0.202112,0.213428,0.293386,0.552617,0.657243,0.74952,0.229173,0.504292,0.619983,0.722264,12.69933,26.133637,53.510152,0.233961,0.282741,0.328842,0.179192,0.194979,0.206629,0.298425,0.561029,0.664611,0.755787,0.234671,0.513786,0.628208,0.729204,12.769128,26.43975,54.42364
8,90000,0.238333,0.285183,0.330227,0.183675,0.198862,0.210252,0.298128,0.556145,0.662127,0.755448,0.234609,0.508381,0.625372,0.728687,12.350534,25.385107,52.236332,0.228864,0.275633,0.320736,0.175787,0.19098,0.202398,0.305369,0.563513,0.66694,0.759569,0.241235,0.516527,0.630792,0.73334,12.429419,25.719619,53.249847
9,100000,0.235467,0.282464,0.327318,0.181396,0.196614,0.207962,0.301375,0.561537,0.662748,0.756944,0.237193,0.514287,0.62614,0.730441,12.268706,25.359842,52.009768,0.228272,0.274728,0.320102,0.175618,0.19065,0.202123,0.30599,0.567295,0.670877,0.762491,0.241705,0.520569,0.635147,0.736645,12.392952,25.685198,52.98972
10,110000,0.22995,0.277799,0.321999,0.177874,0.193387,0.204569,0.303294,0.56189,0.665825,0.759343,0.239512,0.5146,0.629461,0.733042,12.07651,24.78837,51.045824,0.224071,0.270215,0.313501,0.173016,0.187966,0.198918,0.309998,0.568396,0.671428,0.76513,0.245653,0.521932,0.635696,0.739528,12.163462,25.080708,51.954838
11,120000,0.228221,0.274322,0.317688,0.176264,0.191202,0.202179,0.306682,0.564924,0.66845,0.760614,0.242206,0.518094,0.632453,0.734483,11.933054,24.819772,50.948397,0.221933,0.267822,0.311751,0.169217,0.184055,0.195163,0.312525,0.572023,0.674349,0.766245,0.248175,0.525911,0.638985,0.740781,12.01519,25.109401,51.842062
12,130000,0.227911,0.272791,0.315562,0.175738,0.190305,0.201126,0.308079,0.564924,0.668337,0.763239,0.244133,0.518,0.632202,0.737397,11.912955,24.528615,50.401626,0.217419,0.263351,0.307389,0.166905,0.181838,0.192983,0.316265,0.57407,0.676791,0.768997,0.251809,0.528135,0.641727,0.743867,11.973865,24.763144,51.253631
13,140000,0.22569,0.269959,0.313488,0.174264,0.188597,0.199592,0.311636,0.568015,0.671682,0.765808,0.247329,0.521368,0.635978,0.740264,11.650744,23.929474,49.316422,0.217749,0.262269,0.305242,0.16684,0.181242,0.192114,0.318622,0.575749,0.679741,0.770776,0.254394,0.529921,0.644985,0.745762,11.713124,24.251534,50.324673
