,steps,loss,plain,smorl
0,200,11.055407524108887,10.558,0.497
1,400,10.967061996459961,10.53,0.437
2,600,10.456912994384766,10.072,0.385
3,800,10.459657669067383,10.036,0.424
4,1000,10.330142974853516,9.921,0.409
5,1200,10.445650100708008,10.019,0.427
6,1400,9.811785697937012,9.309,0.503
7,1600,9.453624725341797,9.063,0.39
8,1800,9.756281852722168,9.331,0.426
9,2000,9.38648509979248,8.912,0.474
10,2200,9.372335433959961,8.902,0.471
11,2400,9.572145462036133,8.977,0.595
12,2600,8.825752258300781,8.36,0.465
13,2800,8.715559005737305,8.197,0.518
14,3000,8.796910285949707,8.315,0.482
15,3200,9.155284881591797,8.632,0.524
16,3400,8.680408477783203,8.075,0.605
17,3600,8.441884994506836,8.016,0.426
18,3800,8.445413589477539,7.963,0.482
19,4000,8.145207405090332,7.563,0.582
20,4200,7.6746344566345215,7.067,0.607
21,4400,7.777263164520264,7.203,0.574
22,4600,8.001954078674316,7.28,0.722
23,4800,7.949336051940918,7.435,0.514
24,5000,7.847121238708496,7.35,0.497
25,5200,7.5011701583862305,6.983,0.518
26,5400,8.022382736206055,7.452,0.57
27,5600,7.696831703186035,7.12,0.577
28,5800,7.601812362670898,7.087,0.515
29,6000,7.606133460998535,6.971,0.635
30,6200,7.544552326202393,7.05,0.494
31,6400,7.7033257484436035,7.054,0.649
32,6600,7.6583991050720215,7.221,0.438
33,6800,7.56066370010376,6.923,0.638
34,7000,7.487361907958984,6.933,0.554
35,7200,7.5831708908081055,6.987,0.596
36,7400,7.554828643798828,6.863,0.692
37,7600,7.237423896789551,6.658,0.58
38,7800,6.941524028778076,6.31,0.632
39,8000,6.5599541664123535,5.965,0.594
40,8200,6.701167106628418,6.036,0.665
41,8400,6.591472148895264,5.89,0.702
42,8600,6.917774677276611,6.261,0.657
43,8800,6.79443359375,6.137,0.658
44,9000,6.407698154449463,5.875,0.532
45,9200,6.852113246917725,6.169,0.683
46,9400,6.832589149475098,6.203,0.63
47,9600,6.816097736358643,6.183,0.634
48,9800,7.112931728363037,6.622,0.491
49,10000,7.165886402130127,6.614,0.552
