,steps,hr_test_5,hr_test_10,hr_test_20,ndcg_test_5,ndcg_test_10,ndcg_test_20,cov_test_1,cov_test_5,cov_test_10,cov_test_20,nov_test_1,nov_test_5,nov_test_10,nov_test_20,rep_test_5,rep_test_10,rep_test_20,hr_val_5,hr_val_10,hr_val_20,ndcg_val_5,ndcg_val_10,ndcg_val_20,cov_val_1,cov_val_5,cov_val_10,cov_val_20,nov_val_1,nov_val_5,nov_val_10,nov_val_20,rep_val_5,rep_val_10,rep_val_20
0,10000,0.260717,0.309417,0.353411,0.204357,0.220171,0.231299,0.195182,0.337916,0.395994,0.451053,0.129586,0.268431,0.330827,0.391218,14.485348,29.832711,61.08413,0.253174,0.302521,0.347083,0.198257,0.21424,0.225521,0.198033,0.341924,0.399466,0.453368,0.13145,0.272833,0.334681,0.393834,14.725706,30.418934,62.543525
1,20000,0.275983,0.328428,0.377,0.213829,0.230827,0.243131,0.240191,0.455541,0.545673,0.623469,0.176426,0.39797,0.496428,0.582339,14.378612,29.505805,60.518437,0.269242,0.321336,0.370294,0.20788,0.224781,0.237173,0.243225,0.46017,0.547606,0.625191,0.178964,0.402732,0.498574,0.584328,14.550685,30.003938,61.7723
2,30000,0.273935,0.327068,0.376613,0.211265,0.228481,0.241029,0.255109,0.500311,0.601536,0.69147,0.19145,0.446972,0.558339,0.657831,14.075385,29.011814,59.365468,0.266402,0.320821,0.371156,0.205175,0.222829,0.235572,0.258722,0.502343,0.604612,0.692909,0.194536,0.449055,0.56177,0.659382,14.280227,29.477189,60.556056
3,40000,0.266069,0.318135,0.365984,0.204578,0.22146,0.233595,0.269153,0.523429,0.628169,0.720135,0.204609,0.472491,0.587869,0.689679,13.630338,28.154605,57.778193,0.258744,0.310348,0.360244,0.198425,0.215168,0.227801,0.27333,0.526252,0.633137,0.726035,0.209215,0.475546,0.593352,0.696228,13.79823,28.567666,58.921031
4,50000,0.258978,0.312817,0.361475,0.200233,0.217668,0.230002,0.275137,0.533662,0.643708,0.7371,0.210969,0.483567,0.605022,0.708384,13.419373,27.562727,56.509538,0.25358,0.305547,0.354183,0.194415,0.21126,0.223557,0.279611,0.540182,0.646488,0.740995,0.215011,0.49082,0.608062,0.712818,13.544292,27.939495,57.581628
5,60000,0.251173,0.301207,0.347981,0.193332,0.209549,0.221386,0.286795,0.54628,0.652529,0.746147,0.223047,0.497603,0.614829,0.718426,12.942413,26.698665,54.939702,0.24484,0.295632,0.343212,0.186449,0.202914,0.214966,0.290747,0.551262,0.657568,0.749718,0.226635,0.503008,0.620359,0.722389,13.067001,27.074468,55.95136
6,70000,0.246964,0.29607,0.342327,0.19078,0.206694,0.218406,0.292017,0.553082,0.659431,0.753147,0.228374,0.504888,0.622333,0.726102,12.576587,26.064696,53.401473,0.240258,0.290163,0.33683,0.18414,0.200311,0.21214,0.297183,0.560393,0.666573,0.756605,0.233011,0.513159,0.630416,0.730144,12.686426,26.422617,54.43213
7,80000,0.242541,0.291328,0.337103,0.186701,0.202496,0.214075,0.296054,0.556512,0.662508,0.754206,0.231272,0.508773,0.625764,0.727293,12.413185,25.658518,52.857515,0.236987,0.28608,0.331843,0.181152,0.197043,0.208625,0.301445,0.559815,0.664611,0.756408,0.236567,0.512282,0.628129,0.729799,12.533091,26.037234,53.888298
8,90000,0.237437,0.284417,0.329805,0.183268,0.19846,0.209945,0.302024,0.56443,0.671061,0.76434,0.237507,0.517593,0.635304,0.738697,12.060656,24.805963,51.079732,0.229616,0.276994,0.323855,0.175441,0.190789,0.202666,0.307415,0.57208,0.676946,0.768108,0.243162,0.525989,0.641837,0.742817,12.150829,25.157631,52.081373
9,100000,0.234709,0.281913,0.326492,0.18178,0.197105,0.208393,0.305962,0.562271,0.66725,0.762463,0.24205,0.514945,0.630996,0.736504,11.994067,24.667928,50.993454,0.227723,0.275379,0.321083,0.175296,0.190715,0.202311,0.309236,0.568862,0.673206,0.766894,0.245026,0.522386,0.637717,0.741501,12.045468,24.936528,51.847688
