,steps,hr_test_5,hr_test_10,hr_test_20,ndcg_test_5,ndcg_test_10,ndcg_test_20,cov_test_1,cov_test_5,cov_test_10,cov_test_20,nov_test_1,nov_test_5,nov_test_10,nov_test_20,rep_test_5,rep_test_10,rep_test_20,hr_val_5,hr_val_10,hr_val_20,ndcg_val_5,ndcg_val_10,ndcg_val_20,cov_val_1,cov_val_5,cov_val_10,cov_val_20,nov_val_1,nov_val_5,nov_val_10,nov_val_20,rep_val_5,rep_val_10,rep_val_20
0,10000,0.273961,0.329418,0.379711,0.209564,0.227555,0.240279,0.282377,0.5481,0.643553,0.722972,0.223063,0.499875,0.605054,0.692985,12.050785,25.449394,53.064747,0.268761,0.324489,0.374672,0.20482,0.222913,0.235667,0.286372,0.554804,0.650497,0.728646,0.226964,0.507347,0.612808,0.699314,12.228723,25.890548,54.285495
1,20000,0.250157,0.301302,0.349366,0.189947,0.206554,0.218721,0.319709,0.588381,0.689113,0.77333,0.261428,0.544224,0.655419,0.748817,10.548969,22.026032,45.499156,0.244578,0.296976,0.345063,0.184191,0.201193,0.213374,0.325213,0.594521,0.695746,0.778552,0.26677,0.551039,0.662907,0.754645,10.609861,22.366356,46.528795
2,30000,0.239417,0.289469,0.334228,0.184135,0.200367,0.21171,0.338381,0.611161,0.708519,0.78719,0.279506,0.56943,0.677053,0.764201,9.642919,20.044648,41.463612,0.233631,0.28242,0.328868,0.179419,0.195244,0.207011,0.340837,0.616496,0.71336,0.791142,0.281903,0.575242,0.682395,0.768619,9.660495,20.274192,42.323292
3,40000,0.226138,0.271293,0.313084,0.174101,0.188708,0.199295,0.343702,0.608282,0.708025,0.788898,0.283736,0.56614,0.676458,0.766096,8.673503,18.080806,37.574592,0.216566,0.262641,0.305986,0.166447,0.181363,0.192355,0.3545,0.616821,0.715421,0.793316,0.294248,0.575555,0.684729,0.771062,8.653079,18.20269,38.274345
4,50000,0.221534,0.267722,0.310183,0.171702,0.186683,0.197437,0.355064,0.622142,0.718865,0.794402,0.295,0.58154,0.688505,0.772175,8.37314,17.506163,36.385158,0.213835,0.259226,0.30132,0.16553,0.180254,0.190901,0.364069,0.627406,0.724087,0.799102,0.304101,0.587289,0.694364,0.777423,8.339812,17.629705,37.077383
5,60000,0.21236,0.255217,0.295657,0.165089,0.178946,0.189175,0.358593,0.620293,0.716239,0.794501,0.297804,0.579299,0.685465,0.772253,7.896486,16.437017,34.295505,0.204622,0.247823,0.287728,0.158029,0.172001,0.182098,0.367569,0.62584,0.720347,0.798157,0.307234,0.585472,0.690134,0.77642,7.862214,16.567359,35.001586
6,70000,0.207807,0.250587,0.290484,0.160983,0.174853,0.184947,0.364478,0.626348,0.722887,0.799667,0.303459,0.586036,0.692907,0.778002,7.591214,15.882166,33.215261,0.201714,0.24342,0.28362,0.155907,0.169415,0.179596,0.369037,0.633278,0.728194,0.801869,0.308174,0.593743,0.698907,0.780571,7.580708,16.054317,33.924151
7,80000,0.206689,0.249081,0.289176,0.161096,0.174819,0.184973,0.363786,0.622001,0.718088,0.796985,0.302864,0.581164,0.687533,0.775026,7.446479,15.599755,32.739528,0.201706,0.243124,0.282953,0.156033,0.169454,0.179531,0.371013,0.628437,0.721433,0.799018,0.310916,0.58837,0.691324,0.777297,7.426657,15.753376,33.479337
8,90000,0.202472,0.243135,0.282524,0.157217,0.170374,0.180325,0.365438,0.627675,0.723875,0.801728,0.304415,0.587477,0.694003,0.780243,7.288651,15.210863,32.010484,0.197065,0.236793,0.276977,0.152516,0.165377,0.175562,0.372297,0.631852,0.72849,0.805073,0.311229,0.592177,0.699126,0.784065,7.297821,15.370192,32.711129
9,100000,0.203892,0.244632,0.283187,0.159501,0.172684,0.182454,0.370251,0.628409,0.722915,0.799356,0.30996,0.58826,0.692938,0.777689,7.188258,15.133176,31.743978,0.195747,0.237012,0.277188,0.151428,0.164771,0.174944,0.375402,0.635169,0.729041,0.80551,0.315584,0.595874,0.699799,0.784582,7.15983,15.25803,32.394947
10,110000,0.199434,0.240131,0.278006,0.155174,0.168394,0.177984,0.366468,0.625078,0.720911,0.798425,0.305073,0.584641,0.690745,0.776608,6.996318,14.667212,31.045722,0.191689,0.232076,0.271863,0.148769,0.161864,0.171919,0.373821,0.63332,0.726331,0.801869,0.312388,0.593727,0.69676,0.780477,6.98082,14.766673,31.738799
