,steps,hr_test_5,hr_test_10,hr_test_20,ndcg_test_5,ndcg_test_10,ndcg_test_20,cov_test_1,cov_test_5,cov_test_10,cov_test_20,nov_test_1,nov_test_5,nov_test_10,nov_test_20,rep_test_5,rep_test_10,rep_test_20,hr_val_5,hr_val_10,hr_val_20,ndcg_val_5,ndcg_val_10,ndcg_val_20,cov_val_1,cov_val_5,cov_val_10,cov_val_20,nov_val_1,nov_val_5,nov_val_10,nov_val_20,rep_val_5,rep_val_10,rep_val_20
0,10000,0.244486,0.289151,0.330364,0.191859,0.206353,0.216788,0.190397,0.307161,0.345057,0.381034,0.121518,0.233622,0.274133,0.313579,12.850304,26.980821,56.158288,0.24123,0.286477,0.326856,0.188989,0.203618,0.213853,0.191244,0.307825,0.346356,0.381739,0.122161,0.234374,0.275496,0.314378,13.121215,27.675123,57.779358
1,20000,0.27292,0.325072,0.373773,0.211907,0.2288,0.241118,0.255575,0.463911,0.533083,0.591162,0.191136,0.406241,0.48222,0.546464,12.498849,26.418606,55.321843,0.270062,0.32219,0.3701,0.208218,0.225115,0.23726,0.259174,0.467227,0.535355,0.593547,0.194348,0.409688,0.484632,0.549096,12.660291,26.924202,56.656608
2,30000,0.280011,0.335425,0.385614,0.216104,0.234079,0.246767,0.28791,0.547889,0.631118,0.700178,0.223627,0.499044,0.590876,0.667419,12.140541,25.688232,53.783818,0.27772,0.331217,0.380471,0.213258,0.230597,0.243068,0.292172,0.55208,0.636693,0.705019,0.228248,0.50365,0.597143,0.672823,12.296645,26.110065,55.000051
3,40000,0.28193,0.335614,0.385786,0.217234,0.234614,0.247338,0.299018,0.563908,0.657144,0.734009,0.235407,0.516856,0.619795,0.704922,11.933463,25.034828,52.111645,0.277991,0.331809,0.380589,0.212889,0.230351,0.242733,0.302716,0.570979,0.664328,0.739993,0.239183,0.524564,0.627816,0.711627,12.073445,25.437244,53.295622
4,50000,0.281302,0.336165,0.383807,0.217623,0.235407,0.247474,0.308135,0.589214,0.685302,0.76417,0.244682,0.544757,0.651017,0.738368,11.696159,24.612182,51.090983,0.277061,0.330761,0.379905,0.21378,0.231184,0.243643,0.313753,0.594154,0.691837,0.769647,0.25065,0.550271,0.658207,0.744509,11.835055,24.99555,52.147197
5,60000,0.276224,0.329736,0.37916,0.213585,0.230918,0.243473,0.317888,0.601888,0.700855,0.779075,0.254473,0.558793,0.668202,0.754864,11.403825,23.748069,49.108884,0.271914,0.325537,0.373531,0.209019,0.226401,0.23858,0.323011,0.606221,0.704158,0.781178,0.259783,0.563602,0.671915,0.757261,11.509769,24.115487,50.159677
6,70000,0.272834,0.326457,0.374487,0.210882,0.228282,0.24046,0.324705,0.61222,0.708971,0.789011,0.261929,0.570166,0.677288,0.765893,11.054314,23.086892,47.564108,0.268516,0.321412,0.368933,0.205742,0.222907,0.234956,0.329913,0.616285,0.715788,0.795574,0.267444,0.574756,0.684792,0.773224,11.144231,23.393003,48.5692
7,80000,0.269641,0.320975,0.36774,0.208848,0.225456,0.237327,0.332665,0.620364,0.721518,0.800358,0.269355,0.579362,0.691168,0.778566,10.793075,22.469391,46.288089,0.264627,0.317135,0.363228,0.203473,0.22054,0.232229,0.338254,0.627703,0.725371,0.803901,0.275151,0.587336,0.695429,0.782451,10.860577,22.769538,47.21338
8,90000,0.266155,0.316922,0.364039,0.207239,0.223666,0.235611,0.335883,0.619178,0.718921,0.797635,0.273585,0.577843,0.688223,0.775496,10.570347,22.02194,45.346954,0.262294,0.313112,0.359627,0.201777,0.218252,0.230031,0.342757,0.627025,0.723974,0.802349,0.279788,0.5866,0.693925,0.780775,10.65001,22.351422,46.351013
9,100000,0.264572,0.315803,0.361492,0.205809,0.222445,0.233998,0.337351,0.62186,0.723593,0.803351,0.274431,0.580725,0.693392,0.78184,10.348642,21.699381,44.564415,0.259049,0.309266,0.356212,0.19992,0.216228,0.228127,0.345594,0.630173,0.729634,0.808022,0.282467,0.590077,0.700207,0.787041,10.411671,21.963073,45.517441
10,110000,0.259873,0.309538,0.355571,0.201849,0.217943,0.229586,0.342206,0.623694,0.723875,0.805129,0.279632,0.582856,0.693847,0.783846,10.158799,21.017798,43.380095,0.255684,0.304389,0.350109,0.196854,0.212609,0.224195,0.348332,0.630949,0.730353,0.810535,0.285992,0.590908,0.701006,0.789861,10.228826,21.251586,44.192154
11,120000,0.259297,0.308772,0.355278,0.20162,0.217632,0.229406,0.3427,0.627802,0.731497,0.813456,0.279773,0.587399,0.702196,0.793026,10.06756,20.926303,42.989465,0.254417,0.305116,0.349636,0.196049,0.2125,0.223779,0.350025,0.63572,0.737707,0.818438,0.286634,0.59614,0.709089,0.798603,10.117124,21.166786,43.942461
