,steps,loss,plain,smorl
0,200,11.4498872756958,10.93,0.519
1,400,11.492270469665527,10.806,0.687
2,600,11.163022994995117,10.688,0.475
3,800,11.099215507507324,10.579,0.52
4,1000,11.00451374053955,10.492,0.512
5,1200,10.888163566589355,10.368,0.52
6,1400,10.466171264648438,9.973,0.493
7,1600,10.248208045959473,9.797,0.451
8,1800,10.12618350982666,9.701,0.425
9,2000,10.149554252624512,9.691,0.459
10,2200,9.735783576965332,9.276,0.46
11,2400,9.585158348083496,9.144,0.441
12,2600,9.780038833618164,9.306,0.474
13,2800,9.73979663848877,9.272,0.468
14,3000,9.787663459777832,9.33,0.457
15,3200,9.360509872436523,8.74,0.621
16,3400,9.600472450256348,9.132,0.469
17,3600,9.395511627197266,8.806,0.589
18,3800,9.458622932434082,8.903,0.556
19,4000,8.869483947753906,8.187,0.683
20,4200,8.606693267822266,7.97,0.637
21,4400,8.469306945800781,7.821,0.648
22,4600,8.937173843383789,8.205,0.732
23,4800,9.024042129516602,8.387,0.637
24,5000,8.582422256469727,7.837,0.745
25,5200,8.226032257080078,7.555,0.671
26,5400,8.47629451751709,7.693,0.784
27,5600,8.949095726013184,8.166,0.783
28,5800,8.328781127929688,7.63,0.699
29,6000,8.86063003540039,8.013,0.848
30,6200,8.601558685302734,7.773,0.829
31,6400,8.614893913269043,7.687,0.928
32,6600,8.161582946777344,7.406,0.756
33,6800,8.26248836517334,7.468,0.795
34,7000,8.029109001159668,7.194,0.835
35,7200,8.149541854858398,7.351,0.798
36,7400,8.071972846984863,7.373,0.699
37,7600,8.026273727416992,7.187,0.839
38,7800,8.167259216308594,7.29,0.877
39,8000,7.606190204620361,6.779,0.827
40,8200,7.84609842300415,6.708,1.138
41,8400,7.585004806518555,6.61,0.975
42,8600,7.558409690856934,6.663,0.896
43,8800,8.112659454345703,7.085,1.028
44,9000,7.55731201171875,6.477,1.08
45,9200,7.537833213806152,6.606,0.931
46,9400,7.419180393218994,6.433,0.986
47,9600,7.96690559387207,6.862,1.105
48,9800,7.08831787109375,6.158,0.93
49,10000,7.749463081359863,6.824,0.926
50,10200,7.908900260925293,6.785,1.124
51,10400,7.426496505737305,6.488,0.938
52,10600,7.270501136779785,6.292,0.979
53,10800,7.845437049865723,6.942,0.904
54,11000,7.492372512817383,6.557,0.935
55,11200,8.158238410949707,7.139,1.019
56,11400,7.744567394256592,6.745,1.0
57,11600,6.962535381317139,5.992,0.971
58,11800,6.968426704406738,5.954,1.014
59,12000,7.5278167724609375,6.408,1.12
60,12200,7.124366760253906,6.125,0.999
61,12400,6.917254447937012,6.029,0.889
62,12600,7.1735005378723145,6.138,1.035
63,12800,6.806492328643799,5.793,1.013
64,13000,7.554989814758301,6.408,1.147
65,13200,7.6740922927856445,6.616,1.058
66,13400,6.752020835876465,5.597,1.155
67,13600,6.9859724044799805,6.003,0.983
68,13800,7.156383514404297,6.205,0.952
69,14000,6.836803436279297,5.859,0.978
70,14200,7.090633392333984,6.129,0.962
71,14400,7.255770206451416,5.984,1.272
72,14600,7.371435165405273,6.44,0.932
73,14800,6.824520587921143,5.851,0.974
74,15000,7.173929214477539,6.027,1.147
75,15200,7.454859256744385,6.337,1.118
76,15400,6.9930315017700195,5.968,1.025
77,15600,6.813772201538086,5.755,1.059
78,15800,6.149378299713135,5.343,0.807
79,16000,6.474069595336914,5.609,0.865
80,16200,6.805977821350098,5.706,1.1
81,16400,6.365975379943848,5.517,0.849
82,16600,6.810886859893799,5.401,1.41
83,16800,6.828567981719971,5.706,1.123
84,17000,6.246443748474121,5.092,1.155
85,17200,7.1065568923950195,6.165,0.941
86,17400,6.716376781463623,5.557,1.16
87,17600,6.459619045257568,5.486,0.974
88,17800,6.406386375427246,5.278,1.128
89,18000,6.734785079956055,5.795,0.94
90,18200,6.379306793212891,5.322,1.057
91,18400,6.2609028816223145,5.291,0.97
92,18600,7.005496501922607,5.996,1.009
93,18800,6.7735114097595215,5.832,0.941
94,19000,6.921426296234131,6.036,0.885
95,19200,6.608147144317627,5.711,0.897
96,19400,6.0236406326293945,5.064,0.959
97,19600,6.503997325897217,5.394,1.11
98,19800,6.395561218261719,5.276,1.119
99,20000,6.4790802001953125,5.417,1.062
100,20200,6.5935378074646,5.463,1.131
101,20400,6.354619026184082,5.331,1.024
102,20600,6.491634368896484,5.394,1.098
103,20800,6.404411315917969,5.39,1.014
104,21000,6.1283721923828125,5.139,0.989
105,21200,6.348630428314209,5.424,0.925
106,21400,6.180692195892334,5.307,0.874
107,21600,6.502462387084961,5.46,1.043
108,21800,6.6843461990356445,5.79,0.894
109,22000,6.7231221199035645,5.563,1.16
110,22200,6.736154556274414,5.794,0.942
111,22400,6.491588592529297,5.474,1.018
112,22600,6.512548446655273,5.466,1.047
113,22800,6.03645133972168,5.044,0.993
114,23000,6.142727375030518,5.19,0.953
115,23200,5.873566627502441,4.855,1.018
116,23400,5.977750778198242,5.002,0.976
117,23600,6.011219024658203,4.919,1.092
118,23800,5.684329509735107,4.739,0.945
119,24000,5.766585350036621,4.699,1.067
120,24200,6.664433479309082,5.619,1.045
121,24400,5.836816310882568,4.895,0.942
122,24600,6.3890886306762695,5.32,1.069
123,24800,6.279052257537842,5.214,1.065
124,25000,6.251190185546875,5.069,1.182
125,25200,5.72511100769043,4.75,0.975
126,25400,5.934699535369873,4.792,1.143
127,25600,6.643826007843018,5.432,1.212
128,25800,6.6643452644348145,5.746,0.919
129,26000,6.463348388671875,5.569,0.895
130,26200,6.002274513244629,4.975,1.027
131,26400,6.2781453132629395,5.23,1.048
132,26600,6.542888164520264,5.568,0.975
133,26800,6.732306480407715,5.683,1.05
134,27000,6.576320171356201,5.6,0.977
135,27200,5.72825813293457,4.765,0.964
136,27400,6.203603744506836,5.097,1.107
137,27600,5.9945902824401855,4.786,1.209
138,27800,5.661787033081055,4.785,0.877
139,28000,5.522246837615967,4.516,1.006
140,28200,5.561346054077148,4.663,0.899
141,28400,6.027438163757324,4.898,1.129
142,28600,6.070760726928711,5.03,1.041
143,28800,6.177919387817383,5.149,1.029
144,29000,5.993900299072266,5.089,0.905
145,29200,5.649399280548096,4.653,0.996
146,29400,6.148377418518066,5.115,1.033
147,29600,5.97271728515625,4.984,0.989
148,29800,6.165775299072266,5.112,1.054
149,30000,5.606738090515137,4.715,0.892
150,30200,6.038559913635254,5.091,0.948
151,30400,5.874415397644043,4.904,0.97
152,30600,6.509002208709717,5.37,1.139
153,30800,6.468048095703125,5.546,0.922
154,31000,6.018467903137207,5.056,0.963
155,31200,5.717543125152588,4.665,1.053
156,31400,6.202921390533447,5.139,1.064
157,31600,5.810967445373535,4.767,1.044
158,31800,5.763637542724609,4.753,1.011
159,32000,5.797110080718994,4.751,1.046
160,32200,5.424008369445801,4.368,1.056
161,32400,5.922419548034668,4.935,0.987
162,32600,5.447224140167236,4.61,0.837
163,32800,5.950472831726074,4.894,1.057
164,33000,5.75068473815918,4.621,1.129
165,33200,5.947102069854736,4.8,1.148
166,33400,6.346282958984375,5.169,1.177
167,33600,5.650334358215332,4.639,1.011
168,33800,5.709511756896973,4.706,1.004
169,34000,5.876509666442871,4.899,0.977
170,34200,5.965200901031494,4.857,1.108
171,34400,6.096004486083984,4.964,1.132
172,34600,6.460583686828613,5.361,1.099
173,34800,5.6909871101379395,4.618,1.073
174,35000,5.804305553436279,4.749,1.055
175,35200,5.466795921325684,4.493,0.974
176,35400,5.540645599365234,4.646,0.894
177,35600,5.6042633056640625,4.511,1.094
178,35800,5.7480950355529785,4.791,0.957
179,36000,5.377779483795166,4.467,0.911
180,36200,5.619184494018555,4.444,1.175
181,36400,5.60272216796875,4.676,0.926
182,36600,6.069161415100098,5.059,1.01
183,36800,5.39048433303833,4.524,0.866
184,37000,5.9850263595581055,5.127,0.858
185,37200,5.705187797546387,4.722,0.983
186,37400,5.624753952026367,4.52,1.104
187,37600,5.99562931060791,4.931,1.065
188,37800,5.968369960784912,4.995,0.973
189,38000,5.723494052886963,4.75,0.974
190,38200,6.099118232727051,5.109,0.99
191,38400,5.60731315612793,4.594,1.014
192,38600,5.853521347045898,4.939,0.915
193,38800,5.751741886138916,4.712,1.04
194,39000,5.487360000610352,4.524,0.963
195,39200,5.3662919998168945,4.387,0.979
196,39400,5.613596439361572,4.499,1.114
197,39600,5.753508567810059,4.575,1.178
198,39800,5.793301582336426,4.88,0.914
199,40000,5.672183036804199,4.707,0.965
200,40200,6.0636186599731445,4.79,1.274
201,40400,5.466488838195801,4.452,1.014
202,40600,5.692935466766357,4.726,0.967
203,40800,5.709129810333252,4.909,0.8
204,41000,5.674496173858643,4.459,1.216
205,41200,5.541202068328857,4.547,0.994
206,41400,5.6614508628845215,4.693,0.968
207,41600,6.024338245391846,4.993,1.031
208,41800,6.094542503356934,5.121,0.974
209,42000,6.03579568862915,5.018,1.018
210,42200,5.8604536056518555,4.919,0.941
211,42400,5.951885223388672,4.95,1.002
212,42600,5.58250093460083,4.454,1.128
213,42800,5.553106307983398,4.444,1.109
214,43000,5.773848533630371,4.61,1.164
215,43200,5.012701988220215,3.842,1.171
216,43400,5.663463592529297,4.687,0.976
217,43600,5.337859153747559,4.278,1.059
218,43800,5.800414085388184,4.676,1.124
219,44000,5.599066734313965,4.505,1.094
220,44200,5.784350872039795,4.886,0.899
