,steps,hr_test_5,hr_test_10,hr_test_20,ndcg_test_5,ndcg_test_10,ndcg_test_20,cov_test_1,cov_test_5,cov_test_10,cov_test_20,nov_test_1,nov_test_5,nov_test_10,nov_test_20,rep_test_5,rep_test_10,rep_test_20,hr_val_5,hr_val_10,hr_val_20,ndcg_val_5,ndcg_val_10,ndcg_val_20,cov_val_1,cov_val_5,cov_val_10,cov_val_20,nov_val_1,nov_val_5,nov_val_10,nov_val_20,rep_val_5,rep_val_10,rep_val_20
0,10000,0.24551,0.291182,0.332378,0.192622,0.207402,0.217847,0.189028,0.305016,0.344704,0.381852,0.120453,0.230911,0.27382,0.314472,12.943334,27.197463,56.493428,0.241323,0.287086,0.327904,0.188705,0.203501,0.213858,0.191639,0.308615,0.347725,0.383885,0.12238,0.235031,0.277047,0.316681,13.176043,27.809176,58.052322
1,20000,0.274581,0.327826,0.375761,0.212155,0.229383,0.241523,0.257085,0.46583,0.534509,0.592305,0.191888,0.408058,0.483755,0.547702,12.427505,26.373907,55.240526,0.27144,0.323813,0.370404,0.208449,0.225425,0.237234,0.261178,0.470558,0.539519,0.596624,0.195946,0.413291,0.489269,0.552511,12.619425,26.864617,56.576667
2,30000,0.282145,0.337283,0.386088,0.217584,0.23545,0.247835,0.281869,0.53201,0.616496,0.686304,0.217737,0.481546,0.574741,0.652019,12.247635,25.837928,53.998466,0.277856,0.331733,0.379702,0.21319,0.230669,0.242816,0.285638,0.539505,0.623652,0.691893,0.221825,0.489802,0.582652,0.658301,12.412899,26.262428,55.223865
3,40000,0.281397,0.337042,0.386638,0.216328,0.2344,0.246959,0.302447,0.572165,0.666191,0.742068,0.239371,0.525942,0.629805,0.71382,11.900118,25.095382,52.230093,0.276064,0.331141,0.380741,0.212571,0.230436,0.243006,0.3052,0.577161,0.66845,0.743987,0.241235,0.531425,0.632281,0.715998,12.066643,25.526647,53.395305
4,50000,0.281414,0.337103,0.385804,0.217874,0.235968,0.248296,0.309476,0.591839,0.688943,0.767713,0.246029,0.547718,0.654902,0.7423,11.752263,24.627014,51.117936,0.2786,0.333018,0.380496,0.214201,0.231851,0.243906,0.315432,0.59908,0.694942,0.772187,0.251872,0.555597,0.661716,0.747298,11.89198,24.997443,52.242788
5,60000,0.276328,0.331259,0.379874,0.213692,0.231511,0.243826,0.31666,0.59637,0.692726,0.77254,0.253063,0.552652,0.659194,0.747674,11.44116,23.776045,49.237917,0.272936,0.326247,0.373328,0.209431,0.226722,0.238661,0.321021,0.603469,0.700658,0.779766,0.25759,0.560579,0.668077,0.755741,11.531761,24.076616,50.261661
6,70000,0.274064,0.327516,0.375416,0.212114,0.229446,0.241575,0.324013,0.607068,0.70684,0.785638,0.261788,0.564511,0.674922,0.762164,11.141462,23.251419,47.99105,0.269395,0.322029,0.369288,0.206029,0.223083,0.23505,0.329617,0.613998,0.714193,0.792977,0.266629,0.57225,0.683053,0.770342,11.243198,23.575491,48.959186
7,80000,0.268841,0.322025,0.369831,0.208555,0.225798,0.237919,0.330506,0.615847,0.713388,0.793344,0.2676,0.574224,0.682082,0.770733,10.787245,22.541349,46.520994,0.262506,0.315301,0.362416,0.202195,0.219343,0.231287,0.337026,0.622283,0.719966,0.80002,0.274274,0.581258,0.689413,0.778206,10.870908,22.868249,47.55493
8,90000,0.266164,0.317498,0.363833,0.206079,0.222714,0.234468,0.333738,0.611444,0.712161,0.793146,0.270295,0.569399,0.680734,0.770545,10.549174,21.995499,45.456349,0.261035,0.313044,0.359441,0.201592,0.218466,0.230206,0.33817,0.617259,0.716818,0.798806,0.274556,0.575837,0.685982,0.776859,10.641162,22.290968,46.418678
9,100000,0.264942,0.314779,0.360468,0.205438,0.221582,0.233157,0.336307,0.621408,0.722083,0.803478,0.273459,0.580506,0.691763,0.781966,10.403928,21.656626,44.544878,0.257476,0.309722,0.355848,0.199138,0.216085,0.227792,0.343378,0.626207,0.727037,0.808841,0.280164,0.585816,0.697293,0.78795,10.466039,21.926811,45.521686
10,110000,0.25977,0.31014,0.355089,0.20286,0.219166,0.230545,0.338748,0.620858,0.721419,0.801361,0.275731,0.579628,0.690995,0.779616,10.119521,21.103616,43.414975,0.254138,0.305428,0.350523,0.195313,0.211933,0.223354,0.347499,0.626927,0.726176,0.807881,0.28419,0.586412,0.696306,0.7869,10.179112,21.380984,44.37679
11,120000,0.260355,0.309039,0.355218,0.202414,0.218199,0.229903,0.346186,0.634689,0.736182,0.819596,0.283297,0.595106,0.70735,0.799856,10.052882,20.844474,42.879916,0.25538,0.303459,0.34852,0.197465,0.213047,0.224453,0.352185,0.642734,0.744524,0.824253,0.289736,0.603926,0.71664,0.805073,10.094824,21.06695,43.69865
12,130000,0.256543,0.305829,0.350494,0.199882,0.21587,0.227173,0.348318,0.631655,0.730579,0.812299,0.285819,0.591644,0.701131,0.791757,9.829591,20.382141,42.089603,0.250317,0.29952,0.344496,0.193634,0.209602,0.221006,0.356236,0.638796,0.736747,0.816321,0.293449,0.599602,0.708071,0.796268,9.83572,20.53437,42.883746
13,140000,0.253944,0.302972,0.348506,0.197738,0.213656,0.225187,0.348981,0.625713,0.727601,0.808869,0.285663,0.58508,0.697904,0.78795,9.822124,20.184882,41.736562,0.249134,0.298074,0.342442,0.192241,0.208091,0.219341,0.353201,0.632572,0.732767,0.811904,0.290331,0.592647,0.703591,0.791381,9.848967,20.383388,42.558971
14,150000,0.253238,0.301259,0.345442,0.196987,0.212545,0.22373,0.350138,0.629015,0.729521,0.810662,0.286916,0.58873,0.699972,0.78994,9.626042,19.84294,40.884263,0.247274,0.294812,0.339281,0.190442,0.205893,0.217153,0.354909,0.635451,0.735194,0.814599,0.291882,0.595889,0.706348,0.794357,9.642287,20.020919,41.638707
15,160000,0.249916,0.297972,0.34274,0.1955,0.211068,0.222411,0.349277,0.628832,0.730368,0.812567,0.285741,0.588464,0.700959,0.792023,9.516954,19.798138,40.958114,0.245169,0.293544,0.337963,0.190011,0.205688,0.216955,0.354598,0.635141,0.734051,0.817013,0.291208,0.595513,0.705063,0.797036,9.558204,20.064086,41.882212
16,170000,0.249778,0.298195,0.34237,0.195283,0.21099,0.222189,0.348628,0.628931,0.729831,0.812779,0.285757,0.588589,0.700301,0.792305,9.387204,19.527796,40.360916,0.242498,0.291017,0.33563,0.188245,0.203976,0.215274,0.357689,0.635183,0.734785,0.816872,0.294514,0.595466,0.705846,0.796864,9.401238,19.763912,41.21742
17,180000,0.248341,0.29502,0.339401,0.194798,0.209943,0.221182,0.349207,0.623836,0.726543,0.809236,0.285396,0.582871,0.696588,0.788342,9.257301,19.250703,39.735795,0.241771,0.288785,0.332105,0.188139,0.203363,0.214337,0.356984,0.63284,0.731934,0.812835,0.293731,0.592929,0.702682,0.792368,9.280943,19.503734,40.625409
18,190000,0.247274,0.295261,0.339805,0.193034,0.208594,0.21991,0.349616,0.628761,0.729097,0.811706,0.286054,0.588354,0.699455,0.791099,9.355137,19.291822,39.855112,0.243065,0.289461,0.333838,0.188275,0.203323,0.214574,0.35728,0.636496,0.734489,0.816434,0.29406,0.59697,0.705549,0.796409,9.369169,19.509104,40.755473
