,steps,hr_test_5,hr_test_10,hr_test_20,ndcg_test_5,ndcg_test_10,ndcg_test_20,cov_test_1,cov_test_5,cov_test_10,cov_test_20,nov_test_1,nov_test_5,nov_test_10,nov_test_20,rep_test_5,rep_test_10,rep_test_20,hr_val_5,hr_val_10,hr_val_20,ndcg_val_5,ndcg_val_10,ndcg_val_20,cov_val_1,cov_val_5,cov_val_10,cov_val_20,nov_val_1,nov_val_5,nov_val_10,nov_val_20,rep_val_5,rep_val_10,rep_val_20
0,10000,0.278204,0.335003,0.386948,0.212675,0.231093,0.244231,0.241306,0.491701,0.596934,0.688068,0.182332,0.438638,0.553655,0.654291,15.347364,31.531376,64.451184,0.271863,0.32929,0.382694,0.20705,0.225628,0.239163,0.246274,0.498151,0.603512,0.694038,0.18816,0.445593,0.56083,0.660886,15.495397,31.980872,65.642952
1,20000,0.268324,0.327352,0.381518,0.203015,0.222137,0.235845,0.256055,0.523669,0.632558,0.728702,0.196964,0.473337,0.593007,0.699267,15.180484,31.145349,63.604511,0.263241,0.321826,0.375797,0.197106,0.2161,0.229769,0.260882,0.528157,0.640038,0.734588,0.202196,0.47824,0.601169,0.705784,15.400266,31.644435,64.81608
2,30000,0.267369,0.323342,0.375244,0.204646,0.222797,0.235963,0.262928,0.541326,0.653094,0.746683,0.203998,0.4927,0.615518,0.719162,15.185547,31.110674,63.488365,0.258364,0.314895,0.367877,0.195435,0.213756,0.227167,0.268602,0.548072,0.658923,0.74904,0.208682,0.499828,0.622145,0.721919,15.357099,31.530227,64.56874
3,40000,0.256629,0.313368,0.365511,0.194063,0.212466,0.225689,0.268292,0.547762,0.658542,0.749901,0.208572,0.499561,0.621597,0.722781,15.052933,30.742341,62.612387,0.250824,0.306172,0.356947,0.188081,0.206062,0.218947,0.276802,0.556583,0.665316,0.755815,0.217611,0.509509,0.62932,0.729423,15.211999,31.180493,63.691592
4,50000,0.261362,0.314409,0.365175,0.199721,0.216914,0.22979,0.275885,0.557797,0.671809,0.761051,0.215199,0.510684,0.636369,0.735204,14.838541,30.396154,61.919808,0.254357,0.309207,0.35868,0.192481,0.210235,0.222776,0.28098,0.567507,0.679261,0.766697,0.220713,0.521384,0.644688,0.741486,14.997954,30.803089,63.014474
5,60000,0.252395,0.306689,0.356354,0.191047,0.208658,0.221236,0.280768,0.561283,0.670129,0.760543,0.221261,0.514459,0.634474,0.734546,14.748683,30.197924,61.481921,0.245905,0.299004,0.348241,0.185997,0.203206,0.215671,0.288517,0.56968,0.67785,0.766866,0.228468,0.523827,0.643121,0.741658,14.91116,30.617328,62.567973
6,70000,0.248462,0.302438,0.350855,0.186891,0.204432,0.216697,0.285976,0.571783,0.684215,0.774008,0.226744,0.526177,0.650202,0.749585,14.641385,29.980054,60.967268,0.242109,0.296088,0.343102,0.18224,0.199729,0.211629,0.294501,0.580139,0.689268,0.777367,0.234953,0.535342,0.655826,0.753282,14.809738,30.398374,62.071604
7,80000,0.247644,0.300071,0.347249,0.189219,0.206213,0.218183,0.286047,0.574649,0.684229,0.770677,0.226243,0.52942,0.650171,0.745872,14.570961,29.856902,60.739426,0.240098,0.291887,0.339526,0.182529,0.199327,0.211394,0.294402,0.582764,0.690397,0.77508,0.234045,0.538475,0.657095,0.750838,14.73972,30.272606,61.804214
8,90000,0.245759,0.298058,0.345907,0.186823,0.203776,0.215912,0.292102,0.579631,0.688788,0.778101,0.232713,0.534793,0.655199,0.754003,14.528359,29.71769,60.47563,0.238061,0.289503,0.337176,0.179774,0.19645,0.20854,0.298735,0.586787,0.695675,0.782631,0.239857,0.542799,0.66286,0.759125,14.704787,30.106536,61.503376
9,100000,0.248264,0.299917,0.347344,0.19105,0.207793,0.2198,0.289561,0.579038,0.691837,0.779329,0.22969,0.534104,0.658568,0.755444,14.495934,29.741881,60.548816,0.241738,0.293087,0.340143,0.183294,0.199932,0.21186,0.297733,0.586899,0.697341,0.78321,0.236755,0.542736,0.664755,0.759862,14.680749,30.140599,61.546389
10,110000,0.246147,0.298436,0.347146,0.188995,0.205946,0.218271,0.291438,0.579871,0.690016,0.77779,0.231178,0.534997,0.656562,0.753752,14.306756,29.349154,59.833887,0.240656,0.292335,0.3406,0.181809,0.198532,0.210748,0.299695,0.587478,0.696974,0.782561,0.239167,0.543535,0.664332,0.759031,14.450696,29.736753,60.794752
