,steps,hr_test_5,hr_test_10,hr_test_20,ndcg_test_5,ndcg_test_10,ndcg_test_20,cov_test_1,cov_test_5,cov_test_10,cov_test_20,nov_test_1,nov_test_5,nov_test_10,nov_test_20,rep_test_5,rep_test_10,rep_test_20,hr_val_5,hr_val_10,hr_val_20,ndcg_val_5,ndcg_val_10,ndcg_val_20,cov_val_1,cov_val_5,cov_val_10,cov_val_20,nov_val_1,nov_val_5,nov_val_10,nov_val_20,rep_val_5,rep_val_10,rep_val_20
0,10000,0.265613,0.317283,0.363704,0.206786,0.223528,0.235281,0.193968,0.341105,0.397095,0.450404,0.128474,0.27172,0.332111,0.390513,15.079885,31.079783,63.704495,0.261711,0.311599,0.359931,0.203921,0.220056,0.232286,0.197708,0.344521,0.400836,0.452224,0.131121,0.27537,0.336169,0.392549,15.258234,31.550941,64.967318
1,20000,0.283703,0.341354,0.393325,0.218644,0.237334,0.250499,0.231962,0.450982,0.540168,0.619376,0.168218,0.392565,0.490225,0.577796,15.487547,31.930752,65.367258,0.280527,0.3359,0.388273,0.215691,0.233671,0.246948,0.23734,0.458251,0.546816,0.622735,0.172682,0.400429,0.497666,0.581634,15.663717,32.412336,66.549714
2,30000,0.286689,0.344005,0.39669,0.219751,0.238372,0.251741,0.245963,0.493254,0.59764,0.685203,0.182536,0.439437,0.554031,0.650938,15.532757,32.002301,65.464277,0.280392,0.33803,0.390885,0.214369,0.233076,0.246482,0.251313,0.500988,0.601874,0.688802,0.187439,0.447583,0.558762,0.654902,15.741612,32.485679,66.684431
3,40000,0.279512,0.337051,0.393033,0.214816,0.23349,0.247676,0.254813,0.513648,0.621577,0.713064,0.192515,0.462105,0.580835,0.681988,15.522017,31.923899,65.322355,0.276182,0.333846,0.388324,0.209825,0.228512,0.242295,0.258186,0.521608,0.627745,0.717453,0.195209,0.470549,0.587524,0.686734,15.738748,32.413462,66.541428
4,50000,0.280424,0.337688,0.39268,0.214803,0.233353,0.247286,0.261517,0.529569,0.638698,0.729874,0.198562,0.479431,0.599696,0.700567,15.397279,31.668542,64.811845,0.276436,0.334134,0.387106,0.211103,0.229798,0.243234,0.264749,0.538644,0.646728,0.736422,0.201554,0.489379,0.608532,0.707805,15.635741,32.190876,66.046543
5,60000,0.275071,0.333583,0.386518,0.209674,0.228622,0.242047,0.263479,0.537882,0.647138,0.738074,0.202134,0.488533,0.608923,0.709622,15.60492,31.951823,65.122078,0.268211,0.326103,0.379431,0.202841,0.221611,0.235109,0.267473,0.544035,0.650977,0.74036,0.205846,0.495238,0.613184,0.712175,15.816029,32.456884,66.345233
6,70000,0.271285,0.329048,0.381811,0.206263,0.224998,0.238386,0.265892,0.543358,0.651809,0.743296,0.204405,0.494611,0.614202,0.715449,15.465811,31.681532,64.576945,0.263233,0.320914,0.3731,0.199842,0.218558,0.231782,0.272498,0.552828,0.659897,0.747925,0.210217,0.505138,0.623101,0.720509,15.674202,32.180953,65.810096
7,80000,0.269804,0.32675,0.379952,0.205897,0.224367,0.237822,0.264975,0.541241,0.649664,0.737382,0.202384,0.492167,0.611821,0.70887,15.454406,31.71989,64.672889,0.263934,0.322232,0.373844,0.200987,0.219856,0.23294,0.272074,0.548495,0.654604,0.74211,0.209136,0.50011,0.61732,0.714134,15.662439,32.227547,65.812398
8,90000,0.265966,0.322705,0.375477,0.203632,0.22204,0.235419,0.270014,0.546011,0.654406,0.742985,0.207585,0.497634,0.617257,0.715105,15.368844,31.519716,64.275354,0.259615,0.316197,0.367386,0.196941,0.215294,0.228276,0.275984,0.553689,0.661294,0.748405,0.213319,0.505796,0.624683,0.721183,15.583879,32.007467,65.458879
9,100000,0.267662,0.323634,0.375588,0.203973,0.222113,0.235277,0.269943,0.548665,0.656495,0.742943,0.207131,0.500407,0.619215,0.715026,15.385158,31.477216,64.207641,0.25948,0.31547,0.366456,0.196841,0.215035,0.227957,0.27652,0.555312,0.662028,0.746062,0.212849,0.507676,0.62556,0.718551,15.581935,31.991561,65.382876
10,110000,0.264408,0.320356,0.373136,0.201418,0.219569,0.232918,0.270536,0.549441,0.657441,0.745611,0.207899,0.501363,0.6205,0.718081,15.291413,31.354677,63.939651,0.258719,0.315639,0.365924,0.195993,0.214446,0.227178,0.27803,0.557034,0.66423,0.7512,0.215167,0.50954,0.628004,0.724316,15.498721,31.831731,65.101882
11,120000,0.264099,0.319925,0.370855,0.202508,0.220597,0.233491,0.272822,0.553831,0.661082,0.749323,0.210859,0.506,0.624354,0.722029,15.333606,31.363678,63.893827,0.25587,0.311218,0.361351,0.194334,0.212312,0.225009,0.278623,0.561127,0.668633,0.752823,0.216013,0.514177,0.632876,0.725992,15.52813,31.846768,65.029971
12,130000,0.262567,0.316655,0.367525,0.20021,0.217712,0.230586,0.270465,0.544642,0.651668,0.738991,0.207319,0.495833,0.613952,0.71064,15.376106,31.457526,64.023475,0.255634,0.310644,0.359525,0.194129,0.211977,0.224372,0.27827,0.552984,0.65785,0.742506,0.214979,0.505185,0.620876,0.714572,15.556669,31.939699,65.165559
13,140000,0.258926,0.313101,0.362964,0.196627,0.214182,0.226801,0.277099,0.557331,0.663877,0.753218,0.2157,0.509979,0.627518,0.726525,15.323531,31.364394,63.872756,0.250216,0.305648,0.355941,0.188699,0.206677,0.219431,0.284099,0.564543,0.671583,0.758666,0.222577,0.518015,0.636119,0.732525,15.538871,31.864362,65.012838
