,steps,hr_test_5,hr_test_10,hr_test_20,ndcg_test_5,ndcg_test_10,ndcg_test_20,cov_test_1,cov_test_5,cov_test_10,cov_test_20,nov_test_1,nov_test_5,nov_test_10,nov_test_20,rep_test_5,rep_test_10,rep_test_20,hr_val_5,hr_val_10,hr_val_20,ndcg_val_5,ndcg_val_10,ndcg_val_20,cov_val_1,cov_val_5,cov_val_10,cov_val_20,nov_val_1,nov_val_5,nov_val_10,nov_val_20,rep_val_5,rep_val_10,rep_val_20
0,10000,0.263961,0.313987,0.361828,0.205027,0.221256,0.233361,0.192458,0.337026,0.391774,0.442458,0.126484,0.267193,0.326017,0.381662,15.099473,31.064645,63.57582,0.260012,0.309494,0.356415,0.201917,0.217978,0.22987,0.196113,0.338579,0.393115,0.444391,0.129617,0.268509,0.327333,0.383745,15.335311,31.650419,64.957958
1,20000,0.284942,0.341259,0.393058,0.220291,0.238546,0.251658,0.234531,0.454553,0.541481,0.617654,0.171163,0.396403,0.491697,0.575931,15.32036,31.59239,64.782335,0.280155,0.335849,0.388307,0.21535,0.233394,0.246674,0.238723,0.456134,0.544515,0.621126,0.175001,0.398142,0.495144,0.579769,15.487367,32.034728,65.954941
2,30000,0.286027,0.34397,0.397611,0.219236,0.238019,0.251619,0.247699,0.49674,0.596949,0.683509,0.184776,0.443102,0.553357,0.649121,15.428323,31.758809,65.014167,0.282319,0.338115,0.390411,0.216352,0.23442,0.247678,0.251849,0.502047,0.602538,0.689875,0.188677,0.44893,0.559498,0.656124,15.647555,32.281608,66.254654
3,40000,0.282369,0.341027,0.393953,0.215511,0.234514,0.247916,0.251214,0.515977,0.623045,0.712866,0.189116,0.464455,0.582276,0.681659,15.587685,32.044904,65.525035,0.276393,0.334226,0.387935,0.209999,0.228752,0.242359,0.257198,0.520776,0.628084,0.719443,0.194379,0.469687,0.587884,0.688943,15.768924,32.52368,66.672617
4,50000,0.280278,0.336862,0.390511,0.214372,0.232699,0.246295,0.255857,0.525024,0.631711,0.72602,0.19275,0.474512,0.591957,0.696322,15.674986,32.142382,65.561653,0.274399,0.332528,0.384461,0.208555,0.2274,0.240568,0.261517,0.532307,0.637583,0.727206,0.198249,0.482204,0.598396,0.697638,15.879245,32.641929,66.770458
5,60000,0.274667,0.332206,0.385571,0.210573,0.229228,0.242756,0.264481,0.535553,0.644216,0.734235,0.202431,0.485995,0.605806,0.705455,15.419475,31.65637,64.702194,0.269327,0.326763,0.379744,0.205136,0.223769,0.237186,0.271693,0.545983,0.653235,0.742012,0.208541,0.497556,0.6158,0.714165,15.612776,32.143719,65.875
6,70000,0.270828,0.326931,0.380064,0.206742,0.224926,0.238381,0.266499,0.542539,0.652049,0.741518,0.204875,0.494,0.614484,0.71357,15.395745,31.613359,64.499207,0.267146,0.322782,0.37354,0.202615,0.220628,0.233486,0.27309,0.550881,0.659191,0.747262,0.211016,0.502929,0.622396,0.719867,15.603417,32.095029,65.691745
7,80000,0.270536,0.327499,0.379341,0.207466,0.225926,0.239058,0.266838,0.542187,0.651033,0.740558,0.203716,0.493389,0.613357,0.712457,15.357388,31.500281,64.323991,0.264239,0.320144,0.371875,0.200722,0.218835,0.231943,0.274276,0.551092,0.657935,0.7465,0.210812,0.503008,0.620954,0.719068,15.578969,31.974683,65.514883
8,90000,0.269822,0.327628,0.379573,0.206054,0.224775,0.237939,0.266259,0.538404,0.645656,0.734729,0.203512,0.488909,0.607357,0.705909,15.239759,31.25638,63.89577,0.26243,0.319012,0.371951,0.199971,0.21829,0.231712,0.271058,0.544783,0.652078,0.738864,0.206959,0.496021,0.614437,0.710546,15.444098,31.755882,65.088635
9,100000,0.266999,0.322843,0.375055,0.203892,0.221993,0.235227,0.270691,0.548848,0.656298,0.744467,0.208196,0.500893,0.619278,0.716797,15.356314,31.492508,64.183604,0.262396,0.317727,0.369094,0.19965,0.217601,0.230613,0.278242,0.557684,0.664949,0.75079,0.215246,0.510433,0.628772,0.723799,15.586948,31.982355,65.392748
10,110000,0.262644,0.319788,0.371251,0.200059,0.218587,0.231632,0.267318,0.543344,0.649128,0.739175,0.205737,0.494721,0.611179,0.710781,15.462896,31.645886,64.468675,0.256056,0.311802,0.362822,0.195457,0.213549,0.226496,0.273711,0.550344,0.657229,0.742308,0.210891,0.50224,0.620187,0.714447,15.682283,32.118709,65.697422
11,120000,0.26119,0.316397,0.367473,0.198939,0.216846,0.229771,0.272399,0.55232,0.660687,0.750028,0.210781,0.504543,0.624009,0.722953,15.41298,31.526876,64.162072,0.253512,0.309841,0.359677,0.193043,0.211273,0.223889,0.280797,0.560309,0.667208,0.754573,0.219288,0.513347,0.631325,0.727998,15.622545,32.032426,65.368453
12,130000,0.261947,0.315708,0.36638,0.199877,0.217285,0.230128,0.271002,0.547762,0.653348,0.742266,0.207914,0.499311,0.615769,0.714353,15.424129,31.56017,64.222421,0.253985,0.308623,0.359238,0.193758,0.211498,0.224301,0.277437,0.555764,0.662113,0.74801,0.214995,0.508209,0.625607,0.720635,15.625972,32.042297,65.407529
13,140000,0.260742,0.314977,0.365649,0.198401,0.215968,0.228793,0.273274,0.55424,0.660334,0.74753,0.211047,0.50647,0.623539,0.72018,15.334987,31.413798,63.872245,0.252067,0.30706,0.356516,0.190989,0.208814,0.221352,0.280839,0.560506,0.666897,0.75271,0.218003,0.513316,0.630855,0.725977,15.54552,31.875511,65.035239
14,150000,0.262369,0.318325,0.367671,0.199944,0.218089,0.230588,0.276337,0.555891,0.661252,0.747304,0.213288,0.508256,0.62462,0.719867,15.129034,31.039176,63.220682,0.254602,0.309333,0.358697,0.19368,0.211444,0.223958,0.283972,0.563654,0.668478,0.7535,0.221167,0.51695,0.632672,0.726901,15.341909,31.506291,64.357968
15,160000,0.255742,0.310855,0.360752,0.195359,0.213266,0.225908,0.277452,0.553322,0.659685,0.745893,0.21487,0.505624,0.622944,0.718332,15.212141,31.124687,63.374418,0.24997,0.303991,0.353592,0.189733,0.207223,0.219796,0.28242,0.561706,0.66646,0.750706,0.220024,0.514867,0.630385,0.723752,15.425327,31.625,64.569456
16,170000,0.255794,0.309521,0.358747,0.196701,0.214148,0.226635,0.283732,0.562934,0.669903,0.758595,0.220823,0.516089,0.634176,0.732462,15.180995,31.049813,63.127142,0.250156,0.302428,0.35136,0.190116,0.207053,0.219444,0.288884,0.571967,0.680672,0.765793,0.22665,0.525911,0.646113,0.740342,15.386764,31.504194,64.278897
17,180000,0.257102,0.310381,0.359917,0.197414,0.214684,0.227243,0.272074,0.544304,0.651315,0.739951,0.208353,0.495347,0.613513,0.71169,15.307728,31.320565,63.701069,0.24861,0.3028,0.351394,0.189532,0.20709,0.219407,0.278609,0.550909,0.658626,0.744736,0.215277,0.502694,0.621706,0.717063,15.504399,31.818331,64.840477
18,190000,0.253367,0.308893,0.356655,0.193296,0.2113,0.223392,0.283168,0.563075,0.669452,0.753401,0.221716,0.516104,0.633675,0.726666,15.069913,30.846366,62.78837,0.244527,0.298937,0.347827,0.186265,0.203887,0.216288,0.288545,0.572362,0.675182,0.758906,0.227058,0.5266,0.640082,0.732807,15.248261,31.264883,63.820837
