,steps,loss,plain,smorl
0,200,11.326754570007324,10.725,0.602
1,400,10.834002494812012,10.378,0.456
2,600,10.55499267578125,10.065,0.49
3,800,10.388227462768555,9.863,0.526
4,1000,10.181766510009766,9.587,0.595
5,1200,10.166682243347168,9.598,0.569
6,1400,9.839570999145508,9.231,0.608
7,1600,10.30525016784668,9.706,0.599
8,1800,9.931571960449219,9.284,0.648
9,2000,9.476641654968262,8.873,0.604
10,2200,9.432090759277344,8.829,0.604
11,2400,9.885857582092285,9.134,0.752
12,2600,9.148189544677734,8.452,0.697
13,2800,9.354512214660645,8.701,0.654
14,3000,9.47276782989502,8.71,0.763
15,3200,8.748196601867676,7.992,0.756
16,3400,8.96097469329834,8.25,0.711
17,3600,9.32694149017334,8.576,0.751
18,3800,8.68646240234375,7.901,0.785
19,4000,8.404870986938477,7.503,0.901
20,4200,8.214588165283203,7.497,0.718
21,4400,8.447610855102539,7.617,0.831
22,4600,8.016008377075195,7.134,0.882
23,4800,8.130431175231934,7.264,0.867
24,5000,8.404806137084961,7.615,0.79
25,5200,8.2549467086792,7.452,0.803
26,5400,8.062251091003418,7.163,0.9
27,5600,8.276985168457031,7.482,0.795
28,5800,7.874837398529053,7.059,0.816
29,6000,8.28918170928955,7.553,0.736
30,6200,8.027313232421875,7.189,0.839
31,6400,8.291707992553711,7.445,0.847
32,6600,7.526663780212402,6.802,0.725
33,6800,7.621100902557373,6.928,0.693
34,7000,8.384990692138672,7.648,0.737
35,7200,7.30541467666626,6.537,0.768
36,7400,8.080487251281738,7.301,0.78
37,7600,7.654134750366211,6.885,0.769
38,7800,7.0427093505859375,6.136,0.907
39,8000,7.484734535217285,6.639,0.845
40,8200,7.891185283660889,6.996,0.895
41,8400,7.614982604980469,6.72,0.895
42,8600,7.362460613250732,6.469,0.893
43,8800,7.354180812835693,6.549,0.805
44,9000,7.658195495605469,6.839,0.819
45,9200,7.200950622558594,6.314,0.887
46,9400,6.9171833992004395,6.168,0.749
47,9600,7.248239994049072,6.505,0.743
48,9800,7.450758934020996,6.548,0.903
49,10000,7.371539115905762,6.504,0.867
50,10200,7.200880527496338,6.404,0.797
51,10400,7.472204685211182,6.62,0.852
52,10600,7.001373291015625,6.235,0.766
53,10800,7.253655433654785,6.467,0.786
54,11000,7.2666239738464355,6.456,0.811
55,11200,6.965539932250977,6.276,0.689
56,11400,6.552489280700684,5.87,0.682
57,11600,6.988913536071777,5.971,1.018
58,11800,6.565029621124268,5.723,0.842
59,12000,6.935971260070801,6.121,0.815
60,12200,6.541196346282959,5.662,0.879
61,12400,6.5642290115356445,5.864,0.701
62,12600,6.987943649291992,6.183,0.805
63,12800,6.9640889167785645,6.209,0.756
64,13000,6.919618606567383,6.069,0.85
65,13200,6.619277000427246,5.905,0.714
66,13400,6.70380163192749,5.865,0.839
67,13600,6.558421611785889,5.776,0.782
68,13800,6.857856750488281,6.054,0.804
69,14000,6.684930801391602,5.931,0.754
70,14200,7.07965612411499,6.215,0.865
71,14400,7.3467326164245605,6.543,0.803
72,14600,7.075084686279297,6.31,0.765
73,14800,6.108992099761963,5.317,0.792
74,15000,6.6681365966796875,5.891,0.777
75,15200,6.605076789855957,5.929,0.676
76,15400,6.45469856262207,5.738,0.717
77,15600,5.843292236328125,5.095,0.749
78,15800,5.77047872543335,4.954,0.817
79,16000,6.0586066246032715,5.311,0.748
80,16200,6.090679168701172,5.264,0.827
81,16400,6.159028053283691,5.349,0.81
82,16600,6.182014465332031,5.261,0.921
83,16800,6.029438495635986,5.3,0.729
84,17000,6.236896991729736,5.385,0.852
85,17200,6.314149856567383,5.601,0.713
86,17400,6.240512847900391,5.404,0.837
87,17600,6.430379867553711,5.743,0.687
88,17800,6.378002166748047,5.651,0.727
89,18000,6.1810150146484375,5.463,0.718
90,18200,6.120588779449463,5.282,0.839
91,18400,6.234281063079834,5.576,0.658
92,18600,6.47993278503418,5.741,0.739
93,18800,6.118386268615723,5.234,0.884
94,19000,6.688595771789551,5.988,0.7
95,19200,6.656406402587891,5.874,0.782
96,19400,6.294094562530518,5.445,0.85
97,19600,5.869320869445801,5.01,0.859
98,19800,6.4056596755981445,5.615,0.791
99,20000,5.45913553237915,4.68,0.779
100,20200,5.832204341888428,5.113,0.719
101,20400,5.975364685058594,5.182,0.794
102,20600,6.224269866943359,5.436,0.788
103,20800,5.6086530685424805,4.858,0.751
104,21000,6.258918285369873,5.413,0.845
105,21200,6.214859962463379,5.418,0.797
106,21400,6.445936679840088,5.685,0.76
107,21600,6.1466593742370605,5.485,0.662
108,21800,6.128255844116211,5.401,0.727
109,22000,5.993373870849609,5.303,0.69
110,22200,6.312634468078613,5.613,0.7
111,22400,6.152774333953857,5.445,0.708
112,22600,5.823152542114258,5.07,0.753
113,22800,6.0083699226379395,5.307,0.701
114,23000,5.802628517150879,5.104,0.699
115,23200,5.782332420349121,5.108,0.674
116,23400,5.348413467407227,4.76,0.589
117,23600,5.567523002624512,4.91,0.657
118,23800,5.733546733856201,4.997,0.737
119,24000,5.779025077819824,5.209,0.57
120,24200,5.956945896148682,5.179,0.778
121,24400,5.769771099090576,5.082,0.687
122,24600,6.298303127288818,5.428,0.871
123,24800,5.912484169006348,5.195,0.718
124,25000,5.593329906463623,4.925,0.669
125,25200,5.889162063598633,5.264,0.625
126,25400,5.666635990142822,4.955,0.712
127,25600,5.854197025299072,5.233,0.621
128,25800,5.946840763092041,5.301,0.646
129,26000,5.9071197509765625,5.117,0.79
130,26200,6.073631286621094,5.336,0.738
131,26400,6.069654941558838,5.368,0.702
132,26600,5.924922943115234,5.303,0.622
133,26800,6.4436259269714355,5.689,0.754
134,27000,6.056680202484131,5.439,0.618
135,27200,5.274691581726074,4.548,0.727
136,27400,5.2177534103393555,4.51,0.708
137,27600,5.391063213348389,4.727,0.664
138,27800,5.518585205078125,4.868,0.651
139,28000,5.796770095825195,5.096,0.701
140,28200,5.904074192047119,5.253,0.651
141,28400,5.306014537811279,4.576,0.73
142,28600,5.915793418884277,5.211,0.704
143,28800,5.4337358474731445,4.665,0.768
144,29000,5.484865188598633,4.76,0.725
145,29200,5.494568824768066,4.878,0.616
146,29400,5.756672382354736,5.038,0.718
147,29600,5.929810523986816,5.274,0.656
148,29800,5.759596824645996,5.091,0.669
149,30000,5.631940841674805,4.976,0.656
150,30200,5.704130172729492,5.007,0.697
151,30400,5.730856418609619,5.061,0.67
152,30600,5.874765872955322,5.307,0.568
153,30800,5.888421535491943,5.274,0.614
154,31000,5.106837749481201,4.435,0.672
155,31200,4.935425281524658,4.315,0.62
156,31400,5.3534440994262695,4.701,0.653
157,31600,5.3284711837768555,4.622,0.706
158,31800,5.380349159240723,4.745,0.635
159,32000,5.710318088531494,5.047,0.663
160,32200,5.846732139587402,5.148,0.699
161,32400,5.063594818115234,4.323,0.74
162,32600,5.676204204559326,5.019,0.657
163,32800,5.422886848449707,4.747,0.676
164,33000,5.729611396789551,5.023,0.706
165,33200,5.155680179595947,4.521,0.635
166,33400,5.649509429931641,4.82,0.829
167,33600,5.718658447265625,5.043,0.676
168,33800,5.185524940490723,4.481,0.704
169,34000,5.435800552368164,4.793,0.642
170,34200,5.534493923187256,4.864,0.67
171,34400,5.668762683868408,5.092,0.577
172,34600,5.7194414138793945,5.07,0.649
173,34800,5.185238838195801,4.504,0.681
174,35000,5.471612453460693,4.772,0.7
175,35200,5.706407070159912,4.97,0.737
176,35400,5.255684852600098,4.546,0.71
177,35600,4.816332817077637,4.212,0.604
178,35800,4.985470771789551,4.363,0.623
179,36000,5.428998947143555,4.901,0.528
180,36200,5.396058082580566,4.777,0.619
181,36400,5.719355583190918,5.076,0.643
182,36600,5.547176361083984,4.811,0.736
183,36800,5.689441204071045,4.995,0.694
184,37000,5.32650089263916,4.565,0.762
185,37200,5.226138591766357,4.5,0.726
186,37400,5.327094554901123,4.652,0.675
187,37600,5.751336574554443,5.239,0.513
188,37800,5.575500011444092,4.839,0.736
189,38000,5.418549537658691,4.805,0.614
190,38200,5.238332748413086,4.407,0.831
191,38400,5.5914459228515625,4.927,0.664
192,38600,5.868743419647217,5.221,0.648
193,38800,5.309730529785156,4.548,0.762
194,39000,4.593464374542236,4.026,0.568
195,39200,5.514436721801758,4.915,0.599
196,39400,5.192210674285889,4.67,0.522
197,39600,5.113438129425049,4.446,0.667
198,39800,5.4898223876953125,4.751,0.739
199,40000,5.259410858154297,4.682,0.577
200,40200,5.294918060302734,4.58,0.714
201,40400,5.782160758972168,5.152,0.63
202,40600,5.470195293426514,4.833,0.638
203,40800,5.635351657867432,4.936,0.699
204,41000,5.3494462966918945,4.658,0.692
205,41200,4.963419437408447,4.293,0.671
206,41400,5.741359233856201,5.016,0.726
207,41600,5.620320796966553,4.952,0.669
208,41800,5.698814392089844,5.146,0.553
209,42000,5.630759239196777,5.025,0.606
210,42200,5.31935453414917,4.689,0.631
211,42400,5.118733882904053,4.455,0.664
212,42600,4.800478458404541,4.185,0.616
213,42800,5.334355354309082,4.612,0.722
214,43000,5.312121391296387,4.672,0.64
215,43200,5.545414447784424,4.929,0.616
216,43400,5.293860912322998,4.62,0.674
217,43600,5.623317241668701,4.961,0.663
218,43800,4.991710186004639,4.378,0.614
219,44000,5.721813678741455,5.028,0.694
220,44200,5.194336414337158,4.622,0.573
221,44400,5.6321916580200195,4.886,0.746
222,44600,5.463298797607422,4.774,0.689
223,44800,4.849463939666748,4.217,0.632
224,45000,5.368683815002441,4.79,0.579
225,45200,5.64796781539917,5.035,0.613
226,45400,5.050739765167236,4.409,0.642
227,45600,5.486142158508301,4.96,0.526
