,steps,loss,plain,smorl
0,200,11.571107864379883,10.831,0.74
1,400,11.058101654052734,10.561,0.497
2,600,10.922450065612793,10.419,0.504
3,800,10.568275451660156,10.058,0.51
4,1000,10.103501319885254,9.599,0.505
5,1200,10.12264633178711,9.516,0.607
6,1400,10.113079071044922,9.517,0.596
7,1600,9.898614883422852,9.326,0.572
8,1800,9.643410682678223,9.093,0.551
9,2000,10.062239646911621,9.416,0.647
10,2200,9.664436340332031,8.988,0.676
11,2400,9.252545356750488,8.567,0.685
12,2600,9.564794540405273,8.887,0.677
13,2800,9.070556640625,8.505,0.565
14,3000,9.436137199401855,8.852,0.584
15,3200,9.004215240478516,8.216,0.789
16,3400,8.847270965576172,8.195,0.652
17,3600,8.854697227478027,8.183,0.671
18,3800,9.061257362365723,8.442,0.62
19,4000,8.659796714782715,7.768,0.891
20,4200,8.34798812866211,7.564,0.784
21,4400,8.09097957611084,7.355,0.736
22,4600,8.616140365600586,7.751,0.865
23,4800,8.518301963806152,7.712,0.807
24,5000,8.300281524658203,7.419,0.881
25,5200,8.459355354309082,7.681,0.779
26,5400,8.207326889038086,7.449,0.758
27,5600,7.881152153015137,7.174,0.707
28,5800,8.07614517211914,7.29,0.787
29,6000,7.6673583984375,6.997,0.67
30,6200,8.008944511413574,7.27,0.739
31,6400,8.208342552185059,7.424,0.785
32,6600,7.759247303009033,6.869,0.891
33,6800,7.604488849639893,6.913,0.692
34,7000,7.576694965362549,6.758,0.819
35,7200,7.770074367523193,6.993,0.777
36,7400,7.425116062164307,6.702,0.723
37,7600,7.85106086730957,6.979,0.872
38,7800,7.618615627288818,6.752,0.867
39,8000,7.355065822601318,6.31,1.045
40,8200,7.279200553894043,6.38,0.899
41,8400,7.1906633377075195,6.431,0.759
42,8600,6.855801105499268,5.965,0.891
43,8800,6.743846416473389,5.895,0.849
44,9000,7.419289588928223,6.655,0.764
45,9200,6.971959590911865,6.275,0.697
46,9400,7.250425338745117,6.561,0.69
47,9600,6.964371681213379,6.247,0.717
48,9800,6.987635612487793,6.331,0.657
49,10000,7.523073196411133,6.648,0.875
50,10200,6.935519695281982,6.223,0.712
51,10400,7.148385524749756,6.324,0.824
52,10600,7.21589994430542,6.487,0.729
53,10800,6.91928243637085,6.138,0.781
54,11000,7.064156532287598,6.245,0.82
55,11200,7.212486743927002,6.479,0.733
56,11400,6.861141204833984,6.139,0.722
57,11600,6.420567989349365,5.72,0.7
58,11800,6.572606563568115,5.832,0.741
59,12000,6.2076921463012695,5.45,0.757
60,12200,6.813814163208008,6.11,0.704
61,12400,6.673696041107178,5.887,0.787
62,12600,6.419007778167725,5.729,0.69
63,12800,6.30811882019043,5.468,0.84
64,13000,6.992799758911133,6.209,0.783
65,13200,6.676076412200928,5.93,0.746
66,13400,6.8628034591674805,6.145,0.718
67,13600,6.5994720458984375,5.766,0.834
68,13800,7.038733005523682,6.287,0.752
69,14000,6.674771308898926,5.939,0.736
70,14200,6.714878082275391,6.022,0.693
71,14400,6.833391189575195,6.208,0.626
72,14600,6.801200866699219,5.972,0.829
73,14800,6.608287334442139,6.04,0.569
74,15000,6.39070987701416,5.611,0.78
75,15200,6.914955139160156,6.133,0.782
76,15400,6.271444320678711,5.571,0.7
77,15600,6.307517051696777,5.525,0.783
78,15800,6.222380638122559,5.469,0.753
79,16000,5.961116790771484,5.19,0.771
80,16200,6.734529972076416,5.906,0.829
81,16400,6.263278007507324,5.497,0.767
82,16600,6.116422653198242,5.283,0.833
83,16800,6.479177951812744,5.695,0.784
84,17000,6.080441474914551,5.317,0.763
85,17200,6.2988810539245605,5.593,0.706
86,17400,6.3916449546813965,5.758,0.634
87,17600,6.6994099617004395,5.972,0.727
88,17800,5.8704142570495605,5.161,0.709
